Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-04-11-lower	ParlaMint-NO_2000-04-11-lower.ana.ud747e39	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-04-11-lower	ParlaMint-NO_2000-04-11-lower.ana.ud747e46	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2000-04-11-lower	ParlaMint-NO_2000-04-11-lower.ana.ud747e76	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.STAR	Tariq, Shahbaz	M	1948	
ParlaMint-NO-en_2000-04-11-lower	ParlaMint-NO_2000-04-11-lower.ana.ud747e91	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PES	Sandberg, Per	M	1960	
ParlaMint-NO-en_2000-04-11-lower	ParlaMint-NO_2000-04-11-lower.ana.ud747e112	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-04-11-lower	ParlaMint-NO_2000-04-11-lower.ana.ud747e115	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.TROH	Helleland, Trond	M	1962	
ParlaMint-NO-en_2000-04-11-lower	ParlaMint-NO_2000-04-11-lower.ana.ud747e126	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-04-11-lower	ParlaMint-NO_2000-04-11-lower.ana.ud747e134	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-04-11-lower	ParlaMint-NO_2000-04-11-lower.ana.ud747e140	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-04-11-lower	ParlaMint-NO_2000-04-11-lower.ana.ud747e257	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-04-11-lower	ParlaMint-NO_2000-04-11-lower.ana.ud747e371	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-04-11	2000-04-11	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-04-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
