ParlaMint-NO_2000-05-10.ana.ud84e27	The representative, Siv Jensen, will make a private proposal.
ParlaMint-NO_2000-05-10.ana.ud84e30	In order to get a closer legal definition of what is a strike breaker, I allow myself, on behalf of the representative Fridtjof Frank Gundersen and myself, to promote a proposal to regulate the law of the term ‘strike breaker’.
ParlaMint-NO_2000-05-10.ana.ud84e35	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2000-05-10.ana.ud84e56	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Prime Minister Jens Stoltenberg State Council Guri IngebrichtsenState Council Siri Bjerke The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We'll start with the first main questions, from the representative Carl I. Hagen.
ParlaMint-NO_2000-05-10.ana.ud84e75	I have a question for the Prime Minister about wage fixing, where in the private sector finally a solution was found, and fortunately the strike was cancelled. However, the result is far greater in terms of cost growth for the enterprises particularly exposed to competition than provided for in the adopted State budget. This can mean the loss of jobs, a new spiral of inflation growth, and possibly an increase in interest rates, and there may be further growth in unemployment. Is it still the case that full employment is the main objective of the Labour Party Government, and will the Government now follow a strategy where it does not put new burdens on the jobs and risk unemployment, but on the contrary contributes to lower inflation through tax relief and otherwise facilitates and facilitates the maintenance of full employment and low inflation rather than tackle the problem again that the Labour Party was in the 1980s?
ParlaMint-NO_2000-05-10.ana.ud84e82	Work for all and full employment is still the main objective of the Workers' Party's economic policy, so it stands firm. That is why we are also very concerned about ensuring a mechanism of economic policy that enables us to secure work for all – not only in the short term but also over time – and that is why we have been a driving force in relation to the economic policy pursued over the 1990s, which we have called the'solidarity option'. Fee reductions alone, without any other measures, do not contribute to lower inflation. A lower price increase can be achieved at the moment when charges are reduced, but if the tax reliefs are not covered in other areas of the budget, either by increasing revenue in some areas or by reducing expenditure in other areas, isolated tax reliefs will lead to increased pressures on the economy, increased demand and subsequently also increased price increases and the risk of increased interest rates. I mean that, and that means many others. However, since the representative Hagen often refers to the governor as an important leader in economic policy, this was also a point made by the governor of the central bank in the year, in which he warned against what he called tax relief without tax evasion, among other things. because it will lead to increased pressures on the economy. So what I have seen is that the Progress Party believes that we should only cut taxes, but not ensure that the budgetary framework is maintained, that is a policy that will lead to an increase in prices and thus to increased problems for Norwegian businesses. The government will strongly warn against that.
ParlaMint-NO_2000-05-10.ana.ud84e91	I noticed the answer, and I totally disagree with it. There is a huge difference between taxes and taxes. Fee reductions directly affect price increases, and we'll get lower inflation if you reduce charges. First of all, we have a risk of cost inflation, not demand-led inflation. These include: Because wage settlements are organised as they are, where there is a relatively small proportion that has a particular wage shift — there are large long-term contracts. I would like to ask: now that the central bank manager controls interest rates based on inflation – not the other things that the prime minister here is talking about – will it also dampen interest rates if we reduce taxes, so that we get lower inflation? The fact that at other times we can strengthen the purchasing power of people most through tax relief instead of new burdens on businesses is also a matter of course that I ask the Government to assess.
ParlaMint-NO_2000-05-10.ana.ud84e98	How reduced charges affect price rises, and thus interest rates over time, depends on how reduced charges are financed. If they are not financed, but you just go and pick up money in the treasury and pump out more oil money, then reduced charges mean an increased risk of increased interest rates and increased inflation. Not only does it seem to be a reduction in taxes, but in the case of other measures to be taken, the expenditure on the government budget to be cut, or the other revenue you want to increase, have to be identified. The most important thing now to help us keep the cost growth under control and not to increase interest rates is to contribute to accountability in budgetary policy, and that is the Government's objective in the revised national budget, which we are presenting on Friday. When we know that there have been large exceedances in a large number of budget lines, we are concerned that they should be covered by reductions in other areas of the State budget, so that we are, in total, keeping the frameworks of the Bondevik government budget, which was agreed last autumn.
ParlaMint-NO_2000-05-10.ana.ud84e105	There will be follow-up questions – Jan Petersen.
ParlaMint-NO_2000-05-10.ana.ud84e108	There is no doubt that there is now an opportunity for interest rate increases, and there is considerable pressure on the Government and the Government's contribution. The Prime Minister was not particularly clear on what he thought could be the Government's contribution to keeping interest rates down. My question then is this: can we now be sure that the Government will not come back with tax increases for most people, that they will not come back with increased burdens on business – as we have seen in the press that you might consider in the case of the sickness pay scheme – and can we be sure that the Government will cover by Friday the extra bill the Prime Minister now mentioned, within the budget, so that an expansive budget does not allow us to have an increase in interest rates?
ParlaMint-NO_2000-05-10.ana.ud84e115	We're going to cover the extras, and we're going to cover the unpaid bills within the adopted budget. It is a demanding task because there are large exceedances. So we have to find huge spending cuts in other areas of the budget in order to keep the overall framework. We'll do that, and it'll be on Friday. That's why I think it's wrong to go into other details in the revised national budget, but it's obvious that when you're going to collect billions of dollars in a budget that's adopted, it becomes a demanding operation where a number of individual measures are not popular, but the sum is nevertheless correct because the option is to weaken the budget, thus increasing the risk of interest rate rise and increased price rise. Therefore, the main contribution of the Government to reducing the risk of interest rate rise, price rise and subsequent unemployment is that we keep the balance in the budget. And I am pleased with the impression I have, namely that the Storting agrees that we should keep the balance in the budget.
ParlaMint-NO_2000-05-10.ana.ud84e121	Øystein Djupedal – for follow-up questions.
ParlaMint-NO_2000-05-10.ana.ud84e124	One can easily get the impression when one listens to debates here in Stortinget, that the Norwegian economy is in bad shape, and that the wage-setting as such has contributed to ills in the Norwegian economy. But nothing can be more wrong. The Norwegian economy is bottom-solid, and most countries will admire the Norwegian economy simply because we have a significant surplus in our government finances. Now it's discussed on many teams whether the payroll will contribute to an interest rate increase. There is, in fact, no basis for this. That is why my question goes to the Prime Minister: we have a governor who has wanted a greater degree of freedom – i.e. decoupling from the Ministry of Finance – and that he should be able to interpret the rule of interest as he himself believes is right. But I would like confirmation that it is still the case that the Ministry of Finance and the Government have the final word in these kinds of questions, that the Governor of the Central Bank is unable to determine when interest rates are going up and when interest rates are going down, that there is a dialogue with the Ministry and Government, and that the final decision to the seventh and last is the responsibility of the Government.
ParlaMint-NO_2000-05-10.ana.ud84e131	I fully agree that there is a great deal that is good in the Norwegian economy, and there are many who are responsible for: the social partners, the Stortinget through a number of budgetary decisions up through the 1990s and several parties. But the fact that there is a lot of good in the Norwegian economy does not mean that we should not look for danger signals, and there are some obvious signs of danger. One of them is that now over several years we have had a cost and wage growth in Norway that has been almost twice as high, or at least significantly higher, than in the countries with which we are dealing. Over time this cannot continue, because it means a gradual decline in Norwegian enterprises, especially in industry and companies exposed to competition. And we are already seeing, after several years of increasing employment in industry, a rather sharp reduction in the number of jobs in industry. And that should worry everyone, especially those who are busy working for everyone. As regards monetary policy, the monetary regulation applies, and within the monetary regulation, the Central Bank has the freedom to determine the level of interest on the basis of which the Central Bank considers it necessary to ensure the guidelines laid down by the Stortinget and the Government.
ParlaMint-NO_2000-05-10.ana.ud84e138	Kjell Magne Bondevik – for follow-up questions.
ParlaMint-NO_2000-05-10.ana.ud84e141	If we are to succeed in taking care of the good Norwegian economy that we now really have, we are dependent on both a sensible fiscal policy, on which the Prime Minister has been involved, on a monetary and credit policy that works, and also on a income policy. And in this context, as is well known, income policy cooperation was established in a discussion between the then government and the social partners in the autumn of 1998, which took effect for 1999, and which was also to have effect for this year and the years to come. So my question to the Prime Minister is: Does the Government hold fast to what was enshrined in income policy cooperation, among other things. through the suspension of the Arntzen Committee and also through the other elements of the agreed income policy cooperation?
ParlaMint-NO_2000-05-10.ana.ud84e148	Yes, we stick to what was the main message of what is called the Arntzen Committee, and we stick to income policy cooperation. It is important, for example: because it is the model we have chosen in various forms over many years in Norway, where the parties work together to try to keep down the cost growth, which has made it possible for us in Norway to do something very few other countries, namely to have low unemployment, at the lower end of around 3 p.m., combined with a relatively low price and cost growth over many years. The last thing we've been struggling with for the last two to three years. However, the Norwegian model has proved to be significantly better than the models chosen in other countries, because there they experience pressure in the economy, with a leave of 5-6 p.p., while we can combine low unemployment with much lower cost growth. So we're holding on to this, and we want to continue this -- income policy cooperation is still a key element in our economic approach.
ParlaMint-NO_2000-05-10.ana.ud84e153	Siv Jensen – for follow-up questions.
ParlaMint-NO_2000-05-10.ana.ud84e156	The revised national budget may now become the key to preventing a new rise in interest rates after the settlement of wages and salaries. What will the Prime Minister do to help ensure that the revised national budget does not send the bill to the employees, who have now actually striked to increase wages or to the enterprises through, for example, extended employer period or other things? These companies have just had to take an extra charge through the wage settlement. And isn't it reasonable to demand that we now clean up our own bed by cutting public spending?
ParlaMint-NO_2000-05-10.ana.ud84e161	Interest rates are determined by many factors. They shall be determined, inter alia: of interest rates in other countries. We have little influence over that. If, for example: interest rates rise in the United States or in Europe, which could affect the Norwegian level of interest rates. It's determined by the oil price, and it's determined by international conditions that we don't have control of. So there are some relationships that we have in control of, for example. Budgetary policy. Budgetary policy cannot guarantee the level of interest that we want, but it can help to increase the likelihood that we will get low interest rates. And the more problems you have in the international economy, the more important it is that we keep track of the factors we control ourselves, such as budgetary policy. And therefore, the main challenge is to ensure a responsible budgetary policy. This means that we are going to propose significant spending cuts in a number of budget areas in the revised national budget to offset the expenditure increases that come under other headings, among others. in order to maintain Norway's presence in Kosovo and in relation to some other exceedances due to the State budget. So spending cuts are coming, but it's to offset expenditure increases.
ParlaMint-NO_2000-05-10.ana.ud84e166	Let's move on to the next main question.
ParlaMint-NO_2000-05-10.ana.ud84e169	There is also a question for the Prime Minister. When he and the Workers' Party were in opposition, the party accused the central government of lack of governance and progress in relation to the future banking structure and the structure of the financial market. It was urgent, according to the Labour Party, that the government took the initiative so that the structure was not altered while it was being investigated, and the then government was asked to set a time limit for clarification. It was a deadline which, moreover, the current government has missed the longest. After the Workers' Party came into government, we have heard little about this. So my question to the Prime Minister is therefore, when will the clarification come? Has the Government given itself a time limit in this matter, as the previous government was asked to do?
ParlaMint-NO_2000-05-10.ana.ud84e175	One problem with regard to the future banking structure is that the Bank Investment Fund, as the Government and the Stortinget asked before Christmas to investigate the future banking structure, has obviously had problems in making a recommendation. The problem then is that when there is no recommendation from the body we have asked to make the recommendation, it has created problems in relation to when a conclusion can be drawn. In addition, we have had a government shift, and it has also contributed to the fact that it has taken some time in relation to the follow-up to banking structure. We haven't set a precise deadline, but our ambition is to get a clarification, not least because we believe that both the political environment and the banks themselves are well served that there will be a clarification, if not too long. The uncertainty that now exists is not a good thing for any of the parties involved.
ParlaMint-NO_2000-05-10.ana.ud84e180	I must then note that the Labour Party and Stoltenberg have completely changed their position on this after the party came into office. The main and most of the matters now mentioned by the Prime Minister have not changed since then, but at that time it was very urgent, and it was even possible to set a concrete deadline despite the fact that no decision had been taken at the time by the Bank Investment Fund. But I have an additional question. The current parliamentary leader of the Labour Party, Hill-Marta Solberg, has made it clear at least that she believes that a merger of the two largest Norwegian commercial banks, the Norwegian Bank and the Bank of Credit, is not relevant. Is this also the opinion of the Labour Party Government?
ParlaMint-NO_2000-05-10.ana.ud84e187	There are no differences or differences in vision between what Hill-Marta Solberg has communicated earlier this winter, and what I mean and the Government believes. What we want is to clarify the entire banking structure, and we still believe that it is an advantage that we get it as quickly as possible, and we are working on it in the Government and in relation to the Bank Investment Fund.
ParlaMint-NO_2000-05-10.ana.ud84e192	Siv Jensen – for follow-up questions.
ParlaMint-NO_2000-05-10.ana.ud84e195	I also expect that the Workers' Party has not changed its mind on this matter even though they have now come into government. We have also registered that the Workers' Party has clearly said no to a merger between the Kreditkassen and DnB. But an alternative that has come up from some politicians lately is possible slaughter of the credit fund. So now we're talking about slaughtering the bank, one of Norway's most profitable banks, where the state has a significant ownership position, to sort of solve the bunch. I would like to hear the Prime Minister's assessment of the appropriateness of the political environment doing something like that.
ParlaMint-NO_2000-05-10.ana.ud84e200	Our future banking structure and what kind of banks we're going to have is an important question, but it's also a sensitive and quite demanding question. I think the process that was set up here in Stortinget is the right process, namely to get a recommendation from the Bank Investment Fund. I think that work just complicates and we create new uncertainties and problems in relation to the processes if I, on behalf of the Government, begin to relate to different alternatives that have been launched, regardless of what would be my personal opinion or the Government's opinion on those alternatives. For then we start proceedings here in the Chamber of various proposals for a new banking structure without having had the tidy procedure with the suspension of the Bank Investment Fund and then a complete proposal. Although I may have opinions about, for example: how the future of the credit fund should be, I refrain from going into it simply because you are going to get the government's assessment when we have a complete proposal to come along from the government.
ParlaMint-NO_2000-05-10.ana.ud84e207	Selected Response City Haugland – for follow-up questions. The President has some doubts as to whether this matter can be passed on, but then gives this opportunity.
ParlaMint-NO_2000-05-10.ana.ud84e210	Thank you, President! I feel that the only thing that's changed in this situation is that we've got a new government. I also look with interest at comments from, among others. The leader of the financial committee, Dag Terje Andersen, who says that the new government must have time to get involved in this matter. Ranveig Frøiland stated on 3 February that in a month's time the government had to finish the case. She was then a bank-political spokeswoman for the Workers' Party. She didn't know what she was talking about, or didn't know the Working Party what was wrong that time? The second question is: Does the Prime Minister think that the previous government did not have to wait for the Bank Investment Fund, while it must currently wait for it? This whole case actually requires statements and actions from the Prime Minister. We have observed that the Prime Minister has been very little in this matter, while others have spoken out. What has changed other than that we have a new government? Didn't they know what they were saying when they said they were very sure about the previous government?
