ParlaMint-NO_2000-02-01-lower.ana.ud2432e42	The representative, Jorunn Ringstad, wants to make a private bill.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e45	On behalf of the representative of Gunnar Schaug and myself, I shall be presented with a proposal for an amendment to the Law of 22 June 1962 No. 8 on the Ombudsman of the Grand Duchy of Luxembourg for administration.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e50	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e62	No one has asked for the floor. [[See page 262]]
ParlaMint-NO_2000-02-01-lower.ana.ud2432e76	The proposal in Document No. 8:66 for 1998-99 concerns the amendment of the Law of 6 April 1984 No. 17 on the remuneration of immovable property. In the explanatory statement for the proposal, the proposers point out that the practice of the Supreme Court has recently led to a certain degree of weakening of the content of the rights of landowners in some respects than provided for by the Stortinget at the time of the adoption of the Expropriation Replacement Act in 1984. A similar proposal was one of several launched in 1996 by Document No. 8:87 for 1995-1996. The Committee points out in its comments that the proposal addresses a central and complex issue, namely the importance of regulatory plans in determining compensation for expropriation. The Committee considers that there is a need for legal clarification before a final decision is taken on the legislative proposal submitted. The Committee points out that the legal situation with regard to the relationship between the regulatory plan and expropriation claims is a difficult and controversial issue. Good reasons suggest that there may be a need to draw up a clearer limit that helps to remove the possible uncertainties that exist today. The Committee asks the Ministry to set up a separate selection to examine the issues arising from the relationship between the regulatory plan and expropriation compensation and to present the matter to the Grand Duchy in an appropriate form. The majority of the Committee, with the exception of the members of the Workers' Party, agrees with the intentions behind the proposal. Finally, I allow myself to recommend the committee's recommendation.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e95	The case concerns a proposal that the Storting should decide to ask the Government ‘to set up a separate legislative committee with a view to establishing a legal rule on the relationship between the regulatory plan and expropriation compensation, which makes the necessary legal boundaries as clearly as possible’. Such a decision is based on my proposal by letter of 2 December 1999 to the Ministry of Justice of the United Kingdom to have the legal status fully discussed within a legislative committee, with a view to arriving at such a rule of law. I believe that Document No. 8:66 for 1998-1999 has addressed a central and complex issue, that the proposal raises issues that need to be carefully assessed, and that the legal situation today is not satisfactory in all ways. At the same time, I would like to state that as a starting point, the main principle of the law in force must be maintained. Thus, as a starting point, the determination of compensation in case of expropriation must be based on the value of the property by legal use of the property, i.e. by land use permitted under binding public land use plans. But it has not been given that the rules in the details should in every way remain as they are today. The work of the legislative committee to be set up shall aim at establishing a legal rule on the importance of binding land-use plans for compensation in the event of expropriation. I will not now commit myself with regard to how the matter is to be assessed after such an investigation with such a view has been made. My starting point is that I want to have an open mind about this. The case concerns a complex legislative issue that may have different ring-effects. I would therefore like to see the consequences of possible legislative changes investigated before I take a realistic view. I also want to see the sample’s assessment of what legal effects can be achieved by lawmaking, before I take a final position. The purpose of the selection work shall be to present a legislative proposal, but I would like to see the free evaluation of the sample’s recommendability for legislative or legislative changes. Only this, without any political pre-requisite in this regard, can the subsequent political assessment provide the best professional basis for taking its political position. Changes in this area not only affect citizens and the public in the roles of parties to expropriation cases but also have other important aspects. The case may have consequences for, inter alia: the economy of municipalities and local government, the formation of prices in the property market and the management of public land use, and it can have a broad environmental impact. Public land-use management, which is highly affected by the case, has an impact, among other things. how Norwegian landscapes and nature will look in the future and be accessible to general traffic. I believe that there is reason to stress that it is important, in general, to assess the impact of a legislative proposal in detail before a final and binding position is taken. But, of course, I would like to ensure, as the Committee has stated, that this investigation, with its various aspects, is'submitted to the Grand Duchy in an appropriate form', so that the Grand Duchy has the treatment they have wanted in this remark in the committee setting.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e108	As co-rapporteur for the proposal under consideration, I would just like to make a few additional comments in relation to the review by the rapporteur. After all, a full review of the substance of the proposal is unnecessary at this stage, as the Ministry will return to the Stortingen case. I nevertheless assume that the Council of State has taken note of the intention of the majority proposal. Expropriation cases, with the interpretation of the requirement in Basic Law § 105 that full compensation be provided as the bearer, are and have been one of the main lines of conflict between socialist and bourgeois policies. There is no reason to hide that I am very pleased that we have reached a majority position on this matter, which has a somewhat unusual history. The proposal in Document No. 8:66 is identical to a proposal made by the representatives of Arild Hiim, Jorunn Ringstad, Anita Apelthun Seele, Jan Simonsen and Lars Sponheim in the previous staging. In the proceedings in Stortinget at the time, the Christian People's Party broke out on the basis of its role as co-sponsor, and the proposal was rejected by the Christian People's Party together with the Workers' Party and the Socialist Left Party. Before Ansgar Gabrielsen and I signed the proposal again on behalf of the Right, we tried to get the same groupings as the previous one as the proposers, because the reason the Christian People's Party had given for its turnaround operation, was not sustainable, as we saw it. Since it was not possible to have the same broad alliance as the last time behind the proposal, we made the proposal on our own and based ourselves on the Committee's consideration. These relationships make it no less satisfying that we have reached a majority position, and I would like to pay tribute to the Christian People's Party for its new recognition. It's as though no shame to turn around. I would like to give the same tribute to the President-in-Office and to the Minister of Justice for a thorough treatment so far. I take it for granted that this clear majority formulation, ‘The majority of the Committee, all except for the members of the Workers’ Party, agrees with the intention behind the proposal’;» expresses real willingness to come back to Stortinget with an investigation and a proposal that meets this intention in a clear and unambiguous way. There is no reason to hide the apparent significant difference in the views of the ministry, as expressed in the Council of State letter of 2 December 1999 to the Justice Committee, and the view such as this. In its letter to the Judicial Committee on 28 November 1999, the Norwegian Law Association submits: The Norwegian Bar Association's Legal Security Committee describes, among other things: a ‘caotic legal situation’ in such cases, claiming that there is a ‘significant legal security problem’. I therefore assume that the legislative committee will have a composition that will ensure that the intention of the proposal is respected, so that we are cleared up in the chaotic state of law. Ownership rights have won a significant win in this setting. There are some hundred thousand Northmen who are happy and grateful for.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e124	It's going to be cards from my side. I just wanted to stress that the Labour Party has a minority position here that indicates that we don't want to draw any conclusion, just as the Council of State pointed out that he wouldn't do, until things get back to Stortinget. Otherwise we refer to our remarks in the Inner East. O. No 65 for 1996-97, and there's no doubt that in many ways we support the Council of State when it comes to the consequences that he drew up in his post, and what it can bring with it if we get the change that the majority here has made.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e131	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 263]]
ParlaMint-NO_2000-02-01-lower.ana.ud2432e145	At the request of the Judicial Committee, the President will propose that the debate be limited to 1 hour and 25 minutes and that speaking time be allocated to the groups as follows: Working Party 25 minutes, Progress Party 10 minutes, Christian People's Party 10 minutes, Right 15 minutes, Center Party 5 minutes, Socialist Left Party 5 minutes, Left 10 minutes and Representative Falch 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies after the speeches of the main speakers from each party group and after the contributions of members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e156	There is steady and persistent criticism of the police, and some of it is certainly justified. However, many problems result from a combination of heavy-weight organisation adapted to past times and population structures, together with inadequate appropriations in relation to increasing crime and more professional and violent criminal environments. Both parts have to be resolved in order to obtain the results we are asking for, at the latest in the legal position relating to the budget of the year. The Judicial Committee requested an average period of proceedings for criminal proceedings before the police down to 90 days. Today it's 200 days. Furthermore, we asked for an annual results measurement of both the length of proceedings and the percentage of information for different forms of crime in each district. This is necessary to expose bottlenecks, so that we can bring all the country's police districts to the best level. But as elected representatives, we must do our part of the job, facilitate time organization and provide sufficient funds. This law is a first step on the way. The legislative proposal distinguishes between the need for professional and effective police management and the need for good political and parliamentary governance. Both parts must be satisfied, but the roles must be clarified. Police organisations are clear in their desire to have professional central management, they want good reporting procedures, a police director with great influence, and it is stressed from all sides that the very person for this position is as important as the choice of the organisational model. Furthermore, organisations clearly state that the Police Directorate must become a new and modern organisation and not copy traditional forms of work from the ministry. I agree with all of this. I am also pleased that Norway's Lensmann team, which has previously been somewhat skeptical about the creation of a directorate, is now clearly supporting it and saying that the need for democratic control is well cared for in the law. The Ministry of Justice is a large department, and Police Norway is diverse, complex and needs rapid clarifications in acute situations. All the police authorities that have expressed their views on this matter insist that there is an urgent need for a link between the police officers and the Minister of Justice. When a large number of police cases have to be dealt with within the department, the necessary dynamics in the police are prevented. Today, it is simply too difficult to be a police officer, because today's office management in the department is not effective. When too many decisions are pressed up, and the man at the top does not have time because he is the Council of State also for a number of things other than the police, then things stop. To quote an opinion from the consultation round: ‘Those who are to read the letters will never see them, only those who write them.’ Because with today's model, one has not managed to separate the police professional from the political, takes the answers for a long time, and the answers become, as another policeman said it: wretched and political. We can't have a cop in line in the department offices, instead of getting operational answers from a central police officer. This is possible to correct. The recognition of the problem is cross-political, and the signals from the last Labour Party Justice Councils are moving in the same direction, namely to support the establishment of a police directorate with a police director. Some have been afraid of losing political control through the creation of a directorate. I would like to remind you that it is not at all such that you have more control over the more detail that towers up on a council of states. Distorting political leadership in detail gives maximum illusory democratic control. Experience in the last decade suggests rather the opposite, that by drowning in detail, one easily loses a holistic perspective and fails to design key policy guidelines, and perhaps fails to promote important policy issues in order to achieve policy objectives. The Ministry of Justice does not have the power to act as the central leader of Police-Norway with today's model. This is due to structural problems, not to a lack of good will either at the Council of State or at the staff of the Department. Instead of active police management in front of the problems, we have seen unclear guidelines and fire extinguishment afterwards in the form of a kind of day-to-day management. With the Police Directorate, we can cultivate clean police management, and political leadership can cultivate policies, lawmaking and important secretarial functions for the Council of State. By doing more in advance and doing more planning, we can get better results. We can get responsibility placed more clearly, and instead of focusing on enough control of the police, we can focus on proper control of the police, that is. concentration on the major and important issues. It is gratifying that the National Advocate too supports the new organisation, despite the fact that a police director will to some extent take over part of the role of the public debate held by the Riksadvokat today. The Advocate General stresses that his support presupposes that the two-track system continues, i.e. with separate investigation and prosecution units. The view of the Parliamentary Advocate has broad political support, and the new police director therefore has no prosecution authority. On the other hand, the new Director will be responsible for following up, among other things. Lawyer's guidelines to the police. Such follow-up is very important, both in relation to the use of new police methods, the exploitation of increased demands for criminal prosecution and the steps taken by the courts, the implementation of measures against repeat crime and the fight against domestic crime and violence. I believe that with the organisation adopted today, we have two important players in the fight against crime, namely both the Riksadvokat and the police director. The courtroom of the attorney general does not get any less of the fact that we also get other and strong actors on the ground. A prerequisite for success with the Police Directorate is to recruit the 'best' people for the job. A transfer of people from the department to the directorate may not only be made. Personal characteristics associated with practical experience are most important and recruitment must be done on a free basis without losing Police Norway for positions or withdrawing wages and salaries currently used for operational police work. This means, in clear terms, that the creation of the Directorate will have a clear budgetary impact in terms of applications to the police in total. I started by saying that the police's ability to meet our performance expectations depends on the sum of practical organisation and adequate resources. Drawing an organisation chart doesn't cost much, jobs and resources do, and there's still a lot to do. Variable wage resources, those that can be used for additional police efforts at different policy frames, are under pressure; it has been publicly admitted by the Council of State itself. The right would therefore wish, and suggested that these appropriations were at least 150 million. kr higher for the current year. We know that the Staff Committee concluded that far more police people are needed, and that funds are needed to finance these. This is urgent, and I expect that we will have the opportunity to address the resource issue both in the notified police message and in connection with the next autumn state budget. An important next challenge – organisationally – will be to get the way around the structure of police Norway. Historical boundaries between police districts are no longer rational. It must not be the case that the district structure reflects the residence in Norway 50 years ago, but the structure must be adapted to the current and tomorrow's housing and work regions. Here, too, there is a major challenge for the Minister of Justice to take the necessary steps, so that we are in the forefront of development and not being dragged overtime. While both Kripos, Økokrim and the police districts are reporting to the directorate, the POT surveillance police are outside. POT shall continue to report directly to the Ministry of Justice, and the justification given for this is the need for a more political follow-up of the POT. The recent media event may testify to the need for it. Different questions related to POT will be reviewed widely in the current year, both in a forecasted forecast and in a separate legislative proposal. Therefore, POT is not specifically addressed in this setting. Because the Holme Committee, on the establishment of a central police unit against organized crime, called the ROK, gave its position before the Justice Committee's release of the police law, and because we have briefly affected this in the vote, I would say a little about this. The Committee has been informed that Norwegian police are cooperating too poorly, both across district borders and internationally. A better analysis of international intelligence and closer contact between intelligence and police response are desirable. Therefore, there is a need for a future organisation that is better than today. The attempt to get all units in contact with international and organised criminal environments to cooperate better is therefore important. Because only the opening and summary chapters of the Holme Committee are public, and because the matter is currently pending consultation in Police-Norway, the Committee awaits a matter to this effect as soon as possible after the hearing deadline of 1 March expires. The setting can be summarised briefly as follows: A directorate is set up with a director for more effective governance and better performance in Police-Norway. The Police District Committee and the Staff Committee, step 2 of the reorganisation of Police-Norway, will be presented in autumn 2000 in a separate communication. It is also explicitly stated in the setting: ‘It is important to ensure that competent people from different environments are recruited and that the new directorate does not simply pass on today’s police department under a new name.’ The five-territorial sub-system is closed in its current form and its tasks and resources are transferred to the Directorate. The structure of the Directorate will require resources, but the funds will not be taken from operational police work in the police districts. In order to improve coordination of international police work, one body shall coordinate cooperation with Europol, Interpol and Schengen, and the Police Directorate shall be given a central role by reporting there to both Kripos, Økokrim and Oslo police districts. The Committee further asks for a case on the ROC, the unit for combating organised crime, as soon as possible after the end of the consultation period of 1 March. POT, which shall continue to report directly to the Ministry of Justice, is subject to a broad review, including: as a result of the setting of the Danielsen Committee, in a forecasted forecast and legislative proposal for the autumn. Finally, the UP is divided into a central unit with 30 employees and 293 locally appointed police officers. The central unit is planned to co-locate with the directorate, but the premises are still kept separate from the other police work in the districts. This point conflicts with the position of the Police District Committee, which is currently supported only by the Right and the Advance Party. It is stated in the Law that its entry into force is from the time the King decides. The Justice Committee has worked on this matter quickly. Now it's up to the minister to get the launch in place as quickly. It is an important challenge, so that we can reap the results of the work already this year.
