Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-05-09-lower-2	ParlaMint-NO_2000-05-09-lower-2.ana.ud1758e45	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-09	2000-05-09	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-09	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2000-05-09-lower-2	ParlaMint-NO_2000-05-09-lower-2.ana.ud1758e54	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-09	2000-05-09	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-09	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-09-lower-2	ParlaMint-NO_2000-05-09-lower-2.ana.ud1758e57	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-09	2000-05-09	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TK	Knudsen, Terje	M	1942	
ParlaMint-NO-en_2000-05-09-lower-2	ParlaMint-NO_2000-05-09-lower-2.ana.ud1758e62	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-09	2000-05-09	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-09	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-09-lower-2	ParlaMint-NO_2000-05-09-lower-2.ana.ud1758e78	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-09	2000-05-09	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-09	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.KAO	Økland, Kari	F	1955	
ParlaMint-NO-en_2000-05-09-lower-2	ParlaMint-NO_2000-05-09-lower-2.ana.ud1758e89	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-09	2000-05-09	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2000-05-09-lower-2	ParlaMint-NO_2000-05-09-lower-2.ana.ud1758e98	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-09	2000-05-09	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-09	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-09-lower-2	ParlaMint-NO_2000-05-09-lower-2.ana.ud1758e106	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-09	2000-05-09	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-09	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-09-lower-2	ParlaMint-NO_2000-05-09-lower-2.ana.ud1758e112	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-09	2000-05-09	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-09	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-09-lower-2	ParlaMint-NO_2000-05-09-lower-2.ana.ud1758e328	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-09	2000-05-09	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-09	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-09-lower-2	ParlaMint-NO_2000-05-09-lower-2.ana.ud1758e337	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-09	2000-05-09	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-09	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
