Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e28	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INS	Stolt-Nielsen, Inger	F	1943	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e66	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	-	Centre-left	person.GK	Knudsen, Grete	F	1940	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e89	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INS	Stolt-Nielsen, Inger	F	1943	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e96	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	-	Centre-left	person.GK	Knudsen, Grete	F	1940	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e105	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RTV	Tveiten, Rita	F	1954	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e126	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OHE	Hedstrøm, Øystein	M	1946	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e139	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.EIS	Steensnæs, Einar	M	1942	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e152	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e163	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ML	Lund, Morten	M	1945	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e178	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OKD	Djupedal, Øystein	M	1960	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e190	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.LEK	Kongshaug, Leif Helge	M	1949	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e203	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	notMinister	TF	Tverrpolitisk Folkevalgte (Kystpartiet)	-	Centre-right	person.SEBA	Bastesen, Steinar	M	1945	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e216	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e219	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.IVK	Kristiansen, Ivar	M	1956	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e232	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INS	Stolt-Nielsen, Inger	F	1943	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e245	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	-	Centre-left	person.GK	Knudsen, Grete	F	1940	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e260	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e266	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2000-05-02-2	ParlaMint-NO_2000-05-02-2.ana.ud1593e282	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-02	2000-05-02	Unicameralism	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-02	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
