ParlaMint-NO_2000-10-02.ana.ud787e29	If no one has any objections to the proposal, I will comply with the request.
ParlaMint-NO_2000-10-02.ana.ud787e41	The President-in-Office will ask the Secretary of the last Storting, Signe Eye, to act temporarily as a secretary. A roll call was then made. The following representatives were absent: Anne Enger Lahnstein, Erik Dalheim, Grethe G. Fossum, Lodve Solholm, Harald T. Nesvik, Kristin Krohn Devold, Inge Wohnning, Annelise Höegh, Ingvald Godal, Tor Nymo, Jon Olav Alstad, Arne Lyngstad, Per Ove Wideth and Ole Johs. Brunese. The following representatives had notified the case: Harald T. Nesvik, Kristin Krohn Devold, Annelise Höegh, Jon Olav Alstad and Per Ove Width. From eight of the other representatives present the application for a permit [[see below]]
ParlaMint-NO_2000-10-02.ana.ud787e55	The President-in-Office shall propose that the Rules of Procedure of the last Member State used be put into effect until further notice. – It shall be deemed to have been adopted. A number of permit applications are available: by the Group of the Right on sickness leave for the representative of Ole Johs. Brunæs from 2 October onwards and until further notice from representatives Erik Dalheim, Grethe G. Fossum, Invald Godal, Arne Lyngstad, Tor Nymo and Lodve Solholm on leave from 2 October to 6 October – all to attend the 55th General Assembly of the United Nations in New York from the representative Bjørn Hernæs on leave during the 3rd and 4th October to attend a seminar in the direction of the OSCE Parliamentary Assembly in Cyprus from the representative Inge Wohnung on leave from 2 to 4 October in order to attend, after invitation, the Norwegian Maritime Mission/Norwegian Church in the foreign labour collection in Pennsylvania, USA These applications are proposed for immediate consideration and approval. – It shall be deemed to have been adopted. The first alternates for Hedmark County and Oslo, Nils Amund Røhne and Anders C. Sjaastad respectively are currently abroad and for that reason prevented from meeting in Stortinget under the representatives Grethe G. Fossum and Inge Wohnningspermies respectively. On a proposal from the President, it was decided unanimously: 1st@item: inlistbox The applications shall be examined immediately and granted.2. The following alternates are invited to meet during the leave period:For Buskerud County: Gerd JohnsenFor Hedmark County: Anne Christel Johnsgaard and Magnhild Byseth OlrudFor Møre and Romsdal County: Gerd FlatsetFor Oslo: Merete Agerbak-JensenFor Telemark County: Gunn Marit HelgesenFor Troms County: Rita H. RoaldsenFor Nord-Trondelag County: Astri WesselFor Vestfold County: Ellen Gjerpe Hansen.
ParlaMint-NO_2000-10-02.ana.ud787e163	Gerd Johnsen, Anne Christel Johnsgaard, Gerd Flatset, Merete Agerbak-Jensen, Gunn Marit Helgesen, Rita H. Roaldsen, Astri Wessel and Ellen Gjerpe Hansen are present and will take the seat.
ParlaMint-NO_2000-10-02.ana.ud787e168	The Presidents and Secretaries shall then be elected. The President-in-Office will refer to the last paragraph of Section 4 of the Rules of Procedure, which reads as follows: ‘The choice of presidents and secretaries requires a normal majority, i.e. more than half of the votes cast. If none of the candidates reaches such a majority in the first election or in the case of free re-election, the two candidates to whom the highest number of votes has been cast shall be re-elected. [[(cf. § 45 para. (b)]] According to standard practice, the President and Vice-President shall be elected by written voting. The President-in-Office of the Council is asking for proposals from the President of the Grand Duchy.
ParlaMint-NO_2000-10-02.ana.ud787e181	I suggest Kirsti Kolle Grondahl.
ParlaMint-NO_2000-10-02.ana.ud787e189	Kirsti Kolle Grondahl has been proposed to the President of Stortinget. Other proposals are not available. Written voting shall be carried out. The choice had the following result: The President was elected Kirsti Kolle Grondahl by 153 votes. 6 ballots were blank.
ParlaMint-NO_2000-10-02.ana.ud787e202	The Vice-President of Stortinget is now to be chosen. The President is asking for proposals.
ParlaMint-NO_2000-10-02.ana.ud787e208	I suggest Hans J. Røssorde.
ParlaMint-NO_2000-10-02.ana.ud787e215	Hans J. Røsjorde has been proposed to the Vice President of Storting. Other proposals are not available. Written voting shall be carried out. The choice had the following result: The Vice President was elected Hans J. Røsjorde by 147 votes. 12 ballots were blank.
ParlaMint-NO_2000-10-02.ana.ud787e228	The Secretary of State and the Secretary of State, the First and Second Vice-President and the Secretary of State of the Stortinget shall then be chosen. If only one proposal is made at each of these elections, the President will propose that the vote be taken normally. If, on the other hand, more proposals were put forward, we had to vote in writing. The President is asking for a proposal from the Secretary.
