ParlaMint-NO_2000-12-18.ana.ud1669e60	The representative Hans J. Røssorde, who has been licensed, has once again taken the seat.
ParlaMint-NO_2000-12-18.ana.ud1669e71	The representative, Karin Andersen, will make a private proposal.
ParlaMint-NO_2000-12-18.ana.ud1669e74	On behalf of Magnhild Meltveit Kleppa and myself, I would like to make proposals to clarify as soon as possible the long-term effects of the EFTA Court’s decision of 20 May 1999 on the differentiated employer’s fee and Norwegian district policy, and the preparation of the work on a notification to maintain geographical differentiation and support levels in the rural policy after 2003.
ParlaMint-NO_2000-12-18.ana.ud1669e79	The proposal will be dealt with in a regulatory manner. Before the cases are considered, the President will propose that this morning's meeting be interrupted for the Grand Council's Christmas meeting at 9 p.m. 13.45 and set again for the evening meeting at 2.30 p.m. 16:00. – No objections have been raised to the President’s proposal and it is deemed to have been adopted.
ParlaMint-NO_2000-12-18.ana.ud1669e95	Just a brief reason why this proposal comes up. During this harvesting session, half of the ordinary Question Time has been necessary for the President to use the Rules of Procedure access to limit follow-up questions to one in order for matters on the agenda to be closed during the scheduled time of the morning meeting. The Presidency finds this situation unsatisfactory and, after consulting the group leaders, is in favour of the following interim measures: 1st@item: inlistbox The Presidency proposes an amendment to the Rules of Procedure which would allow a representative to ask one question in the ordinary Questionnaire on the next two questions. We do not propose any changes to the rule that a representative can ask a total of two questions each week for written answers and in regular Question Time. 2nd@item: inlistbox The same speakers used during the oral Question Time will also be used during the ordinary Question Time. So you use the speaker chairs on the floor during the entire questioning session on Wednesday. So this pulpit that I'm now using will not be used in the ordinary questioning. These measures will be put into effect from the first New Year Questionnaire for a probationary period until Easter 2001. The system will then be evaluated in order, if necessary, to be incorporated into the Rules of Procedure as a matter of urgency. The Presidency requests the agreement of this arrangement.
ParlaMint-NO_2000-12-18.ana.ud1669e110	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 1485]]
ParlaMint-NO_2000-12-18.ana.ud1669e124	No one has asked for the floor. [[Fotation, see page 1485]]
ParlaMint-NO_2000-12-18.ana.ud1669e138	Inner. S. No 93 is an attitude of the Energy and Environment Committee on power exchange between Norway and Denmark. As is known, the Energy Act was adopted in the early 1990s and applied from 1992. It led, as you know, to the liberalisation of the electricity market also in the Nordic countries, and not just in Norway. What we can see today is that the decision taken in the Grand Duchy at the beginning of the 1990s on the electricity market has been very successful, and today it appears to be a model for the further deregulation we are now seeing in Europe. In this setting, one suggests that the power exchange between Norway and Denmark over the Skagerrak cable should be based on the same principles that currently apply to power exchanges between Norway, Sweden and Finland. It is essential for a functioning Nordic electricity market that transmission capacity between countries be made available to market participants on equal terms. What is now happening to the decision we are making today is the opening of the Skagerrak cable that gives third parties access. It will be an extension, and it will be a more efficient power market in the Nordic region. If this cable is not made available to the market now, it will be a step backwards in relation to the intentions of the Energy Act and the decisions taken at the beginning of the 1990s. The Committee has been involved in this cable and the distribution of costs here. But I would like to point out that the costs and losses of the cable systems will be covered by the central network system. One is concerned about how this increase will affect central network customers. One would point out that the conversion takes place at the same time as the changes in the distribution of the central network tariff where consumers are increased from 50 pst. to 60 pst. However, the Committee sees that consumers can benefit from the opening of the Skagerrak cable, mainly because the price buffer that currently limits the power exchange disappears. In this way, the power market will be more efficient and work better for all parties. All parties, except SV, agree to this setting, and this should then be on a solid political basis.
ParlaMint-NO_2000-12-18.ana.ud1669e155	On 9 March of this year, the central government went off on the gas-fired sac. In all its arguments, the current Prime Minister paid particular attention to the fact that Norwegian gas power plants would replace imports of highly impurising coal power – first Danish coal power plants were used in the argument, but to make it even worse, a Polish coal power plant also connected as a scare. The SV and the centre batch have subsequently tried to obtain evidence that increased emissions from gas power plants in Norway would, however, reduce total emissions in Europe. This documentation seems to be waiting. To avoid the opposite documentation, SFT has been pushed by the Government. Following budgetary decisions, a possibility now exists to impose a certain amount of power on deliveries from new renewable energy sources. This will stimulate the development of alternative energy sources in Norway. This is a proposal that SV has also joined. Why can't one do the same when it comes to importing and purchasing power? We are all aware that production from such sources represents a monthly amount of electricity production, among other things. magazines in Denmark. Now there's a long way from being a power deficit in Norway. But if that situation were ever to arise with gravity, it would be unfortunate if Norway were involved in setting up highly impurising coal-fired power plants in Denmark. Nor does Norway have to contribute to the improvement of growth conditions for alternative renewable energy in other countries through the legislation. It is therefore strange that no party supports SV's proposal to sort this out. I'll deal with the proposal.
ParlaMint-NO_2000-12-18.ana.ud1669e164	Hallgeir H. Langeland has taken up the suggestion he referred to. Several have not asked for the floor on case No. 3rd@item: inlistbox [[Fotation, see page 1485]]
ParlaMint-NO_2000-12-18.ana.ud1669e180	This setting addresses the reduction of acidification, eutrophication and ground-level ozone. The Gothenburg Protocol, signed by 31 countries, including Norway, shall regulate national emissions of sulphur dioxide, nitrogen oxide, ammonia and volatile organic compounds with the exception of methane. It is a continuation and improvement of previous agreements. For Norway, this agreement is important, since more than 90 pst. of acid rain on Norway comes from emissions from other countries. The Gothenburg Protocol is likely to result in Norwegian watercourses becoming less acidic and the need for watercourse liming can be reduced in the long term. The Committee is aware that from the 1980s until now, areas with acidification damage to countries have been reduced as a result of emission reductions in Europe. The new Protocol shall provide for the continuation of the results achieved. The Committee has reason to believe that the outcome of the new protocol will be that areas currently exceeded by tolerance limits for acidification will be reduced by about 70 pst. relative to 1990 levels. The Committee is aware that the follow-up to the Protocol could lead to an increase in the cost of shipping if decisions were taken to implement measures for this sector. The Committee is aware that the economic impact of possible measures on shipping has not been clarified, as the Government has indicated that it will return before any decisions are taken. The Committee has been concerned about the emphasis being placed on implementing measures and instruments to ensure that commitments can be met at the lowest possible cost. The Committee is aware that the Government will come back with an assessment of instruments and concrete proposals to fulfil our obligations under the Protocol in the most cost-effective way possible. An overall committee is therefore concerned that the instruments and measures taken do not distort competition for Norwegian industry and business. A majority of the Committee, consisting of the Workers' Party, the Christian People's Party, the Centre Party, the Socialist Left Party and the Left, believes that there are grounds for establishing a fund based on the sulphur tax. The Fund shall be used for environmental measures in the process industry and make the sulphur levy more targeted. This majority therefore asks the Government to assess the environmental benefits of setting up a fund in relation to the current scheme. According to the Progress Party, today's SO2 tax is purely fiscal, which has no environmental impact whatsoever. We are also aware that none of the countries with which the process industry in Norway competes have imposed a similar charge. The Progress Party considers that a positive initiative has been taken by the process industry to ensure that the current fee is liquidated and replaced by an obligatory agreement with the authorities, so that the industry pays what is the current SO2 tax rate into a fund to finance clean-up measures. We therefore take a positive view of a recording in which today's fiscal charge is converted into a purely environmental charge. In our view, it is a sensible way to finance clean-up measures that help to resolve the national commitment contained in the Gothenburg Protocol. Finally, I would like to include in the vote the proposal of the Advance Party.
