ParlaMint-NO_2000-12-18-upper.ana.ud2034e125	This case is deleted.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e137	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e151	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e165	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e179	With reference to the debate in Odelstinget, on behalf of the Labour Party and the Socialist Left, I would like to make the following proposal: The fourth sentence of the third paragraph of Section 2-1 is assumed to be deleted. § 2-7, first paragraph, is assumed to be replaced by the following:’4. the second sentence of the second subparagraph of Section 9-1 shall be presumed to be replaced by the following:‘The Ministry may, by regulation, derogate from the rules of the first subparagraph of Section 2-1, first sentence of the fourth paragraph of Section 2-3, first sentence of Section 2-6 and the first and third sentence of the second subparagraph of Section 2-7.’, the second sentence of the first subparagraph of Section 9-2 shall be deemed to be replaced by the following: ‘From 1 January 2002, the accounting officer may choose to use the rules on the recording and documentation of accounting information of Law 13 May 1997 No. 35 with regulations instead of those laid down in Chapter 2 of the Act.’» [[bookkeeping]]
ParlaMint-NO_2000-12-18-upper.ana.ud2034e203	The representative, Erik Dalheim, on behalf of the Labour Party and the Socialist Left, put forward the proposal he himself has referred to. Several have not asked for the word.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e213	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e225	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e239	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e253	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e267	I refer you to the debate in Odelstingen on this important matter. In this context, the Progress Party had some proposals for changes in the Law on People's Rights, and I'm going to be very careful to make two proposals here in the Law today. One is on behalf of the Progress Party, and the other is on behalf of the Progress Party and the Right. The first proposal, on behalf of the Progress Party, concerns an important principle for us, namely that we see it as absolutely necessary to legislate vested rights in popular security, so that the given conditions do not change after the benefits of popular security have taken place. Therefore, on behalf of the Progress Party, I allow myself to present the following proposals: ‘The decision of the nodule is not accepted.Note:§ 25-14 is assumed to be replaced by the following:‘Rights under this law may be amended or repealed by subsequent law. The rights vested may not be restricted or revoked. ‘’» Furthermore, I would like to make a proposal on behalf of the Progress Party and the Right. The proposal reads as follows: ‘The decision of the Board of Directors is not accepted. Note that the third paragraph of Section 19-6 is assumed to be replaced by the following:‘The retirement pension shall not be reduced if the pensioner’s annual income is less than twice the basic amount. The pension without spouse allowance and child allowance is reduced by 40 per cent of income over twice the basic amount. ‘The first sentence of the first paragraph of Section 19-6 shall be assumed to be replaced by the following: ‘In the case of a pensioner who until the age of 67 had contracted a state supplement pension, the pension without spouse allowance and child allowance shall be reduced by 50 per cent of income over twice the basic amount. ‘’»
ParlaMint-NO_2000-12-18-upper.ana.ud2034e296	The representative, Mr Kleppe, on behalf of the Party for Progress and on behalf of the Party for Progress and the Right, made the proposals which he referred to. Several have not asked for the word. The President will first vote on the proposal from the Progress Party and then on the proposal from the Progress Party and the Right.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e313	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e325	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e340	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e354	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e368	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e382	I refer to the debate in Odelstingen on this matter, where the Christian People's Party, the Central Party and the Left voted against II. I propose, on behalf of these parties: ‘The decision of the nodule is not accepted. Note of the layer:Romantal II should be assumed to be deleted.’
ParlaMint-NO_2000-12-18-upper.ana.ud2034e394	On behalf of the Christian People's Party, the Central Party and the Left, Elsa Scarbøvik has put forward the proposal she has now referred to. Several have not asked for the word.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e404	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e416	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e430	I refer to the debate in Odelstingen on this matter, the tax on wealth and income, what we call the tax law. In this context, the Progress Party and the Right had some dissenting proposals, which I see I have to take up again here in the Creation. I therefore propose the following proposals: ‘The decision of the nodule is not accepted. Note:§8-12 is expected to be deleted. The current sections 8-13 to 8-20 are expected to become sections 8-12 and 8-19.Romertal IV is expected to be replaced by the following:‘The changes under I will enter into force immediately with effect from the 2000 income year. The amendments under II and III shall enter into force with effect from the 2001 year of income. ‘’»
ParlaMint-NO_2000-12-18-upper.ana.ud2034e450	Vidar Kleppe, on behalf of the Progress Party, has put forward the proposal he has now referred to. Several have not asked for the word.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e460	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-12-18-upper.ana.ud2034e472	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
