ParlaMint-NO_2000-05-30.ana.ud944e69	The representative of Ingvald Godal, who has been licensed, has again taken the seat.
ParlaMint-NO_2000-05-30.ana.ud944e89	At the request of the Committee on Family, Cultural and Administrative Affairs, the President will propose that the debate be limited to 1 hour and 15 minutes and that speaking time be allocated to the groups as follows: Working Party 25 minutes, Progress Party 10 minutes, Christian People's Party 10 minutes, Right 10 minutes, Center Party 5 minutes, Socialist Left Party 5 minutes, Left 5 minutes and Representative Steinar Bastisen 5 minutes. In addition, the President will propose that there be a possibility of a replacement of up to 3 lines with replies from members of the Government. In addition, it is proposed that those on the list of speakers, in addition to the time allocated, should have a speaking time of up to 3 minutes. – It is seen as a confirmation.
ParlaMint-NO_2000-05-30.ana.ud944e98	The representatives of Storting Marit Nybakk, Ane Sofie Tömrås, Astrid Marie Nistad and the current representative of Storing Karita Bekkemelm Orheim present a Document No.8 proposal to ask the Government to submit measures against coerciveness. In recent years, there has been more focus on forced marriage and arranged marriage in Norway. We have known that some young Norwegian women with a foreign family background live in fear of being forced by the family to marry. Some of these girls with a minority background get married by coercion with men from their parents' original homeland. How many of these things apply, we don't know, but several things indicate that this problem is greater than what we've been aware of. In order to avoid a debate on inequality between marriages and arranged marriages, the Committee has defined forced marriages in the setting as follows: «By coercion, when an individual is married away against his will or with undue pressure, physical, mental or cultural." In some cases it may be difficult to distinguish between arranged marriage and coercion, but it is important to stress that all forms of pressure are unacceptable, a marriage must be voluntary from both parties. Document No The 8th proposal refers to the Action Plan against Forced Marriage, presented by the Centre Government in December 1998, which had two main objectives: to prevent young people from being subjected to forced marriages to provide help and support to those young people who are or have been subjected to forced marriage; Proposals seek a stronger concrete approach to action. They think that the Storting should deal with questions about coercion, and suggest a number of measures that you should pay attention to. The Committee points out that several of these measures are already included in the Action Plan against Forced Marriage. The Ministry of Education and the Family prepared the action plan in cooperation with the Ministry of Justice, the Ministry of Education, Education and Research, the Ministry of Local and Regional Affairs, the Ministry of Social Affairs and Health, the Ministry of Foreign Affairs and the Directorate of Foreign Affairs. The Committee has noted that the action plan is valid for three years in the future and covers almost 40 different actions carried out in several departments and that work on implementation started early in 1999. It is important that one in these cases has good cooperation across departments. A letter from the former Minister for Children and Family, attached to the setting, did some good for the work done to prevent forced marriage after the action plan was presented. In addition, because the problem of forced marriage had greater dimensions than one was aware of, a working group in the autumn of 1999 went through the actions of the Action Plan against Forced Marriage. This resulted in the document ‘Acts against Forced Marriage in Spring 2000’. This is also attached to the setting. Many measures have been taken and some are being developed. A contact telephone has been established for advice and guidance on forced marriage, with the aim of preventing abuse and preventing conflicts by disseminating knowledge about Norwegian legislation and women’s rights. It's created a Bucollective where immigrant women who break out of their marriages will get help. The Committee agrees that a person must be forced into the school agenda, both at the elementary level, at the level of the youth school and at the secondary level and in the course of the vaccination course. We are aware that some information material directed towards this is under work, and that something has already been used. The Committee has, in its configuration, underlined the value of cooperation with voluntary organisations which have wide scope for helping young people who are threatened or subjected to forced marriage. The human rights action plan also provides for measures against forced marriage, including: support for the launch of a contact and information centre in Pakistan for women associated with Norway. After the change of government, the Committee sent questions to the new Minister for Child and Family Affairs as to whether the Government had plans to implement measures against forced marriage other than those outlined in the Action Plan against Forced Marriage and in Action against Forced Marriage in spring 2000. In response to the Committee, the Minister for Children and Family Affairs replied that the Government was well in implementing the Action Plan against Forced Marriage and Action against Forced Marriage in the spring of 2000, and that an ongoing review of new measures would take place. But according to the government's response, the government had no plans for new measures now. The plurality of the Committee, all with the exception of the members of the Progress Party, suggests that the two documents referred to by the central government provide a good basis for the prevention of forced marriage, and that the Government must continue to assess the need for further action. The party of progress has some own comments and suggestions in the vote; otherwise, the Committee will be consulted in order to insert Document No. 8:12 to the Minutes. So some words on behalf of the Christian People's Party. Someone has tried to present what the Christian People's Party has no commitment to this matter – it's customs wig! The Christian People's Party has a strong commitment to the work against coercion. The work done in the two central government documents shows a systematic work by the centre party to get involved in measures to prevent forced marriage. No one in Norway defends coercion, but it does. No one should be forced to marry against their will. This is enshrined in Norwegian legislation and international conventions. Behaviour contrary to Norwegian laws cannot be accepted by showing respect for other cultures. It is important that we do not generalise the phenomenon of coercive marriage to all girls with minority backgrounds. Subject to marriage law, a person who is forced to marry may be invalidated in accordance with legal proceedings before the courts. In the event of annulment of a marriage, the basis for a renunciation on the basis of marriage falls simultaneously. The person who, after bringing an action, has been found guilty of marriage due to unlawful coercion at the time of conclusion will need to be able to stay in Norway as a starting point. The central government proposed new rules for further suspension in Norway in case of an action for annulment. Message about changes has been sent to the listener. The family reunification rules are given to ensure a family life based on free will. There is already a provision for some immigrants to participate in different introduction programs. This should be pursued further, and it is particularly important to provide information on the basic rights of individuals to live in Norwegian society. Immigrant organisations and others should be given the opportunity to participate in specific arrangements. The central government has been committed to making participation in such courses/programmes a condition for the renewal of residence permits based on marriage. This was also sent to the hearing. The previous government assessed changes in foreign law to fight against forced marriage. I am also open to that, and I argued that we would get a case back to Stortingen about this. We have noted positively the fact that the Labour Party is well-informed in implementing the measures against coerciveness that the central government has developed and presented in two documents, even though they strongly criticised the action plan when he arrived. This shows that the centre party has laid a good political foundation here as well. Finally, when it comes to the Progress Party's proposals in the setting, I would recommend that the Progress Party convert them to a forwarding proposal. Some of the proposals are already taken care of, some should be dealt with more, and some of them would be foolish to vote down. That is why I want to encourage the Progress Party's spokesperson to convert them into a transmission proposal.
ParlaMint-NO_2000-05-30.ana.ud944e150	At regular intervals in recent years, it has been demonstrated that Norwegian girls with a minority background have been and are still being married by coercion, often to men from their original country of origin. This form of marriage marriage has become known as coercion. In its observations, the Committee has defined forced marriage as follows: «By coercion, when an individual is married away against his will or with undue pressure, physical, mental or cultural." The right to choose their own spouse is enshrined in the UN Declaration of Human Rights, which is also incorporated into Norwegian legislation. It must be categorically stated that women are entitled to the same legal protection and the same rights as men. It is absolutely unacceptable that religion or culture should be used as a basis for the repression of women. If girls with a minority background were to be treated differently from girls with a Norwegian background, it would be discriminatory and therefore unacceptable. Statistics have been compiled by the Central Bureau showing alarming trends in marriage among Muslim girls from Pakistan, Morocco and Turkey. The number material shows, inter alia:\t\t You can change the settings of the Of girls born in Norway by Pakistani parents married 85 pst. of whom with men residing in Pakistan. No girls born in Norway by Pakistani, Moroccan or Turkish parents have married Norwegians in the last three years. This may indicate that detoxification may be related to immigration and that young girls are used to provide other stays in Norway. I emphasize that the numbers indicate that this may be the case, but if it is, it is of course very serious. The majority has had the question of coercive charges for treatment in the past. In the autumn of 1997, the Stortinget asked the Government to present an action plan against coerciveness. This action plan was presented in December 1998 and had two main objectives: to prevent young people from being subjected to forced marriage, and to provide better support and assistance to those who were under pressure in choosing their spouse. The action plan thus indicated that work had to be preventive. Some will probably claim that this is not good enough and will require legal changes, but Section 222 of the Penal Code states that forced marriage is illegal, and we have provisions in the Children's Act that state that children should have the opportunity to express themselves on personal matters from the age of 12. The law is in place, but we get reports that young girls are being married. I am convinced that the only dangerous way to achieve what we all want is to enter into a constructive dialogue with those groups where this has been identified as a problem. I also think it is appropriate to stress that there is no one, nor among the immigrant organisations, who goes out and defends forced marriage. All conditions should therefore be in place to put an end to these abuses against young women. I think it is appropriate to remember that only a generation ago it was not uncommon to ‘marry’ in Norway. The situation was that a young girl got pregnant, and society around, parents and friends, expected responsibility by getting married. So it's not more than 30 years since we had social structures in this country that put pressure on young people when it comes to choosing a spouse. Nor does it have much imagination to imagine that some people felt this social pressure as a form of coercion. I think it is right to keep this in mind when we are discussing today measures against coercion – not as a defense of what everyone is against, but as a reminder that even here in the country, we have had informal structures that many have experienced as difficult. I would like to point out that in my view, the main reason why young people today can choose is the fact that we have built a society with a safety net that means that you no longer have to ‘marry’. I want this society to be a part of our new countrymen too. We do not achieve that with new laws. What is needed are clear attitudes, attitudes that underline the individual’s right to choose the person you want to share life with.
ParlaMint-NO_2000-05-30.ana.ud944e186	The debate on coerciveness emerged seriously in the wake of the alarming ‘State of the Kingdom’ programme in TV2 last autumn. ‘Responsive’ was used by politicians from all the other parties. But for the Progress Party, this was neither new nor surprising. We have made proposals on this already on 12 June 1997, for those who have followed in the development of parts of the immigrant environment have seen it coming, and some have actually tried to warn against it in the past. Young women, or almost girls, born and raised in Norway in 16-, 17-, 18- and 19-year-olds who are Norwegian citizens, are compulsorily compulsorily married to fatteners or others from their home country who are family-determined. In particular, it has been documented from Pakistan, from a place called Little Norway, because the population has moved to Norway. This has produced strong reactions. But so far it seems that only the Progress Party has wanted to do something about this and has made proposals to counteract and prevent this obscenity. It also applies to young men who, from a very early age, are clearly told that they are going to marry the one their parents decide. This is an unculture, or a culture that we in Norway must take a great distance from, and that the Progress Party has warned against for many years. This is part of the so-called colorful community all on the left-hand side of Norwegian politics is so proud of and has clarified the importance of. The Progress Party has made the following proposals: ‘The budget asks the Government to work actively to counter forcible marriages, inter alia, by introducing requirements on dependability and sound housing as conditions for granting residence permits and residence permits in Norway for foreign spouses.’ This means that in the case of a young girl in Norway, she must be able to dispose of her own home adequately for a married couple, and she must have work income to support her spouse. In the vast majority of cases, these young women or girls do not have the opportunity to do so, as they still live at home with their parents. So they live at home with their parents, and it's before they get into an income situation that the forced marriage is carried out. We know – at least we can be relatively sure – that the main purpose is to really help a male person to obtain a residence, residence and work permit in Norway. Where marriage cannot be carried out before the woman disposes of the owner-occupancy and has labour income, the whole main reason for the forced marriage is gone. Then the foreign spouse will not be granted residence and residence permits in Norway, and it is no longer the entrance ticket to bypass the stoppage of immigration for healthy, working people, among others. ‘Little Norway’. It actually puts an end to the possibility that, in particular, fathers can sell their daughter in a way so that another person is allowed to enter Norway and thus have the opportunity to live and work in order to return money to his home country. This was a very well-worked proposal, which was against the votes of the Progress Party and some votes from the Right. We also made the following proposals: ‘The decision asks the Government to put in place a control system in order to clarify that it is not an illegal periodicity when applying for a residence permit and visa for a foreign spouse and, if necessary, to provide a good legal basis for refusing visas and residence permits for foreign spouses in the event of forced marriage.’ This is mainly a scheme that has been practised in Denmark for almost two years with relatively good results. Where a foreigner is applying for a residence, residence and visa because he has married a Danish citizen — in our case a Norwegian citizenship — a good deal of questions are asked, where, of course, it is revealed that those people who have married have not known each other for a long time. By going into exactly this, it can be found that they may not have met before they entered the marriage. This is done in Denmark. In the case of coercion, these have fallen radically in Denmark since the introduction of the control procedures. Forced marriage is illegal under Norwegian law, says everyone. Both of these proposals would have helped to reduce the possibility of this abuse, but no one would support them. All I have said now has been said earlier from this pulpit, namely in the debate on the throne in 1999 by the representative of Carl I. Hagen. One week after the post was held in this room, the Workers' Party promoted a Document No. Eight proposals, because they were really going to deal with the issue of coercion. We see the result today: the Labour Party does not promote a single proposal, not a single measure to combat forced marriage. But the debate on coercion continues. I agree that it is not easy to find measures that work, because the few cases come to the knowledge of the authorities. In this respect, it might have been difficult to impose penalties on infringements as well. I realize that. However, this should not prevent a person from finding possible legislative changes or measures that state that he does not want this obscurity to get stuck or continue in Norway. If a person really means getting done something about this immaterial phenomenon, I think one has to look at coerciveness and arranged marriages together, simply because the limit is completely impossible to pull up. With regard to the Action Plan against Forced Marriage from the Bondevik Government and the Workers' Party's proposal, the Progress Party does not see the big difference in these, at least not today when we see that the Workers' Party has not promoted constructive action. Furthermore, I am not of the opinion that the proposed measures, either in the action plan or in what is contained in Document No. The 8 proposal is satisfactory in stopping the fundamental causes of forced marriage. These proposals are based primarily on information, which will not work against such a firm practice as this is in certain cultures. One also has to consider here that many of the parents of immigrant youth are illiterate, and these will probably rely more on what their own culture says than on Norwegian rules and habits. To reach by e.g. information brochures in such cases would have been very difficult. The Progress Party does not exclude the implementation of such preventive action, but asks whether the immigrant population really wants such guidance and information from the Nordics, who are far away from their own culture. What is accepted practice in the home country is likely to be crucial, because most immigrants maintain close contact with their home country. This is confirmed not least when we see prominent Pakistani men going out and claiming that Pakistani women have the freedom they want and that Pakistani women marry what they want. Either they deny the reality they live in, or they don't see the traumatic in it because of a incorporated cultural understanding that it should be. They simply refuse to change this unculture. I don't know any Pakistani or other minority figures who have publicly recognized these issues. If one does not at least strive to ensure that all in Norway share the same view of equality between people, it is not possible to expect a sheep to be integrated naturally. If one is to use information as an instrument, it must go directly to the emerging immigrant generation. Use of information and awareness in schools appears to be most effective. A difficult borderline is the border between arranged marriages and forced marriages. It's hard to do something with one without doing anything with the other. The question will then be whether we should have a statutory ban on arranged marriages. My claim is that it is the custom of arranged marriages that is the ‘source’ of coercion. If you want the problem to be put to life, you have to take it ‘at the source’. Increased focus on arranged marriages is therefore very important. The party to the progress has previously assessed whether or not to grant residence, family reunification, for spouses if the parties are cousins and cousins. It is fully lawful for Norwegian law to marry their cousin or cousin, but it is not common for Norwegians to do so. This is very common among many immigrant groups. Such a prohibition would, in my view, be one of the best instruments against forced marriage. – I quit calmly, because my time is running out. I'll be back in a three-minute post later. But I would like to promote the proposals in the vote. And then, finally, I would like to say to the representative, Molvær Grimstad, who wanted the Progress Party to consider submitting the proposals, that I think it was very interesting to hear the representative say that it would be foolish to vote down these proposals. So we maintain the proposals and want them dealt with in reality.
ParlaMint-NO_2000-05-30.ana.ud944e224	The representative Sandberg has drawn up the proposals he referred to.
ParlaMint-NO_2000-05-30.ana.ud944e227	Forced marriage is unacceptable. There's no disagreement about that. Arranged marriages, on the other hand, are common in a lot of cultures. But where does the boundary between coercion and arranged marriage go? For young people who grow up in Norway, with a foot in Norwegian culture and a foot in the culture of their parents’ home country, this question can be insurmountably difficult. There is no doubt that in too many cases there are strong elements of coercion behind the so-called arranged marriage. Norway has become a multicultural society, but that does not mean that we can tacitly accept cultural traditions that violate the individual rights enshrined in different parts of our law. The law will give all citizens of our country the same legal protection, even if it means that parents have to renounce parts of what they consider to be their parents' rights and obligations to their own children, based on their native culture. Beyond the Western cultural circle, it is not uncommon that the honor of the family is linked to the education, obedience and morals of young pickers. It tends to lead parents from these cultural areas to see it as their natural right, and duty, to restrict the freedom of choice of young pickers in a way that prevents them from meeting even young boys, thereby getting a contact area that allows them to choose their own future spouse. The assignment, control of young picks and the requirements for obedience and limitation of choice are often much more stringent than the corresponding requirements for their brothers. It is in itself contrary to Norwegian law, which gives gender-neutral individual freedom. In some settings, women have reduced freedom of movement. It was quite clearly expressed in connection with the launch of the Norwegian film on forced marriage. There we heard many remarkable excuses for why Muslim women could not go to the movies in the evening. If young women are not given the opportunity to go out and meet people other than those the parents approve, their ability to move freely among the young of both sexes is reduced, and they are deprived of the social arenas where young people meet and fall in love and decide to get married. These are educational and cultural mechanisms that need to be taken into account when assessing what is coerciveness and what is the basis for asking for the dissolution of marriage. It is important that people from non-Western cultures who choose to live in Norway are adequately informed that in Norway we have a law that limits parental choice on the part of children and that this law applies to them, of course. Young people don't just have the right to be heard, they should have a natural right to respect their opinions, even if they don't agree with their parents. The legal provisions give young people from 15 years of age the right to choose an organisational relationship and from 12 years of age the right to make independent choices in personal circumstances is constantly extended. These are individual rights that parents do not have the power to deprive their children. Similarly, of course, a husband does not have the right to determine his/her spouse. This is essential information on Norwegian legislation that needs to be taken into account in the guidance material sent to schools and that should be presented in parallel to parents in an appropriate manner. On the right, support the actions described by the action plan and the related document. The issue of coercion is not of a new date. The right has raised the issue in Stortinget in the past, and we are pleased that former government councillor Svarstad Haugland took up the challenges and started working on these issues in the ministry. It does not surprise us that the scale of the problem turns out to be greater than previously assumed. We are pleased that today’s family - state council obviously takes the problems far more seriously than previous government councils from the Labour Party have done. Finally, I have some comments on the proposals of the Progress Party. Opening doors need not be opened. A great deal of what is proposed by the Progress Party is things that are under preparation and things that have already been partially implemented – measures that need to be assessed and developed in the light of the experience gained with the actions taken. In the case of housing and income issues to support the spouse for whom a claimant reunite, there was an overall Justiscomite who asked for this to be assessed. So things are here in preparation. The right does not see any need to support proposals for measures that have been partially implemented and actions that have been notified. However, we welcome the follow-up to the action plan and the evaluation of the measures.
ParlaMint-NO_2000-05-30.ana.ud944e246	I was just going to make some comments on this matter, because I perceive that this is a very broad political consensus on the content of the matter. In this connection, I refer you to Mr Grimstad's posts. In recent years, there has been increased attention to this with coercion and arranged marriages, and there have been revealed tragedies that we may not have given enough attention to so far, and an unacceptable practice, where we see that what we perceive as self-evident rights for Norwegian women and men, but here especially women, does not seem to apply to Norwegian girls with minority backgrounds. That, of course, is totally unacceptable. In recent years, we have had a political focus on this, and it has provided the basis for the previous government to produce a three-year plan of action against forced marriage that is reflected in the vote. In addition, after seeing the need to address these issues further, a working group was set up in the autumn of 1999 which also drew up an action plan entitled ‘Action against Forced Marriage in Spring 2000’. There is also a reference to a number of Norwegian laws that will of course apply in this area as well, and I would also like to refer to what the rapporteur also did, namely that it has defined what is meant by forcible marriage in order to intercept a misunderstanding or that we go into this with voluntary arranged marriage. On page 3 of the setting there is a note where everyone is with except the Advance Party, and I will draw attention to it. I don't think this is a matter where we're going to make political coins on tragedies in the wake of cultural conflicts that we see here. Here we have a broad agreement to move forward with measures. In addition, reference is made to the Human Rights Action Plan, and it is also pointed out that what is in the Action Plan against Forced Marriage and Action against Forced Marriage in spring 2000 provides a good basis for the prevention of forced marriage, and that the Government needs to assess on an ongoing basis the need for further action. This is all about, and I would therefore like to warn you that you are going into a situation where someone is trying to hit political coins in such a sensitive and demanding area as this is. And then, of course, I am aware that the Progress Party has a special attitude here, which was also expressed in the post that was held by the Advance Party earlier.
ParlaMint-NO_2000-05-30.ana.ud944e257	At the women's conference in Turku a few years ago, I met an Iranian women's group who made a very strong impression on me with their strong resistance to violence and assault on women. And they were clear in their message: Violence against women can never be excused by culture. At a women's conference in Tromsø last year, I met women from India, China and Africa with the same message: Violence against women is a strategy to keep women in place. Violence has different expressions, ranging from atrocities, sexualized violence, physical and mental violence, trafficking in women and coercion and threats to get girls to marry against their will. Forced marriage is a serious problem, but it is also a complex and difficult problem. And there's one thing we should remember: it's a problem for women in the immigrant environments sea, for example at the MiRA centre, have put on the agenda and have been working on it quietly before the issue reached the newspaper headlines and the TV route. But it is such a big problem that the big community has to take its responsibilities by introducing measures and the necessary legislation to prevent rape and that kind of violence against women. It has to impress us, and it does, when young women in our society live in a strong conflict and fear of coercion that goes beyond well-being and living space in everyday life. There are girls – and boys – who get ruined every day by a constant conflict with parents, and there are girls who are afraid to travel and visit relatives in the country from which the parents came, for fear that they won't come back, or that if they come back, they will come with a husband they haven't wanted at all. Work on forced marriage is a long process that requires many measures. And that requires that we have a lot of thoughts in our head at the same time, and that we have the power to have it. It requires a nuanced debate, and it requires that we do not forget that there are grey zones. Anja Bredal, who has just produced a report on arranged marriages and forced marriages in the Nordic region, emphasises just this. Many of the young people she's come in contact with don't dream of a completely selfish marriage project. They want to involve the family in the choice of spouse, but at the same time have veto rights. She warns against the unsound debate, because many of the young people don't recognize it. With a more nuanced debate, she says, several will be able to feel themselves again and thus dry to talk about their own situation. And one of the recipes she gives is to create safe arenas for conversation early enough. She also says that youth must have a place to vent thoughts around arranged marriages and forced marriages without simultaneously pressing the alarm button. So then the question is which are the arenas this could be. First of all, this is about support for self-organisation and participation measures both among young people and among immigrant women – empowerment, for which we have no good Norwegian word. Keywords are education, the right to work, the right to a good enough Norwegian education, but also expectations that people who come here will learn Norwegian. Keywords are information on the rights and obligations of the Norwegian community. This must be done in networking groups, which have been set up, but it must also be done at school – yes, especially there. The teachers are for some of the immigrant girls the only adult contact they have next to their parents. Teachers must have the skills to see and understand the problems of forced marriage. But it's also about health centres, social services, child protection, that they get the skills they need to be involved in prevention and help. I have heard several stories about how the auxiliary equipment has not taken responsibility, have slipped away when the difficult issues have come up. Forced marriage is prohibited by Norwegian law, and if we really believe that it should be prohibited, this law must be enforced. This means that police resources must be prioritised in case of suspicion of coercion. SV perceives that the action plan that has started is about all this and more, and it is a good start. But we have to be impatient about putting it into life. It does so in the annual budgetary procedures, for example: SV will encourage the Government to do something about the Foreign Affairs Act, so that those who come here because of forced marriage will be allowed to stay if they break out of marriage or get it canceled, and have been advised to help them break out. But one thing we'll warn against, and that's using coercion as a backstop to intensify immigration policy, as I understand Denmark has done.
ParlaMint-NO_2000-05-30.ana.ud944e278	It has been said by several speakers and I agree with it: Forced marriage is violence against women. But I think we just have to admit, we who have been on the liberal side in the Norwegian immigration debate, that we, at least in my case, have been naïve in some contexts. Because I've been naive, I haven't seen people who have suffered, and I haven't seen the intricate, social patterns that have forced them into situations where there's almost no way out. Anyone who, in the ultimate sense, has the choice of breaking with his family and getting his civil rights often deviates from his civil rights. I have personally met people who have been in this situation, both those who did not choose to break out, and also those who have broken out. Unfortunately, it is in the nature of the matter that these meetings have been anonymous. I know through my reading in the area that if we go to the heartland of the United Kingdom, the Manchester area, in Bradford, we have forcible sex in the third and fourth generations. In Norway, we are currently dealing with the second generation, and therefore there is every reason to enter this field and clean it up. I have said in the past that this has no foundation in a reasonable understanding of Islam and how it is practised, but it has a deep anchor in the forms of family culture and family life, and I will dare to express myself just as strongly and honourablely and say it in the following way: whoever puts the relative in the view of forced marriage violates the liberal honour of the Norwegian legal society. I use the words very deliberately in making sure that people actually on these questions have the right to a real choice. I also choose these moral expressions consciously, because when someone uses morals and uses social pressure connected to an honor concept, the society that we all want to stand for must express us equally ideologically strongly and set the limit. I know it's not enough, but I know it's necessary to do it. I have said this before, and I am now repeating it from the Parliamentary Chair. As far as the measures are concerned, I believe that the major challenge, when one has gradually gained insight into this area, is to take the right – take the right – and not take the business out of business. Me and my party Left do not want to hit in general with a tightening of immigration policy, but we want to hit in such a way with the means that we help these women. At that point, I reserve the right to consider different measures with an open mind, because it is really unacceptable if something that we see should just go on. That is why I agree with the position expressed by several speakers, and I know that the case-rapporteur also has – she stated in her speech that the previous government was working on possible changes to the Foreign Affairs Act, and that it is open to doing so. I don't think you're going to get away from it if you're going to fight this problem, but the art is to come up with the measures that are taken in such a way that it helps the women involved, that it actually facilitates their situation. Some of this issue also bothers me in the meeting with people working in Oslo School, and I feel like I'm going to say it openly from the Stockholm pulpit. These people say right away that until four to five years ago, women, regardless of their generation, came systematically, voluntarily to their training activities and stayed there. There was no exception to that. Over the past four and five years, there has been a growing trend towards women, both the elderly and the younger generation, withdrawing from these measures. If this is an expression of something, and I think it actually is, and I'm building on the first-hand information I've had by meeting people who have been exposed to it, it's very serious. It is so serious that it should break traditional debate boundaries on this in Norway. One should be willing to go into it from any point of view of the legal values we have. I feel that is what the Committee is doing, and I also feel that it is right, as it has been called for, that the proposals of the Progress Party be submitted. It's part of what I deeply disagree with, but some of them have elements in them that I for my part will not reject. But I want to be absolutely sure when I go into them, that they hit right, and that they don't hit anything quite different than what is intended. That's what's the challenge, finding the tools that are going on to combat the coercive regimes. At least one instrument is absolutely necessary, and it is that we have to create an atmosphere where people can stand up. I am absolutely convinced that what has now been promoted by the Ministry of Justice of the Minister of Justice is that we are witnessing an extended protection, because some of the people we are talking about here are afraid to say so. They actually dare not say from fear of their mere life. This is a very serious situation, and I personally believe that you should challenge the religious communities, and I do it from this pulpit. I assume that Norwegian imams and their community councils will completely end up fighting this fight against coercion. It is an evil that must be driven away.
ParlaMint-NO_2000-05-30.ana.ud944e291	I'm going to do something as unusual as thanking Co-Representative Dørum for a very thought-provoking and real post. I have deep respect for the knowledge he has, and what he has done in this area. For almost a hundred years, women have been working for equality and liberation in Norway. Some of the values we appreciate most in Norway are freedom, equality and solidarity. And by freedom we mean that any kind of coercion should be gone. These values can't in some way be negotiated, and neither tradition nor culture must shift by these values. We have come a long way in Norway by allowing 18-year-olds to determine their own future, and indeed their future, because they have the right to vote. Being authoritative as an 18-year-old means owning yourself, and having the ability to determine your own future. The right to choose a spouse belongs to the field of universal human rights in the world of international conventions. It was legally guaranteed in Norway almost 100 years ago by both criminal and marriage laws. I am therefore pleased today that the Stortinget takes a great deal of distance from marriage, where one party is forced. Physical coercion is easy to reveal, but mental coercion is not always easy to see. The arranged marriage is good, says Athar Ali in an interview on Sunday 17 October 1999. He claims there are several degrees of arranged marriage. However, studies show that in the Pakistani, Muslim and Turkish environment in Norway, there has been no marriage between girls with minority backgrounds living in this country and Norwegian boys. Let's see in your eyes: it can't be anything but an arrangement and coercion. I am of the opinion that politicians cannot make laws that prohibit everything, but we can show attitudes. My position is that arranged marriages are not part of the traditions that should be encouraged in Norway. Those who choose to live in Norway should also follow the good traditions we have here. That is why I must say that action plans against forced marriage are good. It is nice to help and support those young people who are subjected to forced marriage, and it is also important that parents get knowledge of the attitudes of the Norwegian society towards just arranged marriage and forced marriage. But the most important thing is that young people on a free basis are encouraged to choose for themselves, and that we politicians support this. The boundary between arranged marriages and coercion is hair fine. One experiences, for example: In recreational clubs and schools in Norway, girls with a minority background are allowed to participate actively until they are 12 years old. But then there's a change. Then the girls will be gone. They are drawn to the home, and thus they are not given the opportunity to become acquainted with Norwegian youth. The boys and girls who rebel against the system have difficulties. I think that as politicians we can help them by saying that the tradition of arranged marriages is not good for the society we want in Norway. Taking up critical aspects of the cultures and traditions of other countries may seem inappropriate, especially when one is a representative of a Western culture and sees that traditions are related to family, etc. But that is something we must stand up for in Norway, and the traditions that I hold very strong are freedom, equality and solidarity for men and for women. I've been fighting for that all my life. These values cannot be negotiated away. We must also be willing to fight for the Norwegian Muslims to have this right. We've been trying dialogue for 30 years. But it doesn't have any use, according to the statistics we see. Therefore, we should not be afraid to stand upright and say that arranged marriages are not a tradition that we should maintain in Norway. We must fight for young Muslims – over 18 years old – to be free to choose a partner of love and not be required by the family to do so in any other way.
