ParlaMint-NO_2000-05-03.ana.ud1122e27	The former alternate of the Rogaland County, Bent Höie, has a teke seat as a representative.
ParlaMint-NO_2000-05-03.ana.ud1122e51	On Friday, the Storting received a message from the Prime Minister's office that the following members of the Government will meet for oral Question Time: Minister for Foreign Affairs Thorbjørn Igland State Council Ellen Horn State Council Hanne Harlem These government members are there, and we're ready to start the oral Question Time. Representatives who, in addition to the pre-announcers, would like to ask their main questions will be asked to stand up. – Then we start with the first main questions, from the representative Tor Nymo.
ParlaMint-NO_2000-05-03.ana.ud1122e70	I allow myself to ask a question to the Minister of Justice. Yesterday the Judicial Committee was in Eastfold and visited, among others. The chief of police in Halden and his staff. We got a thorough introduction to police district operations, with special emphasis on border control and crime related to it. The Judicial Committee gave a solid impression that, in close cooperation with the customs office, the police carried out border controls in a very satisfactory manner. It was also documented by surveys of drug and alcohol seizures, trafficking in human beings, etc. However, our surprise was great when the responsible police officer stated that it was not known what would happen instead of the border control that is in place today when the Schengen Agreement enters into force for the autumn. [[The President clubs.]] My question is: What are control measures to be taken by the Minister of Justice/Ministry? And when will the police officers in Halden and elsewhere hear what these control measures are all about?
ParlaMint-NO_2000-05-03.ana.ud1122e79	The President would like to remind you that a question should be within the set speaking time.
ParlaMint-NO_2000-05-03.ana.ud1122e82	All Schengen cooperation is based on external border control and the removal of internal border control. When it comes to the exact relationship with Sweden, the change in the removal of internal border controls is not, in particular, different from the cooperation that has been in force between Norway and Sweden since the 1950s. A working group has been set up to assess exactly how to organise internal border controls both in relation to Sweden and in relation to Finland. And it is currently working on making very concrete cooperation agreements between Norway and Sweden and between Norway and Finland. It is an exception in the Schengen Agreement, namely that there is scope for internal border control, for example. in the case of serious crime, and several of the European countries carry out border controls, for example: in the case of human smuggling, and also in the case of some other conditions. So there's nothing wrong with us continuing with border control related to, for example. the fight against trafficking in human beings. Of course, we will complete the work being done, and give Halden police districts, but also all the other border police districts, as quickly as possible and in time for the new regime to be implemented, sufficient information on how this will be done in the future.
ParlaMint-NO_2000-05-03.ana.ud1122e91	I thank you for your answer. But I'm actually a little surprised by the Minister of Justice's answer, because when the Justice Committee was clearly expressed to the police's concern about what is to replace the border control, which is actually to be abolished, it's a signal we're taking seriously. And we're very concerned about what kind of signals go out to, among other things. criminal environments, which see this change of control, with perhaps not as good control, as a great opportunity to smuggle in drugs, people, etc. That's the concern I'm expressing. I also believe that the Norwegian people are very interested as soon as possible in understanding what kind of control they want to establish as a substitute for the border control that the Justice Committee was given a clear impression of has worked well.
ParlaMint-NO_2000-05-03.ana.ud1122e100	My answer was that I believe we have sufficient basis to maintain the control we want against serious crime, and that the situation with Sweden is not very different now than it has been. But what the representative Nymo is now communicating about the attitude and knowledge of Halden Police Districts about this, I naturally take with me to follow up that there is, in fact, also knowledge in the police districts about what we collectively believe must be the right way to deal with ourselves in the future.
ParlaMint-NO_2000-05-03.ana.ud1122e105	There will be follow-up questions – Odd Roger Enoksen.
ParlaMint-NO_2000-05-03.ana.ud1122e108	I have to say I have some doubts about how to interpret what is now being said. After all, the whole intention of the Schengen Agreement is to reduce border controls between Schengen Member States. It also confirmed yesterday's Tollvesenet in Eastfold vis-à-vis the Judicial Committee, as far as I understand. I am then surprised that the Minister of Justice answers that this control can be maintained at the same level as it is today, and that you have to be as sure as you are today that there is no smuggling and that you have the same control mechanisms. The whole point is that it has to be a reduction. My question to the Minister of Justice is: does the Minister of Justice see that this control will be weakened, and is there at all opportunities to maintain control at the current level in the implementation of the Schengen Agreement?
ParlaMint-NO_2000-05-03.ana.ud1122e116	I guess I'm actually saying two things. I say that the border control vis-à-vis Sweden and the other Nordic countries is limited today, because we have the special cooperation agreements we have with the Nordic countries, and it has been completely limited since the 1950s. Therefore, the difference is not very great for the Nordic countries under the Schengen Agreement in relation to what has happened in the past. The second thing I am saying is that there are exceptions to Article 2(2) of the Schengen Agreement. 2 allowing for the restoration of internal border controls in relation to national security and to serious crime. Interpreting and practices related to it have been somewhat different in European countries, but there are some European countries such as the United Kingdom and the United Kingdom. For example, France has carried out checks on trafficking in human beings and on some other types of crime. in connection with the football World Cup last summer to prevent football mobs. It shows that we have the opportunity to have a stronger control over certain types of crime and in relation to certain situations.
ParlaMint-NO_2000-05-03.ana.ud1122e125	Øystein Hedstrom – for follow-up questions.
ParlaMint-NO_2000-05-03.ana.ud1122e128	As an Eastfold representative, I have followed the border issue both for customs and for the police, and they are doing excellent work in the Halden district as well. And we know that the random checks at the border have been of great importance. We were given increased resources in the early 1990s in connection with the Gulf crisis, and then everything from abandoned hails and Finnish heathers to complete counterfeiting equipment for passports was confiscated. As a result, we got a fingerprint register for this in Norway, which is linked to foreign registers. What the Council of State has now said is at least an indication that she is very concerned that we will continue to have effective control over, in future, particularly international crime and illegal immigration to our country. And I expect that there's a promise from her within a new model to follow this up.
ParlaMint-NO_2000-05-03.ana.ud1122e135	It is always difficult to answer very clearly when questions are formulated in a sufficiently subtle way! I think I refer to what I have said earlier, that we are in the process of establishing a cooperation agreement with Sweden and Finland in order to fully clarify how police cooperation is to be carried out in practice under the Schengen Agreement. But I can confirm that I am committed to cutting down on international serious crime and human smuggling.
ParlaMint-NO_2000-05-03.ana.ud1122e142	Björn Hernæs – for follow-up questions.
ParlaMint-NO_2000-05-03.ana.ud1122e145	The representative Nymo undoubtedly had the Judicial Committee with him when he found that there was an excellent job in Halden Police District. But it was probably an expression of his very selective perceptiveness when he thought that he also had the Justice Committee with him when it came to trying to start a new Schengen debate. When it was also followed up by the representative of Enoxsen, I just think I would like to say that what I heard at the briefing was that the police were calling for clear guidelines before the implementation of the Schengen Agreement on 1 October. I would like to ask the Minister of Justice to confirm that they will. So there was nothing else I realized that the police and customs in Halden were concerned about. And when the Minister of Justice says she wants to take the information that comes, it should preferably be reasonably balanced.
ParlaMint-NO_2000-05-03.ana.ud1122e153	I can confirm that the police districts need clear guidelines before implementing the Schengen Agreement.
ParlaMint-NO_2000-05-03.ana.ud1122e158	Let's move on to the next main question.
ParlaMint-NO_2000-05-03.ana.ud1122e161	I want to ask the State Council Ellen Horn the following questions: Norway spends a lot of money in support of Norwegian film production. It turns out that several of these productions have a rather low audience attraction and thus yield very low profits. Some people even have so little audience that they get taken off after a while. The Council of State considers it appropriate to use as much state cultural money for film production as it appears to have such a narrow audience, rather than to use this money for cultural purposes that benefit large groups, such as the United Kingdom. children and young people, as the Progress Party wishes, inter alia: strengthening voluntary teams and organisations?
ParlaMint-NO_2000-05-03.ana.ud1122e168	Issues related to Norwegian film production have been strongly promoted in the media lately. It has also been pointed out that there has been a low connection to Norwegian films. The government will look closely at the issues of film policy, including the future organisation of Norwegian films. And I see it as a goal to get a greater connection to the Norwegian films. Getting productions that interest the audience must be a goal. I would like to stress that I see it as an important priority for the Government to help produce good Norwegian film.
ParlaMint-NO_2000-05-03.ana.ud1122e177	I thank the Council of State for the answer, which I interpret as a positive response that will benefit Norwegian film. In an article in Aftenposten, May 2, filmmaker Edith Carlmar says: «Of course, I made money on all my movies! You can't make movies without making sure they make a profit." Does the Council agree with this statement by Edith Carlmar? The Council of State feels that it should be free for those who receive financial support for film production, or it seems to the Council of State – like the Progress Party – that there should be a combination of economy, quality, etc. shall be in force and shall the audience preferably be able to like the film?
ParlaMint-NO_2000-05-03.ana.ud1122e190	It is not difficult to agree that there must be a combination on the basis of which Norwegian film production is assessed. But I would like to stress that it is not just to be evaluated on the basis of the audience's visit; there are a number of factors that must be taken into account when considering what should be prioritised in Norwegian film. But it's a clear goal to get more movies that reach a broad audience.
ParlaMint-NO_2000-05-03.ana.ud1122e195	There will be follow-up questions – Trond Helleland.
ParlaMint-NO_2000-05-03.ana.ud1122e198	The previous government received a report from Ernst & Young on film support in Norway. It has been difficult to interpret the signals from the Workers' Party so far on what this report is about. Cultural policy spokesman Jon Olav Alstad has said, among other things. that this report does not provide a good basis for assessing Norwegian film production. Will the Council of State base this report by Ernst & Young on further efforts to reorganise Norwegian film production support schemes, or will the Council of State start work again?
ParlaMint-NO_2000-05-03.ana.ud1122e205	The report by Ernst & Young will be part of the assessments taken into account in the work on film policy in the future.
ParlaMint-NO_2000-05-03.ana.ud1122e210	Then we go to the next main question.
ParlaMint-NO_2000-05-03.ana.ud1122e213	I have a question for the Minister of Culture. We have now come over in May, and many corps are on the road to practice until May 17. At the same time, we have been told that the music village has a difficult economy; last year, 100 music villages were laid down. We know that the music is a type of the many important layers and organizations. The central government is sending an additional message to the Storting about voluntary teams and organisations that the Storing mainly joined. One of the objectives of the message was to strengthen the economy of voluntary teams and organisations, so that one could spend less time making cakes and lotteries and concentrate more on doing activities in the organisation. What will the Minister of Culture do to keep her pace with the music corps on 17 May and to strengthen voluntary teams and organisations in general?
ParlaMint-NO_2000-05-03.ana.ud1122e222	In the context of the revised national budget, which is due to be submitted on 12 May, the scheme of voluntary action in the field of culture is treated in accordance with the Stortingen's assumptions.
ParlaMint-NO_2000-05-03.ana.ud1122e227	In Norway, we have over 2,000 nationwide organisations, and there are almost 17 million organizational memberships. It shows that there is an enormous strength and tradition in the voluntary teams and organizations that we can't measure in dollars and dollars. Voluntary teams and organisations have worked for a long time as both social, religious and cultural traditional and value brokers in our society. I am pleased that the Council of State will follow up what has been agreed by the Storting in the revised national budget. There, Stortinget has agreed to a new add-on arrangement, and the majority went in so that the surplus from the gambling funds would be channelled through the organisation's central joints. We know that the sport has got its share of the funds, and the Stortinget has asked the Government to bring funds to the voluntary teams and organisations in the revised national budget. And based on what the Council of State said, it seems like one's going to follow it up. Does the Council of State have any visions for the voluntary teams and organizations?
ParlaMint-NO_2000-05-03.ana.ud1122e236	I would like to stress that the tradition we have in Norway for a rich flora of corps and active amateur environment around the country is all reason to make an effort to maintain. I'm also worried that there are so many corps that have had to give up, and I hope I can contribute to that not being progressed in the future.
ParlaMint-NO_2000-05-03.ana.ud1122e241	There will be follow-up questions – Odd Einar Dørum.
ParlaMint-NO_2000-05-03.ana.ud1122e244	The Storting has asked the Government to make a comprehensive lottery policy. Something is about justice, I definitely shouldn't. But something is about culture, and I want to ask the Council of State the question: can we be sure that the Ministry of Culture, when you look at lotteries and balance the relationship between state games, will also take due account of the lotteries and games of civil society, which now the representative Molvær Grimstad took up, so that they are treated in such a way that in the future they also have a fair chance? I ask this as a fundamental question, because then the Minister of Culture can also clarify his position on these questions.
ParlaMint-NO_2000-05-03.ana.ud1122e252	The President will recall that a follow-up question should be within the main theme of the main question.
ParlaMint-NO_2000-05-03.ana.ud1122e255	I haven't quite got into this before I got here today, but to the extent that I can make it possible for the local work in the cultural sector and the voluntary environment around the country to be maintained, I will do my part to make it possible to continue with this.
ParlaMint-NO_2000-05-03.ana.ud1122e260	Then we go to the next main question.
ParlaMint-NO_2000-05-03.ana.ud1122e263	My question goes to the Minister for Foreign Affairs. One of the countries that have received Norwegian assistance over many, many years is Zimbabwe, and it was a country to which we had great hopes. But as we have seen recently, there is a very dramatic development in Zimbabwe, with clear violations of human rights, where the opposition has exceptionally poor conditions and is persecuted by the regime, and where violence is under development. And if this is not enough, Zimbabwe is also engaged in war in a neighbouring country. What does the Minister for Foreign Affairs intend to do in this situation?
ParlaMint-NO_2000-05-03.ana.ud1122e272	I'm just as concerned about the situation in Zimbabwe as Jan Petersen is. I'm glad we're in line with that question. We have protested to Zimbabwe twice from the Ministry of Foreign Affairs, not until 31 March and then on 20 April – a strong protest in which we asked the Government to do what is possible to stop the acts of violence. We have sent a delegation to Zimbabwe – the journeyed on 1 May – to investigate the situation in the country, which will provide the basis for an assessment of what will happen to aid to the country in the future. I would like to say that what we see here raises a very important question, also for Norwegian development aid throughout and for Norwegian foreign policy, namely what was also stated in the Government's statement, that it must be an important task for us to contribute to the fight against corruption and corruption that is a barrier to development in many countries. And that's exactly what we see in Zimbabwe. The question now is how to turn Norway's aid to Zimbabwe into support under the opposition and the work on human rights. But if free elections fail, and fair elections, then the whole question will have to be raised about what we do with the long-term assistance to the country.
ParlaMint-NO_2000-05-03.ana.ud1122e281	I am pleased that, like me, the Minister of Foreign Affairs is so serious about the situation that he is willing to assess Norwegian assistance. We provide quite a lot of assistance to Zimbabwe and have done so over many years, but I believe that there is now reason to turn our backs on the table and show Zimbabwe that we are serious and that we should say no to further assistance to Zimbabwe. These are the means to release and use in other countries where they want to be more effective than they want in this country. That is why my question to the Minister for Foreign Affairs is: is he also prepared to assess a total interruption of assistance to Zimbabwe?
ParlaMint-NO_2000-05-03.ana.ud1122e286	The answer to that is clearly yes. We are prepared to consider that question, but only after the Zimbabwe delegation has returned. Besides, there's a question of what's wise right now. We do not want to contribute to the strengthening of President Mugabe's position in the domestic opinion of Zimbabwe through actions by the Western and rich countries. But it's clear that the turning point will be the question of choice. There must be free and fair elections in the country. If that doesn't happen, it's clear that this whole question comes up too fully. But until that happens, we must, in our opinion, follow the line that we are now doing, that is to turn the aid towards supporting the opposition and the work on human rights.
ParlaMint-NO_2000-05-03.ana.ud1122e291	There will be follow-up questions - Einar Steensnæs.
ParlaMint-NO_2000-05-03.ana.ud1122e294	I am pleased that the Minister for Foreign Affairs today confirms that the Ministry has full attention to this situation, and I am also pleased that the Ministry has taken the initiative to send a delegation to Zimbabwe to look into the situation. I assume that the intention of sending the delegation is to provide a basis for action by the Ministry and by the Government, in order to freeze any aid projects which do not affect innocent third parties, but which will react to the authorities and at the same time indicate politically how the Norwegian authorities view this. I would like to ask the Minister for Foreign Affairs if he can confirm that the Ministry is reviewing the various aid projects in order to be able to implement a freeze quickly if one finds that this is necessary. I would also like to ask the Minister for Foreign Affairs whether there is contact with foreign authorities, because it is important to react together to the effect.
ParlaMint-NO_2000-05-03.ana.ud1122e301	It is absolutely right that it is necessary to have contact with other countries to coordinate us with what they do. We have close contact, of course, as always, with the Nordic countries, and also with other countries, such as the United States. United Kingdom, on this question. Once this situation was dramatized, a work was started to see how to turn the aid against supporting the opposition and human rights work in the country. In addition, the delegation’s intention is to assess that issue, but also to assess whether it is possible to send election observers when it comes to elections in the country, under conditions that allow them to observe whether there are free and fair elections, which will be a key issue, we think, in the context of developments in the country.
ParlaMint-NO_2000-05-03.ana.ud1122e311	Siri Frost Sterri – for follow-up questions.
ParlaMint-NO_2000-05-03.ana.ud1122e315	I would like to ask the Minister for Foreign Affairs what it really takes for Norway to react here. Zimbabwe is still one of our main co-operation countries; in other words, it can be said that Norway can be morally involved as co-responsible for what is now happening down in Zimbabwe. I don't understand why the Foreign Minister thinks you have to wait until there are elections. What we see is that the date for the implementation of elections is constantly shifting. What reason does the Foreign Minister have for believing that these elections will be conducted democratically and will give legitimacy? We also know from experience from neighbouring areas that there is very low turnout. So, in the Right's view, we should have reacted for the longest time – we also said about last fall – precisely because we see that the situation has still deteriorated, despite the fact that it is claimed that we are trying to distort the aid.
ParlaMint-NO_2000-05-03.ana.ud1122e322	Firstly, I would like to say that the Committee on Foreign Affairs has been dealing with these issues for a long time. There has been a broad consensus on, and emphasis has been placed on, developments in the country. Secondly, the Ministry of Foreign Affairs has twice protested at the démarche, which was handed over on 31 March and 20 April in the country’s capital – a strong protest. As to the question of why you're waiting, it's to put pressure on Mugabe so that there can be free choice. I hope that, here in this House, we agree that a change of power in a country should take place through free elections. We now have the opportunity to put pressure on the authorities in the country to make choices, and to make it possible for international observers to observe whether there are actually free, independent and fair elections.
ParlaMint-NO_2000-05-03.ana.ud1122e331	Dag Danielsen – for follow-up questions.
ParlaMint-NO_2000-05-03.ana.ud1122e334	I must say that I am very surprised by the lack of action and the lack of understanding expressed by the Foreign Minister here. It has been a well-known case that Zimbabwe has for many years waged warfare with more than 10,000 soldiers in its neighbouring country. In my opinion, there should be clear enough reason to stop the assistance. What's happening now is just a further deterioration and a further confirmation of how despotic this regime is. What about freezing your help immediately? Then you should consider a permanent stoppage of the help in the long term.
ParlaMint-NO_2000-05-03.ana.ud1122e341	I'm a little surprised that this is coming that way now. There has been a broad consensus within the Foreign Affairs Committee on the position on this issue over a long period of time and it has been followed up by the Foreign Affairs Committee. The question is, what do you want to achieve? Do you want to get help frozen at home, so that you can say it to your home opinion, or do you want to support the opposition and work for human rights in Zimbabwe? And do you want to support the poor population of the country? I believe that the most important thing now is to use the opportunity that Norway has – because we have helped the country for a long time, as many other countries have done, and with which we coordinate our attitude – to put pressure on free choice. I think it's a better foreign policy to support those who work for the same view as us in Zimbabwe. However, if the objective is only domestic policy in Norway, you might consider it in a different way.
ParlaMint-NO_2000-05-03.ana.ud1122e346	Øystein Djupedal – for follow-up questions.
ParlaMint-NO_2000-05-03.ana.ud1122e349	In the opinion of the SV, there is no reason to criticise the Government for the way in which Zimbabwe has behaved so far. There is no doubt that the situation in Zimbabwe is very serious. Therefore, it may be necessary for the Minister of Foreign Affairs to be given the opportunity to explain properly what he has now tried to say to many questions. Is it understood that if the Zimbabwean authorities are now postponing the elections again and do not come up with an obligatory date for the holding of the elections and that it is to be held during international observation, will the Norwegian authorities consider withdrawing assistance, possibly considering freezing them, or, where appropriate, assessing other ways of channelling assistance, either through voluntary organisations or through channels other than those managed by the State? It is basically what I see as the most important point, that the authorities of Zimbabwe are now coming up with a commitment date to the international community and allow elections to be conducted ‘free and fair’, as it is called, without undue pressure on the population to support the current government party.
ParlaMint-NO_2000-05-03.ana.ud1122e356	The answer is the same as I have said for a long time, including: in the evening post many days ago now, that the point is that we want to get up a date for free and independent elections. If not, we need to assess the whole Norwegian aid situation. But we want to use the position we all have, to push elections forward, and there must be choices that can also be observed by the international community. That is one of the main reasons why we have sent a delegation to the country – to see if it is possible.
ParlaMint-NO_2000-05-03.ana.ud1122e361	Let's move on to the next main question.
ParlaMint-NO_2000-05-03.ana.ud1122e364	I have a question for the Minister for Foreign Affairs. Today, the Non-Proliferation Treaty Supervisory Conference ends in New York. It is an important political signal that the Minister of Foreign Affairs actually prioritised being present and keeping the Norwegian contribution. The conference was held in a period when negotiations had been quiet for a very long time, in a period when new countries had built up nuclear arsenals. Uncontrolled proliferation of nuclear weapons and nuclear material and other weapons of destruction may be the greatest threat to humanity, especially in terms of spread hazards to countries with totalitarian and unpredictable regimes, as we have just heard, and not least where there are bitter regional conflicts. The non-proliferation agreement is therefore very important. How does the Minister of Foreign Affairs now state its status after the Conference of Supervisors?
