ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e24	No one has asked for the floor. [[See page 489]]
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e38	No one has asked for the floor. [[See page 489]]
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e52	At the request of the family, culture and the Administrative Committee, the President will propose that the debate be limited to 45 minutes and that speaking time be allocated to the groups as follows: The working party 10 minutes and the other groups 5 minutes each. Furthermore, the President will propose that there is no possibility of a reply after the individual speeches, and that those who have to sign on to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted. The case's rapporteur, Inger Stolt-Nielsen, is a member of the Laging House, and the President therefore gives the floor to Mr Trond Helleland, who is the working rapporteur.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e63	First, I want to point out two errors in the setting that will be corrected. Paragraph 4 applies to new paragraph. 5, which shall be replaced by the following: ‘Canoe...’. It says "shell" in the printed setting. Furthermore, IV on the date of entry into force has expired. IV shall be replaced by the following: ‘Lova shall take effect on 1 January 2001. ‘... I keep this post on behalf of the rapporteur, Inger Stolt-Nielsen, who, as I said, is in Lagtinget. She has done a great job with regard to the seafarer's pension, and I feel confident that all aspects of the matter are well-lit. The pension scheme for mariners has a long and sad history, a history the committee has become familiar with during the work on this proposition. In the first case rapporteur's comments, the history of social security was described and documented, but the case rapporteur chose to renounce history in favour of unanimity on raising seafarer's pensions above the level proposed in the proposal. The proposition is a result of Storting's treatment of Innst. O. No 5 for 1996-97, when the Storting rejected the Harlem Brundtland government’s proposal for major restrictions on pension entitlements in order to release funds to raise pension levels. A majority of the Committee wrote in its observations that the economy in ‘The seafarer’s pension allowance has gradually become unbalanced because, for a long time, there has been a lower number of active seafarers who, through fees, are to finance a much higher number of pensioners. [[PTS]] However, the majority do not consider it reasonable that current seafarers and future seafarers' pensioners should bear the financial burden of the structural change that has occurred in shipping and for which they themselves are not responsible. The costs of this should mainly be borne by the State that is the guarantor of the pension scheme.» Despite this clear signal from Stortinget, the reduced pension selection, like previous pension committees, was mandated by the requirement not to increase the country’s guarantee liability. In all years after 1963, this has prevented a significant adjustment in maritime pensions. With this limitation, it was also not possible for the reduced pension range to raise pensions for those who needed it the most without recommending tightening existing schemes. The Ministry followed up by proposing an extension of State guarantee liability. Because organisations have accepted it, Storting recommends some of the tightening proposals. These have a cash value of 700 million. kr. In addition, a unanimous committee believes that the State should increase its guarantee liability by 100 million. Mr Bondevik's proposal. The improvements in maritime pension adopted today are targeted at those who go all the way up to retirement age, as those who go ashore in the past, who usually have other incomes and, in general, earned rights in other pension schemes as well as the maritime pension. The proposal in the proposal was that this group of seafarers should receive a special supplement to the basic pension of 20 pst. for the oldest. The supplement is phased out for younger age groups, which will receive the same pension through grants from privately funded pension schemes that are under construction. The Committee considers that the proposed subsidy is too small in relation to the 60 pst target. of compensation of employees laid down in the ILO Convention Norway signed up in 1946. The Committee is therefore unanimous in its position and raises the Appendix by 3 percentage points for all groups in relation to the Bondevik Government's proposal. A proposed criterion for obtaining the supplement is that the seafarer shall have 48 months of seagoing service within the 60 months preceding retirement. The Committee believes that this excludes pensioners who have full-fledged rights but who are put on land late in their career for reasons beyond their own control. Among other things, the Committee would point out that the profession of telegraphist was acquired by technological development and put on land. These, with the proposition's suggestion, would not be able to get the supplement. The Committee has therefore agreed that the seagoing service requirement will be reduced from 48 to 36 months within the last 60 months. It was proposed to remove the right to a reduced early retirement pension. This is a little-used and therefore low-cost scheme that the seafarers’ organisations would very much not have removed. With the pension improvements now being made for those who reach retirement age, it is likely that even fewer people will withdraw a reduced early retirement pension. The Committee will therefore respond to the organisations’ wishes and pursue this right, as there are likely to be very specific reasons behind the choice of such low-benefit retirement. Seafarers’ organisations have also requested that an average of the last years’ income before the age of 60 be taken as the basis for earning pension points in the social security for the years between the special age limit and the ordinary retirement age. This cannot be regulated by the Law on Retirement for Seafarers and the Committee has therefore not taken a decision on this matter. Offshore personnel have requested to be disbanded from the binding of pensions to the seafarer's employ ment, as their working situation requires greater flexibility than there is room in the seafarer's pension scheme. The Committee considers this to be reasonable and will therefore support the proposal that these employees be allowed to switch to other pension schemes approved by the Ministry.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e97	Sometimes it's the case with the Storting's agenda that matters go away later than expected. Today it's the other way around, things are moving in order faster than expected – so also with this case. I'm not going to be involved in extending the treatment of this matter, but I feel a need to underline a few points, because this is a big day for seafarers who come under the marine pension scheme, both those who have already retired, and those who are at work at the age limit. There was a big debate on this for a short time back in Stortinget, as shown in this setting. The Labour Party put forward proposals for severe tightening of the marine pension scheme, and it was long uncertain whether this was a plurality that would reject these changes. The Centre Party proposed to put down a wide-ranging selection to look at – in a more thorough way than we thought the Labour Party had handled the matter – how to arrive at a better basis for those who had the seafarer's pension as their main income, and who might have to live on it. The Right Party and the Progress Party requested a private scheme; they wanted the most subsidiary ones for this selection. The selection was dropped, and a recommendation was made. I myself had a job to prepare the matter for the government that time. It was not, of course, with the budgetary rounds before the 1999 budget, to include a thread that would imply that proposals for redistribution were quite different from all the constraints that had been assessed in the previous round by the Labour Party. The central government was very satisfied when we were able to put forward a proposal that meant a redistribution of 700 million. kr instead of tightening up, and as we knew would involve a supplement of up to 20 pst. for those with the lowest pensions. In addition, there were several other changes that I should not take time for now. I just want to pay tribute today to the way the committee has handled a difficult matter. I know that the case spokesperson started with a different setting based on the basics that she had. She's put it aside, so that we've got a consensual attitude, and it's so far -- I'll almost say to all odds -- that the committee has improved its central government's proposal and cut for further possibilities both to get a full pension and to get a higher pension than what was left of us, which we thought was very good. I understand that there has been a close interaction between the committee and various organizations. It should be in things like this. It is far from always that the result is as good as this, as the organizations have every reason to rejoice today.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e112	Today, when Odelsting adopts a new pension scheme for seafarers — improved and simplified — this is due not least to the work of the Maritime Pensions Committee. The Joint Committee carried out thorough preparatory work and cleared up previous misunderstandings and disagreements about maritime pension, its background, funding and development. I am pleased that the committee now unanimously brings the matter well into the port. It was the Bondevik government that promoted the proposition, and the proposals are followed up by the current government. The economic situation of maritime pensioners has been poor for several years. The scheme was amended from 1994, both with intensifications and improvements as a result of proposals from the Gjærevold Committee. As you know, the Harlem Brundtland government later presented proposals in Ot.prp. No 59 for 1995-96 with a view to improving the economy by increasing State co-financing and, in addition, by certain restrictions on the rules. The majority of the population did not join the proposals but asked the government to set up a sample to assess an AFP-like scheme, a private occupational pension scheme or a continuing public scheme for seafarers. The Committee today endorses the conclusion of the Marine Pensions Committee that the current scheme should continue provisionally as a government-guaranteed pension scheme and that in a few years' time the annual deficit must be covered by the State guarantee. Seafarer's pension was in its time more designed as a social security scheme than a occupational pension, and it is seen that it is difficult to change at a time when there is and is expected to be large pension funds. Any transition to an insurance-based pension will reinforce the financial problems of the social security system, because acquired rights must then be covered by industry and/or the State. These costs will co-exist with the contribution to the establishment of a funded pension scheme. Against this background, the Committee, as well as the Ministry, has joined the selection board's view that any private funded pension scheme should not be reviewed until around 2015. The economy is then assumed to be in a better balance, there will be fewer pensioners, and there will be a more transparent and manageable situation in respect of acquired rights. Furthermore, tariff additional insurance policies will be built up. However, the economy of the scheme is worrying for 10-15 years to come, and the State guarantee provides significant payments from the State in a few years. Odelsting today adopts a pension solution that is satisfied with – at least in the short term – by seafarers’ organisations. The shipowners might have wanted to convert into an insurance-based occupational pension scheme already now, but the time is as mentioned little fortunate. From a social point of view, I have a strong sense of the proposal for an income-tested supplement that significantly increases the pension for those who need it the most. When such improvement is limited to those working at sea towards retirement, i.e. about one third of pensioners will be able to improve with internal redistribution without increasing the financial framework in particular. Seafarers’ organisations have received a slightly larger supplement through the Stortinget and this applies to more than what the sample proposes. I understand the Committee's desire to meet the maritime organisations at this point, but I'm concerned about the increased expenditure that will in due course burden the state guarantee. The supplement will result in total additional costs to a present value of close to 100 million. NOK in addition to the 250 million. kr for which the proposal in the proposal was intended. The issue of seafarers' pensioners shall be entitled to credit pension credits in the pension fund for the period of retirement, subject to the provision of social security, which shall be legal and budgetary. It is now known as only unearned pensioners in social security and pensioners with contractual pension who are included and credited future pension credits without simultaneous labour income. The government of Jagland, as it is known in the spring of 1997, when the retirement age of the AFP scheme was reduced to 62 years, stated that the pension credit scheme for AFP pensioners should be assessed as phased out from 2007. Equality is important here. Service pension schemes with special age limits, pension schemes for seafarers, fishermen and forest workers do not currently qualify for high-quality public welfare. Farmers were also not entitled to pension points in the population benefit of the new early retirement scheme introduced in the context of agricultural settlements in 1998. Against this background, the Government needs to come back to a more comprehensive assessment of the issue. The Committee supports the proposal that off-shore professional groups may withdraw from the seafarer's pension scheme following an exemption from the Ministry. The condition is that employees must be covered by another pension scheme that is equally good. In the long term, I do not ignore the fact that a maritime pension scheme as a solid basic insurance with a distribution element supplemented by a tariff-based insurance-based supplementary scheme can be an appropriate pension solution. [[President clubs]]
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e146	Time's up. Several have not asked for the floor on case No. 10th@item: inlistbox [[Fotation, see page 494]]
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e162	At the request of the family, culture and the Administrative Committee, the President will propose that the debate be limited to 45 minutes and that speaking time be allocated to the groups as follows: The working party 10 minutes, the other groups 5 minutes each. Furthermore, the President will propose that there is no possibility of a reply after the individual speeches, and that those who have to sign on to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to three minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e171	I am pleased that the Committee on Family Affairs, Culture and Administration unanimously supports the legislative changes now proposed in Ot.prp. No 34 for 1999-2000 on the pension scheme for nurses. The pension scheme for nurses includes officially approved nurses who have been appointed to positions in municipal, county or private health institutions. The pension scheme provides benefits in accordance with provisions which are essentially equivalent to those of the State Pension Fund. The pension scheme for nurses is managed by the Municipal Landspensionskasse and is managed by a board of three members. One member represents the nurses and one employer. The proposals in the bill on a pension scheme for nurses are based on recommendations from the board of directors of the scheme. I note that the proposition is largely based on proposals in Ot.prp. No 94 for 1998-99 on the transition from gross to net survivors' pensions in the State Pension Fund, based on recommendations from the Net Pensions Committee and the Coordination Committee. This is supported by a broad majority in Odelstinget. It is mainly about the conversion of the spouse pension scheme for nurses from so-called gross to net pension benefits. This implies that pensions should not be coordinated against social security or income testing, which is a significant simplification. The child pensions of the pension scheme for nurses are also proposed to be converted into net pensions at a fixed rate of 15 p.m. for each child of the pension base of the deceased member and the pensions are provided at the same rate to all children and up to the age of 20. I am pleased that a unanimous committee is behind the proposed changes to the nursing pension scheme, and indicates otherwise to the suspension.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e192	Several have not asked for the floor on case No. 11th@item: inlistbox [[Footage, see page 497]]
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e200	The odelsting shall vote in case No. 1-11.
