ParlaMint-NO_2000-10-02-upper.ana.ud722e27	If no one has anything to object to, I will comply with this request.
ParlaMint-NO_2000-10-02-upper.ana.ud722e39	The President-in-Office of the Council will request the Secretary-General of the last team, Anne Helen Rui, to act temporarily as a secretary because of the absence of the previous Secretary-General, Per Ove Wide.
ParlaMint-NO_2000-10-02-upper.ana.ud722e59	The President and Vice-President must be elected first. As regards the election of the President and Vice-President, the last paragraph of Section 4 of the Rules of Procedure is as follows: ‘The choice of presidents and secretaries requires a normal majority, i.e. more than half of the votes cast. If none of the candidates reaches such a majority in the first election or in the case of free re-election, the two candidates to whom the highest number of votes has been cast shall be re-elected. [[(cf. § 45 para. (b)]] The President-in-Office of the Council is asking for proposals from the President of the Court of Justice.
ParlaMint-NO_2000-10-02-upper.ana.ud722e71	I suggest Odd Holten.
ParlaMint-NO_2000-10-02-upper.ana.ud722e78	Odd Holten has been proposed to the President of the Lamentations. Other proposals are not available. A written vote shall be taken. The choice had the following result: The President was elected Odd Holten by 39 votes. A ballot was blank.
ParlaMint-NO_2000-10-02-upper.ana.ud722e91	The President is asking for a proposal from the Vice-President of the Court of Law.
ParlaMint-NO_2000-10-02-upper.ana.ud722e96	I have the joy of proposing Svein Ludvigsen.
ParlaMint-NO_2000-10-02-upper.ana.ud722e103	Svein Ludvigsen is proposed as the Vice President of the Creation. No other proposals have been made. Written voting shall be carried out. The choice had the following result: The Vice President was elected Svein Ludvigsen by 40 votes.
ParlaMint-NO_2000-10-02-upper.ana.ud722e116	The Secretary will then be elected, and the President will ask for proposals.
ParlaMint-NO_2000-10-02-upper.ana.ud722e122	I have the honour to propose Per Ove Width.
ParlaMint-NO_2000-10-02-upper.ana.ud722e130	Per Ove Width has been proposed as Secretary of the Creation. Other proposals are not available. It's going to be grazed in the usual way.
ParlaMint-NO_2000-10-02-upper.ana.ud722e138	The Vice-President shall then be elected, and the President shall request a proposal.
ParlaMint-NO_2000-10-02-upper.ana.ud722e144	I suggest Anne Helen Rui.
ParlaMint-NO_2000-10-02-upper.ana.ud722e152	Anne Helen Rui has been proposed as Secretary of State. Other proposals are not available. It's going to be grazed in the usual way.
ParlaMint-NO_2000-10-02-upper.ana.ud722e160	The creation has now come to the choice of the first and second vice-president. The President is asking for proposals for the first Vice-President.
ParlaMint-NO_2000-10-02-upper.ana.ud722e165	I suggest Elsa Scarbøvik.
ParlaMint-NO_2000-10-02-upper.ana.ud722e172	Elsa Skarbøvik is proposed as the first vice-president. Other proposals are not available.
ParlaMint-NO_2000-10-02-upper.ana.ud722e180	The President is asking for proposals to the second vice-president.
ParlaMint-NO_2000-10-02-upper.ana.ud722e186	I suggest Siri Frost Starri.
ParlaMint-NO_2000-10-02-upper.ana.ud722e193	Siri Frost Sterri is proposed as the Second Vice President of the Lamentations. Other proposals are not available.
ParlaMint-NO_2000-10-02-upper.ana.ud722e201	Finally, the Secretary-General shall be elected, and the President shall ask for proposals.
ParlaMint-NO_2000-10-02-upper.ana.ud722e207	I suggest Einar Olav Skogholt.
ParlaMint-NO_2000-10-02-upper.ana.ud722e215	Einar Olav Skogholt is proposed as Secretary of State. Other proposals are not available.
ParlaMint-NO_2000-10-02-upper.ana.ud722e223	The Creation has thus established itself, and a message will be sent to Stortinget and Odelstinget about this.
