Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-09-28	ParlaMint-NO_2000-09-28.ana.ud1766e36	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-09-28	2000-09-28	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-09-28	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_2000-09-28	ParlaMint-NO_2000-09-28.ana.ud1766e39	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-09-28	2000-09-28	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-09-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.RHRE	Reikvam, Rolf	M	1948	
ParlaMint-NO-en_2000-09-28	ParlaMint-NO_2000-09-28.ana.ud1766e44	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-09-28	2000-09-28	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-09-28	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_2000-09-28	ParlaMint-NO_2000-09-28.ana.ud1766e47	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-09-28	2000-09-28	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-09-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HHL	Langeland, Hallgeir H.	M	1955	
ParlaMint-NO-en_2000-09-28	ParlaMint-NO_2000-09-28.ana.ud1766e52	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-09-28	2000-09-28	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-09-28	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_2000-09-28	ParlaMint-NO_2000-09-28.ana.ud1766e55	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-09-28	2000-09-28	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-09-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2000-09-28	ParlaMint-NO_2000-09-28.ana.ud1766e60	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-09-28	2000-09-28	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-09-28	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_2000-09-28	ParlaMint-NO_2000-09-28.ana.ud1766e64	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-09-28	2000-09-28	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-09-28	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ML	Lund, Morten	M	1945	
ParlaMint-NO-en_2000-09-28	ParlaMint-NO_2000-09-28.ana.ud1766e69	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-09-28	2000-09-28	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-09-28	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_2000-09-28	ParlaMint-NO_2000-09-28.ana.ud1766e83	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-09-28	2000-09-28	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-09-28	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_2000-09-28	ParlaMint-NO_2000-09-28.ana.ud1766e97	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-09-28	2000-09-28	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-09-28	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_2000-09-28	ParlaMint-NO_2000-09-28.ana.ud1766e543	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-09-28	2000-09-28	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-09-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
