ParlaMint-NO_2000-03-29.ana.ud585e27	The representative Fridtjof Frank Gundersen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2000-03-29.ana.ud585e35	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2000-03-29.ana.ud585e40	I allow myself to propose Øyvind Korsberg.
ParlaMint-NO_2000-03-29.ana.ud585e45	Mr. Øyvind Korsberg has been proposed as President-in-Office. – Other proposals are not available, and Øyvind Korsberg is considered unanimously elected president of the Stortinget meeting today.
ParlaMint-NO_2000-03-29.ana.ud585e66	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Prime Minister Jens Stoltenberg State Council Bjørn Tore Godal State Council Karita Bekkedem Orheim The announced members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We'll start with the first main questions, from the representative Carl I. Hagen.
ParlaMint-NO_2000-03-29.ana.ud585e85	I have a question for the Prime Minister. On 20 June 1997, the Stortinget adopted a unanimous decision on a proposal from the Right and the Labour Party: ‘The Government is asking the Government to draw up guidelines that can help to draw up clearer boundaries between government and policy management in the departments and between the government and other heavy social actors and interests. Provisions on quarantine should be considered below. The Government is asked to return to Stortinget with the results of such an appropriate review.» The previous government did not have the power to come back to Stortinget after having had the case for nearly two and a half years. Can we expect the government of Stoltenberg to come back to Stortinget in accordance with this unanimous decision, which was therefore also behind the Workers' Party, in the near future, perhaps before Christmas?
ParlaMint-NO_2000-03-29.ana.ud585e97	The answer to the question is yes. Strictly speaking, there is no need to say more, but I can add some comments and considerations. We believe that the debate on the relationship between civil service and political positions is an important debate. We voted two and a half years ago for the proposal that guidelines should be assessed, and we will go through it now and come back to the Storting in appropriate form. What we want to propose and whether we want to propose something is too early to say anything about, but we note that the outgoing government has been putting on the proposal for two and a half years without making any progress. We will work much faster than the government that has left. I would also like to stress that what was central at the time was scepticism about politicians going back to jobs in the civil service, and you were busy limiting that access. It was a key question in 1997. With regard to the appointments made in my government, it is to a large extent so that those who have taken political positions have also resigned their duties, while, as far as I understand, it has to a lesser extent been the case in the previous government.
ParlaMint-NO_2000-03-29.ana.ud585e106	Does it also mean that the Prime Minister will have this as a kind of requirement for all those who have gone up in political positions in the departments? I think, among other things: to a Deputy Director of the Ministry of Finance who has become Secretary of State in the same department. It's going to be very difficult for dispatch managers and directors and managers, who were their bosses, to experience the old deputy as their new boss, knowing that he might come back and become their subordinate later on. It's going to be a hopeless system. Does the Prime Minister also agree that it is unfortunate that persons who have participated in confidential party political formations in the previous government are now members of the political leadership of the Prime Minister's office and that it is appropriate to question the new government, whether it is immoral to gain access to knowledge of the internal affairs of the former government?
ParlaMint-NO_2000-03-29.ana.ud585e111	Any central official has information about confidential debates in the government. They have e.g. access to government notes, which form the basis for all matters dealt with by governments. In those notes, it is clear when and in which cases different governments disagree, which is normal in all governments. They have access to the minutes of the government conferences, and of course they have access to the general information flowing in the government apparatus. And the more central officials are, the more of that type of access to information they have. It is therefore not new that officials with access to information on discussions in the Government are appointed to political positions. Of course, these were people like Knut Vollebæk and Åslaug Marie Haga, who became the State Council and State Secretary in their departments, where they were originally officials. So it's not new either that you appoint officials from the department concerned to political positions in the same department. It was done to a greater extent in the previous government.
ParlaMint-NO_2000-03-29.ana.ud585e116	Let's move on to the next main question.
ParlaMint-NO_2000-03-29.ana.ud585e119	It could have been tempting to go on with this. But if the Prime Minister doesn't see the difference between the officials who became governor in my government and their position, and the woman who became Secretary of State at Stoltenberg, then I'm really concerned about the discretion the Prime Minister exercises on such issues. Otherwise, let me point out the following: The government has announced that most of the propositions and messages the central government has promoted will be at the disposal of the Stortinget. This means that the Government is behind the main lines of central government policy in areas such as human rights, consumer policy, sport policy, the fight against child and youth crime, etc. and, in particular, agricultural and nursery policies. This is positive and can provide a basis for constructive solutions, and it is interesting because the Workers' Party was critical not least for the nursery and farm notifications. But one area where there is great disagreement How will the Prime Minister and the Government follow up the decisions taken by the majority in this matter? [[The President clubs.]]
ParlaMint-NO_2000-03-29.ana.ud585e126	The President requests that the questioners deal with the allocated speaking time.
ParlaMint-NO_2000-03-29.ana.ud585e130	First of all, I just want to say that I think it's a good idea to appoint state secretaries at my office, and so I can't see the fundamental difference between officials who have access to the government's internal work and internal discussions in the Ministry of Foreign Affairs and other departments, and those who have the same access to the Prime Minister's office. With regard to the question of the messages we have left behind, we believe that there is a basis for finding political solutions here in the Storting, and we want to seek a majority on the basis of the Storing, because the messages we wanted to remain here, because we want to find compromises in the Storting on a political basis that can give a majority of a policy we can stand behind. In the case of gas power plants and their treatment, the Minister for the Environment has on several occasions announced that we will quickly come back to how it will be treated. What we stand by is, of course, the decisions that we should modify the emission permits so that we can reduce our dependence on highly polluting power. And we will quickly come back to how it will best happen.
ParlaMint-NO_2000-03-29.ana.ud585e139	Only when it comes to appointing officials to political positions: if one does not see the difference between one who has access to the government conferences and follows the oral discussions there, the strategic consultations, and those who are out of office and who do not have that access, then I just have to repeat that I am actually even more concerned about the basis of the Prime Minister's discretion. It is in practice a significant difference, and I thought I knew Stoltenberg. So to the gas power plant and the pollution law. As is well known, the Ministry of Justice’s legislative department raised serious doubts as to whether it is possible to reverse the administrative decision on CO2 emissions from gas power plants within the current law, and therefore the majority decided that, if necessary, one should amend the pollution law. It means, in my view, weakening it to open up highly polluting gas power plants in Norway. Will the Prime Minister ensure that the Storting is made aware of and involved in the final assessment by the Government of the relationship between CO2 emissions and the pollution law, so that the Storting as a legislative authority is involved in that assessment?
ParlaMint-NO_2000-03-29.ana.ud585e146	We will return to Stortinget in an appropriate form when we have completed our assessments of how we best contribute to reducing Norway’s dependence on highly polluting power, as the previous government stated. Whether it's necessary to change the law or not is a little early to say. There are different interpretations of the law department's notion, and my impression is that the main issues have not been related to CO2, because there is obviously a great deal of discretion in the law. There has been a little more discussion about the possibilities of changing the authorisation of the nitrogen oxide NOx, as the majority of the population also underlined in the setting. It will also be entirely in line with the wishes of the majority of the population both in the setting and at the processing here in Stortinget, as the matter was being dealt with in plenary. But we will then come back when we have completed our assessments of the law department's observations and other recordings, and then report back to Stortinget.
ParlaMint-NO_2000-03-29.ana.ud585e151	There will be follow-up questions – Hallgeir H. Langeland.
ParlaMint-NO_2000-03-29.ana.ud585e154	The Prime Minister, in his argument for Norwegian gas power stations, has been very concerned with the highly impudent Danish coal power plants, and later in the argumentation the highly impurising Polish coal power plants. What's interesting is that if you're going to follow up on this issue, the prime minister's account is for emissions – whether there's a reduction in total emissions, as the Prime Minister has argued, by building potentially highly impoverished Norwegian gas power plants.
ParlaMint-NO_2000-03-29.ana.ud585e161	It is true that when Norway buys more and more power from our neighbouring countries, there is a need to produce more power to deliver power to Norway. I myself have been allowed to visit coal-fired power plants in Finland and in Denmark, which have been pleased with the growing power shortage in Norway and Sweden, because they have been given increased reserves, increased their production and increased their earnings. It is also true that in the years we have bought a lot of energy from Denmark, the CO2 emissions have been high, the years we have bought little, the CO2 emissions have been low. So to me, it's pretty obvious that the more power we buy from our neighboring countries, the more they produce, and the greater the emissions. This is also more calculations and studies that document, so I think it's quite clear. So it's true that I'm concerned with stressing that it's not just Danish coal power plants, but it's also German, and it's Dutch, gas power plants that get gas from Norway, that supply power to Norway and it's going to do it, and it's Polish, and it's also going to be Russian, because we've concluded import agreements with Russia through Hydro.
ParlaMint-NO_2000-03-29.ana.ud585e170	Gunnar Kvassheim – for follow-up questions.
