ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e125	There is no record.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e137	No one has asked for the floor. The decision of the Odelsting is thus endorsed by the Lachting, and the legal decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e151	On behalf of the Labour Party and the Socialist Left, I would like to propose the following: ‘The decision of the nodule is not accepted. Note: the first sentence of the first paragraph of Section 42 is assumed to be replaced by the following: ‘The county hospital or part of such activity may be transferred as a whole to a county hospital company by law here by transferring assets, rights, including government permits, and obligations relating to the establishment to the hospital company.’;» Paragraph 45(6) assumes that the second paragraph of Section 2-7 should be replaced by the following: ‘The activities referred to in the first subparagraph of this paragraph of a hospital or intermunicipal company are subject to the obligation to provide training, retraining and further training to the company.’ Paragraphs 2 to 8 of the new third paragraph are assumed to be replaced by the following: ‘The activities referred to in the first and second subparagraphs of the hospital or intermunicipal company shall be subject to the obligation to provide the information referred to in the provisions to the company.’;» The current third paragraph becomes the fourth paragraph.Chapter 4 is assumed to read as follows: «Approval of health institutions and health services and prohibition of the organisation of public-owned hospitals as a public limited liability company» I would also like to propose the following on behalf of the Workers' Party: ‘The decision of the Nodelsting is not accepted.Note:New Paragraphs 4 to 2 are assumed to be replaced by the following:‘The prohibition on the organisation of public hospitals owned as a public limited liability company Publicly owned hospitals may not be organised as a limited liability company under the law of 13 June 1997 No. 44 concerning limited liability companies or law of 13 June 1997 No 45 on public limited-liability companies. ‘’»
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e201	The representative Dalheim has put forward the proposals he himself referred to.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e204	I refer to the debate in Odelstinget and will make the following proposals on behalf of the Progress Party and the Right: «The decision of the nobleman is not accepted.Note:In the law on the specialist health service, etc. Section 4-1, third paragraph, is assumed to be replaced by the following: ‘Assessing whether the authorisation can be granted may, inter alia, focus on professional reasons for the recognition of the health institution or healthcare and on the adequacy of the services to be provided.’;» Furthermore, a proposal on behalf of the Progress Party: «The decision of the Nodelsting is not accepted.Note:In a new law on the transformation of hospitals into a limited liability company, §§ 1-4 is assumed to be replaced by:“§ 1 Scope of the Act This law applies to all public-owned hospitals. Publicly owned hospitals are hospitals owned by state, county or municipality. § 2 Purpose of the Act The purpose of this Act is to contribute to the better economic management and efficiency of Norwegian hospitals. § 3 Form of company All hospitals in public ownership shall be organised as a limited-liability company or public limited-liability company, under the law of 13 June 1997 No. 44 concerning limited liability companies or law of 13 June 1997 No 45 on public limited-liability companies. § 4 Entry into forceThe law enters into force from the time the King decides."In the Act of County Hospital Companies etc. Section 7 is assumed to be replaced by the following: ‘The counties shall take decisions to establish a county hospital company for all their public hospitals. The decision shall expressly designate the county hospital company as a hospital company. At the time of establishment, the county council shall lay down the statutes of the hospital company, as provided for in: Section 11 and take any decisions under the third paragraph of Section 13. ‘’»
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e258	The representative Monsen has put forward the suggestions he himself referred to.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e261	On behalf of the Christian People's Party and the Center Party I promote the following proposal: «The decision of the nobleman is not accepted.Note:In the law on the specialist health service, etc. § 4-2 should be assumed to be replaced by the following:‘Approval of the transformation of a hospital into a legal entity of its own ‘The municipal decision to transfer the hospital or part of such activity to an intermunicipal company, a limited liability company or other legal entity must be approved by the Ministry before the transfer can take place. Such decisions shall be submitted by the county to the ministry for approval.The assessment of whether authorisation is to be granted may, inter alia, focus on social considerations. Such conditions may be set for approval which the Ministry deems necessary in order to safeguard the social interests and to enable the county to fulfil its obligations under this Act and under its provisions.The county council shall inform the Ministry of substantial changes in the activities which may alter the conditions of approval. which is entrusted to the undertaking provides the information necessary to assess whether authorisation is to be granted, including transparency of the file. ‘’» Furthermore, a proposal from the Christian People's Party, the Central Party and the Socialist Left Party: ‘The decision of the nodule is not accepted. Note: the first paragraph of Section 8 is assumed to be replaced by the following: ‘When the county council has taken a decision establishing a hospital company, see § 7 and the decision has been approved by the Ministry under Section 10, the County Council shall establish a dated and signed instrument of incorporation containing a reference to the decision establishing it and which shall specify at least the following: 1st@item: inlistbox The statutes of the hospital company2. State deposits other than in cash3. Approval of the establishment by the Ministry’» Section 10 is assumed to be replaced by the following: «Decisions under Section 7 on the establishment of a hospital company and decisions under Sections 43 and 44 on transformation must be approved by the Ministry before the formation of the hospital company. Such decisions shall be submitted by the county to the ministry for approval.The assessment of whether authorisation is to be granted shall, inter alia, focus on social considerations. Such conditions may be set for approval which the Ministry deems necessary in order to safeguard the social interests and to enable the county to fulfil its obligations under the Law of 2 July 1999 No. 61 on the specialist health service and provisions adopted in accordance with it.The county council shall inform the Ministry of any significant changes in the activities, organisation of the activities or other aspects which may alter the assumptions for the approval. The amendment cannot be implemented without the approval of the Ministry. A hospital company may not be transferred to a new owner without the transfer being approved by the ministry. The second subparagraph shall apply mutatis mutandis.The Ministry may require the county council and the hospital company to provide the necessary information to assess whether authorisation is to be granted, including the transparency of the file.’;» Section 16 is assumed to be replaced by the following: «The company meeting is the hospital company's top authority.The company meeting itself takes decisions on the hospital company's accounts, budget and financial plan and other matters to be dealt with by law or by constitution at the company meeting. Other essential issues of ownership and matters of major political, political and social importance must also be brought before the company meeting for approval. Cases referred to in the second sentence of the second subparagraph, which are of particular importance to the county, shall be brought before the company meeting before taking a decision in the matter. This does not apply if the county itself is a company meeting, cf. § 13, second paragraph.The Statutes may provide that certain types of matters which otherwise fall within the Board of Directors, cf. Paragraph 24 must be approved by the meeting. Such provision of the statutes may be relied on only by a third party when the provision is registered in the Register of Undertakings or when the third party knew or ought to know the provision of the statutes.» Paragraph 29 is assumed to be replaced by the following: ‘If there is reason to believe that there will be a significant failure of revenue or a substantial increase in expenditure in relation to the budget, the management board of the hospital company shall immediately notify the county council of its relationship. The company meeting shall examine the matter without delay. At the meeting, the Management Board shall state the reasons for the budget deviation and submit proposals for the revised budget.’;»
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e337	The representative Anne Brit Stråtveit has put forward the proposals she herself referred to.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e340	I refer to the debate in Odelstinget and promote, on behalf of the Right, the following proposals: ‘The decision of the nodule is not accepted. 1st@item: inlistbox The purpose of the Act is to facilitate a better service provision and more efficient use of resources in the county health service by making the county hospital society an accessible form of association for county municipalities that wish to free their hospitals by organising them as independent legal entities.The county municipality decides the form of association for its hospitals. Municipal hospitals may be organised as administrative bodies, municipal enterprises, municipal hospital companies, intermunicipal companies, limited liability companies or foundations.»2. § 1 of the Odelsting decision is assumed to be § 2, etc.3. Paragraph 45(6) assumes that Paragraph 2-1 of the new fourth paragraph should read as follows:‘The county authority determines the form of association for its hospitals. Municipal hospitals may be organised as administrative bodies, municipal enterprises, municipal hospital companies, intermunicipal companies, limited liability companies or foundations. The current fourth subparagraph shall become the fifth subparagraph.’
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e369	The representative, Sonja Irene Sjøli, has put forward the suggestions she herself referred to. The President will vote on the proposals in the following order: We vote first on the proposal from the Right, then on the proposal from the Progress Party, then on the proposal from the Christian People's Party and the Central Party, then on the proposal from the Christian People's Party, the Central Party and the Socialist Left, then on the proposal from the Progressive Party and the Right, then on the proposal from the Labour Party and finally on the proposal from the Labour Party and the Socialist Left.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e401	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e413	I refer you to the Odelstinget reading and promote the following proposals on behalf of the Advance Party and the Right: ‘The decision of the nodule is not accepted. Note:§ 25 – 13 is expected to be deleted.’ Furthermore, I am promoting the following proposals on behalf of the Progress Party: ‘The decision of the nodule is not accepted. Note:Sections 8 to 51 should be assumed to be replaced by the following:Sections 8 to 51, third paragraph, should be deleted.§ 25 to 3 should be deleted.’
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e438	The representative Monsen has put forward the suggestions he himself referred to. Several have not asked for the word. The President will first vote on the proposal from the Progress Party and then on the proposal from the Progress Party and the Right.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e455	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e467	On behalf of the Labour Party and the Socialist Left, I would like to propose the following: ‘The decision of the nodule is not accepted. Note: the first paragraph of Section 8 is assumed to be replaced by the following: ‘Cash aid shall be granted from the calendar month after the entitlement to cash support takes effect, up to and including the calendar month of entitlement to cash support shall lapse. However, cash support is provided no longer than even the calendar month before the child reaches the age of 3."
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e484	The representative Dalheim has put forward the proposal he himself referred to.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e487	I refer to the debate in Odelstinget and promote the following proposals on behalf of the Progress Party, the Christian People's Party, the Central Party, the Socialist Left Party and the Left: ‘The decision of the Nodelsting is not accepted.Remark of the holding: it is recommended to the Odelstinget to refer to the bill.’
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e499	The representative Monsen has put forward the proposal he himself referred to. Several have not asked for the word. It is first voted on the proposal of the Labour Party and the Socialist Left Party and then on the proposal of the Progress Party, the Christian People's Party, the Central Party, the Socialist Left Party and the Left.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e516	That must be wrong. In an earlier vote, 27 representatives voted.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e523	It turns out to be 26 present. The President was informed that there were 27 representatives present from the beginning. One has left the meeting along the way, so that 26 representatives are now present. The law decision is then approved by the Creation in accordance with the Constitution to send to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e539	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
