Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e45	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.FKM	Marthinsen, Finn Kristian	M	1946	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e80	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JS	Simonsen, Jan	M	1953	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e87	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e104	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	-	Centre-left	person.HAHM	Harlem, Hanne	F	1964	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e111	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e125	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e146	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e149	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Regular	MP	notMinister	V	Venstre	-	Centre	person.GKV	Kvassheim, Gunnar	M	1953	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e162	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TP	Pedersen, Torny	F	1946	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e188	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OVA	Vaksdal, Øyvind	M	1955	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e203	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Regular	MP	notMinister	TF	Tverrpolitisk Folkevalgte (Kystpartiet)	-	Centre-right	person.SEBA	Bastesen, Steinar	M	1945	
