ParlaMint-NO_2000-02-23.ana.ud1940e31	The called alternate of the Telemark County, Gunn Marit Helgesen, has taken the seat.
ParlaMint-NO_2000-02-23.ana.ud1940e39	The President will propose the election of two presidents for the Storting meeting today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2000-02-23.ana.ud1940e44	I suggest Asmund Kristoffersen and Aud Blattmann.
ParlaMint-NO_2000-02-23.ana.ud1940e49	Asmund Kristoffersen and Aud Blattmann are proposed as chairmen. – Other proposals are not available, and Asmund Kristoffersen and Aud Blattmann are unanimously elected as chairpersons of today’s meeting. Before the matters on today's map are dealt with, the President will propose that the Storting meeting be interrupted after case No. 1 is finished, then set again at 1:00 p.m. 19.30 for the examination of cases No. Two and three. No objections have been raised – and it has been adopted.
ParlaMint-NO_2000-02-23.ana.ud1940e72	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: State Council Lars Sponheim State Council Odd Einar Dørum State Council Hilde Frafjord Johnson The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We start with the first main questions, from the representative Øystein Hedstrøm.
ParlaMint-NO_2000-02-23.ana.ud1940e91	I have a question for the Minister of Economic Affairs and Trade. The Ministry of Industry has recently set an ambitious target of reducing the form field and the duty of duty for our sole proprietor by 25 p.m. in two years. Of course, we in the Progress Party strongly agree with that if it can be realized. Now the Minister of Industry has been at the rudder in the department for two and a half years, and nothing has happened in this area in particular. There have been some cosmetics that have also happened in the Progress Party, but I have calculated a little: in 1999 the time spent on the task of our companies was reduced by 6 per million, so if you continue at that rate, it will take 360 years to achieve the goal of reducing the form field by 25 pst. What are the new instruments that the Ministry and the Government will now put in place to achieve their ambitious objective?
ParlaMint-NO_2000-02-23.ana.ud1940e98	I have to first say that it's definitely more than cosmetics. Throughout the post-war period, business form stress has increased dramatically; it has almost been seen as an incurable disease. It's not anymore. During the years that this Government has been in place, we have in the first place been able to reverse a trend that has gone in the wrong direction, and for the first time, in 1999, we have seen that the form load on businesses has fallen. I agree that the decline is not very great, but when you look at the trend and development that has been over the last few years, it is an important change in time. For the first time, a complete overview of the regulatory body has also been compiled, which is comprehensive. A Statskonsult report shows that there are 12 000 regulations and regulations to be dealt with by Norwegian companies. There has been no overall overview of this as a basis for starting a reorganisation, as the Government is now doing through the ‘Simplifying Norway’ project. So the government has – not least as a prerequisite for the reduction of 25 pst. in form loads, not in the number of forms, for the enterprises in two years, which I have set as an ambitious target – launching large-scale projects in the field of coordinated electronic reporting, because it will provide a revolution not least for the smallest enterprises. That's 70 pst. of the form field comes from three public bodies: the central statistical agency, the tax haven and Brønnøysund. Through the appropriations made for the current year, there is now a large programme for electronic reporting. And on the day that you can electronically deliver the ordinary business tasks into a database, public agencies can ask the database instead of having to submit the information all the time. Here's a dramatic refurbishment of the form field. In addition, the Ministry of Economic Affairs has adopted this year as a pilot scheme that all new rules and laws should be tested in advance against a panel of companies, which we are quite certain will result in the application of rules for businesses. This is definitely more than cosmetics!
ParlaMint-NO_2000-02-23.ana.ud1940e107	In the 1997 election campaign, the Council of State appointed itself as the best friend of small and medium-sized enterprises. I think until now that many of these business leaders in hundreds of thousands of small and medium-sized enterprises have been quite disappointed. Nothing has really happened that has improved their tough everyday life. So to this ambitious programme with a time frame of two years: wouldn't it have been better for the government council and the ministry to be able to present concrete results prior to the 2001 Grand Prix, so that these hundreds of thousands of business leaders know if they would still vote on the government parties or choose other parties, in the light of the results achieved in this area?
ParlaMint-NO_2000-02-23.ana.ud1940e114	Firstly, of course, I appreciate the advice of the representative Hedstrom on how my party and the other government parties will act in the election campaign in a year and a half. But I think we'll also do our own thoughts about this. I come with a considerable degree of enthusiasm to sell it significant shifts in the regime around the small businesses that have occurred during the period this government has been sitting. I want to draw up a quote that I am constantly hearing in some talks from the Secretary-General of the IT Industry Association, Per Morten Hoff, who has said that this has happened more in the Ministry of Industry in the last two years for this type of small business than in ten years earlier. And I think we can draw up many examples of important things that have happened, not least as a follow-up to the action plan for small businesses that is now in good hands.
ParlaMint-NO_2000-02-23.ana.ud1940e121	Let's move on to the next main question.
ParlaMint-NO_2000-02-23.ana.ud1940e124	I have a question for the Minister of Justice. The Labour Party is in line with our international responsibility for refugees and asylum seekers in need of protection, or as for humanitarian reasons, for example. when children are involved, we need our support. However, in the practice of our refugee and asylum policies, there is also a lot of beauty and individuality. It's the government's responsibility. In a question to the Prime Minister in January, we argued from the Labour Party that Norway cannot, over time, have a refugee and asylum policy that is significantly different from other European countries or our neighbours. It was claimed, for example, that that the Norwegian authorities are the only ones in northern Europe who automatically grant a residence permit without restrictions to asylum seekers from Northern Iraq. A large number of asylum seekers who do not have a need for protection come to Norway from other countries because those who have been rejected. State Secretary Hamar said last week that Norway now wants to add Norwegian asylum policy closer to practices in the rest of Europe. Media is an important information channel, but it can also lighten the Council of State towards Stortinget a little in relation to what he wants to do, as he signals in today's newspapers.
