ParlaMint-NO_2010-05-11.ana.ud2574e104	The representative, Frank Bakke Jensen, will put forward two proposals for representatives.
ParlaMint-NO_2010-05-11.ana.ud2574e107	On behalf of the representative Elisabeth Røbekk Nørve and myself, I am delighted to make a proposal on the ownership and power of the fishing industry. And on behalf of the representative Elisabeth Røbekk Nørve and myself, I am delighted to make another proposal, which concerns the quota year.
ParlaMint-NO_2010-05-11.ana.ud2574e114	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2010-05-11.ana.ud2574e128	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-05-11.ana.ud2574e137	As rapporteur, I would like to review the Committee's position, and I would also like to say a little bit about what the Christian People's Party is particularly concerned about in this context. During the examination of the 2010 budget, the Stortinget decided to grant more fathers the right to take out a feathering quota by eliminating the requirement that their mother must have worked at least half the position during the performance period. This proposal contains the necessary legislative amendments for the implementation of the budget decision and a single committee supports it. The reason why we want to give more fathers the opportunity to take out the birth rate or parental leave is that we believe there is a need to support a development in which father's care potential is exploited to a greater extent than today. Children need to be in touch with both mother and father, and this is not least the first year of life. The majority believe that more and better contact between father and child is positive for the child — for father himself, for mother and for the family as a whole. This change will give about 1,500 more fathers the right to a feather quota. Once that change has been implemented, there will be about 6 500 fathers who do not have the right to take parental leave because of the lack of professional activity of their mother. Nevertheless, the Christian People's Party believes that even after this change, several fathers should be entitled to take out parental leave. The Christian People's Party, together with the Advancement Party and the Right, is therefore promoting a proposal asking the government to file a case in which those about 6 500 fathers who still do not have the right to take parental leave because of their mother's lack of work will have the opportunity to withdraw the parental leave. For a long time, good cross-political work has been done to stimulate a development in which men take more responsibility for their young than before. Although political decisions are not alone in driving such developments, it is clear that policy in this area has also had its significance. The family quota has played a very important role here. The proposal to remove the parental quota will undoubtedly be a step backwards for equality and for this important work, not least for the young, precisely because we have not yet reached the stage of full freedom of choice in this area. Employers have different attitudes to leave for women and men respectively. For this reason, the spring quota remains a good instrument, and will continue for many years to come, in order to ensure freedom of choice for parents. It also recently adopted amendments to the Children’s Act, such as: means that, if there are specific reasons, the right can decide that the child should remain permanently with both parents. The government here proposes updates to the Children’s Rights Act and the Cash Support Act as a result of the proposal that shared residence should also be subject to judicial review. A Joint Committee supports the proposal for amendments to the Child Protection Act. With regard to the proposal to amend the Cash Support Act, the entire Committee, with the exception of the members of the Progress Party, agrees that there is no need to amend the Cash Support Act at this point. The size of the population, in the context of the treatment of the Children’s Act, led to the practice of access to shared residence. An important and clear reservation – and delimitation – on the part of the Storting was that access should be tighter, that there should be specific reasons and that, as a general rule, access should not be used for children under seven years of age. Therefore, as the Stortinget’s decision on the second paragraph of Section 36 of the Children’s Act is understood, the majority consider that it is not appropriate to amend the Cash Support Act. Now and then there are discussions in this room about the action room in Stortingen to change the government's proposal. With the leadership laid by the Children's Act, it may be said that this was a somewhat hypothetical problem, but nevertheless an important signal when the Storting thus marks what the general rule of seven years is to be. I am therefore pleased that the majority, with the government parties, have agreed to adjust the arrangement of the government in this context.
ParlaMint-NO_2010-05-11.ana.ud2574e156	By the law decision we take in Stortinget today, 1,500 more fathers from July will be able to take out the paper issue. This is done by reducing the mother's salary requirement before leave from half a post to 1G. In this way, the Storting now helps step by step that more and more fathers get their own earned rights. Last year we gave fathers in families where mother went to work redundancy payments, opportunities for her own earned rights. Now we're expanding further. The goal is that through this step-by-step policy, we will eventually end up with our own earned rights for all fathers. However, the parent allowance and own acquired rights are linked, because the fathers who do not have their own acquired rights are entitled to parental leave, but not to the parental allowance. But both for fathers who have their own vested rights and for those who do not, there is an activity obligation related to the rest of the parental leave. Ergo is closely related to the family allowance and own acquired rights. So now, when the Right has proposed removing the feather quota and focusing on its own earned rights, removing the focus from what really is the big problem -- removing the feather quota. It's a fact that there's nothing of itself. There is clear evidence of the introduction of the spring quota in 1993 because before the introduction of the spring quota, it was only 3 pst. by the children who were born, who had a father who was at home. So of the kids who were born in 1992, only had 3 pst. a father who was at home on parental leave. Three years later – in 1995, 1996 – it was 70 p.m. of the dads who were on leave. Thus, the parental ratio caused men to be at home and to take out parental leave; it has helped to change the role of fathers in Norway significantly. In these days, the first fathers may take out ten weeks of parental leave. It's four weeks more than just six months ago. From just 17 pst. So in the next year, we'll see that the majority of fathers take out ten weeks. That is a consequence of the extension of the spring quota from six to ten weeks from 1 July 2009. You can ask yourself, are there going to be more fathers taking out the paper issue, or are there going to be fewer fathers taking out the paper issue if you take out the birth quota? The answer is quite obvious. It's pretty naive of both the Right Party and the Advance Party to think that if you remove the father's quota, the fathers will still have the opportunity to take leave. There are some reasons and expectations in our society that clearly show that attitudes are not as simple in terms of fathers as one would believe. There are expectations from employers, a still strong traditional gender role model, and the fact that many women still want to have most of the leave sea – in the belief that it is hers. The extent to which this right-wing freedom of choice exists for the families, I am therefore most uncertain about – precisely because there are so many external circumstances that affect parental leave. I therefore agree with Right Jan Tore Sanner, who said to the evening post during the national meeting to the Right, that the freedom of choice of the families will be reduced by removing the family quota. It is a fact and a point that while the other parties – the Christian People's Party and the Red-Greens – are engaged in giving their fathers more time together with their kids, the Right Party and the Advance Party thus pursue a policy in which they actually contribute to less time for fathers with their children. The Equal Pay Commission shows that the extension of parental leave is important for equal pay. Evidence is provided that the pay gap between women and men arises when families have children. Mom's working part-time, and Dad's working overtime. Men rage from women on the payroll path. To believe that we have come so far that the family will make an equivalent distribution of the parental premium, we believe is naive of the Right and Advance Party. It is a conscious family policy that has led fathers to take a greater share of responsibility at home, and mind-building work through legislation makes fathers now take different choices than before. In order for mothers to give up, and for fathers to make such choices, we need to make arrangements. That's why we don't want to remove the feather quota, we actually want to make sure that fathers get even more time with their kids in the years to come.
ParlaMint-NO_2010-05-11.ana.ud2574e167	This case, as both the case rapporteur and the previous speaker said, has come because of changes made to the State budget and because of the matter we had, which concerned changes to the Children's Act. We can have a debate here today on father's quotas and not father's quotas, on self-employment or not on self-employment. So the representative, Gunn Karin Gjul, put it up in this case. First of all, I want to congratulate Right on the decision they made at their national meeting. In contrast to previous speeches, both the Advance Party and the Right have faith in the family, and faith in father. It seems like the government parties with several people are saying that we just have to have laws and rules, because otherwise Dad wouldn't have taken out the quota. I believe that the modern father today will be with his kids, and believe that the distribution of leave must take place around the kitchen table, not here in this room. Removing the father quota does not mean that equality goes back, that is not to say that father takes less, but that means that the family gets more freedom and more self-confidence over their weeks. When the opponents say that no, we can't eliminate the birth rate because society isn't ready for such freedom, then it goes without saying that this falls on its own unfairness. The important thing about leave in this case is the right to self-employment. The government has now submitted a case in which they show that they are on the right track, but the government has not taken on board the fact that Dad has to have an independent right of use to get this done. Because we all know that after all, very much depends on the economy when the family is going to distribute these weeks. You also have to think about what's best for the child. Today, if for some reason the father does not have the opportunity to take out the ten weeks that the government has spent, the mother does not take over the weeks, and it affects the child, who is not allowed to have one of the parents at home. Therefore, at least the Progress Party believes that the most important thing here is that the family is given the right to self-determination over the weeks they are going to have leave, and I am glad that we can get a majority for it together with the Right sometime in the future. We are now discussing two issues, and the two issues are a little interrelated. At first we are very concerned that father should be at home with the child as much as possible, especially in the first year of life. But then we discuss a matter that goes on that there will be a break in the happy marriage or togetherness, and father and mother move away from each other. Then one is not interested in sharing, in that it should be equal, or in that father should have his or her share of the relationship with the child. Then it is a pleasure for me, on behalf of the Progress Party – and the government – to be allowed to promote the proposal that the Progress Party is making today, that there should be a sharing of the cash support. It's only the government and the Progress Party that's agreed on in this room, and it was a little fun to say that. The Progress Party believes that when there is a break in life, care shall be automatically shared. Then we think you can avoid some conflicts. When you have automatically shared care, you must also be able to share both cash support and child welfare. As the government in the amendments to the Children’s Act stated that, in some cases, the courts can judge shared care, it is a step in the right direction, but not as far as the Progress Party will go. That is why we have received a change in the law today that concerns changes in the Child Protection Act. But I find it sad that the government parties do not support their own government, and that the Right and Christian People's Party does not participate in a sharing of the cash support when care is shared. With that, I will address the proposals that the Progress Party has promoted and helped to promote in the matter.
ParlaMint-NO_2010-05-11.ana.ud2574e182	The representative Solvency Horne has taken up the suggestions she referred to.
ParlaMint-NO_2010-05-11.ana.ud2574e185	After hearing the previous speeches and the debate here in the Chamber, I almost got a feeling that the Right National Meeting was not over. I am very pleased that the Storting follows closely the debates at the parties' national meetings, and I am pleased that debates and decisions taken at the Right National Meeting also create involvement in this Chamber. Now it is not the case that we have to deal with today, is one for or against the family quota. I want to make it clear that from the right, there is no doubt that we believe that the father's quota has been very important. The birth rate has been necessary precisely for a father to have the opportunity to be at home with his newborn child. We know that this is the first year the strong ties are connected between the parents and the children, and we don't want to miss that opportunity. The father rate has also been important in relation to the attitudes of employers. There is now a expectation from many teams that father will be at home, and good employers understand that if you are to have happy employees, they must also be happy at home with their family. There are high expectations for different employers. Nevertheless, we see that today’s parental leave system is very rigid, very bureaucratic – it is a little flexible, and it takes little into account that all Norwegian families are different with different needs. Therefore, the Right believes it is very important that we review the entire parental leave scheme – making the system simpler, making it more flexible and giving more opportunities to parents. We in the family committee are often told that people have difficulty dealing with Nav, that the system is hard to understand. I took a little test on it myself. I have several times recently called Nav and asked detailed questions about parental leave. They're very hard to answer. It's not opposition from Nav's side – not at all – but it underscores the point, that the system is terribly difficult to understand. There has been a major change in parental withdrawals from parental leave in recent years. I think we'll still see that several fathers are going to be at home, regardless of their father's quota. But it's not a yes or no to the father quota we're discussing today. The size will have ample opportunity to discuss it. We have a proposal that is on the table, with the rapporteur's first observations coming beyond the day. I look forward to a very exciting debate in Stortinget when we are going to deal with the quota itself. I want to say that I am happy that the government is adding up that 1,500 fathers are now going to have the right to withdraw the feather quota. And I'm very happy that the government is now helping to give several fathers the right to self-sufficiency, even though, unfortunately, they are voting against the proposal that 6,500 fathers should have this opportunity. For the Right, it's very important that we treat mother and father as caregivers. It's important that dad get the same rights and the same opportunities as mother. There we have a way to go. That is why I am a little surprised why the government said no in this case that the 6,500 fathers who do not have the right to withdraw the family allowance today should have the opportunity to do so. I am very pleased that the Christian People's Party is working with the Advancement Party and the Right in this matter, and I just want to give Dad and Mom equal opportunities in taking out parental leave.
ParlaMint-NO_2010-05-11.ana.ud2574e202	The birth rate is a success story. The more we increase the father's quota, the more leave takes father, and the more fathers take out more than the time they need. With the government's proposal, we ensure that several fathers are granted the right of withdrawal, and as the representative Gjul pointed out in his statement, this is closely linked. Now we're changing the legislation so that fathers get the right to take the paper issue even though the mothers have only had part-time jobs. Children need to get acquainted with both their parents, and parents need time to be with the children. Strengthened father rights help children to connect equally to both parents. It gives a more like-minded parenting. When mother and father share parental leave, they also often share care after the leave is over. That's good for the parents, and that's good for the kids. Today, women serve consistently less than men. Women’s annual income in 2007 was only 64 pst. of the man’s annual income. I've said it before from this pulpit, and I'm going to repeat it until the women's annual income comes to the level of men: having their own money and being able to support themselves is the key to women's liberation. We never get an equal society if women are to earn so much less systematically than men. Although equal pay is a big and complex issue, for many reasons, it does not mean that we do not know the causes of the different wages. On the contrary, we know a lot about what's going on. We know that there are women who take the most responsibility for houses, homes and children. We know that this bias attaches itself to a pattern that is set when the child is born. We know that it is when women have children, they lag behind in the wage struggle. And we know that it helps with measures that make Dad more at home. That is the question of whether we should implement such measures. That's what SV has been working for for for years. This proposal is an example of actions that go in the right direction. The right, which was formerly involved in the introduction of the spring quota, has now abandoned equality policy in favour of the rhetoric of the 1950s family policy and the government flotation of the Progress Party – a party that has never been for equality. Furthermore, it is positive that the Right Party and the Advance Party promise independent earnings rights as an important matter. But it is sad that at the same time, through their national meetings, they will in practice deprive many fathers of the opportunity to take out leave. It is also timely to recall that none of the above-mentioned batches had put out money for self-sufficiency in their alternative budgets. As of 1 July, 1,500 more dads will have the opportunity to take leave. The opposition talks, the red-green trades. With the government's goal of extending the father's quota to 14 weeks, we are taking important steps towards equality for women and men.
ParlaMint-NO_2010-05-11.ana.ud2574e217	The center party is busy with the family, and we're concerned that we're going to have an equal parent, where both mother and father take on the responsibility of having kids. In order for a young person to be in good contact with both mother and father, it is important that the possibility of bonding in the first year is present. The primary thing is, of course, that we should have good and strong families, but this will also have an effect in other areas. When Dad takes more responsibility for the kids, we avoid the biased division of responsibilities that we see today, where mother assumes this responsibility mainly, which in turn affects wages, working conditions and rights later in life. In the context of the treatment of the 2010 State Budget, it was decided that several fathers should be entitled to a federal quota. It was done that the requirement that mother must have worked in at least half of the working hours in order to obtain the right to a family allowance falls away. The Advance Party and the Right are talking about freedom of choice for families. Families have a lot of freedom of choice today. Most of the leave you can actually sit around the kitchen table and discuss how to share. There are flexible arrangements with, for example: Time account. It is not that Father must take out his part of parental leave for a specified period of time. So families have a great opportunity to sit around the kitchen table and discuss how they want to spend their lives for their family. But in most cases this doesn't happen. That is why the proposal adopted by the Right at its national meeting, namely the removal of the parental quota, will not be a proposal that relates to the realities and the society we actually see today. Although we still have a part that needs to be done before we can say that our parental pension scheme is an equal and transparent system, this is definitely a step in the right direction. The government is working on a work that will have a major impact on families, and the work will hopefully give us a better, more transparent and more flexible system. With regard to the proposal for a change to the Children’s Rights Act and the Cash Support Act to adapt the Storting’s decision on changes to the Children’s Act, I refer to the comments, which are based on the assumption that the amendments to the Child’s Rights Act are sufficient adaptation and therefore it is not appropriate to amend the Cash Support Act.
