ParlaMint-NO_2010-06-03.ana.ud2616e53	Mr Solvik-Olsen will make a proposal for a representative.
ParlaMint-NO_2010-06-03.ana.ud2616e56	I have delighted to make proposals on behalf of the representatives of Henning Skumsvoll, Oskar Jarle Grimstad and myself on a big message about the state of energy of the kingdom.
ParlaMint-NO_2010-06-03.ana.ud2616e61	The representative, Olemic Thommess, will present a proposal for a representative.
ParlaMint-NO_2010-06-03.ana.ud2616e64	On behalf of the representatives of Ib Thomsen, Jan Tore Sanner, Dagrun Eriksen, Trine Skei Grande and myself, I would like to make proposals for extending the tax deduction scheme for gifts to non-governmental organisations.
ParlaMint-NO_2010-06-03.ana.ud2616e69	The representative, Mr Sortevik, will make a proposal for a representative.
ParlaMint-NO_2010-06-03.ana.ud2616e72	On behalf of the representatives of Bård Hoksrud, Jan-Henrik Fredriksen, Inbjørg Godskesen and myself, I have the pleasure of presenting representative proposals on changes in the calculation method for the social benefit of investments in road and rail.
ParlaMint-NO_2010-06-03.ana.ud2616e77	The representative, Elisabeth Aspaker, will put forward a proposal for a representative.
ParlaMint-NO_2010-06-03.ana.ud2616e80	On behalf of the representatives of Svein Harberg, Henning Warloe, Erna Solberg, Ine M. Eriksen Soreide, Frank Bakke Jensen, Ingjerd Schou and myself, I am delighted to present a proposal for a representative on the right and obligation to continue training for teachers and more flexible study offers.
ParlaMint-NO_2010-06-03.ana.ud2616e86	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2010-06-03.ana.ud2616e102	Norway is today a significant player in the energy sector despite being a relatively small country in the world. Of course, this is mainly due to our activity in the oil and gas sector, which means that we have just received this important position that Norway has. When I promoted this interpellation that we now have for treatment in the hall – it was otherwise in April – one probably did not know that it was going to be as timely as it has now suddenly become, related to the situation in Statkraft. Oil, gas and coal are also going to be the dominant energy source in the future, and it's going to be the case for very many years. However, there is now a strong will, both nationally and internationally, to invest in building up significant amounts of renewable energy. In this context, there are many measures and investments to be implemented. This is true in Norway, but not least internationally — there are relatively large hydropower deployments in India, Nepal, South America, etc. In addition, there are a number of other types of projects in wave power, tidal power, small-scale power plants, onshore and offshore wind farms etc. In the context of the large investments, and therefore the business opportunities offered by this, it is important that we, as authorities, provide Norwegian companies with good framework conditions and, in particular, opportunities for development to participate in these developments. In Norway today, we have several robust and good companies that are market-leading in their renewable energy segments. This applies, of course, to private and partly public, but also to purely state-owned companies, such as Statnett and Statkraft. State power has evolved over time to become one of the leading renewable energy companies in Europe and has a planned investment portfolio of 90 billion. until 2015. If both Statnett and Statkraft are to be able to meet the plans they have for the future, these companies will need significant amounts of fresh capital in the years to come. There's, of course, several ways to fix this. After all, companies may have to finance all their investments, with the additional costs and uncertainties that this provides for future profitability in projects. They may be partially privatised so that other actors can bring in fresh capital. The State may choose to sell entirely out of the companies, thereby losing control of both the head office position and not least the bet areas, or choosing another solution in which the state changes its dividend policy towards the companies and in addition adds fresh capital to the companies, so that planned and commercially profitable investments can be realised without having to reduce equity too much. What becomes the final solution is up to the owner – that is, in this context, the Minister of Industry and the Government. They have to decide this. Of course, it's because the government has a majority behind it in the Storting. It should be relatively obvious what is going to be and should be the solution to the ownership of the companies. This will of course be that both Statnett and Statkraft will continue to be whole-time state companies. What is very unclear, however, is how the State that owns in the future will use its ownership of these solid and important Norwegian companies to enable them to continue to make profitable investments both at home and outside. Not least is the question of what to do with dividend policy and the possible introduction of new capital. I just want to make it clear that I am not asking questions about whether these companies have a safe and sound economy or not, because they do. These are very robust companies. But what I'm referring to is that if they're going to be able to continue to evolve in the future, we have to do something. The question is how the state will act as owner of these companies. This is reflected in the book published by the government in September 2008, as a result of the treatment of St.meld. No 13 for 2006-2007, An active and long-term ownership, cf. Inner. S. No 163 for 2006-2007, with then Minister of Economic Affairs Sylvia Brustad in charge. In this book, ‘Government’s Ownership Policy’, it says among other things: the following to read about Statkraft – and it reads on page 37, so that you can easily find out: ‘State power shall work within the EEA legislation to meet industry’s needs for stable and long-term power supply.’;» It also says: ‘Further, State ownership ensures head office functions and development of the Norwegian environment of competence in energy production in general and environmentally friendly energy production in particular, including new renewable energy production.’ Furthermore, it's also interesting to read what's in the new, revised version of the Soria Moria statement. I quote from there, under the bullet point of the chapter on renewable energy. The Government will: ‘to facilitate the further development of State power as a renewable energy engine’. This is very much in line with what Statnett and Statkraft have done, and not least what they plan to do in the future. But, as I said, for this, of course, capital is needed. On 4 February 2009, the government sent a request for a capital injection of 8 billion. kr, in the light of the plans of the company, to the Minister for Economic Affairs and Trade. It is with respect to report something strange that a full-time state company, now that 16 months after this request was sent, has not yet received a response from the ministry, especially when the same owner during this period has not had problems collecting very many billions of dividends from the same company. In the period 2006-2009, dividends of NOK 29 776000000 have been collected from the State. I hope that the Council of State in its statement will tell the Stortinget that Statkraft will receive an answer to its request for capital injection within the Council of State to take a vacation, and I also hope that the Council of State will say something about what it intends to do about the state's position as owner of these companies, not least whether he intends to put himself on a slightly different line in terms of the dividend policy of the company. Because it is obvious that there needs to be a slightly different line of profit from these companies if one really believes that these – both Statnett and Statkraft – should have a role as renewable energy developers and ensure that they are able to expand both outdoors and at home. Because if they're going to help maintain their skills in Norway, we just need these environments. It is then necessary to have a clearer feedback that these companies will be able to retain more of the value created by these companies. Because it's profitable companies, they make good investments, and also the projects that are planned, clearly show that there is a great potential here in the future. I am therefore looking forward to the Council of State's response, and not least I am very excited if the Council of State will now be able to promise Statkraft an answer to the enquiry that has been sent, because it is unacceptable that it will take more than 16 months to get an answer to such a request.
ParlaMint-NO_2010-06-03.ana.ud2616e139	The President assumes that it is the interpellant who has forgotten his glasses here again – but the political view is probably the same.
