ParlaMint-NO_2010-05-12.ana.ud47e26	The representative, Per-Willy Amundsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-05-12.ana.ud47e29	On behalf of the representatives Siv Jensen, Per Sandberg and myself, I would like to make a proposal to make the ‘undermining of the institution of asylum’ an aggravating circumstance in criminal law.
ParlaMint-NO_2010-05-12.ana.ud47e34	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-05-12.ana.ud47e37	On behalf of the representatives of Svein Flätten, Trine Skei Grande and myself, I would like to make a proposal to draw up a report on the state's ownership.
ParlaMint-NO_2010-05-12.ana.ud47e42	The representative, Mr Øyvind Håbrek, will put forward a proposal for a representative.
ParlaMint-NO_2010-05-12.ana.ud47e45	On behalf of representatives Laila Davøy, Rigmor Andersen Eide, Hans Olav Syversen and myself, I have been delighted to promote a proposal for a representative on the framework conditions for non-profit actors operating health, care and child protection services.
ParlaMint-NO_2010-05-12.ana.ud47e50	Finally, Mr Anders B. Werp will put forward a proposal for a representative.
ParlaMint-NO_2010-05-12.ana.ud47e53	On behalf of the representatives of André Oktay Dahl, Ingerd Schou, Michael Tetzschner, Arve Kambe and myself, I would like to put forward a proposal for a representative on strategy and measures to combat organised crime.
ParlaMint-NO_2010-05-12.ana.ud47e59	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2010-05-12.ana.ud47e81	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Kristin Halvorsen State Council Anne-Grete Stroem-Erichsen State Council Hanne Inger Bjurstrøm The state councils advertised are present, and we're ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative, Siv Jensen.
ParlaMint-NO_2010-05-12.ana.ud47e100	I have a question for the Minister of Health and Care. Mette is sitting in the gallery today. She's a mom. One of her children is severely disabled. She does what all parents want, namely to take care of her own child, to care for her own child, to care for her own child. But in order for her to cope, as many other parents in similar situations around the country, she is dependent on a decent care allowance to get it done. We know that the situation varies considerably around the municipalities, as this is still – unfortunately – a municipal responsibility. The Health Authority has punished the municipalities to refuse many applications, and unfortunately it is in many municipalities that you do not have a fully-fledged system to attend to them. In other words, there are many families, many parents, who are fighting a completely meaningless and long-lasting fight to actually achieve a win-win situation. So one thing to do is to save public and taxpayers a considerable amount of money, because the option of caring for their own children – which is the most natural thing in the world – is a 24-hour institutional space where the distance between the family and those in need of care increases. In addition, it's better for those who need care, to be with those you're most happy with. As if that's not enough, it's reasonable for all of us to be able to function well in a normal family situation with those we're happy with. My question to the Council of State is: In January, the Council of State was challenged to pay care in this Chamber. What has happened since then?
ParlaMint-NO_2010-05-12.ana.ud47e111	There is no doubt that parents who have disabled children have a high workload and often a very demanding everyday life. It is also very understandable that many parents want to take care of their children themselves, and pay for care is then a system that may be up to date. What I said in January was that we wanted to set up a sample to look at all of this in a wider sense, because, as the representative Jensen says, there were differences in the different municipalities – this was demonstrated. In these days, we're going to decrease this sample. We've been working on the mandate. The committee will work as soon as possible to get back to Stortinget in an appropriate way to inform them about the matter.
ParlaMint-NO_2010-05-12.ana.ud47e118	This doesn't last. The pension scheme has been in force for 20 years. Health oversight has also penalised the government because the scheme works too poorly, and changes have been required to ensure greater legal certainty for the families affected by it. In Soria Moria I, the government said they would strengthen this arrangement. In Soria Moria II it had been reduced to a review of the scheme. But it does very little to help the parents who are affected by this. The easiest way to solve this, rather than having new samples to figure out what we already know, is to make this a government funding mechanism that makes all families, no matter where they live, get the same right to decent care when the need arises. I have problems understanding that it's very difficult, and that it requires long investigations. I would like to know what the Council of State itself thinks about this, regardless of what the sample had to come up with.
ParlaMint-NO_2010-05-12.ana.ud47e127	There should be no doubt that there should be good arrangements for parents who have disabled children, because they very often get increased costs of having children who require both extra care and a lot of extra equipment. That's the government's concern. In the matter of care pay, I have actually replied to that in Stortinget more than once before and said that we want to put this sample down. It has taken some time to work on the mandate, but it is precisely because this is a system that works so differently. In order to achieve a more equal system, we have worked extensively with the mandate. We're about to put this sample down and we'll come back with it. But I would like to stress that this is just one of many arrangements in connection with taking on a great responsibility for care and care. We're going to have a proper review of this. That's exactly why we're putting the sample down.
ParlaMint-NO_2010-05-12.ana.ud47e136	Three follow-up questions will be raised – first Kari Kjönnaas Kjos.
ParlaMint-NO_2010-05-12.ana.ud47e139	The Minister of Health and Health talks about a sample, but on 18 January, Liv Signe Navarsete says to the Municipal Report that she wants the treatment of care pay to be equal across the country. She says that those who want to pay care should have a predictable system wherever they live, and that they should be able to take care of their neighbors without having any problems with the economy. She wants the state to cover 50 pst. of the scheme. Neighbors' seats further say that she wants to contact the Minister of Health and Care in order to have a quick review of the scheme. This was a joyous news for the Progress Party and all those who have fought for years for this scheme. Since I have little experience with what the government calls "fast review", I have the following questions: When is the Navarsets' care allowance introduced? Or is this just a new example that the government is conducting one policy in the media and another in the government offices?
ParlaMint-NO_2010-05-12.ana.ud47e148	Because the care allowance is an important scheme for those who use it, and because it has been practiced differently in different municipalities, I have also previously informed the Storting that we will reduce this sample to look at the scheme, so that it can be an equal scheme throughout the country. That selection is on the stairs. It's going to decrease by the first. The term of office of the selection is now complete. And then we're going to work as fast as we can to get back and get an equal order. I would like to stress that this is one of many schemes, but equally fully care pay is an important scheme for some families.
ParlaMint-NO_2010-05-12.ana.ud47e155	Sylvi Graham – for follow-up questions.
ParlaMint-NO_2010-05-12.ana.ud47e159	I'm really not sure which state council should answer my question, because it's about disabled children who become caste balls between state councillor Bjurstrøm and state councillor Stroem-Erichsen. Anyone who has a proposal for a solution might be allowed to answer here. In recent months, many families with severely disabled children have lost their right to care. These are families who cooperate with health services on comprehensive approved home care facilities for these children. Nav has now decided that this will no longer give entitlement to care allowance. It has dramatic consequences for these families because parents no longer have the opportunity to care for their children and run these intensive training courses. The alternative for the child is often a poorer and more expensive provision of accommodation. The right has addressed this issue with the Minister of Labour and has asked the families who have been granted this benefit to retain it. The Minister of Labour rejected this and referred to the care allowance, which is the responsibility of the Minister of Health and Welfare. When we point out that the care pay system works poorly, it is pointed further to the municipalities. [[President clubs]] Can we expect the Councils to interact? [[The President Clubs Again]]
ParlaMint-NO_2010-05-12.ana.ud47e170	Then speaking time is out, and State Council Stroem-Erichsen is given the opportunity to answer.
ParlaMint-NO_2010-05-12.ana.ud47e173	The representative, Sylvi Graham, said she didn't know which state council she was going to ask. In the case of care allowance and Nav, it is obvious that government council Bjurstrom is the right address for it. When it comes to care pay, I just want to repeat what I've said several times. We will have a full review of the welfare pay system. We're dropping a sample in these days. I've been briefing the Storting about that in the past. We have been working on the mandate precisely because this is going to be as equal and fair a system as possible.
ParlaMint-NO_2010-05-12.ana.ud47e180	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2010-05-12.ana.ud47e183	We really know enough about care pay. I want to say it so strongly that it is a human right for children who are disabled, to be able to live at home with their parents. We will also find that in the UN Convention on the Rights of the Child. But unfortunately, today it is not possible to do everything, not least because care pay is practised very differently in the different municipalities. There are clearly less ambitions in the government in this period. In the last period, we were happy that the government was going to improve the scheme. Now you have to go through it, and we have to accept that. We don't have a majority in the Biggest, we're the other people who want to do this faster. Will the sample start before the summer, and how long does the Council of State think it will take before parents who have disabled children can expect us to have an equal arrangement across the country?
ParlaMint-NO_2010-05-12.ana.ud47e192	Sometimes it seems that care pay is the only support system for families who have a great need for care and care for their children. It's not. It is one of several schemes, and the municipalities make different plans. Some municipalities provide very much for families with disabled children. I've seen a lot of examples of that myself. It would be wrong to create the impression that care pay is what is needed to provide support and care for disabled children and their families. So I'm concerned that this is going to be a fair arrangement. I can answer yes that the sample will be reduced before summer. I also want to repeat, as I said in Stortinget in the past, also in response to Laila Davøy, that we are going to work on this as quickly as possible in order to get a system that is equal throughout the country. I want to stress that this is one of several arrangements.
ParlaMint-NO_2010-05-12.ana.ud47e199	Let's move on to the next main question.
ParlaMint-NO_2010-05-12.ana.ud47e202	My question goes to the Minister of Knowledge. Focus yesterday was a new reminder that the school is failing many of the students who need it the most. It is unacceptable, in the opinion of the Right, that there is a decoration of grades rather than a grip on serious difficulties in reading and writing. The Minister of Knowledge has repeatedly stressed that everyone seems to agree that the teacher is the key to more education in school. A good teacher is a good educator, but he or she is also fundamentally engaged and competent in his or her subject. As Inge Wohnning said it: ‘No one is so good at teaching that he is able to teach others something he cannot himself.’ In high school, one in four real-time teachers with a penetrating period of five years. From 1998 to today, the number of students in secondary school has increased by about 30 000. In the same 12-year period, the number of teachers with real-life depression has been at rest. In plain text it means that today's government is heading towards a serious crisis in the real subjects of high school. We have too few teachers, and we're going to get too few teachers with depression, master degree. The real science strategy of the Halvorsen, ‘Real science for the future’, describes the serious situation. The problem is that it stops the review. In fact, when it comes to real-time teachers in high school, the strategy is bare for targets for recruitment. I assume that the Council of State believes it is serious that 25 pst. by real-time teachers who are immersed in their field of study, they disappear from higher education in five years. My question is: what immediate action will the Council of State and the Government take to counter the serious teaching crisis in real science that is now under way?
ParlaMint-NO_2010-05-12.ana.ud47e222	This is where immediate action is taken a long time ago. This is a systematic work that we can't believe can solve in a very short time. This is precisely why it is important that we now systematically focus on recruiting more real-time teachers for school. It doesn't really start there. It starts by increasing interest in real science from school onwards. This is why we have increased efforts in primary, secondary and secondary education. You get extra points to choose real-life in higher education. You want to make sure you get better recruitment for real science at universities. This is extremely important, it's absolutely right. It's also important that many of the real-time teachers who may now be wondering if they want to get rid of the AFP, think about it again. Many of them we're going to need further in the future. So here's a systematic work that's going on, not some hokus pocus and immediate action, but systematic work. In addition, I would like to say that we have further training arrangements, which have been a topic between the representative Aspaker and me earlier in Stortinget, where we have a challenge as part of the places that have not been used. We are now working to see how we can ensure that teachers take extra study credits for example. continuing education mathematics.
ParlaMint-NO_2010-05-12.ana.ud47e233	The only thing I think is systematic when it comes to action is the system of government parties voting for good proposals from the Right in this Chamber to get more speed on continuing training. The point is and the fact is that hundreds of places in continuing training for teachers are empty coming autumns. Every single place should be filled. The problem is that the senior measures proposed by the Right for real-time teachers have been voted down by the government parties. From TIMMS studies, we know that students with the greatest depression in mathematics have lower performances today than they should have. At the same time, the Government of the Real Skills Strategy Plan states that new renewable energy and other technological industries needing more real science than ever. I ask again: what are the immediate measures? I don't mean the long plans, because teachers disappear over the next five years.
