ParlaMint-NO_2010-04-20.ana.ud1350e36	The representative, Peter N. Myhre, will put forward two proposals for representatives.
ParlaMint-NO_2010-04-20.ana.ud1350e39	I have the pleasure of promoting two representative proposals. One is from the depositors Ketil Solvik-Olsen, Henning Skumsvoll, Christian Tybring-Gjedde, Peter N. Myhre, Per Arne Olsen and Oskar Jarle Grimstad to assess the mandate, powers and role of the Riksantikvaren. The second is from the staging representatives Peter N. Myhre, Bård Hoksrud and Arne Sortevik to increase the speed limit on motorways class A to 120 km/h.
ParlaMint-NO_2010-04-20.ana.ud1350e48	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2010-04-20.ana.ud1350e62	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-04-20.ana.ud1350e71	Too many Norwegian children need a safer everyday life. It is our task to facilitate that as many children as possible are brought up as well as possible. There are few adoptions of Norwegian children. Many Norwegian couples are in line to adopt children, but they are mainly children from other countries. It's a demanding process, and the waiting time is long for most. Many Norwegian couples would probably adopt children born in Norway if possible. Many foster parents would like to adopt the children they care for. It has been discussed in several contexts and for many years whether access should be open to contact between biological parents and children or children and biological relatives after adoption, so-called open adoption. This has been discussed in particular with regard to the adoption of foetuses. Furthermore, there has been a strong concern from different disciplines that adoption is such a small measure of child protection. In the question of whether access to the right to contact between biological parents where there is an interest in the child in both adoption and contact with biological parents, the Supreme Court has, in two decisions, directly invited the Ministry to examine such an opportunity. This is essentially a matter of this. Right-of-visit adoption represents something new in relation to the relationship between the child, biological parents and adoptive parents after adoption. An overall committee has concluded that adoption under § 4-20 of the Children's Protection Act where such decisions can be taken will continue to be a very invasive coercive measure. Of course, there will be different perceptions in such a comprehensive case where the best of the children is the central one. That is why I am very pleased that a strong majority in the Committee, that is. all except the Advance Party, agree with the Government’s proposal that, if, following a concrete assessment, the child’s best solution is to be found, a right of contact may be established between children and biological parents following an completed adoption. It is important to stress that the aim of the proposal must always be the best of the child. The stability and foreseeable growth of the child must be decisive for the measures taken. It is important that in such cases, children may be in contact with biological parents, confident that they remain with their adoptive parents, and that this does not hinder the role of adoptive parents, even if it is easy to see that this can also be quite challenging for adoptive parents. Such a system can only work if there is a high degree of certainty that such cooperation can work. The Committee would also stress that association with biological parents is one element of the overall assessment of what is best for children and that visiting contacts are only relevant in a very limited number of cases. And once again, the main condition must be that it's for the child's best. It is not intended to ensure a relationship with biological parents for the purpose of repatriating the child, but in that case to give the child some knowledge of biological parents. The child must be guaranteed all the benefits of an adoption in order to gain a safe growth. The Progress Party, which is strangely not part of the majority's opinions, will probably present its views. It may seem that the Progress Party believes that the children should return to their biological parents almost in any case. The Committee is divided into a view on whether there are only biological parents or whether more members of the immediate family can have this contact. Government parties consider that there is a central point in limiting the circle of persons, taking into account the scope of the case, the length of the case and the risk of new tests. We believe this will put extra stress on the child. When it comes to determining the right to contact, it is important for me to stress that the child’s own vision must always be sought and put into focus. Everyone except the Advance Party believes so. In the case of new tests, the majority is concerned that arrangements which are process-driven need not be opened up. Finally, I hope that this case will lead to adoption being assessed in far more cases than today, in order to secure children. So to proposal No. 3, from the Christian People's Party, which insists that one should have a review of the practice in this matter. I would like to encourage the Christian People's Party to submit the proposal without a vote of substance.
ParlaMint-NO_2010-04-20.ana.ud1350e97	The issue we are dealing with today has come up a little bit as a consequence of several issues of adoption that have been dealt with in recent years. Much more use of adoption as a child protection measure has been opened up in recent years. Adoption itself is something that, for my part, I associate with a little happy couples who adopt children from abroad. Many of us also remember the movie Annie, which is about adopting a child from an orphanage – with some American conditions on it, then. However, adoption as a child protection measure, or adoption in itself, domestic adoption, is something that there has not been a tradition of using here in Norway. There's been a lot more use both in England and in the United States. For many, adoption is a matter of safety, of safety for the children concerned, and it must also be such that they have a stable framework around them when they are adopted. What the Progress Party in this case wants to clarify is that it is coercive adoption as a child protection measure we oppose. It's a very intrusive coercive action, and, as I see it, it may be contrary to several conventions. The Party considers that, as far as possible, the child shall be granted the right to know and to be cared for by his or her parents. We believe that the relationship between the child and the biological parents is important for both the child and the biological parents. But then the Progress Party should also recognise that in some cases it is not best for the child to live at home with the biological parents, and in some cases the state has to go in and take care of it. However, for the Advancement Party, it is important to have an intention to return to the biological family. Everyone can change, everyone can change their life. But implementing a forced adoption is so final that there is no possibility of repatriation. Sweden has a system in which they have used much longer-term foster homes. Therefore, the Progress Party in this case has not addressed the comments of the other parties. That is what I want to clarify in relation to § 4-20 about the use of forced adoption as a child protection measure. The rapporteur was very concerned about the position of the Progress Party. Now I have explained our primary views on this matter. But I also want to say that we will subsidiaryly support the Government in this matter, because when the Government here opens up that those children who are adopted away may have contact with biological parents, this is a small step in the right direction. But then you can also see that Norwegian Psychologists' association is called good parenting. It's maybe that if you're a good parent or adoptive parent, you can see that the child can enjoy having contact with his biological family. Then it's not safe to change the law. Several hearing bodies have also dealt with the relationship with biological family and biological parents. We know that for some children who have been adopted, it may be equally important to have contact with siblings, grandparents or other families. It is surprising that the government has not taken this into account. Adoption with contact, which is decided today, will give adoption a slightly different character than it has today. This may lead to multiple heifers being adopted, but it may also result in more children being adopted and getting the same level of safety. The adoption of contact means that adoption will not lead to an absolute break between the child and the biological family. It seems that the Progress Party is so important that we primarily support the Government in this proposal, by giving the child at least an opportunity to contact the biological family. We talk a lot about children's best and children's rights in this committee, and it is important to focus on this as well in this case. For the Advancement Party, it is important that the child also get a good knowledge of his biological family. Finally, I will be allowed to promote the minority proposal of the Progress Party. We will also support the proposal of the Right and Christian People's Party, proposal No. 2, that it should be called ‘biological family’ and not ‘biological parents’. We will subsidiaryly support the Government's proposal for II.
ParlaMint-NO_2010-04-20.ana.ud1350e125	The representative of Solvency Horne has taken up the proposal to which she referred.
ParlaMint-NO_2010-04-20.ana.ud1350e128	This is a very important issue for those concerned, adoption seekers, biological parents and, of course, the children who are in the situation that adoption is a topic. The rapporteur has presented in a clear and transparent way many of the issues that have been the subject of the Committee. The right-hand side mainly supports the Government's starting point in this matter. To find solutions for the child's best is to a very large extent about also having flexibility to do so. Creating general rules for special cases is demanding and in this context may be particularly demanding. Each child has his or her history, each family has its history and its particular context. Then it is clear that there must be room to seek out special – we should call it – structures around the individual child that care for the interests of the child as much as possible. I see the Government's proposal as a proposal that is just going in that direction. It softens the adoption system in order to provide a more flexible starting point for finding out – I'll say – a good step forward in the individual case. We see that as a positive. The question of the right to know about biological parents, biological origin, is a recurring issue on family issues and issues related to children. The right-hand side has as its starting point that it's an important point. Having the opportunity to get to know their parents is a principle we follow in other contexts of family policy. When it comes to this specific question, we believe that that perspective is strengthened by the proposal that is now before us. In fact, we believe that in the need for tailoring, it is a pretty good point that even the circuit with which you might be able to have contact should be something broader than just the biological parents. We therefore rely on the proposals that support this. With regard to the setting, there has probably been an incursion, in the sense that the Right has been with a little longer than that for which there is a basis. It is such that the right should be included on proposal No. 2 I, but we shall not support proposal No. 2 II, as indicated in the setting. We will also support proposal No. 3, from the Christian People's Party. Therefore, in view of the vote, I do not choose to raise a proposal No. 2nd@item: inlistbox I assume that the Christian People's Party does. But I signal as a explanation of vote that we are going to vote in favour of proposal No. 2 I.
ParlaMint-NO_2010-04-20.ana.ud1350e141	The representative, Olemic Thommessen, has made it clear that there is an error in the setting. It'll be fixed in the usual way.
ParlaMint-NO_2010-04-20.ana.ud1350e144	Today, we are making changes that represent something completely new in Norwegian adoption legislation, that is, visiting contact between biological parents and the child after adoption. Like other matters of this kind, this is not an easy matter. There are many very difficult questions about this. One can imagine situations in which contact with biological parents will not be appropriate, and sometimes it may be directly harmful to the child concerned. You can imagine situations where children end up in conflict between biological parents and adoptive parents. One can imagine situations in which biological parents do not follow up on the contact proposed, and the child has to experience the rejection and disappointment that this entails. Or you can imagine situations where the child himself does not want any contact with his biological parents. But can we imagine that there are situations where limited contact will be good for the child? Is there a situation in Norway where such contact would not threaten to create uncertainty, but on the contrary will contribute to a safer and more stable situation for a child? You can imagine a situation where the child will experience it as well as knowing that the biological parents are doing well, for example.? The Supreme Court has twice urged the Government to investigate directly the possibility of so-called open adoption, which is what we're talking about here. It is important for me to stress that this will not be a norm, but matters of the Supreme Court and experience of child protection show that there are issues and situations in Norway where this may be appropriate. I have not intended to stand in this room and stand in the way of such an opportunity. I am pleased that the majority of the committee agrees with me. The following points are of particular importance: This is not about contact with a view to bringing the child back to biological parents. On the contrary, the child shall ensure that the adoption situation is permanent. Such a scheme places great demands on adoptive parents. Therefore, they must consent to such a arrangement. Nothing would be more devastating than whether the child is in a conflict of loyalty or a dispute between adoptive parents and biological parents. You have to be sure that the biological parents will follow up the contact. Some hearing bodies have pointed out that in situations where all parties are positive for further contact, this will still occur. But I would like to stress that what is precisely the purpose of these changes is to provide the contact with the proper framework and ensure children's rights. The child protection service shall have an active role in the preparation and implementation of the contact and shall have a duty to ensure that it does so in a manner that is in the best interests of the child. The child is an independent legal entity with its own rights. Therefore, the child’s opinion must be extra heavy. To the Advancement Party, I would say that adoption and child protection are about children's right to a safe upbringing, not about biological parents' right to their own children. I interpret the proposals of the Progress Party more as parental rights than as child rights. Finally, I would like to say that it is good that we insist that it should be a proper professional assessment of when children are to be adopted to Norway. The changes we are making today will help to strengthen the protection of adopted children.
ParlaMint-NO_2010-04-20.ana.ud1350e173	The centre party is concerned that all children should be entitled to good and safe care. In cases where the home does not have the power to care, it is the responsibility of society to ensure that children and young people receive full care and good growing-up conditions. When a child comes under the care of child protection, some of them will sooner or later be brought back to their parents. It is always hoped that parents will be able to care for these tasks, but in some cases it is not a good alternative. In this way, children are suggested to have unstable growth, perhaps with different foster homes and always an uncertainty about contact with their biological parents. The question is always: How long can you stay in your foster home? Many will also feel that they do not belong properly in a family. Therefore, it is possible to make use of adoption without the consent of the parents. It has been discussed over several years why adoption is so little used in child protection, as it can give the child better and more stable growth. Although it has many advantages, it should also be aware that taking advantage of adoption is a very drastic measure. It must only be used in cases where a return to parents is seen not to be relevant, and of course the child’s best interests are to be taken into account. Increased use of adoption will raise a number of questions, including: what we are discussing today, the question of whether access to the right to contact between the child and the biological parents should be introduced after adoption in cases where it is best for the child both with adoption and with continued contact with biological parents. The purpose of such contact is to give the child the opportunity to have some contact with biological parents and thus gain knowledge of their origin, while at the same time giving the child the stability, safety and duration of care provided by an adoption, versus being in a foster home. It is also important that it is only possible to establish a right of contact between the child and the biological parents, and that the scope of the case, the length and the risk of new tests be limited. This can be a burden for the child and work against its purpose. One of the purposes of adoption is to calm the child’s situation, and it is therefore very unfortunate to open up schemes that can be process-driven. It could threaten the possibility that the child will be calmed about his situation and his or her growth. With this in mind, the Centre Party will seek to establish a right to restricted contact between the child and the biological parents following an completed adoption in those cases where, following a concrete assessment, it is the best solution for the child.
