ParlaMint-NO_2010-06-08.ana.ud2232e113	The representative Wenche Olsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2010-06-08.ana.ud2232e130	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-06-08.ana.ud2232e139	Getting the opportunity to organize big sporting events is very desirable, and there is often a hard fight to get rid of the winner. Many of us felt the victory rush when in 1994 the Winter Olympics were awarded to Lillehammer, with the then IOC President Samarach's famous words: «The decision is Lillehammer.» And for those who did not get there, the councilman in Åre best remembers when he put words to his feelings through the following statements: «I am not disappointed, I am angry!» It is strong words, but also an expression of what it means for the candidate countries to be awarded large events such as the Olympic, the EM and the World Cup – regardless of sport. Today, the Stortinget is invited to decide on a state grant of 70 million. kr to Tromsø to arrange the chess-OL in 2014 but under the clear assumption that they are awarded the event. The fight seems to be between Norway and Bulgaria. It's nice to be able to say that there is a joint committee in favour of the vote. A unanimous decision will probably strengthen the application to the International Chess Federation. Chess-OL is a giant sporting event, much bigger than me and many with me have believed. It's just summer-OL that's larger. The experience of the latest chess-OL events shows that it will take over 1,300 players from 150 countries. There will probably be 600 delegates, and a lot of accredited journalists will be present, plus the traveling audience. There may be a lot of numbers, but just to make sure that the amount of chess is visible, numbers show that there are over 600 million chess players in the world, and 7.5 million of them play organized. In Norway, there are 500,000 players, of whom 7 000 are organized. And among the 600 million players, our own Magnus Carlsen is ranked as one of the world's best, perhaps the best. It says a little about his achievements, but it also shows that you can become a very good chess player even if you come from a small country like Norway. We're told through the hearings that there are many good players in the line behind Magnus Carlsen, and many are very talented. We are therefore confident that Norway will provide a good layer under the OL in 2014. It is reassuring to know that the Norwegian Chess Federation and the Youth Chess Federation are working well to recruit more chess players, with a special focus on children and young people. This must be acknowledged by both parties. Such an event is so infinitely much more than just the game. In the context of travel life, a chess OL in Tromsø can provide an extra boost for the country, for the region and especially for Tromsø with its surrounding area. We know that the Olympics at Lillehammer have contributed to many visits to our country, especially before and during the event, but also after. 14 days ago, we were the organizer of Eurovision Song Contest. The slogan that was «Share The Moment» – and we did it, along with 150 million people around the world. We all have great hopes that the same will happen when the clock is started in Tromsø once in 2014. It was therefore nice to record that the travel industry was present during the hearing. It is important for the industry to start profiling its travel experience in North Norway once the decision has been taken today. I guess the government's granted 50 million. kr to a separate profiling company for North Norway. Last week the company launched its new brand with the following content: ‘Northern Norway – It’s a different story’. It is our common wish that those visiting the district and Tromsø in connection with a chess OL – and of course otherwise – should be able to tell their own story about their experiences during and after their stay. The Committee shares the hope that chess-OL will also be a valuable signal event for profiling the whole region, in line with the other major events in Norway. A chess-OL is also a technologically advanced exercise. We know that millions of people will follow the game through the Internet. The figures from the Chess-OL in Dresden show that there were over 65 million daily ‘web hits’ against the official web pages. It tells us that the chess world will be present, either physically or online. Both parts can and must be used in maximum use, for the profiling of the national compartment. With the use of new and existing technologies, the Committee believes that new boundaries can be exploded in the communication of chess, and it will be exciting to see where we are in 2014. In any case, such an event will provide very useful event experiences and valuable competences, which will benefit many. We will wish Tromsø good luck in his further work! In October, everything will be settled under Shakk-OL in Khanty-Mansijsk. It is to hope that Tromsø will not be put in a checkmate, but appears to win the game through the statement 'the decision is Tromsø'.
ParlaMint-NO_2010-06-08.ana.ud2232e179	It is a unanimous position, and the Committee fully agrees, but in some areas we have made our own comments. I'll just take a little bit of that. Let me first give tribute to the work done by the applicants on this OL request. We've had some rounds, at least in the media, of other OL applications from Tromsø, which have not been as well founded as this one is. Here you have done a good and realistic job, and it's good to see. I can only join in what the rapporteur has said about the project and the boast he has given. However, what we are a little bit concerned about is, of course, the uncertainty that rests around the project. That will always do, but what has also come to light is that you probably have to hold a prom championship as part of a world cup tournament. As indicated in the setting, the cost will be approximately 2 million. dollar. It is clear that there is a lot of money, especially at a time like this, given both the national and international economic situation and the turmoil affecting the world market, because some of this necessarily also needs to be captured by other contributors. So that leads to some uncertainty. I expect the government, once you say yes to 70 million. kr, even after the allocation has been put in place, the dialogue with the applicant organisations continues, simply to ensure that everything is going on and that the economy is solid and documented at the bottom of it all. For the owner of this championship, the main shareholder of the municipality of Tromsø, is not exactly a municipality that is solid in terms of the economy. I agree with the rapporteur on the importance this may have for travel life in both Tromsø and the part of the country, and also in Norway. There are things I've been bringing up in this room for many, many years. I have missed a trip life message to the Stortinget, where you simply have to discuss the whole of your travel life, because the travel life falls not into just one department, but into the vast majority of departments. So it would have been an advantage to see the whole thing in that particular part. But I want the applicants to be happy, and then we get to hope that we're the ones who put the other checkmates in.
ParlaMint-NO_2010-06-08.ana.ud2232e192	Does the President understand correctly that Mr Øyvind Håbreek is asking for the floor for a five-minute post? The representative's nodding. Then the President sees himself having to do a short skirt, as it is called in this terminology, and the Council of State has to wait until after Hope has held its five-minute post.
ParlaMint-NO_2010-06-08.ana.ud2232e195	I'm sorry I'm drawing a little late, but the president showed an ability to pull quickly, and that's also important in this connection. It is an important decision today by the Stortinget to adopt — unanimously — support for the application for grants in order to organise a possible chess OL in Tromsø in 2014. Chess is not a very big sport in Norway, but it is a big international sport. As many people who have worked on this process have become more aware, there are great opportunities to locate such an event in Norway. If we succeed in drawing the longest straw in Khanty-Mansijsk in Russia in the autumn, we will attract activity, interest and an event to Norway that will have a significant marketing impact for Norway, for Tromsø and for the whole of the northern part of the country. The work on the application has been organised by the company Sjakk Tromsø 2014 AS, with the municipality of Tromsø and the Norwegian Chess Federation as the main drivers. Here, important work has been done to ensure that Norway is now in a good position towards the final round, before the final elections are to be made. A total of 150 participating countries are expected to participate in a possible chess OL in Tromsø in 2014, and it also shows that this is an opportunity that we should seize. This is an opportunity that we should work actively to exploit, and make every effort to draw this event to Tromsø by 2014. I also mention that the Christian People's Party has participated in a comment asking the Ministry to look at the possibilities of contributing to the extraordinary or unforeseen expenses arising from the imposition of a probationary championship.
ParlaMint-NO_2010-06-08.ana.ud2232e210	I am pleased that the Committee supports the government's proposal for a state grant to organise the Chess-OL in Tromsø in 2014. A chess-OL in Tromsø will in itself be a boost for Tromsø, North Norway and for Norway. We're talking about a formidable event. Only summer-OL has more participating countries than chess-OL. In addition to the event, there will be a number of positive ring-effects, not least for travel, export-oriented business and reputation in general for the region. These include: a comprehensive regional travel, cultural and experience offer with Sami participation. This is anchored in the Sameeting. A chess OL in Tromsø will undoubtedly also have much to say about the spread of the chess in Norway and to clarify the importance of the chess for the learning and development of children, young people and adults. I would also like to point out that the work of strengthening Tromsø as a central, international meeting place in the north is a natural step in the follow-up to the government's North Region Initiative. A chess OL in Tromsø will help create sustainable growth and development in the northern regions and is therefore clearly in line with the intentions of this strategy. It is now clear that Tromsø’s only competitor is Varna in Bulgaria. It's a strong competitor, but I have a great hope that the Chess-OL will be awarded to Tromsø. The organizer company Sjakk Tromsø 2014 AS, jointly owned by the municipality of Tromsø and the Norwegian Chess Federation, has done a very good job so far. With regard to the comments of the members of the Progress Party and the Christian People's Party on unforeseen expenses for the competition and the comments of the Progress Party that the grant will not be price adjusted, I would point out that the organisers – provided that Tromsø is awarded the event – will receive a grant from the State of 70 million. kr. This is the same amount as the organiser company requested in its application to the department. 70 million. kr is the country’s final contribution to the event, and in this amount there are also certain reserves. It is the organisers' responsibility, together with the municipality of Tromsø and the Norwegian Chess Federation, to organise the Olympics, including any competitions, within the financial framework available. I am convinced that they will do so in an excellent way. Now let's hope that Tromsø wins. It will be a well-earned victory and a great challenge for the whole region.
ParlaMint-NO_2010-06-08.ana.ud2232e229	It's going to be line change.
ParlaMint-NO_2010-06-08.ana.ud2232e232	It is not so often signed and the Council of State agrees on a matter, so it might be a little unnecessary to take a reply, but I would really just ask the Council of State if – once you have granted these 70 million – you are still going to have a dialogue with the organiser and the applicant, just to ensure the quality of the work that is being done, and, with regard to the uncertainty that I pointed out in my post, also look at the possibility if there is a need for more resources along the way. The second thing I would like to ask the Council of States is that it is pointed out in the proposal and also in the comment from the Committee on the importance this may have for travel life in the region, for Tromsø and for North Norway. We in the Progress Party have called for a travel message in this room year after year after year. When does it come, so that we get a comprehensive strategy on travel life?
ParlaMint-NO_2010-06-08.ana.ud2232e239	With regard to the notification of travel life, the representative may raise the question with the Minister for Enterprise and Trade as being responsible for the tourism industry in Norway. With regard to the issue of unforeseen expenditure, it has always been within the organiser’s application basis. $12 million. kr, or 10 pst. out of the budget, was allocated to unforeseen expenditure. That's why it's 70 million. the final proposal for State grants, and it will not be appropriate to provide additional funds. That's what the organizer asked for. We have not tampered with it, rather on the contrary, in the original draft budget, a state grant of 68.3 million was taken into account. kr. Then we agreed that the final application would be 70 million. So we haven't actually negotiated it down at all, rather on the contrary. And there's a good margin in this budget for unforeseen expenditure, so I'm convinced that the organizers can do this within the existing framework.
ParlaMint-NO_2010-06-08.ana.ud2232e246	The cord shift is over. The speakers who have the floor hereafter have a speaking time of 3 minutes.
