ParlaMint-NO_2010-02-11.ana.ud2474e61	The representative, Solvency Horne, will present a proposal for a representative.
ParlaMint-NO_2010-02-11.ana.ud2474e64	On behalf of Per Sandberg, Øyvind Korsberg, Ib Thomsen, Karin S. Woldseth and myself, I would like to make a proposal on women's/mother's information obligation on granddaddy and criminal law changes in child law.
ParlaMint-NO_2010-02-11.ana.ud2474e69	The representative of Mr Trine Skei Grande will put forward a proposal for a representative.
ParlaMint-NO_2010-02-11.ana.ud2474e72	On behalf of Borghild Tenden and myself, I have the honour to propose a new welfare reform.
ParlaMint-NO_2010-02-11.ana.ud2474e77	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2010-02-11.ana.ud2474e93	Freedom of faith and freedom of expression are closely linked. They are fundamental parts of universal human rights. Freedom of faith is firmly enshrined in the UN Declaration of Human Rights, in the first paragraph of Article 18, which states: «Everyone has the right to freedom of thought, conscience and religion. This right includes the freedom to change religion or faith, and the freedom to express their religion or belief through teaching, practice, worship and rituals either alone or with others, and public or private.’ The abuses against this human network are more and more serious than we can imagine in our society. An international study concludes as follows: nearly 70 pst. of the world’s 6.8 billion people now live in countries with high restrictions on religious beliefs and practices. This study not only measures the restrictions on religious freedom because of government policies, laws and the actions of governmental bodies. It also measures restrictions and penalties imposed by social actors other than public authorities on individuals, organisations and social groups. This nuance between different types of violations of freedom of belief is important, not only to gain a comprehensive understanding of the situation, but also to the design of our strategy towards different countries in order to strengthen human rights. What is the status of freedom of belief around the world today? On the one hand, we have some countries, such as China and Vietnam, which are characterised by strict restrictions and controls on the part of the authorities. On the other hand, we have countries like Nigeria, where in some regions there are bitter hostilities between peoples, but where government restrictions are moderate. Increasing religious nationalism can also lead to killing and other abuses against religious minorities. We've seen this in some Asian countries, like India and Sri Lanka. Let me take an example: in the autumn of 2008, more than 50,000 Christians were driven on flight, 5,000 buildings owned by Christians were destroyed, and about 130 Christians were killed in one month in the Indian state of Orissa. If a country is ranked where the authorities are responsible for the most serious and serious violations of freedom of religion, it is probably the top of the worst list. There, any religious activity is seen as a rebellion against the socialist principles of the regime. Then follows countries such as Iran and Saudi Arabia, where there are, to a large extent, both abuses of authority and other social sanctions against freedom of belief to those who do not follow the Muslim guidelines of the majority. It is a cross of thought that some of these wretched countries in the United Nations, including in the UN Human Rights Council, are leading the way to limit the freedom of the 30 pst. of humanity that continues to benefit from great religious freedom. In November last, some organisations assembled a large torch in support of freedom of belief and the victims of the abuses against religious minorities. This is not least the freedom to change faith. Those affected by this are not least Christians, but there are other denominations and minorities as well. In some Muslim countries there is even the death penalty for leaving Islam for another belief. A keenly awake world opinion will probably save the lives of many of those who are being taken, but if instead they get prison sentences, torture or reprisals against their families, is also the serious violation of human rights. Even in countries that we regard as more moderate, like Egypt, the converts experience serious abuse. Your religious affiliation is written on your identity card, which you cannot be apart. If you are listed with Muslim affiliation and want to convert, you need to apply for a new identity card. You can be denied that. And it can have serious consequences for both you and your family. Here is no resemblance to the law: Do you want to switch from another faith to Islam, set things straight. On the other hand, if you want to convert from Islam to another belief, a dangerous situation arises. You have the freedom to become a Muslim, but not the freedom to leave Islam. It is therefore not freedom of belief – the right to change faith – for people with Muslim background. On the contrary, they run a great risk if they try. Such a right is a denial of the UN Declaration of Human Rights. Freedom of faith is also under pressure in our neighbourhoods. I recently watched the Russian-speaking TV channel RT, which on 26 January this year reported that the Russian Duma is now considering a bill from the Ministry of Justice that limits the possibility of what they refer to as ‘secs’ to ignore. The proposal prohibits, inter alia: mission activity on what is called ‘the territory of other beliefs’ and recruitment where people will be more open to influence — as in hospitals and in the army. The proposal does not define what is considered to be a sect. Jehovah’s Witnesses are already banned in three regions of Russia, and they fear that this bill will involve even more persecution. But the Baptists also express great concern that new restrictions can now be adopted. The abuses against people who only want to make use of their self-evident human rights are many and serious. The victims are not given the support they need, and the fight for freedom of faith is not given high enough priority on the political agenda. That is why we need to strengthen Norway's human rights policy in this area. By the Christian People's Party, this has been a commitment over time. The last interpellation that my good predecessor as great representative and parliamentary leader Jon Lilletun had here in the Chamber was just about freedom of belief. During the debate on 8 February 2006, he put forward eight concrete proposals for a more active fight for freedom of belief. Now, four years later, when we take stock, we see that the follow-up from the Norwegian authorities could be much better. In this interpellation I therefore raise two general issues. The first concerns the practice and experience of the instruments we have today. What instruments have proved to be suitable for promoting freedom of belief, and to what extent has Norway, bilaterally and through international organisations, prioritised freedom of belief in recent years? The second issue concerns the road further. What measures does the Minister for Foreign Affairs now think should be implemented in order to strengthen the work of Norway and relevant international bodies on freedom of religion? Let me make this concrete in the form of six questions, which I would like the Foreign Minister to comment on in his answer. Firstly, can the Minister for Foreign Affairs refer to new instruments that Norway has been using since 2006 in the field of freedom of religion in vulnerable countries and assess the experience and results of these instruments? To date, the priority groups in Norwegian human rights policy are limited to human rights defenders, children, women, minorities and indigenous people. My other question is therefore whether the Government will now include those who are being persecuted for its faith, among those groups that the Ministry of Foreign Affairs gives a special priority to its human rights work. Thirdly, does the Minister for Foreign Affairs support the idea that Norway, like several other countries, appoints a human rights ambassador, who among his priorities is the protection of freedom of belief? Fourthly, can the Minister for Foreign Affairs say anything about whether the support to organisations working specifically for those who are subjected to violations of freedom of faith has increased as the total increase in the budget of the Ministry of Foreign Affairs — what is the situation? Fifthly, I would like to ask whether the Government will follow up the proposal as, among other things, was made during that act of freedom of belief here outside the Grand Duchy last November, to establish a consultative council of the Ministry of Foreign Affairs in the field of freedom of religion. Sixthly, I would like to ask what concrete steps can be taken to ensure the right to change the rights of converts in vulnerable countries during the period of Norway as a member of the UN Human Rights Council. There's an engagement on behalf of the minorities that makes me travel this interpellation here today. It's a commitment to universal rights, which applies to all believing people, no matter what religion they belong to, which is the starting point for me to raise this matter here today. And it's an engagement on behalf of people that is far too much forgotten in the great attention that there is naturally on many international issues, including many human rights violations that occur in the most diverse countries. I am sure that these issues have the attention of the Norwegian Foreign Affairs administration, but we in the Christian People's Party are committed to raising that attention to priorities and instruments, so that Norway can make a difference – an expression from time to time the Minister of Foreign Affairs has used. I think Norway can make a difference for individuals and for groups of people suffering in the world, and that with relatively simple means, we can do more than we've done now.
ParlaMint-NO_2010-02-11.ana.ud2474e145	There were a lot of important questions. If I don't get everyone in this post, we'll get them taken during the debate. With its interpellation, the representative Højbräten gives us the opportunity to follow up an important debate such as: was raised by Jon Lilletun – and I remember it well – in 2006, a debate that focuses on our concern for the large number of people who are subjected to abuse and persecution because of their faith, and a general opportunity to assess the status of freedom of belief internationally. The debate in 2006 showed, as the representative Lilletun summed up at the time, that there is a strong united political Norway that will fight for fundamental human rights such as freedom of religion, freedom of belief and freedom of assembly. For freedom of belief is precisely that: a fundamental human right. We also need to take with us, as the representative, Mr Højbrätten, did, from freedom of belief to freedom of expression. The expression of faith is, of course, so much talk about an opinion. The government's efforts to strengthen freedom of religion and life are part of our combined effort for human rights, as our focus on freedom of expression and our work internationally to support those who are deprived of these rights, who are violated because they have a faith, and because they express themselves about it. Initially, I would like to reiterate some of what I stressed in the debate four years ago, namely that promoting respect for universal human rights is a priority and an integral part of foreign policy. It is a long-term and overall objective to ensure universal respect for universal human rights and fundamental freedoms for all without regard to ethnicity, gender, language, religion or other status. Only countries that respect fundamental human rights can contribute over time to the establishment of a stable international legal order. In this picture, freedom of religion belongs. The High-Level Representative in his interpellation status of freedom of religion internationally, the instruments that have proved suitable for promoting freedom of faith, the extent to which Norway bilaterally and through international organisations prioritises freedom of belief, and finally the measures that should be taken to strengthen the work of Norway and relevant international organisations on this human right. It is not easy to give a brief answer to the status of freedom of religion internationally. It's shown to be numbers that indicate that 70 pst. by the population of the earth cannot fully live with this important human right. The interpellant has shown examples of violations, often gross, against people who practice their faith. There are dramatic and unacceptable illustrations of how vulnerable people can be when they practice an obvious human right. Unfortunately, there are several examples, and as long as they exist, the status is far from satisfactory. On a general basis, I would like to point out another disturbing feature, namely that authoritarian boards tend to include the need to control people's thoughts and opinions. And because – as we have seen – there is a direct line from freedom of expression to freedom of religion, we see that such regimes are compromising religious beliefs because they regard them as politically threatening for the stability of the country, for the political order, for the control that the rulers will have. Such an authoritarian attitude, which will set limits on the political opinions of the inhabitants, also affects human practice of faith, not because belief is necessarily political regime-critical, but because faith appears as an alternative to the order that the rulings will kneel. We have seen examples of such narrowing on nearly all continents, where religious freedom is restricted, and where believers are persecuted because they practice their faith and express themselves freely. We are today witnessing increasing contradictions, not least rhetorical, between countries and peoples on the basis of religion. This creates a demanding atmosphere to promote freedom of religion and belief. In fact, regardless of the political theme under discussion, we face this challenge in our international commitment. The work against racism is an example of this. During the Durban II Conference on a UN Resolution against Racism, the government chose to engage actively to ensure that the focus was kept there on racism. There were continuous attempts by various actors to turn the debate over into contradictions between religions. Norway contributed to the construction of bridges in the negotiations, including: by creating alliances across traditional divisions. I believe that in this way we did a service both to freedom of religion and to the fight against racism. The very central issue was the protection of religions versus the protection of individuals, and by remaining in those negotiations, we were given the backing of a document that clearly states that the right of freedom of individuals, including freedom of religion and belief, is to be protected. The representative of the Højbrätten specifically mentions the killings of Christians in the Indian state of Orissa, and the situation of Christians in Sri Lanka. Our ambassador in New Dehli visited the state of Orissa last month, and her report was a little uplifting reading. Christians were repeatedly subjected to cruel abuse in 2008. The actions began as revenge after a Hindu clergyman had been murdered by what was first assumed to be Christian, which then turned out to be wrong. Those who stood behind the retaliation are considered to be part of the extreme Hindu movement, which sees India as one religion. This contrasts with attitudes in the majority of Hindus, who support a secular state. We also follow closely the human rights situation in Sri Lanka. So the representative mentions high-rise challenges in several Muslim countries. In Egypt, many Coptic Christians feel the counterwork of the state, and experience that criminal acts affecting them are being mildly punished. The Egyptian authorities have made it very difficult for their citizens to convert. Such cases have been well highlighted in the Norwegian press. In Iran, the law prohibits Muslims from converting, as is the case in Saudi Arabia, and converts can be punished with death. Other religious minorities also live under difficult conditions. The situation of the Bahaiene is well known in Norway and has previously been addressed in Stortingen’s Question Time. At the same time, let me remind you that the issue of freedom of faith also concerns us here at home. As I said in the debate in 2006 – and I think it is still equally important – we must not ignore the challenges we can have at home, and it is actually day-to-day that fellow people, fellow citizens, feel that their faith is being violated – here with us. It's quite different from those I've been in, but they illustrate that belief, identity and statements about religion are present in the Norwegian social debate with a completely different intensity than before. Norway will use available arenas to work for freedom of religion and to address violations against people because of faith. We have been active in the UN for a long time, we are dealing with a broad agenda, and we also place great emphasis on development issues. This broad commitment was among the reasons why Norway received most votes in last year’s elections to the UN Human Rights Council. The membership of the Council gives us a good opportunity to raise the breadth of the human rights challenges facing the international community today, including freedom of religion and belief. In particular, I would like to highlight the Council's important task of reviewing the human rights situation in all Member States, known as the Universal Periodic Review. It provides a unique opportunity to assess the human rights situation in all UN member countries. We are now preparing the review of Iran, where we will focus in particular on, among other things. freedom of religion and belief. Let me repeat: freedom of religion and life is closely linked to freedom of expression, freedom of assembly and freedom of organisation. We see that in many countries there are restrictions on the freedom of organisation to restrict religious practice. China and Vietnam are, as mentioned, speaking examples, where the authorities require all religious groups to be registered and approved. Bilaterally, Norway addresses a number of issues related to freedom of religion each year. In 2009, there were issues in Egypt, Iran and Indonesia. In several contexts, we have been associated with like-minded countries, and we are accustomed to joining most of the EU Joint Declarations on such issues. In addition to our work in the UN and the follow-up to individual cases, through the human rights dialogues with China, Vietnam and Indonesia, we seek to influence the judicial systems in a positive direction and show the importance of civil society organisations and networks. Dialogue on religious and religious issues has become an important part of Norway’s bilateral cooperation with several countries, and this work wants the Government to continue. Furthermore, we take into account the increased importance of religions in international relations, and we have, as the Great Britain has previously known, further developed work on the role of religions in foreign policy. A forum for religion and foreign policy has been set up with representatives from several communities at home, where meetings are held to discuss work in the field. Keywords are knowledge, respect and dialogue. The representative of the Højbrätten addresses a number of questions that I come into the debate beyond, but let me say something here about what we are doing in the Human Rights Council for the right to change faith. Freedom of religion and belief comes up in the Council during the main session in March. Norway will then take part in the resolution negotiations, paying particular attention to the fact that freedom of religion includes the right to change religion and the right not to have a religion. This is a position we have in front of us on previous occasions too. There are questions raised about whether we should appoint a separate human rights ambassador. Then I can confirm that we have done so. Last May, Anne Merchant was appointed ambassador for human rights in the Ministry of Foreign Affairs. Let me add that we have a significant foreign service team that has this field as its daily function – a 20-year-old employee here in Oslo as well as at the UN Delegations. It is also worth mentioning the extensive work of Norwegian and international non-governmental organisations: Church Peace Platform, Church Emergency Assistance, Islamic Council – to name a few. In support of the work on inter-religious dialogue, we used approx. Ten million. kr in 2006, SEK 15 million. kr in year. The total budget for support for human rights projects has increased in recent years, from 110 million. SEK in 2007 to SEK 140 million. kr in the current year. Then, at the end, I will praise Norwegian religious leaders who play important roles in peace and reconciliation work in various conflicts around the world: Trond Bakkevig, Gunnar Stålsett, former Prime Minister Kjell Magne Bondevik and his dialogue work and a number of others. It also belongs to boasting of the interpellant himself and others of his colleagues who regularly recall the importance of freedom of faith and keep the focus on all those who are subjected to abuse and oppression of their faith. They need and deserve our solidarity and our commitment.
ParlaMint-NO_2010-02-11.ana.ud2474e194	Let me thank the Minister of Foreign Affairs for a thorough and complementary and I would like to say a very welcome response to my interpellation. It is said that when the Stortinget discussed the situation of Christians in the then Soviet Union early in the 1970s on the initiative of the representative Bergfrid Fjose, some years later it was announced that the debate had been noticed and had a positive effect on those who were in captivity and experienced the concrete repression on the body. I don't think we're going to take an easy look at the significance of the Storting discussing this kind of question from time to time. It itself has an important function. But we have to do more than that, and I am pleased with the concrete measures that the Foreign Minister confirms are in progress. I am also pleased with the focus that the Minister for Foreign Affairs is now explaining that Norway will have as a member of the UN Human Rights Council. This is a unique opportunity for Norway to play a credible, consistent and offensive role in human rights. I fully agree that there must be an overall perspective. And where relevant — and that is, as mentioned, in very many of the world’s countries — freedom of faith will have to be part of the overall perspective of Norway’s follow-up, as I noticed with interest that the Minister of Foreign Affairs confirmed it will be in relation to Iran. So to work here at home. I think that the government has come much further in terms of inter-religious dialogue and the building of competences in that area than we were at the beginning of the previous ageing period. The involvement of organisations, environments of competence in Norway and individuals is very good. I believe that, especially in the area of freedom of religion, we have environments in Norway – organisations such as the Norwegian Mission in East and Open Doors – which on a daily basis follow this picture in a network of such organisations around the world. I would recommend that such organisations include the Minister of Foreign Affairs in consultative functions, so that they can contribute, with their input of information, to the Norwegian Foreign Service being as up-to-date as possible from different sources. I also think that the Minister for Foreign Affairs has given an excellent boost to the link between the different aspects of human rights, and I would like to come back and comment on it later in the debate.
ParlaMint-NO_2010-02-11.ana.ud2474e205	There were several questions from the representative Høybräten in his supplementary posts. Let me reflect around a couple of them, and I thank you again for having the opportunity to spend time in the debate. I think it's an important field for us methodically that we haven't separated freedom of faith as an area outside the work of human rights. I think it is important that we give priority to the work on human rights. It was a topic for me in the foreign policy presentation last year. It is also central in St.meld. No 15 for 2008-2009. We have to put freedom of belief in that picture. If we cut it out on the outside as a special field, I think it has a lot of negative effects. So we have to keep that focus that way. This leads, among other things, to: that human beings who are subjected to violations of fundamental human rights, such as being deprived of freedom of belief, have our full commitment. It is not that they need to qualify simply because it is a matter of faith. We have to be absolutely central. It was of the questions Hojbråten asked about this as a priority group. It's a priority group. I was in charge of supporting organisations. I don't think I'm going to go beyond that right now. But it's not like we in the U.D. have thought that we should have our own projects aimed only at organisations that work for the persecuted. We must listen to all those who have that theme on their agenda. Very well known, there are no organisations that have it as their only concern, but there are organisations with a wide range of information and who report it. The organisations mentioned above are most relevant. I want to be in detention when it comes to creating a consultative forum, a council, with a certain number of them, because there will always be some people who exclude. So I say to the Norwegian Mission in the East and open doors: the door is open to us! We're busy, through the contacts we have, being able to listen to the experiences they're doing. It's like today that there are partners for us with significant input: inter-church council, Islamic council, the Mosaic religious community, with which we have ongoing contact. And then I said that we have our own focus on religion in foreign policy. I think we can list many examples of bets that Norway is doing. As always, Norway does a lot compared to other countries, but we are small. That is why it is very important to be present in the fundamental debates in the big arenas – where we reach many, and where, by the way we work, we can get more countries, as in the central UN agencies. What worries me the most was what I said in my post, that people with faith are being affected by repressive regimes that want to control people's minds, hearts and thoughts. Then they're looking for regime critics and political oppositionals. We've known that for a long time, but in that category people with faith are counted, because they think differently than they do. It is a serious challenge in the work on human rights.
ParlaMint-NO_2010-02-11.ana.ud2474e216	Freedom of religion and life is one of the fundamental human rights. Let me therefore give praise to the interpellant Højbråten for the important princely interpellation he is putting forward today. Fundamental human rights are universal and can never be culturally related, whether we are talking about freedom of expression, women's integrity and human dignity, or the right not to be discriminated against because of racial or ethnic affiliation. We cannot accept that culture and religion are used as a pretext for, in part, extreme suppression of journalists, authors or for keeping women down. Neither can we accept racism. All the declarations on fundamental human rights state that the right to freedom of religion and life is an important foundation. Religion and religious practice are part of the identity of individuals. The work to ensure freedom of religion will always be part of our overall effort for human rights. There are many examples of religious freedom under pressure in many parts of the world. In many countries, there are restrictions on freedom of organisation to restrict the exercise of religion by citizens. The right to exercise their faith depends on freedom of expression. At the same time, freedom of expression can be used to violate other people's religious practices. We see that Christians are being persecuted, and we see that in several countries the government requires the approval of religious groups. In many ways the Christian People's Party appears to be an ombudsman party for religious oppression, and they have previously raised questions both in Turkey, Azerbaijan and now in India. That's very good. Norway has strong legislation here, and it states that it is the one who deliberately or grossly negligently makes public a discriminatory or hateful expression, is punished by fines or imprisonment. Norway has a very strong legal protection for violations of religions and religious symbols. But in a global world, conflicts between religions and conflicts between different human rights can best – and perhaps just – be resolved through dialogue. Therefore, it is important to support interreligious ecumenical processes, while systematically supporting individuals and groups against oppression in the name of religion. Freedom of religion and life are closely linked to freedom of expression, freedom of assembly and freedom of organisation. Freedom of expression is a prerequisite for human beings to exercise their religion and outlook on life. It's a right we have to help keep intact, and it must not be weakened. When general guarantees of legal certainty are not available in a country, religious minorities are particularly vulnerable to human rights violations. Members of such minorities are at risk of longterm prison sentences, and even worse: death sentences. This is the relationship we can't accept. This is why the Norwegian authorities have addressed violations of freedom of religion and life through international channels in which they work and through bilateral instruments. We must also be active and participate in multilateral forums. We cannot therefore leave UN bodies to countries that we do not want to compare with. If we don't use the UN, we have to do what we can to get influence in other ways. We need to cooperate with others at a multilateral level, because it is not possible to say that we cannot cooperate with specific countries. The work on religious freedom and human rights is too important for that. It is also important that we do not isolate the religious dimension in our approach to international conflicts and dialogue processes, because this freedom is linked to other freedoms. But having increased knowledge of how religion plays its part in our field of trade, foreign policy, has provided the basis for the actions I have mentioned here – such as the creation of a dedicated forum, increased research and increased contact with the various networks under which we build.
ParlaMint-NO_2010-02-11.ana.ud2474e244	It is a very important topic for the representative Dagfinn Højbråten to invite us to debate today. It was also reassuring to hear the Foreign Minister's statement that we should not take lightly the violation of human rights, and that we should continue to keep focussing on it, especially because in one of the world's calmest and northernmost countries, we take religious freedom for granted. But unfortunately, this is not the case in many countries in the world. I was actually going to start with a story about how life can be for someone who has to live in hiding with his religion, in fear of being killed or put in prison. But there were so many incredibly sad stories that I chose not to. I found the stories on the UN Watch's website, the Human Rights Watch, and more NGOs that help focus on this issue. If you base the information that the Open Doors organization has posted online, people are persecuted, imprisoned and killed because of their faith in Africa, Asia and Latin America. The UN Declaration of Human Rights Article 18 states – we have heard it before today, but it can be repeated: «Everyone has the right to freedom of thought, conscience and religion. This right includes the freedom to change religion or faith, and the freedom to express their religion or belief through teaching, practice, worship and rituals either alone or with others, and public or private.’ Despite the fact that most countries in the world have joined the UN Declaration of Human Rights, people are killed and tortured daily for their faith. It is therefore very important that Norway strongly and clearly distance itself from religious persecution. Then, as the representative Højbrätten mentions in his statement, it is also very important that Norway bilaterally tries to influence the authorities of different countries, although I understand that this can be difficult. But the UN has sanctions for those countries that violate human rights, but I'm not sure if those sanctions have ever been used. So maybe it can be a way to go and where Norway can be a driver in the UN Human Rights Council for people to have their faith in peace, the right not to tell about it and the right to exercise it openly. Some of the countries that engage in religious abuse are also receiving assistance from Norway. Therefore, it is important that Norway also assess sanctions and at least give a strong warning to those of our recipient countries who violate the principle of religious freedom. Out of the countries that are worst at persecuting people belonging to a minority in terms of life’s vision, these top lists are: North Korea, Iran, Saudi Arabia, Somalia, Maldives and Afghanistan — to name a few. That being said, there is persecution because of faith in 128 countries. That means that 4.5 billion people in the world have limited religious freedom. We as countries cannot accept such restrictions, nor can we accept such obvious violations of human rights.
