ParlaMint-NO_2010-04-28.ana.ud1511e26	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-04-28.ana.ud1511e29	On behalf of the representatives of Øyvind Waksdal, Per Roar Bredvold, Torgeir Tjäldal and myself, I have the pleasure of proposing a statutory, fully-fledged net pay system for seafarers.
ParlaMint-NO_2010-04-28.ana.ud1511e34	The representative of Trine Skei Grande will put forward a proposal for a representative.
ParlaMint-NO_2010-04-28.ana.ud1511e37	On behalf of the representative Borghild Tenden and myself, I propose to allow the sale of locally produced alcohol directly from the producer and to allow the mention of alcoholic products on the producers' websites.
ParlaMint-NO_2010-04-28.ana.ud1511e42	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2010-04-28.ana.ud1511e64	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Magnhild Melting Authority Kleppa State Council Tora Aasland State Council Lisbeth Berg-Hansen The councils are there, and we're ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. - No one's getting up. We'll start with the first main questions from Bård Hoksrud.
ParlaMint-NO_2010-04-28.ana.ud1511e83	It is nice that the government council Magnhild Meltveit Kleppa finally comes to Stortinget's oral question time. The last time was, as far as I can recall, November 11. Since then, one might say that we have had quite major challenges in terms of infrastructure across large parts of the country. We have had major problems with the railway infrastructure – trains that have not gone, light signals that have not worked – and other infrastructure with which there have been major problems on the railway side. We have also had major problems with air traffic in recent times, which remained silent due to ash clouds over large parts of both Norway and Northern Europe, and where there is still much to be done. In addition, we have had a pretty tough winter on the road, with great challenges. This means that a road network that has been due for a long, long time because of a lack of maintenance will still be due, and it will become even more mature than expected. Now, together with the Prime Minister, the Council of State has been very clear and said that it wants to increase the appropriations for the railway sector. Of course, we are very happy about that. But despite the government and the Council of State having boasted unrelentingly from this pulpit of how good the red-green government has been in the previous years and from what to do in the next ten years, the road director has said that the decay on the road network will continue to increase despite the so-called huge and growing investment. I would like to challenge the Council of State: What action will the Council of State take to prevent the increase in road network dues from continuing? Will the Council also ensure that the roads receive additional appropriations in the context of the revised budget and the State budget for 2011?
ParlaMint-NO_2010-04-28.ana.ud1511e94	I share the representative Hoksrud's description when it comes to road maintenance. There's a big lag to go again. Luckily, it has increased the permissions until the last few years. It is also the case that county councils have increased their maintenance on the part of the road network that they have now covered. There are several aspects that you need to look at in order to get the most maintenance possible for your money. The government has recently received a report from Dovre Group, which looks at the organisation of maintenance – what has happened since road maintenance was launched. There is the fact that functional contracts still have a potential for improvement in both operations and maintenance. Dovre Group points out that the contracts could have been bigger and more standardised. There's something we're going to look at now. Dovre Group also says that the quality of maintenance has been better. We also have a national audit report that tells us that there is a need for increased attention to road maintenance. So it's not like the Minister of Transport has just focused on the way and aviation lately. It is that we also work tirelessly to strengthen road maintenance.
ParlaMint-NO_2010-04-28.ana.ud1511e103	It is good to hear that the Council of State is also concerned with the problems and challenges we face on the road, but I want to challenge the Council of State further. Operation and maintenance are also very much about road safety. We know that only in the spring have there been many accidents involving MCs, motorcycles, involved. We see that there are 43 killed so far this year, according to numbers from Safe Traffic per. March, while there were 38 killed last year. There was a happy development last year, but it now seems as if evolution is going the wrong way again. What I want to challenge the Council of State is: Does that not mean that if you carry out maintenance, if you pave the way and start doing that kind of action, you can also make sure that the number of accidents goes down? Then it's not very ambitious to build 12 km of motorway and 9 km of middle parts, which are really measures like monks in terms of road safety. Then I would like to challenge the Council of State – because she was not clear about it: Will there be increased appropriations on the road side, just as you would like on the railway side?
ParlaMint-NO_2010-04-28.ana.ud1511e112	Overall, road safety has the highest priority in the government’s work in the road sector. Several agencies have now joined the State Road Service and presented a comprehensive Road Safety Action Plan. Let's put that on. We are very pleased with the many measures that have been proposed, in fact 150, which apply both to the road with the running gear and also to the drivers. Then we have a shared responsibility there. Anyone who enters a car has a responsibility to keep speed limits, use belt, be aware. In fact, if that part were held, we could have halved the number of serious accidents.
ParlaMint-NO_2010-04-28.ana.ud1511e117	Four follow-up questions are raised – first Arne Sortevik.
ParlaMint-NO_2010-04-28.ana.ud1511e120	In the newspaper yesterday we read a notice that the NSB can get a million bot – about commuters who were left on the platform, about promised passenger seats that were not delivered, and about the Ministry of Transport that threatens the NSB with a fine. When will the Ministry of Transport impose fines on the Road Directorate and the State Road Service – fines for poorly maintained roads, which increase the risk of life and health, fines for poorly maintained roads, which increase fuel consumption and increase repair costs at the car park? Norway has the worst roads in Europe. When will this government give the roads a boost?
ParlaMint-NO_2010-04-28.ana.ud1511e129	First to the NSB and the essay in the Newspaper. NSB is a company the government buys services from – NOK 1.7 billion per year. years. When they don't deliver, we're forced to think about how we're going to follow this up. There we are in a dialogue. When it comes to the State Road Service, the State Road Service also has its framework to stick to. They have very clear guidelines for how they work. There is no cure for walking, but there is a close follow-up, a close dialogue between the department and the state road network. I just have to say that so far I've learned to know both the Road Directorate and the State Road Service as well-following etaters, which are concerned with strengthening maintenance, which are concerned with realizing different projects. Now we have a lift for the road sector: NOK 322 billion in total to road, tracks, ports and fairways.
ParlaMint-NO_2010-04-28.ana.ud1511e136	Ingerd Schou - for follow-up questions.
ParlaMint-NO_2010-04-28.ana.ud1511e140	Party leader Navarsete said in the evening post on 27 April that she wanted to have Right on veto. She wants help from the Right regarding veto regarding the Data Storage Directive. Now it is well known to the Council of State that the Right will use new tools to build more roads and lanes faster. Is it so that the Council of State will have the help of the Right also to combat the Workers' Party, so that we can use Public Private Cooperation to build just more road and path? It's not supposed to be on the right.
ParlaMint-NO_2010-04-28.ana.ud1511e145	It's good to hear that it shouldn't be on the Right, because it's been on the Right for many years when it's up to the development of our road network. It's enough to show you the previous period when they put themselves in government. That's very good. So it's like we're four months inside the new National Transport Plan, which is going to go over ten years, and that means these 322 billion kroner, which I've already talked about. For the first four years, there is now a combination of government funds and tolls, and the projects are now to be phased in in turn and in order. Then I'll take an initiative for a debate on whether we can further put in place even more means of road and rail in connection with the revision of the national transport plan. We know a pressure out to get even more projects in place. It's good to know that Right sets up.
ParlaMint-NO_2010-04-28.ana.ud1511e154	Knut Arild Hareide – for follow-up questions.
ParlaMint-NO_2010-04-28.ana.ud1511e157	We know that our bad roads are a traffic safety risk, but the biggest single factor in 2008 was that there were too many people running with alcohol in their blood. Now it has been an exciting project in Sweden. Instead of taking the right to drive from those who are taken in per mille control, a code requires an alcolock to be inserted. It is because repetition is a big problem when it comes to those who are being checked per million — many people have an alcohol problem. That's the reason. And that's the biggest single factor for the deadlocks in 2008. Now there's a report from the Road Directorate. Is this something the Council of State will also consider in Norway?
