ParlaMint-NO_2010-03-03.ana.ud1924e26	The representative, Per-Willy Amundsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-03.ana.ud1924e29	On behalf of Siv Jensen and myself, I would like to make a proposal not to allow the use of niqab and burka or other lucky garments in the public room.
ParlaMint-NO_2010-03-03.ana.ud1924e34	The representative Per Sandberg will put forward two proposals for representatives.
ParlaMint-NO_2010-03-03.ana.ud1924e37	On behalf of the representatives of Hans Frode Kielland Asmyhr, Morten Ørsal Johansen, Åse Michaelsen and myself, I would like to put forward a proposal to combat drug problems in Norwegian prisons. And: On behalf of the representatives Siv Jensen, Solvency Horne and myself, I would like to put forward a proposal to amend the Norwegian authorities' handling of child abduction issues.
ParlaMint-NO_2010-03-03.ana.ud1924e44	The representative, Mr Solvik-Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-03.ana.ud1924e47	I am delighted to present proposals on behalf of the representatives of Kjell Ivar Larsen, Oskar Jarle Grimstad and myself on the evaluation of the law that regulates the construction of power lines.
ParlaMint-NO_2010-03-03.ana.ud1924e52	The representative of Oskar Jarle Grimstad will present a proposal for a representative.
ParlaMint-NO_2010-03-03.ana.ud1924e55	On behalf of the representatives of Ketil Solvik-Olsen, Kjell Ivar Larsen, Tord Lien, Robert Eriksson and myself, I would like to make a proposal for a new law on motor travel in the fields and watercourses.
ParlaMint-NO_2010-03-03.ana.ud1924e61	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2010-03-03.ana.ud1924e83	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. We then start with the first main questions, from the representative Erna Solberg.
ParlaMint-NO_2010-03-03.ana.ud1924e92	2008-2009 was a black year for combating crime in Norway. The percentages of information fell dramatically, the thefts increased, and most crime statistics that were not dependent on police activity increased crime. In areas where it is dependent on police investigation, as in drug cases, it fell — not because it was less criminal, but because it was significantly less police activity to prevent drug distribution in Norway. Then came the crisis package and then the draft budget from the government. The government had a generous praise campaign for which force was now taken for the police. Two months out in the new year there will be some other messages. Hordaland Police Chamber must cut 72 police posts. Asker and Bærum report that they have to cut with 50, Telemark with 20, Hedmark with 20, Rome with 20 – no, with 50, I had hoped it was a little less. All of this is a historic commitment to the police. VG has documented that new police students now have to go to Nav because they are not offered a job, despite the Minister of Justice saying that everyone should get a job. VG claimed on Sunday that a total of 360 annual works now had to be cut in the police to cover the ICT bet that the government obviously had not budgeted for in the budget. My question to the Prime Minister is: When the Minister of Justice said there were 1,100 more posts in the police department, did he really talk?
ParlaMint-NO_2010-03-03.ana.ud1924e105	I agree that fighting crime is very important. As long as people become victims of crime, it's something that characterizes them very much. It goes into them, and they get little comfort from average numbers and total numbers. Still, it's the total number of us politicians deal with, because that's what gives the police a framework. If we look at the totals, we see that there has been a strong reinforcement of the police in recent years. Only in the 2010 budget is there an increase of SEK 1.3 billion, and it has allowed for an increase in the number of police posts. What we've been doing over the last two years is not just increasing the appropriations, but also increasing the educational capacity, because it was a big problem that there were too few educated people from the Police College. Now we're at more than twice as far as education in the police is concerned, compared to what it was like when Erna Solberg himself was in government. In addition, around 460 new civil posts have been created to release other posts for police work. Police districts receive letters of credit, letters of assignment, and then they have increased appropriations. But it is true that some money has been held back to invest in ICT, among other things. In view of what the Riksrevision has pointed out, one of the problems facing the police is the lack of investment in ICT. So it's done a lot, there's going to be a lot of new jobs, but of course it can be done even more, and we're busy doing that.
ParlaMint-NO_2010-03-03.ana.ud1924e114	I asked the question: Did Minister of Justice Storberget speak the truth when he said in the VG that we have acquired 1 100 more police posts? How can it rhyme with a reality where Hordaland is going to cut the police chamber with 72, Romerike with 50 – I can take the list again. It's not the numbers that come out there. It's important that we know what we're granting. What has obviously happened is that the Government has not taken into account – in its external boast of the bet – that a new ICT system will enter into this. It doesn't automatically give police power. So my question is, was the Great Mountain true when he said there's 1,100 more police posts? According to VG, there will be 360 fewer jobs due to ICT bets. This means that more than the extra bet to be released by the new civil posts has been removed, because there were 280 posts.
ParlaMint-NO_2010-03-03.ana.ud1924e121	There are no final figures for how many more jobs we are going to have in 2010 compared to 2009, so it is not possible today to say for sure how many jobs there will be. What we know is that, in combination with what has been done by granting more jobs to civil positions, 460 posts, plus increased appropriations for ordinary police positions, it gives room to step up the efforts of the police. And if we look at the last two years as a whole, it's a significant escalation. We do not have the final figures for 2010, but there has been a significant increase in funding and a significant increase in educational capacity. Then we get the final numbers later.
ParlaMint-NO_2010-03-03.ana.ud1924e126	Three follow-up questions are raised – first André Oktay Dahl.
ParlaMint-NO_2010-03-03.ana.ud1924e129	The core of the question to Solberg's representative was quite clear, so I'm going to be very brief. So that was the question: is there going to be 1 100 new annual works during this year, as the Minister of Justice and the Government promised in the presentation of the budget? I stand here with a letter from all the rapporteurs throughout Follo, among others, who are now considering breaking up with the Government and the police because it is now being seen to be quite the opposite of what the Government promised when it was going to adopt reforms in, among other things. Follo. The question is short and good: Will there be or will there not be 1 100 new jobs?
ParlaMint-NO_2010-03-03.ana.ud1924e136	The adopted budget applies, the money comes, and the educational capacity of the Police College has increased. Police districts will now receive their letters of assignment and will make recruitment and staffing adjustments based on those letters. And so we don't have the final numbers yet. Many of the claims made in the press are controversial. Many have different numbers, but the crucial thing is that we don't get final numbers until there's been a little bit longer.
ParlaMint-NO_2010-03-03.ana.ud1924e141	Per Sandberg – for follow-up questions.
ParlaMint-NO_2010-03-03.ana.ud1924e145	I'm recording the Prime Minister's debt on the press and claims in the press. But as head of the Justice Committee, I have visited some of the police districts and talked to police officers in different districts, and the situation description put on the table last autumn by the Minister of Justice, about 1 100 new posts, is not real. Now it's down-staffing, or to say it in another way: you don't have the resources to take in new personnel – whether they're newly educated or they've changed jobs. I also think it is relevant to look at the report from the Police Directorate, which tells us that the police districts are unable to meet their targets. And in addition, they will reduce their operating budgets and not take in more policemen and women. So I think the prime minister should perhaps be a little more responsible in relation to the situation that the police officers are signalling, also into big business and government.
ParlaMint-NO_2010-03-03.ana.ud1924e152	What we know is that there has never been more money allocated to the police than this year. The appropriations are high in record terms, and they are increasing sharply. That's the one thing we know. The second thing we know is that there's never been any more trained policemen than now. Capacity is more than doubled in relation to what it was under the previous government. And the third thing we know is that the years for which we have final figures, namely the last two years, 2008 and 2009, there has been a significant increase in the number of posts, both as a result of increased police positions and the addition of several civilian positions – 460 posts, as part of the agreement we made with the police. We know that. This is a significant increase. The final figures for 2010 are not yet available, but there is considerable budgetary room for further strengthening of the police force in 2010.
ParlaMint-NO_2010-03-03.ana.ud1924e160	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2010-03-03.ana.ud1924e163	I record that the Prime Minister thought it was quite fine that there were going to be cut 460 settings. As I interpret it, it seems to him that it is entirely okay that either the Stortinget has been misinformed, that there should be more police posts, or that the Minister of Justice has been fooled. Because I stand here with a press release he sent out, where he promises that there will be so many police posts and so many police posts in 2010. There's something else that also bothers me a little bit. I'm talking to the headmistress at Police College, and they're very happy that there's going to be more students, 720 new students. But the head of the student board says straight away that he feels like he's a piece of a political game, because there's a lot of students, but it's going to cut in the number of years. And they're worried if they really get a job. So my question to the Prime Minister is, What kind of action does the government want to take to reach the goal of more security, more research and more visible police?
ParlaMint-NO_2010-03-03.ana.ud1924e172	It is essential to say that there are four things we do: one is to give record money to the police – more than ever before. The second is to increase the capacity to train police — more than ever before. The third is to invest in new and better research methods, including: DNA records, which make us get a much more effective investigation. And the fourth thing we do is we reorganize the police – there we've done a lot of action. We are also working on this performance reform, which is all about getting more police force out of the efforts we have. So there'll be more money, more people, better use of resources and better technology. This does not mean that the problems in the police are solved, it does not mean that all crime is combated, but it means that efforts have been significantly strengthened over the last few years, and it is also strengthened in 2010.
ParlaMint-NO_2010-03-03.ana.ud1924e177	Let's go to the next main question.
ParlaMint-NO_2010-03-03.ana.ud1924e180	In these days there are a number of people around the country who develop a small syndrome: mailbox scare. As we can see in Dagbladet yesterday, people expect the greatest current bill of the time. Sky-high electricity prices are a consequence of a faulty energy policy over several years. While ordinary people have to pay billions more a month, the state makes the same money through taxes and taxes, through dividends on its ownership in the power industry. This happens at the same time that the industry has closed down a lot of production capacity, in fact 5 TWh, which corresponds to approximately. 4,5-5 pst. of Norwegian electricity consumption. This notified crisis comes as a consequence of the fact that one has built up industry, one has not built up power generation – one has got a larger and larger imbalance. Normal households, on the other hand, have over time saved electricity. They use as much electricity today as they did 10–15 years ago, despite the fact that there are considerably more people living in this country. So it's the households that get the bill, the ones that don't owe it to happen. The situation shows that action is needed. The government of the Prime Minister himself has said that the time for hydropower generation is over, the government itself has imposed concession rules on gas power plants that are technically impossible to enforce today, the government itself has built mobile gas power plants that they do not want to use, and the government has voted down proposals from the Progress Party on its own action packages for Middle Norway of 300 million. kr to stimulate power deployment in that region. So the price of all these negative approaches from the Government is that the current price is going up, ordinary people have to pay more. In the newspaper last week, politicians from all parties were asked to provide a list of measures. The centre party, which sits with the Minister of Energy, had as its main point: warmer weather, more rainfall. It is obvious that the weather gods are a significant part of the Government's energy policy. Does the Prime Minister have a little more concrete measures to help ordinary people with the current bill that is coming, and that will mean for people with a bad economy?
ParlaMint-NO_2010-03-03.ana.ud1924e193	I understand well people who are worried both that we have seen very high power prices, at least in periods of winter, and that we see very wide variations in power prices. It in itself creates uncertainty and unforeseeability. Now, the basic problem in the Norwegian power supply is really three things: one is that we have too little access to power in relation to consumption, the other is that we have too little ability to move the power to where it is needed, and the third is that we are doing too little energy saving. The government is concerned about all three things, and is taking action in all three areas. In terms of power supply, we have had a significant increase in power generation in recent years. Only since 2006 have we received almost 4 TWh of extra wind and hydropower into the Norwegian system, in addition to heat, district heating and other factors that increase access to power. Then much more is allocated to energy saving, which contributes to reducing demand and strengthening the power balance in Norway. With regard to the third problem, we are in the paradoxical situation that last year we experienced that the power prices for a few hours were zero because we did not get power out of areas, now in the same areas we feel that the power price can be very high for a few hours. It is a problem in terms of power flows, and therefore billions of dollars are now invested in new, better and enhanced transmission connections, which will make us even out the prices, avoid the big fluctuations and move power where it is needed from surplus to deficit areas. We're doing this well, we're granting significant sums, we're getting new power on the grid, and we're getting grid reinforcements and increased investment in energy saving. These are the measures that will help to mitigate prices, smooth the fluctuations and address the fundamental problem in the Norwegian power market, namely supply and demand and power flows.
ParlaMint-NO_2010-03-03.ana.ud1924e202	One should remember that this government has been sitting for four and a half years. It's really good enough time to get bigger results than what the government refers to. In fact, some projects have been put in place, but the major projects that have been put in place are projects adopted under the Bondevik government, not under the red-green government. One should also remember that many of the projects – almost all the projects that Statnett is doing – are projects that were started under the previous government, i.e. the Bondevik government, and not under this government. What current customers today experience is that despite record-breaking appropriations, the efficiency of money use is very low. So current customers are hit both by the tax bill and by the electricity prices as a result of the government's policy. I also notice that the Prime Minister did not address the problems that people now experience in the short term when the electricity bill comes. A lot of people will do this right, even though it would be uncomfortable to use extra thousand patches because of a bad energy policy, but we'll see, as we saw at NRK More and Romsdal, that many older people freeze at home, because it's those who turn off the power. Will the Prime Minister do something about the situation they are experiencing and ensure that they receive signals, for example: about tax relief, which makes them dare to turn the heat back on?
ParlaMint-NO_2010-03-03.ana.ud1924e209	It is such that this government has made a significant effort to strengthen Norwegian power supply. We have given an increased number of commitments, concessions, permits and support that will increase power generation in the coming years. Then we have started – put into operation – projects in the current period. It is quite clear that some of the projects have been promised before, because it takes a few years, but we have started a larger number of projects in this period than before, and in addition we have made commitments to new ones coming in the years to come – both of which are high. With regard to the situation in Central Norway, the most important thing we do is the network reinforcements that are now in progress and that have already partly come. But the problem in Central Norway has been that there has been a great lack of power in the whole Nordic region, and it has turned into Middle Norway. There are great variations, and therefore it's paradoxical that today's power price is actually a little bit lower in Middle Norway than in South Norway. There are these variations we have to do something about by expanding more networks.
ParlaMint-NO_2010-03-03.ana.ud1924e216	Three follow-up questions will be raised – first Per Sandberg.
ParlaMint-NO_2010-03-03.ana.ud1924e220	I guess there's no doubt that you're heading towards a crisis in central Norway. I note that according to NTB, the Prime Minister believes that the solution to extreme electricity prices lies in Sweden. He is now asking the neighbouring countries to fire up their nuclear power plants – which the Government is opposed to, but in this case it is quite okay – and he is opening up to start the mobile gas power plants. All the monks are leaving. I record that different representatives from the government parties in central Norway have been out and demanded that these mobile power plants now start up. Representatives from the Labour Party in Central Norway have said that there will be such a proposal in the Stortinget, and it will have a majority. Now there is such a proposal in Stortinget, promoted by the Progress Party. Then is my question to the Prime Minister: Will the Prime Minister now recommend that representatives of the government parties in this House vote for this proposal, to follow up what these representatives want: to start up these mobile power stations?
ParlaMint-NO_2010-03-03.ana.ud1924e229	It was this government that made sure that we got the spare capacity in these mobile power plants, in case an emergency crisis occurred in Central Norway. It is good that we have them, because it is a good readiness in a possible acute crisis. But I think we have to separate two things. One is that in an acute, local, regional crisis in central Norway, those power plants will be good to have. That's why we got them. However, they have significantly less — if any, at least small — significance for the major regional problem, and the vast majority of days and hours of the problem in central Norway have been the major regional deficit throughout the Nordic region. Therefore, the price in Central Norway has been about the same as in Sweden and Finland every day. At that time, nuclear power stations in Sweden are important because they provide 4000 MW. There are large volumes, while these spare power plants provide 150 MW – times two: about 300 MW. So the important thing about the total force balance in the Nordic region, of which Central Norway is hit, is that Swedish nuclear power comes back to normal production. This must, of course, be done within a safe framework.
ParlaMint-NO_2010-03-03.ana.ud1924e238	Siri A. Meling – for follow-up questions.
ParlaMint-NO_2010-03-03.ana.ud1924e241	The Prime Minister himself has been Minister of Oil and Energy in the past. That means he knows what the matter is, and what responsibility he has. During the Bondevik II government, we had a similar price crisis when it came to power supplies. Jens Stoltenberg was out in Dagbladet on 16 December 2002 and then asked Einar Steensnæs to step up and take responsibility for the fact that the power prices had gone to heaven. Stoltenberg stated at the time: ‘An oil and energy minister shall implement short-term and long-term measures if electricity prices make such jumps as we have seen in the last few weeks. He has the possibilities, but he doesn't use them. That's what's up." Jens Stoltenberg said this on December 16, 2002. My question to the Prime Minister today is whether he gets a bad taste in the mouth of the populist statements he made to Dagbladet in December 2002, given the situation he himself is up to today.
ParlaMint-NO_2010-03-03.ana.ud1924e253	The answer to that question is no. I believe that an energy minister is responsible for both the long-term and the short-term balance of power. This government has put in place significant measures that will help both in the short and long term – significant network reinforcements in the long term, significant access to new power, both water and wind, in the short term the things that have been done both in terms of these options where industry is shutting down to contribute to acute crises, and by using the increased transmission capacity that we have put in place. So I think we've done things both in the short and long term. It has helped to mitigate a difficult situation, which is not least due to a large deficit in the Nordic region, which is both due to low rainfall and to the fact that much of the Swedish nuclear power has been out of operation. So today, the power price in Central Norway is a little bit lower than what it is in South Norway, but it's still not stable, because there's so much regional deficit.
ParlaMint-NO_2010-03-03.ana.ud1924e260	Line Henriette Hemdal – to the last follow-up question.
