ParlaMint-NO_2010-10-21.ana.ud2350e66	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-10-21.ana.ud2350e69	On behalf of the representatives of Torgeir Tjäldal, Per Roar Bredvold, Christian Tybring-Gjedde and myself, I would like to propose amendments to the audit obligation for small and medium-sized enterprises as well as changes to the time-limited requirements for keeping accounting documents.
ParlaMint-NO_2010-10-21.ana.ud2350e74	The representative, Mr Träldal, will put forward a proposal for a representative.
ParlaMint-NO_2010-10-21.ana.ud2350e77	On behalf of Christian Tybring-Gjedde, Per Roar Bredvold, Harald T. Nesvik and myself, I would like to make a proposal to tax revenue from forest management as capital income.
ParlaMint-NO_2010-10-21.ana.ud2350e82	The representative, Åse Michaelsen, will present a proposal for a representative.
ParlaMint-NO_2010-10-21.ana.ud2350e85	I am delighted, on behalf of the big-time representatives Solvency Horne and myself, to come forward with proposals for the establishment of rehabilitation and reconciliation institutions for young people.
ParlaMint-NO_2010-10-21.ana.ud2350e90	And finally, Mr Halleraker's representative wants to put forward a proposal for a representative.
ParlaMint-NO_2010-10-21.ana.ud2350e93	I would like to put forward a proposal by the representatives of Lars Myraune, Tage Pettersen, Siri A. Meling, Trond Helleland and myself that an independent, stand-alone road and road traffic control should be set up, which should be responsible for the supervision of roads, road users and vehicles.
ParlaMint-NO_2010-10-21.ana.ud2350e99	The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will propose that the morning meeting, if necessary, continue beyond the regulatory time, at 5 p.m. 16 until today's map has been processed. – No objections have been raised to the President’s proposal and it is deemed to have been adopted.
ParlaMint-NO_2010-10-21.ana.ud2350e120	There is agreement in Norway that we should have an active protection policy and that it is important that we protect some natural values for our children and grandchildren. Then the question is how to implement this protection policy, what kind of popular control is in the protection policy, and how those administrative bodies, the part of the public that is to implement the protection policy, relate to the interests that are being affected. For the Right, of course, private ownership is important. Private property is a foundation for the creation of value in Building Norway. Private value creation has resulted in resources being managed in a good and proper way over the centuries. A combination of the protection and use of landowners within nature's tolerance limits by landowners has made it possible to maintain and safeguard values for future generations. What we're afraid of is that the balance is now going crazy, and that the balance is going crazy without the elected ones, i.e. we who sit in this room, and those who sit out in the local government, are getting enough permission to join in and preface the developments that are taking place. The representative Per Olaf Lundtigen has said that Norway is cracking. He has pointed out that there is a growing distinction between a kind of bureaucratic-political governance system and perceptions outside the people. I think he has something right in it. I think very many in this room when they're traveling, feel that there's growing frustration and irritation out there, especially outside the larger cities, among people who feel that the bureaucratic-political apparatus instead of being a counterpart has become an opponent, among people who feel that there's too much rigidity, too much bureaucracy, too much arrogance in the system. In particular, it is a problem if parts of the administration act as self-employed actors and make decisions based on judgement rather than on policy guidelines. An illustrative example may be non-interventional natural areas, which are a structure used for extensive protection but which are not sufficiently politically anchored. It could almost be tempting to say that they are not politically anchored. That kind of instrument weakens the government itself in the worst cases. The starting point for this interpellation is a local matter from Telemark, but it involves much more. This is the management plan for the protection areas of Hardangervidda. I want to spend some time on this local matter, mainly because I think it is illustrative for a larger problem complex. I would also like to stress that in this case there is a broad political environment behind the criticism. The landowners of Hardangervidda are known to be overrun in the submitted new management plan for the wide-ranging protection areas. I quote from Telemarksavias on 4 September this year, where landowners tell of the treatment they have received from the Directorate for Nature Management: "There has been a bad process in the previous work on the plan. DN has not been interested in the opinion or the requirements of the owner. They have, however, been arrogant, among other things by failing to respond to letters, says Johan Vaa, who himself has carried them in the pen." So they describe a process in which both landowners and local elected representatives are not heard and listened to. They draw attention to the fact that a fairly broad majority of the Grand Duchy has said that it should be possible to combine growth and protection. In other words, there should be a possibility of rational use of protected areas. The majority of the population said, among other things: through the so-called mountain text – not in the previous magnification period, but in the period before it – that there should be a moderate use, i.e., within the capacity of nature to try to combine the path of protection with the rights of landowners, but also the ability to develop the areas and to live on it, to maintain nourishment and scattered settlement. In this specific case, it is such that the Directorate for Nature Management informed that no political signals had been received that intensification would take place. There was no reason, said the Directorate of Nature Management early in the case, to say that there was a need to tighten up the regulations on the use of the site. But then, however, one experiences – landowners and municipalities – that when the submissions first come, there is intensification on incision. I would like to stress that these are not landowners or local elected representatives who want free movement and free movement. It's not like you want the right to go ahead like you want in one of the most beautiful natural areas we have in Norway. There are moderate demands on building size, i.e. a little decoration, a moderate liberalisation of what kind of construction is allowed to build, the clearing of opportunities to build outhouses, the change in resource requirements in connection with the naust, etc. So both municipalities and owners feel that the Directorate for Nature Management does not listen, does not belong, and even – in their opinion – goes across what is the policy guidelines. So you can probably object that these aren't new tones from the Right, this is talking right about at all intersections. We are, of course, almost under-implemented by the programming obligation to believe that the landowners in Norway are under-performing, and that there is too much bureaucracy and too much protection from above. That is why it is important that in this specific case, as in many other cases around the country, there is a broad political majority in favour of matters specifically involving the Directorate for Nature Management. One of the people who have been very involved in this matter is SV's capable and good rapporteur in Vinje Municipality, Arne Vinje, who describes the process and the relationship with the Directorate of Nature Management in exactly the same way – albeit in a slightly different way – as I have done today. After all, it is worth asking the Council of State – I should not ask if he has control in his own party – whether it can be that when you are a rapporteur in a geographically large municipality, but a municipality with few people, in Telemark, the world looks a little different from where you are in the department offices in Oslo. Another person who has been involved in the debate about the Directorate of Nature Management is the head of the Workers' Party in the Business Committee, Terje Aasland. He said it so strongly at a meeting with Telemark Bondelag a few months ago that the Directorate for Nature Management mixes policy and management in protective and predatory game. It's a serious accusation from one of the red-greens' own politicians. And I don't think he's alone about it. That accusation often comes. Then there are two questions that I would like the Council of State to answer. Firstly, how can you ensure that when the Directorate of Natural Management enters into processes where you need to cooperate with the municipalities and have dialogue with local landowners, you do it in a way that is not perceived as arrogant? What kind of guidelines does the Directorate for Nature Management have to deal with in such cases? My question No. 2 goes into the specific matter that we have here, which is now under consideration. Only after there was media attention around it, in the great and well-readst newspaper Vest-Telemark Blade, which I expect you to subscribe to also in the department, did the Directorate of Nature Management call the landowners and the local parties again to a meeting. Will the Council of State be willing to look at the matter again? Now it has not yet been concluded – if the Directorate for Nature Management, as they signal in Telemarksavias on 4 September, has nothing to give in the matter: ‘We would hardly be able to adopt anything, but clarify any misunderstandings.’ This was after the papers came. Will the Council of State be willing to look at the matter again – engage in real dialogue with landowners and local politicians to see if any of the very moderate requirements, very reasonable requirements, which they have tried to promote, can be met?
ParlaMint-NO_2010-10-21.ana.ud2350e163	Let me start by making sure that I don't have control of my own party in any way – and I didn't even have control over it in the ten years I was a party leader. So Arne Vinje is free to speak, and I also hope that the Right Local Leaders are free to speak without any partisan from Oslo. I think that is commendable in all parties. Otherwise, I am in favour of a debate on this issue. There is therefore a broad consensus on the protection policy in Norway. The 1993 National Park Communication and subsequent communications in this area confirm a fairly broad consensus. But the Hardanger range has always created a debate. I must remind you that it was with two votes that the national assembly of the Workers' Party was being protected by Hardangervidda. Jens Stoltenberg keeps coming back to this. I think there are very few today who believe that Gro Harlem Brundtland was wrong that time. The large majority agree with what she did, and she also said at the time, at the national meeting of the Workers' Party in May 1977: I have no doubt that we hardly have any other area in South Norway as it is so desirable to protect as Hardangervidda. If the interests of nature protection are ever to prevail before the wishes of development in our mountain areas, this should be the case in Hardangervidda. So what we're discussing today is one of the most important Gro Harlem Brundtland created. Without pushing party politics too far, I can remind you that right then was a brake pad. If the Right had got its view through in Stortinget, we would have a much less extensive protection on Hardangervidda, and I don't see the Right very much out there and market that view with pride today – but there's Red Isaacen having an opportunity to do that, if he wants it. The fact that one has once protected an area does not mean that the themes and conflicts end. There are many big and small themes that are important for the community, of course: Where should it be opened for driving? Where can it be parked? And as the Red Isaac was saying, How great can a superstructure be? All these themes must be the subject of ongoing discussion, and it is among the issues to be addressed in the management plan that is now being revised. Let me stress that the management plan can never be an arena for rematching the framework and content of the protection; the framework and content are provided by the Stortinget, and it is established by nature diversity law and by protection regulation – and it is up to the local actors and also the Directorate of Nature Management to deal with, until the Stortinget sets other frameworks, if necessary. But there is, of course, flexibility within those frameworks, and it must be the theme of the discussion here today. So it's very central to the red-green parts that protecting an area is not the same as being out of activity. Protected areas shall be a local community resource and shall provide a basis for local value creation, both at times in national parks directly and of course in the form of tourism and other industries closely linked to the protection policy. I have repeatedly, in Stortinget and in other ways, made it clear that I believe that everyone in charge of protection in Norway should not manage it on the basis of a millimeter of justice, not be – to use the word of Røe Isaksen – rigid and bureaucratic, but manage it on the basis of what is the root cause of protecting an area. That is what needs to be protected, and that must be the starting point for protection. So you can be flexible on less important issues that don't go into the core area. There we have shown a much greater flexibility than previous governments and said this very clearly into the devices. And of course, at times it can be difficult for all the devices to deal with this in a precise way, because there are so many local considerations to be made. We have also contributed to a natural heritage value creation programme, which means that we will get more local anchoring and more commercial activity out of classical nature protection. And the red-green government is now putting up with local security agencies — once again an innovation — which will enable local interests within the framework of national leadership to manage national parks. But whatever we do from the centre, it is a demanding task to reconcile the interests locally, it is a demanding task to make good management plans, and it is a demanding task to maintain the relationship between reasonable and unreasonable local desires versus the national and sometimes international protection values. These assessments shall be made on the basis of knowledge, the precautionary principle and the principle of overall loading. But we will never get there that there are no differences of opinion about these issues, both centrally, in the Storting and locally, in the environments that live in and around protected areas. The fact that not everyone gets an impact on all their views does not mean that there have been bad processes or that the Directorate for Nature Management takes too little account of recordings and advice. I distance myself from the tendency we increasingly see from the Right, to make the Directorate of Nature Management and some other underlying agencies into chicken for policy purposes. I jogged to Stortinget this morning, and then I heard a very good post from the Right Vice-Chairman, Bent Höie, in Political Quarter. I would suggest that the Right press and send by e-mail to all of its staging representatives – if they don't, I'd like to do the practical part of the job myself – because it was basically a very important defence of the rights of the underlying agencies to express their views. Now it probably helped well that the starting point was that the health director and education director had come up with views that the Right agreed to, but the test of acceptance for the freedom of expression of the underlying agencies is when one disagrees with what they say. When the right then agrees with the education director and the health director, this must also have the consequence that when the Directorate for Nature Management expresses an opinion – or when the national product expresses an opinion – one must resolutely defend the right of these agencies to express these opinions. Otherwise, this becomes meaningless. I believe that all parties here should think through their principal points of view: either you accept that the underlying floors do this, or you don't accept it. And I think to those degrees we're earned that underlying agencies have an opportunity to present their positions, and then it's up to government and greatness to make the necessary compromises. This government has, for example: not followed up all the recommendations made by the Directorate for Nature Management in the field of motor travel to take an example. But we're earned with the professional input from the different directorates. If, at times, the Directorate of Nature Management was to be perceived by local interests as arrogant and bureaucratic, I would like to send a recommendation to the Directorate to look at this, see if there are things in the way that can be improved. Each criticism is a good one and a spur to improve, but the Storting should protect the rights of the underlying agencies to make their views known and their right to participate in various processes in a good way. I don't have any grounds for criticism by the Directorate for Nature Management, but I'm going to ask the Directorate to evaluate for myself whether any of the recordings that are coming are something you should take over. Finally, I would like to add that both the Ministry of the Environment and the Directorate of Nature Management have met with the Hardangervidda Committee of Rapporteurs on the work on the revision of the management plan. Representatives of the Hardanger range of landowners also participated in the meeting with the Directorate. The Directorate will continue the dialogue, where the aim is to find good and agreed solutions. I am in constant contact with the Directorate of Nature Management in this matter, and I can assure you that the management plan will be within the framework of the Natural Diversity Act and the Protection Regulation. But based on the points of view that the Red Isaac came here, of course, I'm going to go into this matter myself and look at the material that exists.
