ParlaMint-NO_2010-02-10.ana.ud2182e26	The representative, Mr Sortevik, will make a proposal for a representative.
ParlaMint-NO_2010-02-10.ana.ud2182e29	On behalf of the representatives of Bård Hoksrud, Per-Willy Amundsen, Torkil Åmland, Anders Anundsen and myself, I have the pleasure of presenting proposals to increase the use of binding referendums in Norway.
ParlaMint-NO_2010-02-10.ana.ud2182e34	The representative of Borghild Tenden will put forward a proposal for a representative.
ParlaMint-NO_2010-02-10.ana.ud2182e37	On behalf of the representative Trine Skei Grande and myself, I am pleased to propose a representative proposal for the creation of a separate regulatory board.
ParlaMint-NO_2010-02-10.ana.ud2182e42	The proposals will be dealt with in a regulatory manner. The President will inform you that the Presidency has decided that the next Wednesday will not be held oral Question Time. Instead, it will be a statement by the Prime Minister, with the possibility of follow-up to the parliamentary leaders. The background to the presentation is – as the Stortinget has heard, but is not officially known – that the Government is in the process of launching a very comprehensive consultation on future employment in Norway. The Presidency, in consultation with the Prime Minister's office, has concluded that the type of central debate should allow Stortinget to be part of. In view of this, the Prime Minister wishes to make a statement followed by a round of comments by the parliamentary leaders. So that's going to be the point on the agenda next Wednesday, replacing oral question time.
ParlaMint-NO_2010-02-10.ana.ud2182e68	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Life Signe Navarsete State Council Trond Gish State Council Erik Solheim The state councils advertised are present, and we're ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. - No one's getting up. We will then begin with the first main questions from the representative, Harald T. Nesvik.
ParlaMint-NO_2010-02-10.ana.ud2182e87	I will be allowed to ask questions to the Minister of Industry. Over the last few days, and also today, we have been informed that the state-aided environmental activist Kurt Oddekalv intends to launch a campaign against Norwegian farmed salmon – and thus also against Norwegian business. Based on the statements made by the environmental activist Oddekalv, it is obvious that he intends to try, along with other organisations, to hit Norwegian businesses in general, and the farming industry in particular, hard abroad. This is worrying, especially when we know that the person is also receiving State aid. My question to the Minister for Economic Affairs is this: Will the Minister for Economic Affairs take the initiative of both the Minister for Foreign Affairs and the Minister for Fisheries and Coastal Affairs to adopt a common strategy and ensure that funds are put in place to enable action to be taken against the organisation of Oddekalv and similar organisations abroad that intend to destroy Norwegian business?
ParlaMint-NO_2010-02-10.ana.ud2182e96	The public spends quite a lot of money marketing Norwegian business abroad. After all, the fishing industry, aquaculture and salmon production are a success story. Norwegian salmon is going incredibly well in the world. We make a lot of money on it. The prices are good. It forms the basis for many important district jobs. At the same time, we know from the last few months that there is an industry that also has certain environmental challenges. We must tolerate this debate in a democratic and open country. It must be allowed for critics to make different claims. It must even be allowed in Norway to make false claims. Then we as the authorities together with the industry must both correct what is wrong, and at the same time respond to the claims that are false. Of course, it is unfortunate if various Norwegian interests try to destroy Norwegian business abroad. This may mean that we need to have a further reinforced effort, including: in order to counteract the claims made out. We should be aware of that and of course cooperate with, for example. Norwegian embassy staff and the U.D. if this type of information is necessary in different countries. But we have to endure the debate. It's one of the sides of a democratic society, that people can believe what they want, they can even say it out loud. Then we'll have to counteract the adverse effects if it goes beyond important interests for our country.
ParlaMint-NO_2010-02-10.ana.ud2182e105	That's not the debate you're afraid of. The debate is to be held, and it goes, and the farming industry is also obviously facing its challenges. My question to the Council of State is whether he will do a job to be prepared. What's the problem is that if we come after, the damage may already have happened in a market that has taken many, many years to build up. Therefore, it is important that we put forward strategies in advance, cross-ministerially, so that we have instruments that the Committee on Fish Exports can carry out. It has been said that the foreign stations must be prepared so that they can respond to the unfounded claims made by environmental activist Kurt Oddekalv. Therefore, my follow-up question to the Council is: is there now a work in the ministry to try to achieve a common strategy in this field? We have looked at the news today, among other things. that Odekalv is already in Spain and has started its campaign. This cannot continue with State aid granted to Oddekalv.
ParlaMint-NO_2010-02-10.ana.ud2182e114	I just have to say that I understand very well the problem of defending the aquaculture industry against false claims, ensuring that we can export Norwegian salmon, and respond to the attacks that are coming, while at the same time correcting the errors that are. But I just have to say that I react to the fact that you have to connect, for example. State aid granted to various organisations with what they think. If it were to happen that we were to start exempting state aid to various organisations, whether it was in the environment, aid or political parties because they think something that the state thinks is unpleasant or difficult, or that goes against the interests of the state, we are on completely wild roads. It surprises me a party like the Progress Party, which is constantly having opinions across what the majority in Norway have, really thinks that we should connect that kind of thing. We have had this debate also in my old field, in the field of religion, if we were to link state aid to different demands, etc. Then I have discovered that the Progress Party is of a completely different opinion. They should be in this case as well.
ParlaMint-NO_2010-02-10.ana.ud2182e119	Three follow-up questions are raised – first Torgeir Tåldal.
