ParlaMint-NO_2010-03-05.ana.ud1660e67	The representative, Jan Tore Sanner, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-05.ana.ud1660e70	On behalf of the big business representatives Ulf Leirstein, Hans Olav Syversen, Borghild Tenden and myself, I would like to propose a tax exemption for the automotive diesel tax for high-intensity biofuels.
ParlaMint-NO_2010-03-05.ana.ud1660e75	The representative, Anders Anundsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-05.ana.ud1660e78	On behalf of the representatives of Ulf Erik Knudsen, Øyvind Vaksdal and myself, I am delighted to make suggestions on the use of government agencies at political events in and outside election campaigns.
ParlaMint-NO_2010-03-05.ana.ud1660e83	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2010-03-05.ana.ud1660e97	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines after the intervention by the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-03-05.ana.ud1660e106	Let me first relate some comments to the concrete energy situation in Central Norway – and in the rest of the country and the Nordic countries, too. It can actually be summed up in one word, and it's: unacceptable. A situation in which electricity prices fluctuate as they have recently done is not acceptable. The main objectives of the Workers' Party and the Government are work for everyone. The government therefore suffers from all those in this region who have an unsafe working situation due to the variable and sometimes very high energy prices. We also have great sympathy with all those people in Central Norway and the rest of the country – and the North for that matter – who are going to get higher electricity bills. The reason for this situation has been, and there is little of us that can do anything about it. There has almost been no rainfall. We also have a situation with the Swedish nuclear power stations lying down. If you're going to be honest, and it's going to be from this chair, the situation is also a result of many years of emergency from different governments over very many years, by the fact that you haven't built the net to the extent that you should have. But now let the story speak for itself, and now we're going to see the future. Our government has granted billions of crowns of renewable energy and energy efficiency improvement through Enova. Statnets will invest tens of billions of dollars in the repair and construction of new line network in the coming years. Especially the last is what will create a lasting better situation in Middle Norway. Only by making Norway one energy-rich through a well-developed grid for optimal flows of power across parts of the country can we achieve our long-term goal of a common electricity price across Norway. This is our goal, and this is what we're working purposefully for. So to the concrete situation in Central Norway and the proposals of the Progress Party that are being discussed here today. So we have a situation where 4,000 MW of nuclear power in Sweden is out of production. This has happened at a time of year when we can usually buy electricity on the Swedish market. At the same time, we have had strong cold over a very long time and some other unfortunate conditions. All of this at one time, as I said earlier, has led us into a difficult situation. However, it must be emphasised that the situation has been and is manageable. We don't – and we don't – have a ratio. It's true that the prices for a few short periods have been up to something over NOK 10 per person. kWh, but it is not correct when applied for as if this is the frequent and usual price in the region. It's grossly misleading and it's not right. The price has been very high for periods, but on average it has not been close to what is being produced here. With regard to mobile gas power plants, it may also be useful today to remind each other that we are talking about 300 MW of installed power in these works together – this in a situation where the loss of Swedish nuclear power alone is in the order of 4000 MW. In other words, we are not talking about any revolution at the start of these gas power stations. The Progress Party is trying to present the launch of these works as a kind of simsalabim effect to solve all the challenges. Of course it's not like that. I understand that it is the opposition's privilege to make political coins on the challenging situation in the region, in the country and in the Nordic region, but I do not think it is particularly responsible for the Progress Party. State networks have applied for a derogation from the concession terms as regards the possibility of starting up the mobile gas power stations. State networks want to be able to put mobile gas power plants in a position to operate within hours and not weeks, as it is today – this in order to be able to set them up quickly in case of outcomes or other difficult situations where system operators consider that the use of these facilities will be necessary to deal with the situation. This application is in favour of the NVE and is now on the Council of State table for final decision. Thus, the state network has not applied to change the current concession, as proposed by the Progress Party here today. The progress party clearly has an assessment of the situation different from that of the authority body set up to provide the day-to-day security of supply in the area. This is interesting enough to notice in itself. Worse, I think it would be strange if the Stortinget were to interfere in the specific process that is taking place during these days in connection with Statnett's application for a derogation. For this reason, the Labour Party today rejects the proposal put forward by the representatives of the Progress Party.
ParlaMint-NO_2010-03-05.ana.ud1660e132	Let me start by taking up the proposal, and it's done. I was greatly provoked by the way the representative Sund describes the proposal of the Progress Party, and by the kind of idiotization of the proposal that stands here. We're not saying that this is a simsalabim proposal. It is very clear that this is a contribution. If this becomes the tone of the red-green parties in this debate, it becomes very unfortunate to show that this is a serious problem. The force situation is serious. I won't go into it. We've seen sky-high electricity prices and sky-high average prices, even though we're not talking about many dollars. But at least the average price was 95 cents just a few days ago. The question is, How do we deal with it as the country’s legislative assembly? Are we going to let the market run completely, which is obviously the solution to the red-green batches, or are we going to make sure that the power generation that the state is directly involved can actually be applied here, and modify the legislation that the government has designed to implement? We have two mobile gas power plants, with a total capacity of 300 MW, which the state itself controls 100 pst. How should we use this to help consumers best in a difficult situation? And not least: how are we going to use these to prevent the risk of force rationalization later this winter and spring becoming imminent? That's what this is about. We know that the magazine fillings in Norway are now 40 pst. Under normal conditions. Tfjord Kraft has been up and measured the amount of snow in the mountains around its magazine. It's 50 pst. Under normal conditions. It promises bad for this spring. That's why it's a little risky, I think, when the government's plan is to have a start-up standby only if there's an acute power shortage in effect for a short period of time. What's the problem now is not a power problem, but an energy problem in volume terms, namely that we're in danger of running out of water during this spring. Then it's not just useful to talk about power, we have to talk about energy. Then mobile gas power plants can help us save water in a completely different way, because we have 300 MW of power that is running a stand. After all, that's 8 pst. of the installed effect in this region we are talking about. So let's not just talk about the Nordic market and let it become a little number -- that's 8 pst. the effect in the region. Is it too expensive?SV will probably claim in this debate that it costs NOK 3–4 per cent. kWh. We sent an address to Energy Norway and to Natural Power – there are different actors operating gas power plants, and they know this. They said that with today's gas price, with today's climate quota price and with normal operating costs, the variable price is by operating these max. 50 øre. The estimate was between 45 and 50 cents. So there's the cost in the market for the state to go into zero to operate this. And then we can also take on the positive side that someone likes to increase the security of power supply, which means that the country actually pays all this, and that it's not taken out in the market – but even if Statnet takes everything on the market, it's 50 cents they have to have for it to go to zero, not 4 cents. I fully agree that there are long-term solutions that need to be put in place, but no matter how much we discuss wiring, energy saving and green certificates, that doesn't help this spring. It's only the mobile gas power plants that we have to dispose of, that's the solution now. They don't mean anything, you might say. Yes well: Trunder-Avisa had a look-up yesterday – ‘NTE races over Statnet disconnection’ – because Statnet took away 400 MW of line capacity to the Trøndelag region for five hours. The result was a power price that went straight up. It was 400 MW. It's just a little bit more than the mobile gas plants give. This has an effect. That's why this is so important. We promoted this proposal because we saw in the media that many red-green representatives went out and said: we have to put these into use, both in order to balance prices and, not least, in order to prevent rations later this year. ‘For the use of contested gas power plants’, the NRK Trøndelag website says today. «If the Minister of Oil and Energy comes to Stortinget with such a proposal, it will have a large majority», says Mr Kristoffersen of the Workers' Party. It should be «a piece of cake», but it refers to the fact that one has to make changes to the legislation in order to achieve this. Here was the invitation. In terms of criteria, we haven't said what price level you're going to set. We've let this go to the Government to show the will to flexibility from our side and not override. But we wanted the Storting to give the authority, so that one could now get started. Then I get very depressed if that's right, what the Sunnmørspost says, that the red-green parties are forced to vote no. Now, in Stortinget, we have a golden opportunity to give a marshaller, an authority to the Government, to resolve this situation, so that the risk of a power supply crisis is reduced to springtime. Let's not discuss price, let's discuss how to ensure that the power does not disappear to spring. Then it's a good way to use mobile gas plants to do it.
ParlaMint-NO_2010-03-05.ana.ud1660e162	This winter has been both cold and low-precipitation. As a result, power consumption has naturally been high. The combination of long-lasting cold, low filling density in our water storage plants, Swedish nuclear power that has been out of production and defects in the NorNed cable have led to an increase in electricity prices. The situation in winter must be said to be quite extraordinary. It shows, among other things: our vulnerability by having a power supply with a high share of hydropower. For parts of Norway, this winter has resulted in extra high electricity prices. Of course, I'm thinking about the Mid-Norway price range. In fact, electricity prices at some times have been more than NOK 11 per person. kWh in February in this area. It is understandable that both individuals and businesses react to this price picture. A lot of fear of the power bill. This is an exceptional situation, but it is not the first time this area is experiencing a price crisis on electricity. The whole country experienced very high prices in the dry year 2002/2003. It showed how vulnerable we are. Statnet has been warning us since 2005 that we will be able to face a very difficult situation in central Norway if no action is taken to increase local power generation or transfer capacity into the area. Therefore, this situation cannot be claimed to be unexpected. Rather, it's a notified crisis. The background to the country being divided into different price ranges is, as you know, that the network capacity is not adequate throughout the country, that there are some bottlenecks, which mean that in some areas of the country we have to have a particularly high electricity price – both to ensure supply in the area and to balance consumption, so that we do not get into a situation of supply crisis and a threat of rationalisation. There is little doubt that the system is working. With the high prices we've seen over time in Middle Norway, it's clear that most people will save on the current where they can. Enterprises reduce capacity utilisation, either as a result of their agreement with the authorities to release energy, or as a result of their actual failure to achieve profitability in production at such high costs. This is a very regrettable situation. Sooner or later, electricity prices will fall – after the Centre Party’s action at lower prices, as reported in Dagbladet last week, i.e. milder weather and more rain, has been implemented. It is good if prices go down, but the impression that is attached – how attractive business and industry start-up in central Norway will be with this type of electricity prices – can be serious for the region. And that's what we regret in the right of the strongest. We are concerned with good and predictable business framework conditions. It must also apply to Middle Norway. The challenges of network capacity are a problem that we have known for a long time. Already in the spring of 2006, the Minister for Oil and Energy announced, in the context of a proposal from the Right, that he would present an action plan for the power supply in Central Norway in early autumn 2006. This action plan has never been presented, either by former state councillors Odd Roger Enoxsen and Åslaug Haga or by current state councillor Terje Riis-Johansen. Such an action plan, with its follow-up, could have removed the bottleneck that has led Mid-Norway to pay a disproportionately high electricity price compared to the rest of the country. Unfortunately, nothing has been done, and from the Right we will criticise the Government and the Minister of Oil and Energy for not having acted. During the previous price crisis, Labour Party leader Jens Stoltenberg at the time asked Minister for Oil and Energy Einar Steensnæs to step up and take responsibility for the fact that the power prices had gone to heaven, and stated to Dagbladet on 16 December 2002: ‘An oil and energy minister shall implement short-term and long-term measures if electricity prices make such jumps as we have seen in the last few weeks. He has the possibilities, but he doesn't use them. That's what's up." The red-green parties have been in government and have had a majority for almost five years. They have had every opportunity to make investments in networks. They didn't. Private individuals and businesses in Central Norway now have to pay the government's emergency price on these questions. The right has put forward representative proposals on this issue three times in all: the spring of 2006, the winter of 2009 and again, during the current ageing period. We can't have a situation where a person in central Norway has a much higher electricity price than a person in the South West, especially when Statnett, the state's own company, has a monopoly on the central network. There is a reserve capacity in the area in the form of these two mobile gas power stations, purchased for use in the event of a threat to security of supply. This was one of the measures taken by the Bondevik II Government, in the wake of the crisis in the early 2000s. The mobile gas power plants were to be used in case we moved towards a situation with a risk of rationalisation. The right behind the start-up criteria. The situation we are now in is not a supply crisis, but a price crisis. Therefore, the Right wishes to re-evaluate the criteria. And we want to give the government the power to start up the mobile gas power plants. I would like to take up the two proposals from the Right and say that we will subsidly support the proposals of the Progress Party.
ParlaMint-NO_2010-03-05.ana.ud1660e195	The representative Siri A. Meling has taken up the suggestions she referred to.
ParlaMint-NO_2010-03-05.ana.ud1660e198	I interpret this proposal as part of what some people have tried to create, that one with a start-up of the mobile gas power plants will solve all the price problems we have experienced, and experience, in Middle Norway. The country has experienced the effects of a strong market link with other parts of the Nordic region. Therefore, there is something unreasonable about parts of the opposition’s presentation of the situation. Particularly unfortunate is the fact that many people in central Norway can get the impression that this one measure, the start of these gas power stations, will greatly help consumers. There is something backwards about the argumentation, especially about the arguments of the Progress Party – which would normally have as few regulation as possible in terms of the market – when they try to present it as if it were the red-greens that celebrate the free market. On the contrary, it is signed that in the public debate over the last few weeks it has pointed to weaknesses in today’s power market and has pointed to a number of measures that could regulate the market, measures that could also be noticed in terms of long-term industry and lower electricity bills for people — while the Progress Party has used all its forces in one map. Something has to be done when it has been found that my part of the country was a net exporter of power the hours the prices went to verse. It does not make sense that it is cheaper to heat up the driveway on Frogner than to warm up the house in Trondheim when the cold is at its worst. It's these market mechanisms that have to be superseded, to pay for the power bill to people. It is the measures that prevent us from experiencing this also next year, and the year after that, which should be discussed here in the Chamber, not measures that, according to the Ministry of Oil and Energy and Statnet itself, are not, and were never meant to be, a price measure. I think we owe that to the people of Central Norway.
ParlaMint-NO_2010-03-05.ana.ud1660e207	A cold winter and low rainfall has given us a challenging power situation, with high prices. In our country, the high price level is giving rise to special results in Central Norway and North Norway. The common Nordic electricity market is not just a Norwegian phenomenon. Sweden, Finland and parts of Denmark have a high electricity price. Through this single market for electricity, Norwegian electricity prices are largely characterised by the absence of large parts of the Swedish nuclear power, which means that much less power than usual is available in the market. People in Central Norway, North Norway and other parts of the country are concerned about high power prices. We must respect that. Let me start by pointing to three important long-term measures in the years ahead to avoid a situation like the one we're up to now. The need to increase renewable energy production has been pointed out on several occasions by the Centre Party. The current situation shows that precisely such an increase will be important to ensure stable and good power supply at an affordable price, whether it is for households, businesses or municipalities, and because we have a great untapped potential both for water power and for wind power and bioenergy. At the same time, we must push research into the areas that can become future energy sources, such as energy. offshore wind, osmotic pressure wave, tide, algal cultivation and much more. This is an important bet area if we're to be an energy nation in the future. It is therefore not only important when it relates to the situation we are discussing today, namely the importance of security of supply, but also when it concerns good environmental policy and industrial policy. Item No 2 is net. It is absolutely crucial to secure a robust power grid. The network is a critically important infrastructure, precisely to be able to bring power at any time to the areas where there is a greater need for it. The online wager has not been sufficient in the last decade. Statnett has now presented a strategy for the development of networks, and it is important that, from a political point of view, we make it possible to secure the necessary deployments to ensure sufficient network capacity. We know that the 420 kV line between Ørskog and Fardal is completely central to ensuring e.g. Middle Norway's stable supply of power, it is also, like many other lines, very important to realise renewable power generation. The situation we are up today also shows that it must become an even clearer political goal to make us less dependent on electricity, for example. heating. Here we have other alternatives that are effective and good, while at the same time we will be able to release power for other purposes and make the power supply more robust over longer periods of cold, like the one we're in now. This and other types of energy efficiency are therefore an important element of future energy policy. I would have hoped that this debate could also be a debate – preferably on short-term measures, but also in the long term – that will resolve the situation we are facing. I agree with the representative Valen's words that a large number of manufacturers are proposing the start-up of mobile gas power plants to resolve the price situation in Central Norway and North Norway – there is little to suggest. There is little evidence that the start-up of these power plants will significantly affect the price. In particular, if one is to compensate or reduce the output of water to save the water in the warehouse for the future, one of the corresponding minor effects of this would be to reduce it. That's why it's important that we be honest at these points to the many people who are now concerned about the power calculation saying – that's what people demand that we be honest about. There's no quick fix on the situation we're up in, but it requires extra attention in the future. Proposal providers want to change the concession requirements of State networks for mobile gas plants, so that price signals and not just security of supply are increasingly taken into account today. It is a rather different proposal from what Statnet itself has applied for, and is now being assessed, which is quite specific in terms of security of supply and the ability to come up with power generation at shorter notice, if possible. Now I see the time is running fast, President. The centre party is occupied by the security of supply represented by these power plants. Therefore, preparedness is right, but according to the current situation, it is right to have the start of a regular assessment based on security of supply and not on the current price situation.
ParlaMint-NO_2010-03-05.ana.ud1660e233	Fortunately, the time is right for all representatives in the pulpit.
ParlaMint-NO_2010-03-05.ana.ud1660e236	The strenuous power situation of the last weeks with galloping power prices in Central Norway, the decommissioning of Norwegian water storage plants and the Swedish nuclear power for half-machinery, has led to a very unfortunate situation for power users in large parts of the country, as well as for businesses in central Norway and in northern Norway. The Christian People's Party believes that this situation shows that market governance in the energy sector has gone too far, and that the government has been too passive in recent years to put in place new power generation, a better power exchange between parts of the country and increased energy efficiency. Instead, more and more price ranges for electricity have been introduced. The introduction of price ranges is a mechanism, but this mechanism really shifts responsibility from the authorities and the market to consumers, who must relate us to an energy system that is not optimal. A little bit of energy gives higher prices. There are many things that limp in our energy policy. We benefit from a comprehensive review of the energy policy of this government. The last time we had such a review was under the Bondevik II government in 2003. The Christian People's Party believes that the time is overdue for this – that we must now see climate and energy together and make a ten-year plan in this area as well as where we will be in 2020. But it's that in this hall, the power is the one that's coming, and the power isn't entirely on this track, but the opposition isn't going to surrender in this area. Before the Energy Act was amended in 1990, fixed decision-making rules were used to determine the right production capacity. One main motive for going away from this was that this model was not optimal when it comes to exploiting society's resources. After the outsourcing of power generation in 1991, it is assumed that the commercial interests of operators are the same as those of society in terms of security of supply and production capacity. I believe that today’s situation – which we have been up in this year, but also in previous years – shows that the assumption we made does not hold true. Therefore, the Christian People's Party believes that there is a need to strengthen the Minister of Energy's responsibility in terms of security of supply. The current government has implemented few new measures in relation to the strained power situation in Central Norway. Both the spare power plants and the investigation into new power lines between Ørskog and Fardal were set up under the Bondevik II government in 2003. It is probably the case that the spare power plants were never meant to ensure the energy balance in the long term, nor to be insurance against high electricity prices. This is reflected by the fact that the back-up power plants are to be put into operation only after further approval, in the form of individual decisions of the NVE. We have today received a letter from the Council of State saying that the spare power plants have a capacity of 300 MW. This is in the order of 8 pst. of the total installed generation capacity in Central Norway. If you see Mid-Norway as a separate price range, the implementation of these will have an impact on the price. However, in the situation we have now experienced, Mid-Norway, together with North Norway, Finland and Sweden, has been a separate price range, and then – as the Council of State writes to the Stortinget today – it is a very limited impact on the price by launching these two reserve power plants. The Christian People's Party believes that the proposals of the Advancement Party prescribe the wrong medicine for proper diagnosis. There is a need for measures to improve security of supply and the balance of power in Central Norway, and the Christian People's Party is promoting proposals for the investigation and establishment of environmentally friendly reserve power solutions in the Norwegian power market, and we are also proposing to strengthen the political governance of the energy sector. I'm glad that Ketil Solvik-Olsen in his post says that he also sees the importance of strengthening the political part of the energy market. I am thus addressing the two proposals I referred to.
ParlaMint-NO_2010-03-05.ana.ud1660e259	The representative Line Henriette Heimdal has then taken up the suggestions she referred to.
