ParlaMint-NO_2010-02-03.ana.ud2135e26	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-02-03.ana.ud2135e29	On behalf of the representatives of Per Sandberg, Christian Tybring-Gjedde, Per Roar Bredvold, Torgeir Tjäldal and myself, I am pleased to make proposals to draw up a communication on framework conditions for small and medium-sized enterprises.
ParlaMint-NO_2010-02-03.ana.ud2135e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2010-02-03.ana.ud2135e56	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Knut Storberget State Council Terje Riis-Johansen State Council Tora Aasland The state councils advertised are present, and we're ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. The first main questions will be asked by Per Sandberg.
ParlaMint-NO_2010-02-03.ana.ud2135e75	I have a question for the Minister of Justice. But let me first – before I go to the question – thank the Minister of Justice for the action on the TV 2 news yesterday, where the Minister of Justice once for all acknowledged the Party's asylum and integration policy, and where the Minister of Justice put a line over all criticisms of the Progress Party, both in the past and in the future, of asylum policy and integration policy. In my joy – or amazement, I had almost said – about that entry I allowed myself to fill out a registration form to the Advance Party, if the Minister of Justice would be interested in it. But it remains to be seen whether there are realities in what was said. So to the question. The Shah case currently dominates the press and the media. This case raises several issues that have also been raised in the past in both big business and government. It concerns the legal certainty of children. We experience more and more kidnappings, more and more child abductions. We still have a problem of dual citizenship, where children have rights in several states, and we record that more and more children disappear from Norwegian school. This is probably just the beginning of a challenge that will be huge in the future. We already register that private companies, security companies, are established, among others. ABP World Group, which in the last six years has actually had 15 child Abduction cases. And this evolves at a furious pace. Many children do not receive assistance, like the children mentioned in the press and the media in the last few days. Many children are almost ignored by Norwegian authorities. The cases are not being investigated, they are being hospitalized. Here is a problem where responsibility is shared between the Ministry of Foreign Affairs, the Ministry of Justice and the administration. My question to the Minister of Justice is: What is now done by the Government and the Ministry of Justice to coordinate, so that all children get the legal certainty they need?
ParlaMint-NO_2010-02-03.ana.ud2135e84	I would first like to thank you for the recognition of the policy of the Government to create an effective asylum policy. It would otherwise not have been possible if we had taken into account the draft budget of the Progress Party, with dramatic cuts to the UDI, but also cut back on other parts of the integration process. The ability to implement asylum decisions now has only been possible through the fact that we have just given the appropriations that include: The Group of the Party of European Socialists voted against when we dealt with the budget. So I'd rather invite Sandberg into the Workers' Party, insofar as someone is going to change membership of political parties. As regards the issue of child abduction, it is well known that the government has worked intensively over a long period of time to strengthen the safety of children in these matters. It's complicated things. The most important thing we can do is to get more countries to join the Hague Convention. But we need instruments at home in order to be able to implement both within and outside the areas covered by the Hague Convention. What the Government has chosen to do is, among other things, to create the Children’s Abroad.com website – I’m advertising it, because it says it’s very useful that parents can use. It says, among other things. the possibility to obtain an extended legal assistance offer in this area, to seek help from the contact persons established in the Public Prosecutor’s Office – we have a separate contact number for those dealing with these kinds of cases – and it is also known to the questioner that a forum has been set up between the Ministry of Foreign Affairs, the Ministry of Justice and the actors in order to be better able to deal with these issues. What we have seen since 2006 is that the number of child abductions from Norway that we have registered has actually dropped from 57 to 28. Here I believe that we also see that we can reduce the number, while at the same time having significant challenges of being prepared for as serious issues as this. It is largely a matter of implementing decisions on the land of a foreign country, and it is not of the simple.
ParlaMint-NO_2010-02-03.ana.ud2135e95	First, let me say that it is quite natural that the budget of the Progress Party on asylum and integration policies should be cut, because the influx of asylum seekers and refugees would not be close to what the Government got in 2009. As a result, less resource use also becomes natural. Of course, if these measures that the Government now claims to want to implement, as the Progress Party has proposed for 15 years, had been implemented at an earlier date, the use of resources would also have been significantly less. But I'm recording what the minister answers to the question of the child-abduction and kidnapping challenges. My second question then turns to what was said in a letter from the Government to the Justice Committee at Stortinget on 12 March 2009. It was presented, just enough by the Council of State, that the Government had a number of measures to be implemented during 2009. My question is: are these measures in place, have they been implemented, and have they been investigated in line with the letter that came to the Justice Committee of the United Kingdom in March 2009?
ParlaMint-NO_2010-02-03.ana.ud2135e104	I just have to point out my main answer when it comes to issues of child abduction. I would recommend the representative Sandberg to go into Child Abroad.no. There he will see that there are a number of measures that have been implemented and that actually help very well, but sometimes we are in situations where children have been abducted to countries such as the United States. has not acceded to the Hague Convention. We cannot send Norwegian policemen to pick up children from either Palau or other countries where we have child abduction cases. But what we've seen is that, among other things, Good diplomatic contacts of the Ministry of Foreign Affairs, e.g. towards Palau, of course, helped to solve a very difficult matter. So here we are facing an area that requires more than just national decisions here in Norway. With regard to all the measures that have been implemented, I believe that this is useful, but it will not be completed in this area. We see that there are increasing challenges in the sense that many cases become complex while the number of registered cases has actually decreased.
ParlaMint-NO_2010-02-03.ana.ud2135e111	Three follow-up questions are raised – first Hans Frode Kielland Asmyhr.
ParlaMint-NO_2010-02-03.ana.ud2135e114	I think the Council of State should use this opportunity to send a clear signal to the many parents in this country who live in fear of their children being abducted – to lose our children, that is the worst thing that can happen to us. It is good to create web pages, etc. so that people can get information, but I understand that the representative Sandberg here asked about was concrete what Norwegian authorities would actively do in these cases to get the children back to the country, to Norway. The Council of State itself referred to those countries which are not members of the Hague Convention. That's exactly where the dog is buried. How to proceed if children are abducted to that type of country?
ParlaMint-NO_2010-02-03.ana.ud2135e119	With regard to these countries, both from this government and from previous governments, the strategy has been to do what they can to join the Hague Convention in international forums, as well as bilaterally with these countries. We are not in a position to instruct other countries to accede to conventions, but it is a rather nine-time work that is being done, whether I or others in the Government are meeting representatives from these countries to raise the need for accession to the Hague Convention. I believe that the measures I have just referred to are as concrete as they can become – that people get legal aid, that people have the opportunity to have a contact judge, that lists of lawyers specialising in these matters are published, and that the police are able to react more quickly when faced with these kinds of issues, so that one can, among other things, deal with them. have stopped childbirth in time. These are, of course, important concrete measures, and I do not see so many other opportunities than to strengthen precisely this type of effort in this area. I have also not heard anything from the questioner about alternative measures.
