ParlaMint-NO_2010-05-04.ana.ud1413e57	The representative of Trond Helleland will put forward a proposal for a representative.
ParlaMint-NO_2010-05-04.ana.ud1413e60	I am delighted to make a proposal on behalf of the great-grandfathers Erna Solberg, Michel Tetzschner and myself to stop trying to cast an electronic vote outside the polls.
ParlaMint-NO_2010-05-04.ana.ud1413e65	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2010-05-04.ana.ud1413e77	The financial crisis and its aftermath have strengthened old and created new challenges for the countries of Europe and for EU cooperation. In this paper on key EU and EEA issues, it is therefore natural, as in the foreign policy statement here in March, to start here. EU countries had a decline in their gross domestic product of 4pst. in 2009. The decline has affected us differently. Hardly has it gone down on the Baltic countries. In a broader context, however, the decline in the largest EU country is more significant. Germany, the United Kingdom and Italy have experienced a greater economic decline than average. Eurocooperation is now facing major challenges. The euro has meant a strong exchange rate and a relatively low level of interest rates over many years. This has stimulated investment. But it has also stimulated debt-based, consumption-led growth and demonstrated the challenges of having a single currency, without having a common fiscal policy, and greater transfers of financial resources and labour between regions with different growth capacities – as I elaborated in the March statement. The euro has helped to avoid the pressure on national currencies from countries that had previously been unstable in their currency conditions. But it is worth remembering that whatever model you choose to organise monetary policy, good macroeconomic governance is a prerequisite for a balanced development for any economy. Some countries now have to pay high interest on the refinancing of their sovereign debt. High levels of debt and low growth are a difficult combination and are mutually reinforcing. Greece is precisely in this situation. The state financial crisis in Greece is serious and acute. It has put euro cooperation to its greatest test so far and created new uncertainty about the financial stability of Europe. It is therefore good that Greece last Sunday reached agreement with the International Monetary Fund, the European Commission and the European Central Bank on the proposal for a three-year stabilisation programme aimed at restoring Greek public finances and the Greek economy. The programme involves Greece receiving loans totalling EUR 110 billion over the programming period. Bilateral lending agreements with euro area countries will cover 80 billion of these, while the IMF will cover the remaining 30 billion. The Stabilisation Programme shall ensure that Greece’s budget deficit is significantly reduced, while strengthening the competitiveness of the Greek economy. These measures include, inter alia: significant cuts in wages and pensions for public employees, while increasing taxes and raising retirement age. So this is not an easy solution – neither for Greece nor for the euro – but it is likely that the measures are absolutely necessary. If they're sufficient, time will show. The Stabilisation Programme shall be approved by the Greek Parliament and by the IMF’s Governing Board, and the loans of the euro countries shall also be subject to national parliamentary procedure. It is now working intensively to target the necessary decision-making procedures so that Greece can receive the first payment in time to cover a large loan maturity on 19 May. An extraordinary meeting of the Heads of State or Government of the euro zone is scheduled for the next Friday. Hopefully, the rescue package will help stabilise the situation in Greece and slow down the spread effects to other countries. Both for Greece itself and for financial stability in Europe, it is essential that Greece regains confidence internationally. At the same time, the EU will in the future look closely at how to strengthen euro cooperation. It is serious that the crisis has gone from being a financial crisis to being a job crisis and a debt crisis. Greece and several other EU countries, which also have a difficult budgetary situation, need to tighten up fiscal policies at a time when unemployment is increasing, and there is really a need to stimulate demand. This can create high and sustained unemployment, increased political tensions and further problems for euro-cooperation in the future. Therefore, developments in other vulnerable euro area countries such as Spain, Portugal, Italy and Ireland are also crucial. In this changing economic terrain in Europe, where many of our closest cooperating countries are now experiencing painful changes, the contrasts with Norway can be seen as great. But this also concerns us to the greatest extent, because we can expect the economic, financial and political situation in Europe to develop in a dramatic direction. When European countries are affected financially, it is about Norway’s closest allies and economic partners — for example, 80 pst. of our exports to the EU. If the development is weak in our single EEA market, the Norwegian economy is also affected, even if the basic economic conditions are positive in our country. That is why Europe's response to the challenges of the financial crisis directly affects us. We are following with interest the Commission's comprehensive proposal for a new growth and employment strategy, Europe 2020, which was largely endorsed by the EU Summit in March. Several aspects of the strategy will be relevant to Norway, such as the development of new EEA legislation and Norwegian participation in EU programmes. We have therefore committed ourselves to the design of the strategy, involving both the Prime Minister and the Minister of Economic Affairs and Trade. At the same time, in our dialogue with the EU, we place emphasis on the importance of ensuring a level playing field in the internal market. Among other things, it is important that the financial crisis does not lead to protectionist measures or to increased use of anti-competitive aid. We are also concerned that measures should not lead to social dumping or that environmental considerations should be disregarded. Europe 2020 replaces the previous Lisbon strategy and will be the overall reform strategy in the future. The goal is a new, sustainable growth in the EU. The strategy is ambitious. Other initiatives and existing policies in the EU will be linked to them. The strategy has concrete objectives for employment, research, climate and energy action, education and poverty reduction. Weak growth is expected in EU economies this year, but the figures are uncertain. The banking sector is still vulnerable. Continued weak development in the EU weakens Norway’s export potential and may reduce prices of important exports. With the EU as our main market, it will contribute to a slower improvement in key Norwegian sectors. However, Norway has a significant surplus in foreign trade, and we will hardly experience a large impact on our overall real economy in the short term. As I've been through several times in this room, the financial crisis has hit our neighboring people in Iceland hard. Since the collapse of the Icelandic financial sector in the autumn of 2008, it has been the line of the Norwegian Government to go ahead in international cooperation to support Iceland. The line is understood and valued by the Icelandic government. There has been a Norwegian view that support for Iceland should take place in international cooperation and that the Nordic countries should stand together. Through such cooperation, Norway’s support has the greatest effect. This is also underlined in Innst. S. No 221 for 2008-2009, where the Stortinget dealt with a guarantee for loans from Norway’s Bank to the Icelandic central bank Sedlabanki. The Norwegian Government has not made the Icesave agreements between Iceland, the Netherlands and the United Kingdom a condition for the further payment of the Norwegian loan to Iceland. What has been a condition is that the Governing Board of the International Monetary Fund, i.e. the IMF Member States, approves the review of Iceland's stabilisation programme. These conditions are common to the Nordic countries. There was long doubt as to when the IMF Board would deal with the second review of the stabilisation programme. Norway was working to ensure that this review was not subject to agreement on new Icesave agreements, but to take place as soon as possible. Cooperation between the Nordic countries was important here. The government is pleased that this work has been carried out and that the review was approved on 16 April with full support from the IMF Board. The decision implies that the third payment of the IMF loan, the second part of the Nordic loans and the first part of the loan from Poland are made available to Iceland. At the same time, Iceland must comply with its EEA obligations. The Icelandic government has repeatedly said that the country does. Iceland has a gross domestic product per capita. population above the average in Europe, even after the collapse of the Icelandic banking system. Iceland's economy is dynamic and its competitiveness is good. Icelanders have a surplus on the external trade balance. The fourth quarter unemployment rate was 7.6 pst. This is high for Icelandic conditions, but below average in Europe, where Norway is one of the few countries that are significantly lower. Countries such as Finland, Sweden and the United Kingdom have, for their part, a higher unemployment rate than this. It is also unclear when new negotiations on the Icesave agreement will begin. Norway keeps in constant contact with the Icelandic Government on this matter, and of course also on the demanding situation that has arisen after the volcanic eruptions. Since my last statement on the EU and the EEA, the Treaty of Lisbon has entered into force. It happened on December 1st last year. This is a step further in the institutional development of the EU. Majority decisions will be taken in far more areas. Where individual countries and national parliaments had previously vetoed in many areas, direct democratic control should be ensured by extending powers to the European Parliament. The stated objective is to make cooperation between today’s 27 EU countries more effective and more democratic. How the provisions of the Treaty will be translated into practical action in the future will show us whether we succeed in achieving this objective. EU history is about the development of a governance system at European level, about the development of institutional frameworks and rules for cooperation in our part of the world in more and more policy areas. I would therefore like to focus more on the Treaty of Lisbon and the implications that the Treaty can have for Norway and our cooperation with the European Union. The history of the Treaty of Lisbon illustrates the nature of EU cooperation. Debate, disagreement, even crisis, is a natural part of democratic development at country level and when countries cooperate. It creates dynamics, forces change and innovation, changes cooperation and drives it further. The Treaty has now entered into force and its provisions are to be implemented. One of the objectives of the Treaty of Lisbon is to strengthen the role of the EU internationally. Since the EU has gained more members, it is, of course, more demanding to come up with a collection of views. At the same time, policy has become more sectoral. Several policy areas, such as justice, trade and aid, are included in the broader foreign policy. The EU has appointed a High Representative for Foreign and Security Policy, the UK Catherine Ashton. She has to play two previous roles, as the EU's external representative and as Commissioner for Foreign Affairs. The High Representative shall also be the Vice-President of the Commission. Lady Ashton has a demanding job, but she has taken it with openness and willingness to include. There are vital qualities for one who is to bind strong national wills together. She represents both the Commission and the Member States internationally. She meets in the European Parliament to discuss foreign policy and attends summits. She is responsible for presiding over the monthly Foreign Minister's meetings, which were previously chaired by the Presidency's country. And she will build up the new EU External Action Service, with approx. 6000 employees. It's a job that requires a woman. This European External Action Service is a new EU body. It shall neither be subject to the Council nor to the Commission. The organisation shall assist the High Representative in its work and shall also support the President of the Commission and the President of the Council. I repeat, this is about 6,000 new employees. As Ashton has said, this should be a service organization. The new EEAS will have geographical units or ‘desserts’ for all countries and regions. We have understood that the service will be set up with a separate “norgesdesk”. It is positive, and we will be in touch with the European Union side on this. The details of the organisation are not finally clarified. If it was decided to transfer the EEA unit of the Commission to the new apparatus, we have been assured that the EEA work will continue in the same way as today. This is something we follow closely up. The establishment of the EEAS is a complex process, as is all institution building in the EU. Different considerations are to be weighed against each other, different tensions in the Member States are to be addressed – such as the desire for stronger coordination on the one hand, and the desire to mark their own national foreign policy on the other. It will take time for the new structures to be in place. In the future, EU forces will be used to lay an organisational basis for such a well-functioning common foreign service. The objective is clear: to make it easier for the EU to speak with one voice on the outside and to give the EU's common foreign and security policy sufficient impact. Since Norway and the EU are, in many cases, close to each other in foreign policy, a more coordinated and powerful EU in many contexts will be positive. Norway’s dialogue with the EU on foreign policy issues will continue and the new service can contribute to this dialogue. At the same time, at this initial stage, it may be more demanding for us to engage in EU decision-making in the field of foreign policy, especially when we note that much time and attention is devoted to internal institutional issues rather than to political issues. We are working hard to position Norway in this context. The EU’s common foreign policy will be no more common than what EU countries think it should be. The global weight of the EU also depends on the overall political power of the countries and on economic development. We are witnessing a shift in the economic and political centre of gravity in the world towards Asia, as I was in my foreign policy statement. Policy areas traditionally promoted by the EU, and by us in Norway, such as human rights, climate policy, an open world economy, are to be broken against the interests of others, ever stronger powers. This is where the EU’s common foreign policy – and ours – stands at the actual, long-term test. In connection with the establishment of the EU's new foreign service, questions have also been asked about how this will affect Nordic embassies cooperation. Let me spend one minute discussing this with my Nordic colleagues. They do not regard the new EEAS as a substitute for the national representation of EU countries — rather a complement. The work in progress to deepen and strengthen cooperation between Nordic countries will therefore continue. We are equally fully aware that the Nordic countries consider adjustments in their own foreign representation, which in turn may affect established cooperation between Nordic countries at country level. In addition, there is a desire from several countries that the EU's external service should also address consular issues, which have traditionally been a cooperation area for Nordic embassies cooperation. We have this in ongoing discussion at all meetings between the Nordic Foreign Departments. The Treaty of Lisbon further strengthens the European Parliament, both as a legislator, in the examination of the EU's common budget and by allowing Parliament to propose Treaty changes. In the codecision procedure, now referred to as the general legislative procedure, the European Parliament is the legislator, together with the Council. That arrangement came with the Maastricht Treaty, but is now being extended to more than 90 pst. of EU legislation. Here, national parliaments have a more direct role to play in the functioning of the EU. They shall ensure that the principle of subsidiarity is respected when EU legislation is adopted. Within eight weeks of the receipt of an EU legislative proposal, a national Parliament may express its opinion on whether a case should be raised to EU level. Norwegian work towards the European Parliament must continue to be strengthened, in line with the importance and development of the institution, as we have seen in several debates in this Chamber. The EU delegation in Brussels is central. The ambition is to continue to promote Norwegian interests in the work of the European Parliament. We have no agreement with the European Parliament on the secondment of national experts, as we have with the Commission. The Ministry of Foreign Affairs is now chairing a multi-ministerial working group to assess how Norway can integrate national experts into the European Parliament as well, and the Group will assess areas of special interest to us. The size has decided to have a mission at the official level of the Grand Duchy to work towards the European Parliament. The scheme aims to strengthen Storting's access to information from – and contact with – Parliament. It's positive. The Treaty of Lisbon also has an impact on EU justice and home affairs policy – a field in which Norway participates in important parts of cooperation through the Schengen Agreement. Cooperation here is concentrated in a separate part of the Treaty, called ‘An area of freedom, security and justice’. The abolition of the so-called ‘silver structure’ of the Treaty provides that the majority of former intergovernmental police and criminal law cooperation is now to be decided by majority decisions in the Council, with the full participation of the European Parliament. This also means that the part of the legislation in the field of justice taken over by Norway is now largely decided by majority decisions, and also by Parliament. We must therefore work more closely towards the European Parliament in this area as well. The new EU five-year programme for the field of justice and home affairs is called the Stockholm Programme. It was adopted at the summit in December 2009 and has an impact on Norwegian policy. The aim of the Programme is to ensure the fundamental rights, freedoms and integrity of individual citizens who have the right to reside within the borders of the EU. At the same time, external border control and crime prevention are important, in the EU as in Norway. Cooperation on better border control can reduce illegal immigration. The mandate of the EU Border Control Agency, Frontex, has been proposed. Main points will be a stronger commitment for Member States — and Norway — to participate in joint operations with personnel and equipment, the development of cooperation between Frontex and countries of origin and transit, enhanced cooperation on joint return operations and a clear policy for maritime operations. The Stockholm Programme has an impact on Norway, among others: because, through the Schengen and EEA Agreement, we are bound by a number of acts adopted. The Communication to the EEA on Norwegian refugee and migration policy in a European perspective, presented in March, states that this very important policy area needs to be developed in cooperation with, and adapted to, what is happening in our neighbouring European countries. Although the Treaty of Lisbon substantially extends the substantive provisions of the internal market on which the EEA Agreement is based, it could also indirectly affect the functioning of EEA cooperation. As I mentioned earlier in the Stortinget, the Treaty of Lisbon completes the construction of the bridge structure designed by the Maastricht Treaty. The new Treaty makes EU cooperation even more sectoral. The EEA Agreement is based on the original EC Treaty and the provisions on the internal market, with the exception of the provisions on agriculture and fisheries policy, customs union, trade policy and assistance. The Treaty of Lisbon has provided the same legal basis for EU justice and home affairs policy. The EU can therefore increasingly design legislation across the internal market and justice. Even today, it may be difficult to decide whether all or part of new legislation coming from the EU should be incorporated into the EEA Agreement. We must expect that the need to revise legislation in a concrete way, the provision for regulation, could increase. This can make it more difficult to make the necessary clarifications and reach agreement with the EU on a number of issues, and here we must probably be the active drivers ourselves. Key instruments are our right to participate in expert groups and committees and our close dialogue with the Commission throughout the EEA structure. However, we have reason to believe that the European Commission is also interested in pragmatic cooperation with Norway in this area. The Treaty of Lisbon can have implications for our participation and our capacity to influence through the EEA Agreement. If there is increasing uncertainty as to whether and to what extent new acts are relevant to the EEA, the right of EEA/EFTA countries to intervene in the development of legislation may be called into question. This is also why early warning and preparation of Norwegian positions, alliance construction and influence in the EU capitals and vis-à-vis EU bodies are at least as important as in the past. The Commission has also recently submitted proposals for amended comitology procedures, which it says, i.e.: legislative procedures whereby the Commission is delegated the powers and responsibilities of the Council and the European Parliament to design and adopt supplementary legislation. Norwegian participation in this work is important, as it allows Norwegian views to be promoted in the EU's work on the further development of legislation that is or will be incorporated into the EEA Agreement. We are working to ensure that Norway and the other EEA/EFTA countries are involved in these processes in the EU, in order to ensure that our rights to participation are adequately respected. The voting rules of Programme Committees are another matter which has changed as a result of the Treaty of Lisbon. Norwegian representatives have experienced that our votes are not heard in the same way as before. We will follow this issue carefully in the future and take it up with the EU side to the extent that we consider it necessary. In the context of European policy, there are two main features of this process: firstly, a review of our experience with the EEA Agreement and other agreements Norway has with the EU, through a research-based, wide-ranging public body. The committee consists of 12 members, including both researchers and persons with practical experience of the EEA Agreement. The selection will report in autumn 2011 and will be followed by a notification to the Stortinget. The work of the sample is well under way and a reference group of organisations, businesses and political parties has been set up. The Government's ambition for the review is to contribute to a common knowledge base for the European political debate. The second main track is an update and re-awareness of the measures notified in St.meld. No 23 for 2005-2006, from June 2006, on the implementation of European policy. This Communication remains the basic document of the Government’s European policy. During this ageing period, we focus on actions related to further knowledge, transparency and dialogue. The Ministry of Foreign Affairs has, among other things: launch of a separate information promise on the EEA and Norway’s relationship with Europe. The aim is to make European information from the public simpler and more accessible. We will implement around 40 actions targeted at selected user groups: business, administration, children and young people, press, organisations and recipient groups in the EU. To summarise this point, EU countries agreed on the Treaty of Lisbon to make cooperation more democratic and effective. As with all other political work, such ambitions must be demonstrated by concrete results. Norway’s overall interest is that the EU countries are doing well economically and politically – they are our neighbours, trading partners and the vast majority of them our allies, and in most areas we have similar interests. On the other hand, it is far from being understood that Norwegian interests are becoming easier to attend to. We are meeting a more complex EU where countries are to ‘run in’ new joint institutions, institutions are in turn to mark their position and competences in interaction with established institutions, while EU countries are to find the current balance between promoting their own national interests and supporting the EU's common positions. In this landscape, we will continue to highlight Norwegian views and interests – as a non-EU country, but integrated in close cooperation through the EEA Agreement and other links. It is in our interest, but also in the European Union's own interest. The EU has designated 2010 as the European Year for Combating Poverty and Social Exclusion. On 18 June 2009, the Storting gave its consent to Norway's participation in the European Year 2010. Norway takes a clear responsibility, in particular with the EEA funds, for development and cohesion in Europe. Over the five-year period 2004-2009, Norway has allocated funds for projects and programmes in the 15 beneficiary countries of more than DKK 10 billion. Norway, Iceland and Liechtenstein shall contribute a total of 357,7 million over the next period. EUR per year, or approx. Three billion kroner. This is a power cap. Our contribution to reducing social and economic differences in the EEA area is significant, and, as we know, about 97 pst. of these funds come from Norway. Several of the beneficiary countries are in a difficult economic situation with high unemployment, cut public budgets and increasing indebtedness. The EEA funds provide us with a unique opportunity to strengthen links and expand cooperation with our new partners in the EEA at a time when these funds mean a lot. Through the EEA financial instruments, Norway supports joint European ambitions for better environmental standards, for more balanced economic and social development between countries and for enhanced efforts in the justice, civil society and health sectors. This is also part of Norwegian policy and our priorities. This effort shows results, projects are completed, and the Ministry of Foreign Affairs publishes ongoing reports that provide concrete experience for the next period. As Stortinget is well known, the negotiations on a new agreement on EEA funds for the years 2009 to 2014 were concluded before Christmas last year. We expect the formal talks with the recipient countries about the use of funds to start during the autumn of this year. But the final process on the EU side before final signature has taken time. On the Norwegian side, the process is clear: The Storting has been consulted on the outcome of the negotiations, and the Government aims to promote a proposition for the Stortinget during the spring session. During this period, the EEA funds will focus more on areas that Norway itself prioritises. At least one quarter of the funds shall be used for environmental and climate action. We will contribute to decent working life and tripartite cooperation, and support for civil society will continue. The industrial dimension is strengthened by a specific green food development programme. In line with the interests of the EU and Norway, the justice sector is another important area in the future. The government wants, among other things: to view EEA funds in the context of the possibility of a settlement transfer to the home Member State. Furthermore, it becomes its own research and grant programmes for educational cooperation. The targets for the use of funds in the new five-year period will be further described in the upcoming forecast of the Stortinget. The agreements with the EU stipulate that links between donor countries and recipient countries should be strengthened. This is an independent objective of the arrangements. A good basis has already been established through project cooperation with Norwegian professional communities between 2004 and 2009. Over the next five years, we will facilitate both contact-creating activities and long-term cooperation programmes. In environmental and climate action, carbon capture and storage, in the fields of justice, education, research and health, in business development and regional development, there will be programmes where Norwegian professional authorities can be partners. Although the funds are unbundled in form, Norwegian competence will be sought. In the context of the negotiations on new important EEA contributions, Norway and the EU have also reached agreement on the continuation and increase of important duty-free quotas for fish. The new agreement on market access for fish shall enter into force at the same time as the new contributions. I now want to mention some of the relevant EEA issues. The EU climate and energy package with the so-called 20-20-20 targets was launched in autumn 2007. The package contains instruments that promote the objective of direct reduction of CO2 emissions through the ETS Directive and a more indirect focus on increased, committed use of renewable energy. Although the global negotiations in Copenhagen failed, the EU is firmly committed to the concrete design of its climate policy. The EU Summit in March discussed how the Copenhagen Agreement could be exploited in the negotiations under the UNFCCC and how the EU could build alliances to promote better climate policies in other countries. The revised EU ETS Directive lays down the rules for the third phase of the European ETS for the years 2013 to 2020. The system will cover about half of EU greenhouse gas emissions. The Government has opened up the inclusion of the Directive into the EEA Agreement and there are now discussions with the Commission on its terms and conditions. The Renewables Directive is another part of the climate and energy package. This Directive implies binding national targets for the share of renewable energy measured in relation to the total energy consumption of the countries. In addition, countries shall comply with requirements of 10 pst. renewable energy in transport. National targets are part of the EU's internal burden-sharing. EU countries start with a renewable share of on average 8.5 pst. in 2005 and will achieve a target of about 20 pst. renewable share in 2020. Norway’s share is currently known to be close to 60 p.p., higher than any EU country. The Government considers the Renewable Directive to be EEA-relevant and there has been wide consultation in Norway. It is a comprehensive regulatory framework affecting large parts of the energy sector. It is therefore necessary to consider it carefully. We will add to the EEA treatment of the renewable directive so that the Directive can be implemented in Norway in an appropriate way. As regards the so-called Eurovignett Directive on the harmonisation of, inter alia, tolls, the Government remains in dialogue with the Commission on inclusion in the EEA Agreement. The size will be kept informed of developments in the case. The financial crisis has revealed many weaknesses both in the European regulation of financial markets and in the supervision of these markets. On this basis, the EU has, among other things, to launch a comprehensive work on the establishment of a new and improved supervisory structure at European level. The central theme here is the proposal to establish three new agencies entrusted with the supervision of individual institutions in the banking, insurance and securities fields, respectively. Bureaux shall have the competence to take decisions concerning individual enterprises. At a general level, the establishment of a separate body, the Risk Board, is envisaged to oversee macroeconomic developments. This also affects the internal market, of which we are part. To this end, the Government has been working to ensure a satisfactory representation of the EEA/EFTA countries in these new bodies. And after the relevant legal acts have been adopted in the EU, the Government will consider including them in the EEA Agreement so that Norway can participate in the joint supervision of the financial market. The wide-ranging consultation on the Data Storage Directive has now been carried out. The Government is now reviewing the results of the consultation and clarifying its view on the possible inclusion of the Directive in the EEA Agreement. As you know, the different positions of the directive in the three governmental parties are different. The size will be kept informed about the further process. The Commission is currently carrying out an evaluation of the Data Storage Directive and will present the result to the European Parliament and the Council by 15 September. We will take this into account in the Norwegian assessment. In 2009, the EU adopted a new Directive on deposit guarantee schemes. This Directive goes beyond the previous Directive, which is incorporated into the EEA Agreement. The new Directive limits payments to EUR 100 000 per year. customer and bank. This is less than half the limit of 2 million. NOK under the Norwegian scheme. The justification for full harmonisation is the consideration of equivalent competitive conditions for banks in different countries. However, Norway has long had higher spending limits than other countries without leading to distortions of competition in favour of Norwegian banks. We are working to continue the Norwegian system under the new directive in accordance with what is stated in the Soria Moria II Declaration and in the 2010 National Budget. So far, the EU has been reprehensible, but we will continue to work to make our vision come true. The extensive legislation on the production, placing on the market and control of food and feed, which was long delayed pending parliamentary treatment in Iceland, has now been notified by Iceland. The food law package thus entered into force formally from 1 May 2010. It was provisionally applied from 1 March. This legislation covers the whole food chain, from primary production to placing on the market for the consumer, and shall ensure a high level of protection for consumers and equal rules for economic operators in the EEA countries. Following lengthy negotiations, Norway and the European Commission agreed in January this year on an Article 19 Agreement on increased trade in agricultural products. The case will be submitted to Stortinget. The EU Cell Regulation was adopted last year and prohibits the placing on the market of cell products in the EU. The ban will enter into force on 20 August of this year. The sales deal is about our right and our ability to operate sustainable management of living marine resources and to market products from fishing and fishing. None of the cell populations we catch are threatened. If we accept the ban, we accept that there is a precedent for a trade ban on such a basis in our main market. That is why the Government has considered it appropriate to bring this matter before the World Trade Organisation. Norway, together with Canada, held last year’s WTO dispute resolution consultations with the EU in December. The government is considering furthering the case to a WTO panel. Such a decision, if any, will be taken after a thorough assessment of the responses and signals received from the EU in relation to the dispute resolution consultations. We will also be in close contact with Canada in this regard. The EU has presented to the Member States proposals for implementing Regulations for the exemptions from self-employment. We're working to influence this process as well. However, it does not appear that any of the exemptions, as clarified in the proposal for an implementing regulation, will allow Norwegian cell products to be sold in the EU. EU agencies play an increasingly important role in EU policy-making and in the implementation of legislation at national level. EEA/EFTA countries want to participate in all agencies that are relevant for us to meet our EEA obligations. Currently, the EEA/EFTA countries participate in 17 such agencies in the framework of the EEA Agreement. We participate in the governing bodies without voting rights, with the exception of the European Food Safety Authority, where we do not participate in the Management Board. We want to participate in another five agencies, including the new EU Agency for Energy Regulators. The EU side has been in favour of Norwegian participation in these agencies. We are now working to find solutions for our participation within the EEA Agreement. At the end of this statement, let me again underline this: the financial crisis puts international cohesion to the test and makes differences between countries, including in Europe. The pressure on the common currency and the precarious situation in Greece illustrate this. Norway has escaped from the financial crisis more easily than most other countries in Europe, but the crisis nevertheless affects vital Norwegian interests. The EU countries are Norway's second largest economic partners. The Norwegian economy is strong, yet open and vulnerable to economic fluctuations. A manageable EU and a well-functioning internal market means a lot for Norwegian jobs and Norwegian well-being. Norway relies on the whole EEA area to come out of the financial crisis. The EU countries are also our closest allies and political partners, and we are interwoven through cultural and historical ties in a community of values and justice. We want to associate with the rest of Europe in the meeting of the financial crisis and its aftermath. We want to show solidarity and take responsibility. A few words at last about last week's events in a European perspective. The Barents and Poles divide-line agreement is also an important event for Europe – a European border has been established. New opportunities for cooperation on resources, the environment and business are now opening up. Norway, Russia and the rest of Europe have been served with ever closer cooperation and good joint solutions. The agreement between Norway and Russia on simplified local border traffic in South Varanger is another example. This is a mechanism of the Schengen acquis, and only minor clarifications remain before the agreement can be signed. The agreement will open to approx. 9000 persons permanently resident on the Norwegian side of the border, and 45000 persons on the Russian side, may be issued with a border resident’s certificate which will allow access to the visa-free crossing of the common border. In the years that come, we'll probably see more of these examples. Finding joint solutions both regionally and internationally is a cornerstone of Norwegian foreign policy.
ParlaMint-NO_2010-05-04.ana.ud1413e271	The President will propose that the Minister of Foreign Affairs’ statement on important EU and EEA matters be discussed at a later meeting. – No objections have been raised to the President’s proposal and it is deemed to have been adopted.
ParlaMint-NO_2010-05-04.ana.ud1413e287	The possibility for Norway to have its own foreign stations was a contributing reason for the Union’s resolution with Sweden in 1905. We wanted a foreign service that protected Norwegian interests and not least our commercial interests. Ambassadors and consultants are important to Norway for many reasons, and they perform a wide range of tasks on behalf of the Norwegian state, our business and our citizens. A lot of our foreign stations are expected, not least when crises occur. Foreign stations are expected to be where Norway has interests or an involvement, where Norwegian business is present and where Norwegian residents live or vacation. In the 2010 world, this means that Norway should be optimally present physically anywhere at all times. That's not possible. That is why it must be a priority. How Norway organises its foreign service is the responsibility of the Government. This is not an attempt to change this. Nevertheless, this kind of question has an interest far beyond the Government. It is not new that Stortinget discusses the location of foreign stations. Here is an opinion by Erik Solheim, from a debate on 5 December 1997: ‘This is not a practical question as to where the Government chooses to place an embassy, this is a political issue of first rank.’ He also said that: ‘the Foreign Affairs Committee, and hence the Stortinget, has made significant progress in the placement of embassies and the handling of embassy questions. I was even the case rapporteur for the establishment of the Norwegian Embassy in Addis Ababa.» The President of Storting said on the same occasion that there has not been a completely consistent line in such matters. So as in many other questions, the Storting here can probably allow to have both opinions and, in the ultimate sense, make proposals. In my time at Stortinget, there have been on a few occasions both debated and promoted proposals for the maintenance of various stations that various governments have wanted to shut down. The influence of the big business has also led to results, such as when the embassy in Abu Dhabi was rescued despite a former government's desire for closure. While Abu Dhabi was being rescued, the consulates in Hamburg, Hong Kong, and Miami were then shut down. All three were important support players for Norwegian business. The Consulates of Edinburgh and Minneapolis have disappeared. This too created a lot of debate. What these stations have in common is that they were important for Norwegian business, for Norwegians living outside or for Norwegian Americans. These stations had little or no tasks in relation to Norwegian engagement or development policy. Fortunately, the Government has broken this negative development by, among other things, to restore the consulate in Hamburg, to establish consulate in Guangzhou, to move the embassy from Tunis to Algeria and to establish an embassy in Kazakhstan. We are pleased that the Government in this way takes care of the interests of the Norwegian business community, and that the presence in Scotland is again a priority. Interpellation is not intended to promote the creation or closure of individual stations. The desire is to get the Foreign Minister's overall views on how he sees fit to organise this instrument in the years to come, not least as a result of the changes we see in the world around us. It's about power relationships between countries. This applies to the presence of Norwegian industry. It is also about the changed patterns of living and holidays in the Nordic countries. This debate is now being held, completely independent of the budget and independent of concrete amendments. It is natural to refer to St.meld. No 15 for 2008-2009, which Stortinget discussed last spring. Here, engagement policy, at least from the point of view of some of us, was downplayed, and the more traditional policy of interest came out more clearly. Officially, it was that engagement policy was defended by the fact that this is interest policy. But the leftover impression is that the mending idealism that has characterized Norway for many years was faded down. Norway’s peace exposure remains strong, but it has also changed. There is less focus on conflict resolution, and more efforts are being made to address various multilateral negotiating tracks, which relate to nuclear disarmament and class weapons. These relationships, and many more, affect how the Government organizes its service. Long-termity in presence is important. At the same time, there is a need to be flexible and to have an instrument capable of operating at short notice. In other countries, there are also changes in this area. Sweden's foreign minister, Carl Bildt, announced earlier this year that Sweden will set up five embassies in Europe. The picture said this: «We want to be in those places where we do the most possible benefit for the money Swedish presence costs.» Norway is in a European context in a different situation from Sweden, with our alienation from the EU and NATO membership. We need other listening and influencing posts. But there is also a need to assess diet and benefits. A few years ago, several new embassies were established in new NATO and EU countries. Does it give the good effect of being present as wide as we are today, or is there any other way to organize this? From time to time, proposals have also been made for and discussed broader Nordic cooperation on foreign stations. Something has happened, but not so much. Now the Foreign Minister was about this topic in his presentation, and I could imagine challenging him to say a little about when we can expect more results from such Nordic cooperation and what form such cooperation might take. I do not conceal that with this interpellation I am opening up to a debate that I hope it is possible to continue between the Stortinget and the Government – it is based on a recognition that it is also in Stortinget's interest to debate Norwegian foreign service. Finally, I would also like to say that I find it natural to give general praise to Norwegian foreign stations for the assistance we receive from Stortinget when we are on a mission abroad. As Norway is more strongly influenced by what is happening outside its borders, and as Norwegian interests need to be more closely attended to elsewhere, so do glacial representatives more often outside this house. There is also a reason why we allow ourselves to have opinions on how Norwegian foreign service is and should be organised.
