ParlaMint-NO_2010-10-01.ana.ud1712e30	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2010-10-01.ana.ud1712e40	The President-in-Office of the Council will ask the Secretary of the last big thing, Tor-Arne Stroem, to act temporarily as a secretary.
ParlaMint-NO_2010-10-01.ana.ud1712e55	The President-in-Office shall propose that the Rules of Procedure used last time be applicable to this meeting. – It shall be deemed to have been adopted. A number of permit applications are available: – from the representatives of Gina Knutson Barstad, Linda C. Hofstad Helleland, Tove Karoline Knutsen, Per Arne Olsen, Jørund Rytman and Trygve Schlagsvold Vedum on leave from 1 October to 15 October, all to attend the 65th General Assembly of the United Nations in New York – from the representatives of Gunvor Eldegard, Akhtar Chaudhry, Øyvind Korsberg and Borghild Tenden on leave from 1 October to 5 November, all to take part in the Chief Executive Course of the Defence College – from the representatives of Karin S. Woldseth on leave from 1 October to 8 October in order to take part in the 2010 session of the Council of Europe, part 4th in Strasbourg, and to participate as observers in the elections of Bosnia – from the representatives of Jørgen Bekkedvold and Thomas Breen on Friday from 1 October to 8 October to 8 October, with a mandate from 1 October to 8 October, and on Friday from 1 October to 1 October, and with a mandate from the Parliamentary session from 1 October to 1 October, and on 1 October, from 1 October to 1 October to 1 October, and until 1 October, from the European Parliament from 1 October, and on observers from 1 October, from the President from the President from the President from the President of the President of the President of the President of the President of the President of the President of the President of the Commission, and the Commission, and the Commission, and the Commission, and the Commission, and the Commission, and the Commission, and the Commission, in order of the Commission, in order to the Commission, and the Commission, and the Commission, from 1 October to the Commission, from 1s of the Commission, and the Commission, from 1s of the Commission, from 1 October to take part of the Commission, from 1 October to the Commission, from the Commission, from 1 October, from 1 October to the Commission, from 1 October to the Commission, from the Commission, from 1 October to the Commission, from 1 October to the Commission, from the representatives of the Commission, to the Commission, from the Commission, to the Commission, to the Commission, from the members of the Commission, from 1 October to the European Parliament from 1 October to the European Parliament from 1 October to the European Parliament from 1 October to the Commission On a proposal from the President, it was decided unanimously: 1st@item: inlistbox The applications shall be examined immediately and accepted. 2nd@item: inlistbox The following alternates shall be convened to meet during the term of leave: For the Eastern Agder counties: Line VenneslandFor the Akershus counties: Anita Orlund and Abid Q. RajaFor the Buskerud counties: Ida Marie HolenFor the Hedmark counties: Farahnaz Bahrami and Olov GrøttingFor the Hordaland counties: Torkil Åland and Einar HorveiFor Oslo: Mari Lund ArnemFor Rogaland County: Tina BruFor the Telemark counties: Hanne ThürmerFor the Troms County: Hanne C.S. Iversen and Martin HenriksenFor South-Trøndelag County: Lars Bjarne TveteFor Vestfold County: Morten Stordalen
ParlaMint-NO_2010-10-01.ana.ud1712e194	Line Vennesland, Anita Orlund, Ida Marie Holen, Farahnaz Bahrami, Olov Groetting, Torcil Åmland, Einar Horvei, Mari Lund Arnem, Tina Bru, Hanne Thürmer, Hanne C.S. Iversen, Martin Henriksen, Lars Bjarne Tvete and Morten Stordalen are present and will take a seat.
ParlaMint-NO_2010-10-01.ana.ud1712e200	The Presidents and Secretaries shall then be elected. The President-in-Office will refer to the second paragraph of Section 4 of the Rules of Procedure, which reads as follows: ‘In the first election of the President of Storting and Vice-Presidents, the votes are taken by non-signature banknotes. In the case of subsequent elections in the same parliamentary term, the rules in paragraph 44, first paragraph, point (d), first and second sentences shall apply.’ That provision of the Rules of Procedure means, therefore, that the election of the President of the Grand Duchy and the Vice-President of the Grand Duchy can now be made in a normal manner, without the use of ballots. The President-in-Office will then propose that we vote in the usual manner. – It shall be deemed to have been adopted. The President-in-Office of the Council is asking for proposals from the President of Stortinget.
ParlaMint-NO_2010-10-01.ana.ud1712e215	I allow myself to propose Dag Terje Andersen.
ParlaMint-NO_2010-10-01.ana.ud1712e223	Day Terje Andersen has been proposed to the President of Stortinget. Other proposals are not available.
ParlaMint-NO_2010-10-01.ana.ud1712e231	The President then asks for proposals from the First Vice President of Storting.
ParlaMint-NO_2010-10-01.ana.ud1712e237	I would like to suggest Øyvind Korsberg.
ParlaMint-NO_2010-10-01.ana.ud1712e245	Øyvind Korsberg has been proposed to the First Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2010-10-01.ana.ud1712e254	The President then asks for proposals on the second vice-president of Stortinget.
