ParlaMint-NO_2010-05-31.ana.ud2225e36	The representative No Marte Thorkildsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2010-05-31.ana.ud2225e58	The issue we are going to discuss here concerns the interest compensation scheme for church buildings, a scheme established in 2005. In 2009, a framework for the interest-rate compensation scheme of EUR 1,2 billion was adopted. kr, and with the commitment in 2009 to interest compensation for investments equivalent to 700 million. Thus, the government proposes to transfer the undisposed investment framework in 2009, approximately 500 million. until 2010, which requires a decision here in Stortinget. An overall committee has noted that many churches are due to years of unhindered refurbishment and maintenance, and that there is still a great need for measures to improve the maintenance and repair of church buildings. A Joint Committee also considers that maintenance efforts should be stepped up in order to avoid the loss and disappearance of irreplaceable cultural taxes. In the opinion of the Committee, church buildings are an important part of our common cultural history and heritage, while representing important meeting places in the community. The interest-rate compensation scheme, as the Committee sees it, is an important incentive for municipalities to make efforts to maintain and repair these important cultural and signal buildings. It is underlined that the municipalities have the financial responsibility for the maintenance and operation of church buildings. However, the interest-rate compensation scheme gives municipalities good opportunities to resume the maintenance phase, and the Committee is concerned that it is important to reach the municipalities and joint councils with information on the scheme, so that even more municipalities use the interest-rate compensation scheme. I am pleased that a joint committee supports the view that the unused investment framework in 2009 was approximately 0.5 B.C.E. NOK is transferred to 2010. A minority in the Committee would nevertheless point out that the economy of municipalities is in many places very hard work, which means that funds that should be earmarked for the maintenance and maintenance of church buildings are easily pushed on. It is important to be aware that there are few – if any – others building it that are so strong feelings of both sorrow and joy as our church buildings. So these buildings represent something more than just cultural history. The minority of the Committee therefore considers that it is also a State responsibility to provide the necessary safeguards relating to fire and theft for church buildings of national, historical and cultural interest. The Christian People's Party is also of the opinion that there is a need for a much more offensive effort to build churches, and where the state contribution must be proportionate to such offensive efforts. As I said, the church buildings represent a value that is worth taking care of. That there are strong feelings about these buildings, we see not least when something as tragic as church fire occurs. Only this year, two churches have burned to the ground – earlier this year the Church of Henefoss, and now just before the weekend the Church of Kopervik on Karmøy. Personally, I know this and what it does to a community when a church is exposed to fire. I worked as the chapel of the Gjerpen Church in Skien, which was exposed to fire in 2003 – the same year the church celebrated its 850th anniversary. I learned that there are really strong feelings about such a building. It's more than just a saying; it's very real. In order to ensure even better against such tragic events, the matter we are dealing with today becomes important, and I hope that the information about this scheme will lead to a much more offensive effort around the municipalities in terms of securing and maintaining these important buildings.
ParlaMint-NO_2010-05-31.ana.ud2225e77	Now the case-speaker, Mr. Beckevold, has been in the business for the most part. As has been said, it is one of the most cohesive committees behind the conclusion and decision in this matter. But there are slightly different comments from the different parties. For the Progress Party, this is an important matter. As mentioned, this system was established in 2005. She was established in the context of negotiations between the Progress Party and the Bondevik Party. There was a demand from the Advance Party that an interest compensation scheme for church buildings be introduced so that we would make a settlement with the then ruling parties. Luckily, we got that. This has become a success. The amount has also increased in recent years, and we think it is good. But now there's a problem that it's raised 1.2 billion. NOK initially, while only 700 million has been used. kr. 500 million. So kr is transferred to 2010. This does not mean that there is no need for such funds, but unfortunately it suggests that the municipalities have very poor finances. When this important incentive, such as the interest-rate compensation scheme, is not used, it suggests that municipalities are struggling very hard to get the ends to meet. There's something we have to take seriously. It is also in other areas of maturity. Other municipal buildings, such as shrouds, fall into ruins. There are also quite serious revelations that indicate that infrastructure, such as water and sewage, is falling and that it is not maintained as it should be. This is something the Progress Party will continue to work with, and we will propose further strengthening of the local economy. We will also propose assessed interest-rate compensation schemes in different areas, in order to improve the maintenance of the various areas, both in terms of the repair of church buildings and other municipal buildings, and also of infrastructure.
ParlaMint-NO_2010-05-31.ana.ud2225e88	The rapporteur has explained the scheme. I am pleased that it is a unanimous committee that has endorsed the proposal that has been put forward. However, let me make a few comments. I feel that there is a great deal of attention about securing and refurbishment of our church buildings, both locally and centrally. Sad events like what we saw on Friday with the Kopervik Church are contributing to that. What is important to say about the Kopervik Church is that, after I was informed, that church was secured – fire alarm systems were installed in the church. But that does not mean that it is not important that we focus on such schemes in the future as well. That's why it's good that we get the interest compensation scheme that this is proposed. In the opinion, the Committee stresses the importance of reaching out to the scheme information so that it can be used as much as possible. I agree. We have sent out a circular to municipalities and church councils and announced the expanded investment framework in 2010, subject to the decision to be taken in the Stortinget today. My impression is that the scheme is reasonably well known and that it is actively used. So even though not the entire investment framework of 1.2 billion. kr was used in 2009, an investment compensation grant of a total of 700 million has been granted. kr. It's a higher amount than it's been in previous years. So the demand is great. I assume that several of them have safety and repair projects during planning in the municipalities, and that the framework of the year can be used to realize these projects. The state’s contribution is based on the fact that the municipalities have the legal responsibility for the building maintenance of the churches. The interest-rate compensation scheme is a government incentive scheme. The responsibility for the maintenance of church buildings lies just as fully with the municipalities, I believe it is important to maintain this. I mention that the state has also contributed, in other ways, over several years, to the financing of measures that stimulate the good administration of the churches. Examples are the establishment of a central insurance system for churches and a church-building database, which is an appropriate tool for church owners in the ongoing operation and management of church buildings. The stave churches are being established by means of a separate programme under the Ministry of Environmental Protection. I believe that the most important way to go to enable the municipalities to carry out their statutory task towards church buildings is to work for general improvement of the municipal economy. There has been a significant strengthening of the local economy in recent years. There have been significant results in the maintenance of the churches, in combination with the interest-rate compensation scheme. The level of investment and refurbishment of church buildings shows a doubling from 2006 to 2008, ranging from between 200 and 300 million. SEK in 2006 to between 500 and 600 million. kr in 2008. Since 2005, when the interest-rate compensation scheme was introduced, nearly one third of the churches in the country have been committed to interest-rate compensation for various types of refurbishment and hedging projects. Through the extended framework of the 2010 scheme, it is my hope that even more churches can be properly repaired and secured. Then we get back to the need for the scheme, in new budget rounds.
ParlaMint-NO_2010-05-31.ana.ud2225e105	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 3563]]
ParlaMint-NO_2010-05-31.ana.ud2225e121	The main objective of the ISA programme, as it has been for the previous programmes, is to strengthen pan-European electronic public services and infrastructure. Norwegian participation in the programme is important, inter alia: by enabling us to influence pan-European developments in this area and by bringing about valuable insights and competences. The Committee stresses the importance of developing pan-European ICT systems in order to streamline and optimise cross-border and cross-sectoral interactions. Norwegian participation in the programme introduced an amendment to Protocol 31 to the EEA Agreement. Inclusion also includes financial obligations for Norway over several years, at the base of 6 million. kr per year over a six-year period. It is therefore necessary with the consent of the Storting, and it is a consensual committee that joins the government's proposal. From the Norwegian side, it has been suggested that the Directorate for Administration and ICT, Diffi, should have the operational responsibility for Norwegian participation in the programme. Divi will also be the national contact point for the ISA programme, as it has been for the IDABC programme. The party of progress, the Right Party and the Christian People's Party have some special comments on the matter, and I refer here to the setting. The Committee on Foreign Affairs and Defence aligns itself with the position of the Committee on Transport and Communications without further comments.
ParlaMint-NO_2010-05-31.ana.ud2225e136	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fotation, see page 3564]]
ParlaMint-NO_2010-05-31.ana.ud2225e152	At the request of the Committee on Transport and Communications, the President will propose that the debate be limited to 75 minutes and that speaking time be allocated as follows: Working Party 25 minutes, Progress Party 15 minutes, Right 10 minutes, Socialist Left Party 5 minutes, Center Party 5 minutes, Christian People's Party 5 minutes, Left 5 and State Council Berg-Hansen 5 minutes. The President has been informed that the Council of State will have five minutes of his party's speaking time, so that she will be listed with 10 minutes of speaking time. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to five lines with replies after the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-05-31.ana.ud2225e163	The position in this case is promoted by a majority of the Transport Committee, which consists of the Advance Party, the Right and the Christian People's Party. A minority proposal is available from the Workers' Party, SV and the Centre Party, which they themselves will explain. The government has in Prop. 81 S suggested postponing the case for further consideration of the submarine U-864 for an indefinite period. The government chooses in this case, as in a number of other cases, deferral as an instrument. Give this government a challenging case, and it chooses postponement! Suspension is justified by the need for new investigations. The result of deferral is more uncertainty and greater environmental risks. But in environmental matters, it is well known that this government is the best way to go — best of pointing out, of warning, of urging and of spending money on what others are going to do with themselves. Clean-up in your own shit comes back in the order of priority. What's wrong with this submarine? First of all, it is too far from Oslo. Had it been at Langesund or in the Oslofjorden, it would have been removed a long time ago. Secondly, the submarine U-864 is a ticking environmental bomb with 67 tonnes of mercury on board – mercury that has been lying in the sea outside Fedje in Hordaland from 1945, stored in nearly 1,900 steel bottles. The water thaws on the bottles for each month running. Norwegian authorities have known about the cargo since 1999. It's been over ten years. The Progress Party believes that that side of the case should be followed both by the National Audit Board and by the Control and Constitutional Committee. So 10 years have passed since the Norwegian authorities were notified for the first time of the deadly load. There is also the possibility that there is uranium on board. The time spent by the government on more investigation, more evaluation and more bureaucratic and political summer meal is time that should have been spent lifting the submarine and removing mercury in the summer of 2011. It is fully sound and fully possible. Thirdly, the issue of this submarine is a demonstration in political samtomortal and double political communication. In January 2007, the government concluded that covering was the only sound solution – covering 67 tonnes of mercury. Raised was rejected as totally irresponsible. In March 2007, Prime Minister Stoltenberg, in connection with visits to the county annual meeting in the Hordaland Labour Party, said that ‘it is urgent to cover up’. Following the entry into the Stortinget in February 2007, then Minister for Fisheries and Coast Helga Pedersen said in April 2007 that, on the basis of the hearings on the matter, she would nevertheless seek a lifting. Quote from the press release to the Ministry of Fisheries and Coast on 17 April 2007: ‘In the light of consultations in the United Kingdom where several actors have come up with new proposals for raising the submarine, more time is needed to investigate the lifting option’. In January, in the election year 2009, the then state council promised Helga Pedersen the lifting of the submarine. I quote from Aftenposten 29 January 2009: ‘The locals have had these boats as a gnag wound.’ – She spoke both of ‘Murmansk’ and of the submarine U-864. "We wouldn't repeat that story on Fedje," Pedersen said." She was asked, "How do you think the mood at Fedje is tonight? I think the mood is good today. I myself spoke to the rapporteur and got her reactions. I've been to Fedje and thought it was useful to be there and talk to people." And it's going to be repeated: ‘The local population has had these boats as a gnawing wound.’ I am afraid that the atmosphere at Fedje is not as good as in January 2009. I am afraid that the government's proposal, which unfortunately is adopted here in the Storting today, does not in any way remove the gnawing, but reinforces the pain through prolonged uncertainty. Let me also remind you of what Coastal Director Slotsvik said about the government's decision in 2009: ‘The decision places a decisive emphasis on the concern of the coastal population and the fishing industry related to a cover-up.’;» It is not often the Progress Party and the undersigned agree with Frederic Hauge in Bellona. In the evening post in January 2009, Hauge says: "We are very pleased, it is a great day. It is good that the government takes political responsibility." I agree with Bellona-Hauge in that assessment, but believe that he is not as satisfied after today's decision, which shows that the government will not take responsibility, but postpone the matter. It was therefore in March 2010 that the decision of the current State Council, the Minister for Fisheries, came to the effect that the government is postponing the matter. The proposal also states that full covering and partial covering of mercury shall be re-examined. The formula used is acceptable management, acceptable risk and acceptable cost. What does this mean? Is it so that, despite the insurance we've been getting along for three years now, it's not supposed to be on the money, it's actually on the money anyway? During the Stortinges Question Time last week, the Council of State said that she agreed with her Prime Minister, that the submarine is going up. On the same day as she said it, the day she was standing on the pulpit of the Stortinge, she had sent the last letter with answers to questions to the Transport Committee – it came to the Transport Committee at 0 p.m. Ten, eighteen. There it is repeated that one should uncover, in whole or in part. What does the Council of State really mean? It must be possible, I hope, to get a clearer expression through the debate here today. During the period from January 2007 to today, there has been a lot of political acrobatics and a lot of political double communication from the government, which justifies its postponement with the KS2 report on the project. The progress party is in favour of the quality assurance system, but we are obviously opposed to the content of the report when it appears that those who have been in charge of quality assurance have limited experience in operating quality assurance. Dovre Group does not have rescue experience. They've used a one-man company, South West Consult, to assess the technical and economic aspects of cancellation options. I've read the report from Dovre Group. The first section of the summary states: ‘The choice of concept is not subject to quality assurance’. However, Annex 7 of the report contains a note on ‘Assessment of method’, written by South West Consult. The Transport Committee has carried out consultations on the matter. I remind you that it was also done in 2007 – then we actually had two hearings. That time we had an open and listening state council, which brought with us new information. In this hearing held by the Transport Committee, new information has also emerged that removes the two main points – in our view – in the criticism addressed by the Dovre Group in the KS2 report. As regards the economy and contract, Mammoet has confirmed at the hearing that they will provide a price guarantee. The law firm Vogt & Wiig has confirmed that, through dialogue with the parties, a new contract proposal has been developed. The consultation has established that the project has reached its destination in terms of preparation. During the hearing, the Minister for Fisheries and Coastal Affairs assured that the Coastal Agency has the necessary competence to manage such projects and that they will also be given additional competence if necessary. So both of these two main points from Dovre Group towards the project are actually cleared up. There is nothing left of the material content of the criticism. There is nothing that then stops the execution of the cancellation of U-864, as Mammoet has been given a preliminary mandate to do after a tendering round. It is only the policy that remains. What is now lacking is the political will of the government. In the view of the Progress Party, it is unnecessary, irresponsible and inadmissible if the government postpones the matter. Rises may, should and should be carried out in the summer of 2011, as the Progress Party, the Right and the Christian People's Party propose. The government will have a moon landing at Mongstad. It will take time and cost enormous amounts of money. Now a moonlifting is needed outside Mongstad. It may be done in 2011 at acceptable cost.
ParlaMint-NO_2010-05-31.ana.ud2225e232	The handling of the submarine U-864 and the pollution from the mercury cargo is a demanding and complex matter. The wreck was found outside Fedje in Hordaland in 2003. U-864 was hit in the middle section in the submerged state by a torpedo. The large bursting force has then destroyed the hull and split it into several pieces. These have fallen to the bottom of the sea and are spread over a larger area. During the explosion, the middle part of the keel was destroyed, leading to discharges of mercury around the wreck. The acter section is approximately 145 metres deep, while the front section is about 30 metres away, at a slope of 160–165 metres deep. On the seabed around the wreck, measurements of bottom sediment have recorded some high concentrations of mercury contamination. This means that even if a person gets up all the mercury that may be in the wreckage itself, extensive work must be done on the cleaning and/or covering of the seabed. About 30 measures of the seabed may be contaminated. The wreck total contained large quantities of metallic mercury when U-864 was torpedoed, perhaps as much as 67 tonnes. This is an extremely dangerous load, and the tolerance for error handling must be very strict. The submarine wreck and the surrounding seabed must be handled in an environmentally best possible way, for the sake of safety and the productive marine and coastal areas, but also for the consideration of people living along the coast. If all this mercury were to play out and go into the food chains, it would mean a serious tragedy to the whole way of life along our coast, and it would be very devastating for our reputation as an export-right seamate. We can't afford to expose the environment to the risk of a failure to cancel. The wrecks of U-864 were located in 2003 by the KNM ‘Tyr’. In retrospect, there have been many rounds of assessments of the best way to deal with the wreckage and mercury pollution. The longer the time goes on, the greater the risk of pollution increasing. The Norwegian Veritas has estimated that it is playing out about 3 kg of mercury from the wreck every year. It's not good, but it would be really crazy if 67,000 kg were to come out into the wild. The size and government have, in several ways, had the handling of U-864 for handling. On 29 January 2009, the government announced that it would agree to cancel the U-864, but also that an external quality assurance would be carried out. Dovre Group and the Transport Economic Institute have implemented the external quality assurance for the uplift of U-864. These companies are qualified by the Ministry of Finance to carry out this type of task. The KS2 report is very critical for the current cancellation project. The report indicates, among other things: that there is a high degree of uncertainty as to the state of the wreck, the physical properties of the seabed, the amount of mercury, the environmental criterion to be acceptable, and solutions for the management of the seabed following the lifting of the wreck itself. It is also pointed out that the development of methods and projects is short, depending on what is common at this stage of a project. The contract concluded with Mammoet Salvage is assessed in the report as unclear on several points. It is concluded that the project, based on the plans that are in place, is not well-prescribed and that there is a high risk associated with the scope of work, contract relationships and governance. Furthermore, the report states that there is doubt as to whether the project can be managed in a sufficiently controlled manner, which is also unfortunate in terms of safety and the environment. It is therefore advisable to proceed with the project with the ongoing contract. After the presentation of the proposal, there will be input from among others. Mammoet Salvage, who has been awarded the contract. It has also been the contact between the company and the Coastal Agency, which the Council of State has briefed Stortinget on. The adjustments made to the contract do not alter the wholeness of the picture given in the KS2 report. Most of the changes are in contractual and economic relationships. Without wanting to appear to be a legal expert, I would like to point out that in the law on offers, there are limits to the changes that can be made to a contract after the bidding process has ended. The lack of links with the design, planning, organisation and management of the project is still present, and in particular the KS2 report – on page 17 – in dealing with the management of the seabed after raising, gives cause for concern. Here it says, among other things.\t\t You can change ‘There is a high degree of uncertainty related to the treatment of seabeds after lifting, and significant changes in the work volume associated with this need to be expected.’ For the further follow-up, it is now recommended that a pre-project be carried out in line with the state project model. This will make it possible to split the scope of work in a more targeted way, and to use better tailor-made contract strategies. This will also provide better control-command. After the Size operation, work on the required layouts must start as soon as possible. The Government must come back to the Storting on matters in its own right, and the Government Party's comitology note states that information on the status and progress of the State budget in 2011 will be provided. By going deeper into the search for solutions, and – not least – going deeper into the quality assurance of the concepts selected, it is hoped to find good ways to apply the above. On the open hearing the Committee held on 27 April of this year, several interesting approaches emerged that would be well worth getting worked out. Methods were sketchily presented, ranging from the exclusive use of divers to find and retrieve mercury containers for the use of remote-controlled unmanned underwater vessels and more equipment-prescribed lifting methods. All these are interesting approaches that need to be drawn up more closely, and even if the present contract with Mammoet Salvage now has to be terminated, there is nothing to suggest that this company will be excluded from the next round. The party of progress, the Right Party and the Christian People's Party believe that the operation proposed by Mammoet Salvage and the contract currently under way will eliminate mercury in the most secure way possible, and with the resources needed to ensure good progress. These parties have also made proposals to the Stortningen to take a decision on this matter. Often, perhaps most of the time, it's the easiest thing to do. If the simple thing here is to say yes to the opposition's proposal, in my opinion, it is not the best thing to have the most environmentally secure solution. This is also not the case with ‘fast, safe and cheap’ if anyone wants it. The mercury management in U-864 will probably not be easy. We can't go as fast as we would like, and it won't be cheap – regardless of the solution option. Whatever solutions are chosen for the seventh and last time, it must at least be safe for human beings and the environment, and we must ensure rapid but defensive progress. The government's decision to cancel is firm, which is also confirmed by the Prime Minister on a trip to the West on 19 May this year. The mercury contamination unit should be handled in an environmentally best way, but the project needs to be ensured better. We can't afford to expose the environment to the risk of a failure of a cancellation operation. The responsible now is therefore to join the Government's arrangement. I include the minority proposal that appears in the setting.
ParlaMint-NO_2010-05-31.ana.ud2225e265	The representative of Magne Rommetvei has taken up the proposal he referred to.
