ParlaMint-NO_2010-03-10.ana.ud2469e26	The representative, Mr Halleraker, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-10.ana.ud2469e29	On behalf of the representatives of Ingerd Schou, Siri A. Meling, Gunnar Gundersen, Trond Helleland, Frank Bakke Jensen and myself, I am delighted to present a proposal on funding options for investment projects in the field of transport.
ParlaMint-NO_2010-03-10.ana.ud2469e34	The representative, Mr Sortevik, will make a proposal for a representative.
ParlaMint-NO_2010-03-10.ana.ud2469e37	On behalf of the representatives of Bård Hoksrud, Jan-Henrik Fredriksen, Inbjørg Vokskesen and myself, I have the honour to make proposals to introduce concrete targets for what is good.
ParlaMint-NO_2010-03-10.ana.ud2469e42	The representative, Jan Tore Sanner, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-10.ana.ud2469e45	On behalf of the big business representatives Ulf Leirstein, Hans Olav Syversen, Borghild Tenden and myself, I would like to make suggestions to improve the arrangements for private pension savings and housing savings for young people.
ParlaMint-NO_2010-03-10.ana.ud2469e50	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2010-03-10.ana.ud2469e72	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Kristin Halvorsen State Council Terje Riis-Johansen State Council Hanne Inger Bjurstrøm The announced government councils are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. - No one's getting up. We then start with the first main questions, from the representative Ketil Solvik-Olsen.
ParlaMint-NO_2010-03-10.ana.ud2469e91	I have a question for the Minister of Oil and Energy. In winter, businesses and households have experienced sky-high electricity prices. The industry is struggling, which NRK could report at the latest yesterday, when businesses in central Norway are starting to fear the electricity bills. The power industry is also getting a bad reputation. In previous Questionnaires, we've addressed the topic many times. We have been confirmed by the Government that there are no measures, either to help people with the power bill or to help the power balance in the short term. Let me therefore see today whether the Government can do anything for some parts of the power industry in the longer term. There is a great potential for expanding renewable energy in Norway. Especially within hydropower, there are many good projects that need relatively little stimulation, but still a little, in order to be triggered. In that case, trust between industry and the authorities is important. There has been a long time to introduce a scheme of green certificates. This will stimulate investment, for example: in small power plants. This was already the case during the Bondevik administration, and in order to prevent the small power industry from getting on the fence pending the final adoption of a scheme, the then Minister of Energy Einar Steensnæs promised that everyone who invested after 1 January 2004 would be included in the scheme of green certificates when it came into place. It triggered a lot of investments, because people felt confident that a political promise had been made, and that they would get into a scheme, so they didn't have to sit and wait for the investments. The Government submitted its order on 26 November 2009. Then suddenly small-scale power plants, built-in from 1 January 2004, have been removed from the system. Only new power plants from now on will be included, and approx. 120 power plant builders feel cheated. It's not just those that go beyond this. It goes beyond an entire industry, which feels tricked. Will the Council of State change its breach of promises, introduce a system that takes care of the promises made by former Minister of Energy Steensnæs, so that confidence between investors and authorities is maintained?
ParlaMint-NO_2010-03-10.ana.ud2469e106	It is wrong what the representative Solvik-Olsen says, that I should need to repair the lifting breach. What has now been done in the process of Sweden around green certificates is offensive, and it will provide new opportunities for the small and renewable industries when this market enters into force. So this is a powerful tool. It is true that there has been a discussion about transitional arrangements and what should be done in relation to power plants that were built up before September 2009. But it is not right, what the representative says, that there are no arrangements for small power plants. There are arrangements for the smallest small power plants. This means that they are given the opportunity to enter the certificate market, sail if they had built up before this agreement was concluded, and before we have reached 1 January 2012. So the premise for the question is wrong. There's no breach of promise from this government here. It is possible for the smallest small power plants to enter, and we get a very good solution for small power plants in general when this system comes into place.
ParlaMint-NO_2010-03-10.ana.ud2469e113	Rarely have I been more provoked by an answer in this room. Small-scale power plants are per year. definition between 1 MW and 10 MW power plants. In the transitional regime submitted by the Government, these have not been included from 1 January 2004, they shall be included as from September 2009 at the earliest. The industry doesn't even believe in that, because they were, after all, promised to join from 2004, and this decision that the Council of State is talking about will be made at the earliest in Stortinget in 2011. So the trust here is completely broken. When the government itself presented a big message on four pages — ironically, it was meant to be — it said that power generation up to 3 MW would be part of a transitional system. So now it's down to 1 MW. That means that 2 TWh with power is not included. This isn't necessarily just a problem for them, but it's a problem for the whole industry, which now sits on the fence, don't dare to invest, because the promise after the government promises is broken. Then I ask again: will the government reverse this breach of promises towards the small power industry, i.e. those who have built out 1 to 10 MW power plants, and make sure that it is implemented, or is this enough a biodiesel business?
