ParlaMint-NO_2010-05-26.ana.ud2104e26	The representative of Morten Stordalen will present a proposal for a representative.
ParlaMint-NO_2010-05-26.ana.ud2104e29	On behalf of Kari Kjønaas Kjos, Jon Jäger Gåsvatn and myself, I am promoting a proposal for a representative on measures to prevent young people from developing drug addiction.
ParlaMint-NO_2010-05-26.ana.ud2104e34	The representative, Åse Michaelsen, will present a proposal for a representative.
ParlaMint-NO_2010-05-26.ana.ud2104e37	I would like to make a proposal by Mr. Hans Frode Kielland Asmyhr, Mr. Morten Ørsal Johansen and myself on the immediate movement of foreign criminals from Halden prison.
ParlaMint-NO_2010-05-26.ana.ud2104e42	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2010-05-26.ana.ud2104e64	The Stortinget received a Friday announcement from the Prime Minister's office that Foreign Minister Jonas Gahr Støre and the government councils Magnhild Meltveit Kleppa and Lisbeth Berg-Hansen will meet for oral Question Time. The members of the government are present, and we are ready to start the oral questioning process. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. - No one's getting up. We'll start with the first main questions from Bård Hoksrud.
ParlaMint-NO_2010-05-26.ana.ud2104e73	My question goes to Minister of Transport Magnhild Meltveit Kleppa. Over the years, newspapers and the media have carried out so-called popular formations of the country's worst roads, both on highway networks and on highway networks, and the examples have been extreme and cruel. So the government has now transferred over 60 pst. of the old national road network of the counties. That means that very many of those on the list of horrors, or the worst list, in the case of highways, have now become middle-class highways. That's the consequence. So it hasn't become a single new meter of asphalt on the bad roads, but they've been transferred to another level of government, so they've become better than they were before. Since the red-green takeover in 2005, the maintenance drivage on the national roads has increased. It was in 2005 at 16.7 billion. kr. In 2006, it increased to 17.2 billion. $500 million. kr more than in 2005. From 2006 to 2007, the follow-up increased by a further 700 million. kr, and from 2007 to 2008 increased the maintenance allowance by a further 1 billion. kr. This means that in 2009 the maintenance allowance had risen to NOK 19.2 billion. The Labour Party, the Socialist Left Party and the Center Party have been in government for the entire period and have even had a majority to do something with the bad Norwegian roads if they really wanted to. We have Europe's slowest car traffic between major cities, and it is a misguided policy on the part of the government. The last country that passed us was actually Albania. Yes, it is difficult to be a Norwegian transport politician when meeting colleagues from other countries. Nevertheless, the government in the revised budget has set at 70 million. kr for asphalting and corresponds to less than 100 km of new asphalt on a public road network of 93 to 244 km. 1 per million of the road network will pave the way for you. How many years does the Minister for Transport and the Government plan to spend on letting Norwegian taxpayers get modern and safe roads where life and health are not at stake?
ParlaMint-NO_2010-05-26.ana.ud2104e86	The government has systematically worked from day one to strengthen both the maintenance of a name that had been neglected for many years and the provision of new and improved routes. We overfilled the previous national transport plan, wrote history because it was done. We have set an ambitious national transport plan for the next ten years. We're five months, fast, inside this work now. We already see the result. So we're going to spend 100 billion. kr more on the road, track, ports and fairways than the previous government, the government supported by the Progress Party. And then there's no doubt that there's still a lot of mess in the road sector, and there's a lot of messed up about maintenance. We've actually increased the maintenance from 6 billion. NOK 9 billion. kr despite this gruesome list from the representative Hoksrud. This means that at least there are some ways that have been better. I thought – even though we should not be reminded of the past so much longer – that at least this is a much better starting point than the previous government, which actually reduced maintenance by over 400 million. kr. So it's not like it's 100 km of asphalt that's going to lie down this year. It is from before money to approx. 900 km, and that means a total of 1000 km with new asphalt and a lot of other good maintenance. I'm still finding something to look forward to in this sector.
ParlaMint-NO_2010-05-26.ana.ud2104e95	I record that the systematic work of the government has been increasing the lag on the old highway network from 16.7 billion. DKK to 19.2 billion kr. I don't think it's that much to brag about. Now the government has pushed 17 000 km of poorly maintained highway to the counties, and the counties have despaired of the so-called gift from the state. No later than 13 April this year, the NRK had a case that the holes in the roads are deeper than the height of a half-litre shower bottle. This meant that the bus driver Nils Gunnar Johansen had to set up the school bus because the county road in the Furudalen in Balsfjord in Troms was not executable. According to the Official Journal of Drammen on 26 March, maintenance for 2.5 billion remains. kr on worn-out and poor country roads only in Buskerud. What kind of feedback has the government council received from state politicians of the government parties? Have they accepted poorly maintained highways with open arms, or have they, like local progress party politicians, expressed great scepticism and concern about the bad gift they have received from the government?
ParlaMint-NO_2010-05-26.ana.ud2104e104	The main trend in the response from the county authorities is that they were happy to be held accountable for several ways, because it means a different proximity between the local authorities and the county councils and less distance when it comes to the decisions to be taken. Then the county councils have spent so much more on the road than many could expect. They received funds that followed the roads they took. So they got 1 billion. Extra kroner. Then we increased the free income, and then we also gave the possibility to interest compensation for 2 billion. kr this year. The census so far shows that the county councils spend about 500 million. kr more on the road than they did last year.
ParlaMint-NO_2010-05-26.ana.ud2104e111	There will be four follow-up questions – first Arne Sortevik.
ParlaMint-NO_2010-05-26.ana.ud2104e114	Norway has poor roads that are expensive to use. It is a competitive disadvantage and a disadvantage for all citizens of the country who need transport. In Swedish roads, half the time is spent. It's about as far between Bergen and Oslo as between Gothenburg and Stockholm. Nevertheless, driving time is twice as long. It can't be because of geography. Switzerland, Austria, Italy, France and Spain have shown that the geographical explanation is not valid. In Norway, road construction is not considered to be socially viable. In Norway, road construction is considered expenditure. What is the Minister of Transport's recipe for speeding up road construction in Norway and reducing transport time on Norwegian roads? When can the Minister for Transport promise half a driving time between Bergen and Oslo? When can the Minister of Transport promise the same transport time on the road in Norway as it is in Sweden today?
ParlaMint-NO_2010-05-26.ana.ud2104e125	It is enough that there are countries that we can compare with, which have been more concerned with securing at least tribal roads as the shortest route between the largest cities. At the same time, the country now has a government that prioritises roads. I believe that has also been registered by Sortevik. My recipe is to follow up the ambitious national transport plan that has been created, and not just to let it be planned, but to follow that plan up year by year. That means a total of 322 billion. kr on the road and track. We already see differences. We have now seen differences year by year and improvements on the road network. We have a lot to take back, and we have full pressure on improvements.
ParlaMint-NO_2010-05-26.ana.ud2104e132	Øyvind Halleraker – for follow-up questions.
ParlaMint-NO_2010-05-26.ana.ud2104e136	I believe that after five years this government must grow up and take responsibility for its own policy and look forward to it. Over many years, the Council of State says, neglected. The point here is that road quality is getting worse. In its programme of action for the next four years, the state Road Administration notes that road quality will deteriorate, with the consequences of this: increasing accidents and more tragic road fates. A number of professional organisations with the Road Traffic Information Council have promoted what they have called the People's Road Requirements. Here they will, among other things, have binding objectives for what is good road, in line with the minimum requirements we have for vehicles and drivers. They will also have sanctioning powers and supervisory bodies. Will the Council of State listen to these organizations, working for fewer deaths on our roads, and meet their wishes?
ParlaMint-NO_2010-05-26.ana.ud2104e143	We listen to different organizations. We have a regular meeting. We have transport and logistics forums and other possibilities for people and organizations to make their contributions. So I think here we have to have a combination of it to listen and to act. Now we can use time to establish supervision. Now we can take time to discuss what requirements we need to address. There are already good guidelines from, for example: The state's road system to maintain that the most important thing now is to build the roads that are planned and to carry out the maintenance to be done. Then there's one more thing that's very important. It's doing the maintenance in a way that makes us get the most out of the money. We have various reports that tell us about it. We are now busy with improvements and looking closer to how we can get more maintenance for the money.
ParlaMint-NO_2010-05-26.ana.ud2104e150	Knut Arild Hareide – for follow-up questions.
