ParlaMint-NO_2010-04-30.ana.ud1090e35	The representative, Mr Solvik-Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-04-30.ana.ud1090e38	The representative of Ketil Solvik-Olsen will make a proposal on behalf of the representatives of the pottery Siri A. Meling, Oskar Jarle Grimstad, Henning Skumsvoll, Øyvind Halleraker, Elisabeth Røbekk Nørve and myself to raise the limit for the concession treatment of power plants in sheltered watercourses from 1 to 3 MW.
ParlaMint-NO_2010-04-30.ana.ud1090e43	The proposal by Mr Solvik-Olsen will be dealt with in a regulatory manner.
ParlaMint-NO_2010-04-30.ana.ud1090e60	‘For generations in Norway, we have trained and trained Norwegian seafarers, developed knowledge and technology and expertise on the sea. Part of our national wealth of knowledge is a maritime competence in products and services that are now in demand worldwide. In Norway today, nearly 100,000 people in maritime nutrition generate values of over 100 billion dollars a year.’ These introductory lines are quotes from a press release by the Maritimt Forum, expressed by the Executive Director, Jørn Prangerød. I'm afraid the knowledge fortune Prangerød refers to, will quickly wonder if the developments that are now in progress will continue unhindered. That is the background to this interpellation, which could as well have been addressed to the Minister of Economic Affairs as to the Minister of Labour. But once I have chosen the Minister of Labour, it is because we see that valuable Norwegian jobs on ships operating in Norwegian waters and on Norwegian continental shelf are disappearing abroad. Many Norwegian seafarers are already forced ashore and replaced by underpaid Asian crews. This is social dumping of a classic nature. The shipowner Teekay Norway AS, who mainly operates a bow-loader in the North Sea, is leading this development – to sharp protests from Norwegian seafarers’ organisations. They require Norwegian wage and working conditions to apply both to Norwegian seas and to Norwegian waters. That is a reasonable claim. Otherwise, in Norwegian working life, the pay and employment of employees is ensured through the contract work. In this case, however, we are facing an employer party who has not been willing to take part in the responsibility for Norwegian jobs and Norwegian pay and working conditions. There are oil companies on Norwegian continental shelf which require Norwegian registration and Norwegian terms of agreement of the shipping companies to carry out their tasks on Norwegian continental shelf. Unfortunately, our own state oil company is not among them. But it's worse than that. We are even aware that the Norwegian state authorities also purchase services from a Norwegian shipping company that has registered their ships under flags of convenience and refuses to enter into a collective agreement with Norwegian maritime organisations. Now I believe that the conclusion of a tugboat contract in the north is primarily an expression of administrative loss of consciousness – and hardly a political attitude. In any case, we have the words of the Minister of Fisheries that the contract will be terminated as soon as possible. However, this shows how far the pursuit of cost reductions in public finances can go – and what consequences it can have. Unlike the Norwegian Shipowners’ Association, the National Association of Construction has joined forces with the employees’ organisations to get rid of unprofessional construction companies that undermine working conditions in an entire industry. Instead, the shipping association is going the opposite way. There they are now on the farm for the introduction of Norwegian international ship register in Norwegian domestic shipping, well aware that it just means that Norwegian seafarers are in this case out of competition by seafarers from other countries with much lower wages and worse working conditions. Now, of course, I know that shipping is a global industry, and Norwegian shipping companies depend on international competition conditions. And of course, we cannot prevent foreign ships with foreign crews from calling at Norwegian ports, but we can and should ensure that ships carrying goods between Norwegian ports have a level playing field. A springing point in this connection is about a loading buoy on the Norwegian continental shelf, as well as a platform anchored at the bottom, is considered to be the Norwegian port. But this is where the expertise goes – not to say the different interests. Nor do we receive help from the Norwegian Shipowners' Association, rather on the contrary. When the Norwegian maritime organisations, with the support of the International Transport Federation, asked for an addition to an agreement for convenience flagged offshore service vessels operating ‘world wide’, with the good intention of creating a similarity between Norwegian registered and flags of convenience when operating on Norwegian continental shelf and between Norwegian ports, the shipowners said no. As a result, the entire agreement was terminated. The consequence is that all Norwegian ships under flags of convenience operating on a Norwegian base now sail without a collective agreement, i.e. the seafarers’ pay and working conditions must be ensured by other means. We simply cannot live with a situation that causes most ships loading oil from Norwegian continental shelf buoys, flagging out, hunting the Norwegian crews on land and replacing them with low-paying Asian crews and completely different working conditions. If this spreads, Norwegian shipping will soon be reduced to some ferries and cargo vessels — and hardly so. However, I trust that the measures taken by the Government to ensure Norwegian shipping pay and working conditions will prevent extensive deflagration and further loss of Norwegian jobs. From 1 May, the requirement for a work permit for seafarers outside the EEA territory seeking hire of ships in Norwegian waters is reintroduced, which means that it will continue to be more difficult to replace Norwegian crews with non-residents in Norwegian waters. One of the biggest political stupidities that the Bondevik government did was to attack the net pay system for seafarers – the same system that several of our European neighbouring countries have had to introduce in order to protect their own seafarers and their own shipping companies from uncompetitive shipping companies registering their ships under flags of convenience. The Bondevik government wanted to introduce a model of competence, which in practice means that the scheme should be limited to certification posts on board. This would have major consequences. Not only the seafarers’ organisations responded. The entire coast reacted when it was made aware of the consequences of the then government's proposal. Our largest ferry company, Color Line, immediately threatened to fly out to Denmark. Only in my county, Vestfold, would it lead to the loss of 1,500 jobs. I am not alone in believing that the attack on the net pay system greatly contributed to the fall of the Bondevik government, and that the country was given a majority government that has since been protected by seafarers' wages and working conditions, and that has given Norwegian shipping industry new and better framework conditions. Indeed, the development of a competitive and innovative maritime industry is one of the main pillars of Norwegian industrial policy. Together with the net pay scheme, this effort has created optimism and progress. The search for maritime education has increased in recent years because many young people increasingly see the sea as a career opportunity. On behalf of the Ministry of Economic Affairs and Trade, the consulting company Econ Pöyry has carried out an evaluation of the net pay scheme for seafarers. The evaluation shows that the scheme has served its purpose, that around 5,000 seafarers have saved their jobs, and that the scheme has had a positive impact on employment and development of competence in the maritime industry. Nevertheless, Econ believes that the net pay scheme is not economically viable. Or, in other words, it would be better if the 11,000 Norwegian seafarers covered by the scheme found different ways of doing and contributing to the value creation by other means. Now it is not new in itself that the ‘blue noise’ makes such assessments. Also in the Shipowners' Committee there was a majority who felt that the shipping industry had too little income and therefore did not contribute adequately to the value creation of the Norwegian society. Now, of course, we should not overestimate the significance of such investigations. It is, after all, all government and big business that provides the framework conditions for the maritime industry. It is always important and useful that existing schemes and systems are superseded after they have worked for some time. However, it is unduly problematic, and there is considerable uncertainty when such conclusions are put on the table. They contribute to the creation of a breeding ground for further deflagration of Norwegian jobs. It can have fateful consequences. I have difficulty imagining a Norwegian maritime industry without Norwegian seafarers – and that is what this is all about.
ParlaMint-NO_2010-04-30.ana.ud1090e99	The representative of Gullvåg addresses a theme that has been – and is – important to the Government. The question concerns both my territory and that of the Minister for Economic Affairs and Trade. In order to counteract social dumping at sea, the Government has decided to introduce authorisation requirements for working for foreign seafarers on non-resident registered ships engaged in Norwegian domestic voyages. This requirement implies compliance with Norwegian pay and working conditions. This provision is included in the foreign regulation and will, as the representative pointed out, enter into force on 1 May, i.e. tomorrow. The introduction of this requirement is a follow-up to the Government Action Plan against Social Dumping and the Soria Moria Declaration. The Regulation has been designed in accordance with the provisions of the Convention on the Freedom of the Seas, including the right to free navigation and navigation in world seas. This regulation therefore only covers ships flying a foreign flag in traffic of a certain extent between Norwegian ports and not ships using the freedom of seas to navigate through Norwegian sea areas. As mentioned above, the regulatory provision enters into force on 1 May. So we have not had experience with the new regulation. In addition, we are currently considering the question of extending the requirement to apply also to foreign seafarers working on board non-resident registered ships in fixed traffic on a Norwegian base. The background for this is that we want to ensure the pay and working conditions of seafarers in this activity as well. On the base, the rules of the Convention on the free movement of seas in the world's oceans will become stronger, as ships move outside Norwegian territorial waters. We assume that fixed traffic between Norwegian mainland ports and Norwegian ports can be covered by such regulation. Foreign registered ships in international traffic between foreign ports and Norwegian-wide facilities fall outside the area of Norwegian jurisdiction and are subject to our international obligations, including: EEA Agreement, WTO, Free Trade Agreements and bilateral agreements. If the Norwegian authorities buy maritime services from foreign registered ships, the procurement law, more specifically the rules on pay and working conditions in public contracts, may be an instrument. Under these rules, the contracting entity may require, in its contracts, that employees have pay and working conditions which are no less favourable than those resulting from the national collective bargaining agreement in force. This Code implements ILO Convention No. 94, on employment clauses in public contracts. For ships flying the flag of Norway, the publication of tariff agreements could also be an instrument. With certain restrictions, the public service may also include mobile devices and vessels in the petroleum industry. The government is working on several levels to facilitate Norwegian shipping. In the Government’s maritime strategy, the ‘Should course’ from 2007, the vision is that Norway should be a leading maritime nation. We aim to be world leaders in maritime competence. ‘Supporting course’ contains a number of measures to make the framework conditions in Norway more competitive. These include a new shipping tax, the continuation of the net pay system and targeted commitment to maritime competence, maritime research and measures for more environmentally friendly shipping accompanied by budgetary resources. Grants for employment of seafarers, including the net pay scheme, shall ensure Norwegian maritime competence and recruitment of Norwegian seafarers and affect approximately 11 500 seafarers on board NOR and NIS registered ships, and this year’s allocation shall be 1 750 million. kr. A recent evaluation report on the subsidy scheme for employment of seafarers shows that the scheme is working to the desired end and has had a positive impact on the employment of seafarers. The report says that without the net payroll scheme, a significant number of ships had been flagged out, and by the way, half of the seafarers in the scheme would not have a job at sea. In addition, the schemes through payments to the Norwegian Maritime Competence Foundation have resulted in a sharp increase in the number of training positions on board Norwegian ships and an increase in the recruitment of maritime education. The government wants to facilitate the continued selection of Norway as a host country by the maritime industries. This means investing in maritime workplaces both at sea and in the associated establishments on land. I would like to mention the Minister of Economic Affairs’ campaign ‘Norway as a maritime host country’, which was launched in November 2009. The aim of the campaign is to put new maritime activity in Norway, both by relocating Norwegian activities and attracting foreign actors. The Ministry of Economic Affairs and Trade is in the process of identifying legislation and procedures which may impede the selection of the Norwegian flag. The use of Norwegian registers contributes to an increased link between shipping companies and the Norwegian maritime environment. This could have positive employment effects in Norway both on board the ships in question and on land through the purchase of Norwegian maritime equipment and services. An important measure in the maritime strategy was also the Norwegian ratification of the ILO Convention on the Living and Working Conditions of Seafarers. The Convention was adopted in 2006 and is expected to enter into force in 2012. Norway became the first European country, and the fifth total, which ratified it, which occurred on 10 February 2009. The Convention is a milestone in international efforts to strengthen seafarers’ rights globally and will make an important contribution to reducing social dumping. This shows that the Government is working actively to safeguard conditions of competition and the framework, while at the same time laying down conditions for competition in the form of measures to prevent social dumping.
ParlaMint-NO_2010-04-30.ana.ud1090e125	I thank you for the excellent response of the Council of States, which not only suggests, but shows that the Government will go further in its efforts to eliminate what I would call social dumping both in Norwegian domestic shipping and on the continental shelf. I have noticed, in particular, that the Government will in fact consider, almost before the work permit scheme for Norwegian domestic voyages has entered into force, also to extend the requirement to apply to foreign seafarers working on board foreign registered ships in fixed traffic on a Norwegian base. This will also greatly affect bow-loading vessels, which are currently the major problem on Norwegian base. The fight against social dumping in Norwegian domestic shipping and on Norwegian continental shelf is equally concerned with creating a level playing field between Norwegian and foreign flagged ships. It goes without saying that if the pay and working conditions of seafarers are allowed to be used as a means of competition between different shipping companies, the least imaginable will eventually be landed. That's why this is a fight we have to take, unfortunately against the shipowners' interests. It should have been according to the shipowner's wishes as well. Then I have noticed that the Government will consider using the acquisition law, in particular the wage and working conditions regulation, in the conclusion of public contracts in Norwegian shipping. It is also an important signal, which will contribute to creating a level playing field but will also contribute to the achievement of seafarers' wage and working conditions already through the contracts. It also plays a significant role, and I thank you for the good signal.
ParlaMint-NO_2010-04-30.ana.ud1090e134	Thank you for your answer. I am pleased that it was so clearly perceived that the fight against social dumping is one of the main priority areas of the Government and the Minister of Labour, in this context in relation to maritime industry. I have gone through the different tools we have for this work. I have underlined the areas in which we are very clear that we will go further, but I have also pointed out – as I have to do – that in some areas there are restrictions in relation to international legislation. No one should think that the government does not want it, but we have to see how far we go in relation to the legislation. I would like to stress that we also have that with regard to the ILO-94 and the procurement code, and we are in a dialogue with ESA on that system. I would like to stress that for the Government and for the Minister of Labour, it is that we are allowed to continue to set these requirements in international contracts, a very important matter of principle that we are going to face in every way. I can't say anything more than that I, not surprisingly, share the objective of the interpellant. We are now going to discuss all the aspects of this matter in order to also go further on what was just in the interpellant, and also look at how this can work in relation to transport with Norwegian bend loaders on the continental shelf.
ParlaMint-NO_2010-04-30.ana.ud1090e143	I would like to thank the interpellant for addressing this very important matter. I also think that the Council of State gave clear and good feedback that should be able to reassure Norwegian seafarers in today's situation. I'm going to try to make even more good arguments for exactly what the council said. I fully agree with the interpellant in his mention of the importance of shipping here to land. I allow myself to claim that without Norway's fantastic history as a shipping nation, and with top-class seafarers, we would not have been there today, as an oil and gas nation, and as a supplier of top-class technology. Without exaggerating, we can safely say that this is a success story. Of course, we have to take care of this, also into the future, and I would argue that without Norwegian seafarers on Norwegian ships Norway would not have been able to call itself one of the world's leading shipping nations, no matter how many shipowners with Norwegian names we might have. That is why we need good tools, which ensure that this important competence is maintained, and that recruitment of Norwegian seafarers can be even better in the coming period. I am pleased that the sitting government and today's majority have taken the consequences of this by putting in place a net pay regime that allows Norway to assert itself in relation to the ones we are competing with. Without such a net pay scheme, the road would be open to unflagging and at least as good profits for shipowners, while Norwegian seafarers would be put on land immediately. Therefore, this important net pay scheme must not be weakened at any point. It works well, and it means a lot to employment and to the whole of all parts of the country. As I know, we have seafarers living in absolutely all of Norway's municipalities. These are the few other occupational groups to which reference can be made. In Soria Moria II, it has been decided that the net pay system should continue, and I am very pleased with that. I also agree with the interpellant's views on social dumping at sea. Soria Moria II emphasises that joint control by various public authorities to prevent social dumping, tax evasion and other criminal offences should be further strengthened. This must also apply to workplaces at sea, and now this is followed up, as the Council of State has explained. It then becomes completely incomprehensible to me that there may be some sort of social dumping in the public domain today. I am thinking about the relationship between the interpellant mentioned concerning the lease-in of tug-boat capacity of a Norwegian shipping company registered under flags of convenience, which refuses to enter into a collective agreement with Norwegian seafarers' organisations. I find no other explanation for this event than that it must be an incursion, and I take it for granted that this will be corrected, if it is not already done. If we are to combat social dumping, of course this must apply to all Norwegian workplaces, including those at sea, and of course the public itself must go ahead as the best example. I want to commend the Government for the measures it is now taking to ensure the best possible employment of Norwegian seafarers, and to ensure Norwegian wages and working conditions in Norwegian shipping. I think here, among other things. on the reintroduction of the requirement to work permits for seafarers, which will apply from 1 May, i.e. tomorrow, as both the Council of State and the inter-pellant were in progress.
ParlaMint-NO_2010-04-30.ana.ud1090e164	The Interpellant addresses an important issue and asks what the Government can do for Norwegian maritime workplaces. Norway is one of the largest shipping nations in the world. Norwegian reiar teams control the fifth largest fleet in the world measured in the number of ships. It is an industry characterised by strong international competition, in which the framework under which the shipping industry operates is to a large extent defined beyond the borders of Norway. Norway's strong international position is reinforced by the fact that Norway has a complete maritime environment, with a total value creation of nearly DKK 100 billion and about 100,000 added. Although Norway is a major shipping nation, Norway is a part of the world fleet marked reduced in recent years. It is that the financial crisis has been and is noticeable in this industry, as it is in industry. The Norwegian seafarer and woman begins by choosing an education before the different subjects can emerge before seafaring. One will need more than 20,000 employees within the next few years. Many people have to recruit from abroad, as one must also in other industries, even though others from Norway want to choose a maritime education. Here that otherwise in society chooses a part to interrupt education say, unfortunately. But comfort may be that before this area is no more interrupted than in other educations. It is important to mention the schoolship, where there is actually a large search, but few places, as these do not fall under the criteria of approval in the second paragraph of point (a) of Section 2-1 of the Private School Act. It's bad that one inside an area where there's a lot of needs, where you can expand the number of places, and where there are also searchers, is not allowed to do this. It must then be possible to see a context here, so that one can discover more before these occupations, for which there is a shrieking need before shipping. Social dumping is a word used in the interpolation. It is then appropriate to refer to the model agreement, which is an international agreement without speed limits, where the wages of the individual seafarer will vary with the type of ship and the settlement arrangements. For ships engaged on international voyages registered in NIS, the tariff agreements between Norwegian/Nordic citizens and other nationalities differ. Norway’s Shipowners’ Association has concluded agreements with the Norwegian Maritime Organisations for Nordic Citizens and with twelve different National Maritime Organisations, where the Norwegian Trade Unions are also parties to the agreements. It is voluntary that a company will use these agreements or not, but for ships operated by members of the Norwegian Shipowners’ Federation, these will be mainly useful. The minimum salary for a sailor in the Nordic NIS agreement is approx. NOK 27,500 per year. month before tax. For foreign flag, model agreements are negotiated with the same parties mentioned above. For foreign registered offshore vessels, the agreement is nationality neutral. This agreement has two different levels of pay, depending on whether the ship is to operate on a northern European base or on remote sockets. After this agreement, the minimum salary in the North Sea for a sailor will be approx. NOK 10,700 per year. month. The additional person pays very low or no tax in his home country. He would otherwise have his expenses in his home country, not Norway. For ships under so-called open registers, ITF has the role of inspector for all ships, and in order to avoid boycott, an agreement shall be made with the ITF on the terms and conditions of pay and work indebted. For Norwegian shipping companies, an agreement with ITF Norway on the model agreement to be applicable to seafarers on board is then concluded. ITF and maritime organisations have been parties to these agreements for more than 10 years, but are now suddenly defining their own network of agreements as social dumping. An example is the case with Troms Offshore, which really has nothing to do with social dumping. We're opponents of social dumping, but we remind ourselves of the government's own definition: ‘It is considered as social dumping if workers are exposed to infringements of health, environmental and safety rules and are offered wages and salaries which are unacceptablely low.’ [[...]] [[...]] Norway’s Shipowners’ Association has held talks with foreign seafarers, and they have gone ahead and negotiated agreements for foreign seafarers with the Norwegian trade unions. The agreements are not social dumping. Shipping is an international industry, and most of the business goes outside Norway. As a small country, but a large shipping nation, we are therefore dependent on free access to foreign markets. We mean that, for example. boikott to force Norwegian added on board will not give you any more workspaces. It's simply the wrong medicine and an inappropriate tool. Norwegian competence is important, but the solution is not to boycott ships. On the other hand, strengthening and stabilising the net pay system will contribute significantly. Ingvald Fardal, Managing Director of Fjord Line, says it in a simple way: ‘The two new ships put into service in 2010 will not have Norwegian flags in the fence due to a lack of long-term stability in the net pay scheme.’ That is why the Progress Party now has its own proposal, because we want stability in the net pay system, and that is what we are promoting on 28 April this year.
ParlaMint-NO_2010-04-30.ana.ud1090e200	I record that the interpellant far into the fifth year of the Government is concerned about the development of Norwegian seafarers, and many can join. We must be aware that Norway is the world's sixth largest shipping nation, and that we are the second largest on offshore shipping. In particular, over the years international activity has laid the foundation for Norwegian seafarers’ jobs. That means we need access to other nations' territories. We must not discriminate against other nations more than those resulting from national law. In that case, we may be exposed to a corresponding protectionism. And then I think we have to try to participate in as equal a competitive environment as possible and open ourselves up to competition. I perceive the interpellant as perhaps more concerned with solutions that prevent the arrival of foreigners and participation in competition in Norwegian waters. There may be a risk of conflict with other nations and also with international maritime law. This was the Council of State inside, and I'm going to come back to it a little bit. The requirement for a residence permit now introduced has been a balancing exercise on the edge of it, but as it is now designed, it is also necessary to be aware that a framework non-EU ship, and it is relatively easy to fly from outside the EU and into it to avoid it. In addition, we have this three-month deadline, which can also be interrupted by leaving Norwegian waters. So there are gaps in this, and I perceive that's what makes the interpellant looking for further action. I am not a member of social dumping and unacceptable pay and working conditions, and I think we should work to get rid of it in all industries. But I think we should be careful about distributing too many labels in that discussion, so that it doesn't get so unfurnished that those who put questions are accused of wanting social dumping. It is a fact that the term social dumping on this type of employment agreement – i.e. for seafarers with lower wages than Norwegians – does not occur until the ships cross the Norwegian border. We have a number of agreements that work out, and as Norwegian mariners' organisations actually join, which would be described as social dumping in Norway. When we cheer on getting a John Fredriksen boat home to NIS, we must be aware that there are seafarers on what the interpellant calls underpaid foreigners' tariffs. So a little bit to what the interpellant takes up about the net pay scheme, which I understood was the matter that brought the government into the government offices. There has been a report that shows that this works, it has provided more Norwegian jobs. At the same time, the report states that this is socially unprofitable. The interpellant is pleased with the report when it says something about the scheme's preservation of Norwegian jobs, but it is «blue Brussels» who has said something about it, when it is socially unprofitable. I think you might have a slightly more balanced view of that type of report, and I note that the government has also put a roof on the net pay scheme. So finally, to the Council of State, which I am very pleased to say that what the Government is going to do further, is strongly based on the desire to counter social dumping. But she stresses both in her first post and in fact even stronger in her second that this is limited by international obligations, by international conventions on the law of the sea – and I also hope for the desire to be able to operate in the best possible way in an international world with the big industry that Norwegian shipping is for this country.
ParlaMint-NO_2010-04-30.ana.ud1090e219	I would like to thank the representative of Gullvåg for addressing a very important issue and give us the opportunity to discuss this matter, which fits well the day before 1 May. I would also like to thank the Minister of Labour for an adequate response, which shows that the Government takes this issue seriously and goes into it, and already has things on the drawing board that will improve the situation. Norwegian trade unionists are fighting a hard fight for Norwegian pay and working conditions in the Norwegian area. It must also apply to seafarers. Therefore, it is important that the new rules enter into force tomorrow and that the Minister of Labour has been thoroughly briefed on. Unfortunately, we do not have employers and shipping companies with us in the fight against social dumping. On the contrary, the Shipowners' Association is working to change the rules for NIS in a way that will push Norwegian seafarers out, and there is a struggle that SV will strongly oppose. We cannot change the rules for NIS in such a way that we put extreme pressure on Norwegian seafarers, and in addition facilitate social dumping. Norwegian maritime industry is important for the Norwegian economy. We saw that last night when Regeringa went out with a large package to ensure that the competence we have in the Norwegian maritime industry can also be passed on in difficult times, even in a difficult delivery situation. But what one has to remember is that Norwegian seafarers are an essential part of Norwegian maritime nutrition. Without Norwegian seafarers, it will be a major challenge to sustain the technological and market competences that we have throughout the maritime industry. That's why it's so important that we keep up the fight to take care of Norwegian jobs, keep up the fight against social dumping, and that we don't let the Federation of Shipowners push us to change NIS and other rules, so that Norwegian seafarers have a difficult future in Norway.
