ParlaMint-NO_2010-05-06.ana.ud710e48	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-05-06.ana.ud710e51	I have the pleasure on behalf of the representatives of Oskar Jarle Grimstad, Tord Lien, Per Roar Bredvold, Torgeir Tjäldal and myself to promote a proposal by a representative to allow increased catches of royal crabs.
ParlaMint-NO_2010-05-06.ana.ud710e56	The proposal will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will propose that the morning meeting, if necessary, continue beyond the regulatory time, at 5 p.m. 16:00, until the current map has been processed. – No objections have been raised to the President’s proposal and it is deemed to have been adopted.
ParlaMint-NO_2010-05-06.ana.ud710e74	At the request of the Foreign and Defence Committee, the President will propose that the debate be limited to 1 hour and 30 minutes and that speaking time be allocated as follows: Working Party 35 minutes, Progress Party 20 minutes, Right 15 minutes, Socialist Left Party 5 minutes, Center Party 5 minutes, Christian People's Party 5 minutes and Left 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies after contributions from the main speakers of the parties and up to five lines with replies after the insertion by the Minister of Foreign Affairs within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-05-06.ana.ud710e85	During the previous period, a Joint Committee on Foreign Affairs expressed its views on a proposal by Ms Solberg and Mr Vallersnes for a representative: ‘The Committee believes that the Stortinget must also be more involved in this work, and agrees with the proposers that the Stortinget must have the opportunity to open up debate on major EU/EEA issues in good time before the decision-making process is over in the EU. The Committee therefore supports the proposal in the document that the Government should make half-yearly presentations on key EU/EEA issues in the Stortinget.’.» The same Committee expressed its opinion in the context of the Communication on the implementation of European policy: ‘The Committee emphasises the need for the Government to consult the Stortinget at an early stage. Increased influence and early influence require previously clarified Norwegian positions. As part of the earlier clarification of the positions, the Committee refers to the proposal for half-yearly presentations by the Minister for Foreign Affairs on EU/EEA matters’. The Secretary of State’s presentation now on Tuesday was, as always, a good description of the situation. However, there is a long way to go to a statement that satisfies the intention of an overall increase to instigate half-yearly EU/EEA declarations. It was evident how much of the statement agreed to discuss issues adopted in the EU bodies a long time ago. It was also striking how many times the Foreign Minister stressed his plans to keep Stortinget informed and informed, when our clear signal in the previous period was a desire to be consulted. In order for the foreign minister’s presentation to constitute a genuine consultation, the statement must address issues that have not yet been decided within the EU system. It must discuss possible consequences for Norway. It must explain the Government's views, and it must be open to the Storting's opinions on these positions. Such a scheme would not only strengthen the Storting's ability to be informed about and involved in EEA work, the EEA work and the matters that we will eventually actually approve, but it might also help the Government. We have received several signals that it is a challenge for the Government to identify important issues early enough, clarify Norwegian attitudes and get the impact done. In fact, in our neighbouring countries, EU consultations with parliaments act as a catalyst for this work. I find it strange that the Minister for Foreign Affairs barely mentioned the European Commission's work programme, which was presented at the end of March, in the light of the Storting's clear intention to be early-oriented on key EU processes. It sets out key legislative initiatives that will be launched during 2010. A number of strategic priorities are also indicated for the period 2010–2014. The work programme could provide a good starting point for early identification of key legal acts that could be of interest to Norwegian actors to follow and influence. The question then arises: Has the Ministry of Foreign Affairs already started work on going through the work programme and asked the departments to start a similar assessment? If such work is started, why didn't the Council of State take it into account? The work programme lists 34 strategic actions and 280 major proposals. The strategic actions referred to shall be presented during 2010 and include, inter alia,: financial market regulation, relaunch of the internal market and EU trade policy. During 2010, the Commission will also present a White Paper on future transport and a Green Paper on pensions. In addition, the Norwegian EU delegation has mentioned proposals in the field of energy. The work programme must also be seen in the light of ongoing work on EU 2020. In this context, it is interesting to look at what has happened in Sweden. The Committee on Foreign Affairs of the European Parliament has examined the work programme and delivered an opinion. The aim of the treatment is, among other things, to create a debate on the matter as early as possible. Of course, the opinion is not legally binding, but the government is given the opportunity to adjust its positions and create a lashing in the Riksdag. In its presentation, the Minister for Foreign Affairs spent a lot of time on what the Treaty of Lisbon and the new EU forms of work will mean for the EEA Agreement. He mentioned several concrete developments he felt could weaken the influence of Norwegian participation, among others. the withdrawal of the pillar structure, which makes it more difficult to identify what is relevant to the EEA and which can thus be incorporated into the EEA Agreement, the strengthening of the European Parliament, new comitology procedures – the comitology system is the formal participation of the EU institutions and bodies in legislation – and, in particular, changed voting rules in the Programme Committees. The Minister for Foreign Affairs said in his statement that Norwegian votes were no longer heard in the same way as before. In these last two areas, the big question, which was not addressed in the statement: what is happening, what is the concern, and what is the Government going to do to remedy the lack of influence or that our votes are no longer heard, as the Foreign Minister explained? Together, the impression of the statement is that the foreign minister makes the correct diagnosis, but does not print the medicine. The right has repeatedly called for concrete action and a clear strategy from the Minister for Foreign Affairs to show that he and the Government take seriously the need to be both offensive, active and forward-looking in their work to ensure that the EEA institutions do not continue to be confused. The Ministry of Foreign Affairs’ own assessment of the impact of the Treaty of Lisbon on Norway mentions a number of thematic areas. We can do it here, for example. mention institutional changes in the EU, the scope of the EEA Agreement, justice and home affairs policy, security and foreign policy, not least, the energy field, trade policy, taxes and charges. So there is no overall assessment of what it means to be overall for Norway, but the comprehensive assessment by the Ministry of Foreign Affairs is that promoting Norwegian interests is becoming more demanding. The work in the EU is speeding up after a long discussion about institutional changes has now taken place, and already today there are problems with early enough to capture what is happening. The U.D. considers that the Storting and the political parties can play a central role in the influence of the European Parliament, and the Storting has taken this challenge seriously. It is therefore now decided to send a mission – a permanent one – from the Grand Duchy to the European Parliament in Brussels. But the point is that if this is to have some value, the government must also make sure to present matters so early for the Storting that it is possible for us to know what is happening and how we can influence. On several occasions, at the latest in the debate on the previous statement, the Minister of Foreign Affairs has said that the parties in Stortinget must know their visit to their sister parties and party organisations in the European Parliament. We do, but then we also depend on knowing what's going on at an early stage. In the European Commission last Tuesday, there were further examples showing that the Government does not seem to take the need to highlight Norway’s desire to influence sufficiently seriously. While the Stortinget has repeatedly signaled the wish for Norwegian participation in EU ministerial meetings, it is now apparent that Norwegian government councils have attended only seven out of 19 meetings to which we have been invited under the Spanish Presidency. It is a pity that the Government does not use this channel more effectively when it is offered to us, and it is problematic that we thus turn our backs on a European arena for influence and exchange of experience. In the NUPI Foreign Minister's debate last autumn, the Minister for Foreign Affairs said something interesting about his dilemma under the Norwegian EEA Agreement: ‘It is clear that for a country, so integrated, so actively participating, and with so many ambitions and desires for international cooperation, non-membership of the EU is from a foreign policy perspective, a major and persistent challenge for Norwegian foreign policy’. For a foreign minister, there is a ‘continuous balance between talking about this and the ‘talking down’ of your cards. It's not my job to make me "less" than what I am." I understand the Foreign Minister's dilemma and problem. At the same time, a problem is becoming inevitable in this context. All Norwegian foreign ministers since 1990 believe that the relationship with the EU is one of our greatest foreign policy challenges. If all foreign ministers at all times are to take the same position as Gahr Støre, all future foreign ministers will be in exactly the same position, where our non-membership of the EU weakens our rule of people and our ability to influence.
ParlaMint-NO_2010-05-06.ana.ud710e130	It's being opened for line change.
ParlaMint-NO_2010-05-06.ana.ud710e133	The representative, Eriksen Soreide, was concerned about being offensive and early on in relation to important EU and EEA matters, and I thought that I would give the representative the opportunity to be. You should have a national meeting at the weekend, and there is a great deal of interest and tension in the discussion about the Data Storage Directive. There are many parties that have good discussions around that particular matter, especially with regard to privacy, but what I'm asking is what the representative thinks about the directive, and what she thinks that the Right should do with that matter.
ParlaMint-NO_2010-05-06.ana.ud710e138	Like the representative Eva Kristin Hansen, I am also very happy to attend Højre's national meeting this weekend – I think it will be a nice show, for a party in progress. But I really want to answer the question with some of what the Foreign Minister said in his statement, because when the Government announced in the statement that they have time until the harvest to evaluate the evaluation carried out in the EU by the Data Storage Directive, I also think Right will take that time. If the government has time to wait for the evaluation, the right time should also be left to wait for it.
ParlaMint-NO_2010-05-06.ana.ud710e143	Throughout Europe, there is now an extremely serious economic situation, a high level of unemployment — rising — a debt crisis under seal in a number of countries and a serious situation to deal with for the countries. I just have to say that it is almost impossible for me to believe it when the head of the Foreign Affairs Committee talks about the EU debate here for 10 minutes without mentioning it at all. So a question. I expect that the Right still wants Norwegian EU membership soon, including membership of the Economic and Monetary Union, and my question is: How would Norwegian EMU membership affect our ability in Norway to deal with the economic situation we are in, and are in? Would it strengthen or weaken it? In what way could it possibly simplify our ability to deal with the economic situation if the representative thinks it had better ability to handle it?
ParlaMint-NO_2010-05-06.ana.ud710e150	The economic crisis in many EU countries is being discussed extensively, both in this Chamber and outside this Chamber. It was also part of the statement made by the Minister for Foreign Affairs, and it was also part of the statement he made about general foreign policy not long ago. There is no doubt that the situation that has now arisen is serious. At the same time, I think it's important to be aware of two things: one is that it's easy for no-parties – I registered it at the latest in a debate in Political Quarter with the head of the Central Party Life Signe Navarsette a few days ago – to show his little harm to what's happening in the euro zone. Secondly, it is important to bear in mind that very many of the countries now affected, especially Greece, are very responsible for the problems on their own. So it's a system where the economy has not been liberalised, it's a system that has not implemented the necessary reforms, and it's a system that's pretty permeated by corruption. Transparency International said that in 2009 it lost 790 million. euro in bribes in Greece. It is also important to bear in mind that the situation for the countries currently in crisis is likely to be significantly worse if we had not had the euro and the solidarity that the EU countries are now showing with each other.
ParlaMint-NO_2010-05-06.ana.ud710e159	I noticed that the chairman of the committee did not answer the question from the representative, Solhell, but I can ask another question. A few years ago, representatives of the Right were very concerned about the northern regions and the divide line challenge in the northern regions. Fortunately, there has been a solution, even if we are not a member of the European Union. Elisabeth Aspaker expressed great concern that Norway had gone on its own in the north for more than 30 years without results. We need the EU, she said. Paal Frisvold wrote in a chronicle that for 35 years, Moscow has been playing mystery with Norwegian governments about the boundary line in the north. Norway has the right of the sea on its side, but we stand alone. Is it nice that we don't get heard? Is the Right’s position still a challenge for Norway to find a solution with Russia even if we are not an EU member?
ParlaMint-NO_2010-05-06.ana.ud710e168	Both my party and other parties have praised the Government that the work on the divider line has come into port after 40 years of discussions. I also notice that the Minister for Foreign Affairs was quick to say that this work is something that rests on many governments, who have worked for a long time to get the result that is now available. I don't think our situation with regard to the divider line question would have been worse if we had been in the EU – which I feel is under the representative's question. I feel that our influence in Europe is very dependent on our having a close relationship with the EU, preferably through membership, but that we can also discuss through these discussion of how to manage our exclusion, i.e. the framework of the EEA Agreement, the framework of the relationship we currently have with the European Union. I think it is good that we have got a solution in the divider line question, but you can also say that it is now that the work starts. That's when the real discussion comes, for example. how to manage the gas and oil deposits that can be found. It is a job that is not avoided, whether the agreement is to be ratified quickly in Norway and Russia — or perhaps it will take longer before the agreement is ratified.
ParlaMint-NO_2010-05-06.ana.ud710e177	The cord shift is over.
