ParlaMint-NO_2010-01-13.ana.ud1798e26	The called alternate of the Rogaland County, Arne Bergsvåg, has taken the seat.
ParlaMint-NO_2010-01-13.ana.ud1798e48	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: Kristin Halvorsen Anniken Huitfeldt Rigmor Aasrud The state councils advertised are present, and we're ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. We'll start with the first main questions from Mette Hanekamhaug.
ParlaMint-NO_2010-01-13.ana.ud1798e67	My question goes to the Minister of Knowledge Kristin Halvorsen. According to the Government’s proposal, schools should be required to provide homework from the first to the fourth stages. There are few indications of how this is to be implemented. It has been pointed out that a skilled worker's wage is taken into account in the cost calculation. So there is no competence requirement for those who are going to do homework. The Education Association points out that this may result in the scheme being subject to supervision over learning. Most recently, research has been published to show that lessons have little effect and can contribute to increased social differences if they are not given or followed up satisfactorily. When there is no requirement for competence for those to follow up in the Government’s homework proposal, we can face major challenges. My question is therefore as follows: Does the Council of State believe that the recent research results make it relevant to the introduction of skills requirements related to those who are required to carry out homework in primary school?
ParlaMint-NO_2010-01-13.ana.ud1798e76	First, I must say that I welcome a debate on homework. I think a lot of people have had a sense that a good teacher is a teacher who gives a lot of lessons, a demanding school is a school that has a lot of homework, and a teacher who is more restrained and perhaps conscious of how to give lessons is a lazy fish. It's not like that. On the contrary, you have to be very conscious of what kind of homework you give and how you follow them up, so that you can support it during your education and be positive. It's true that research shows that if you give undiscovered lessons, too much lessons, homework that introduces learning that you haven't been through in hours, or don't follow up and correct lessons, it can work the opposite and strengthen the social differences instead of fighting them. This is a very important and important debate. So in relation to homework, there's a lot of kids being told that they can't go home from school and be done with their work day. Lessons should support those who want to get more help at school to finish lessons, and who may be among those children who do not have parents who are easy to ask for help when they come home. What we have proposed, and which the Progress Party has supported in the 2010 state budget, is that two hours of free homework should be introduced for 1 to 4. the stage from the harvest. Because it's between 1 and 4. Steps have been taken to set the competence requirements, as the representative Hanekamhaug is in; teacher’s competence is not required, but 25 pst. the allocation shall be used to facilitate and train. What we're doing now is being very conscious of how we're going to do this homework. It's two hours a week for all children from 1 to 4. class, it is free and is not about whether or not they go to the SFO. But now we have to make sure that this gets such a device that it won't be an offer to the kids who are happy in school already, but to those who need some extra help.
ParlaMint-NO_2010-01-13.ana.ud1798e83	I thank the Minister for the answer and am pleased that she agrees with several of the views of the Progress Party in this area. One of the challenges of this action is that no guidance is provided on how to implement it. Several schools have suggested that they want to do it as part of the SFO. What we know is that it's often the students with middle-aged parents, or resource-intensive parents, who have the opportunity to go to the SFO, while those who don't have it, don't have the same opportunity. Does the Council of State see that this can help to strengthen the already existing trend in Norwegian school, where it can be seen to reproduce the social differences we already have in society?
ParlaMint-NO_2010-01-13.ana.ud1798e92	First, I would like to commend the representative Hanekamhaug, because I had expected the Progress Party to come from the opposite side of the lecture debate. That's how I've often perceived the Progress Party before, that this with requirements for homework was the proof that we had a real knowledge school. So I think this is true that we can get a more informed, knowledgeable debate about homework. I'd like to give that honor to the representative. So how we organize this: It's true that some schools plan to connect it to the SFO, but it's an offer for all children, including those who don't usually go to the SFO – so it's going to be wider than that. That it is linked to the SFO cannot exclude children who do not go to the SFO. We know that it's very important, for example. with regard to children with a minority background, who may be some of those who need this most. We have a rather demanding balance to go when we're going to introduce this, because we know that homework that is targeted on those that we know are struggling a little bit at school, becomes a homework that doesn't work. But a homeworker who primarily appeals to those who are good at school from before, is also a homeworker who doesn't work. We're now working on how to find the quality of this, so that one reaches the goal. But the starting point is a teacher who gives good lessons.
ParlaMint-NO_2010-01-13.ana.ud1798e101	There will be three follow-up questions – first Bente Thorsen. Next follow-up question is from Elisabeth Aspaker. [[Elisabeth Aspaker goes to the pulpit.]]
ParlaMint-NO_2010-01-13.ana.ud1798e106	The next additional question is from Elisabeth Aspaker, the first is from Bente Thorsen!
ParlaMint-NO_2010-01-13.ana.ud1798e111	It is very nice that you are eager to ask questions!
ParlaMint-NO_2010-01-13.ana.ud1798e116	Here's a fight to ask questions, and that's good! The minister received a full report from the Time Management Committee just before Christmas. The report revealed, not unexpectedly, that teachers want to spend more of their time in education, professional follow-up, professional meetings and development of competences. So teachers will spend more of their working time on what's at the core of school. Is the Minister willing to follow these advice given in the report, and to continue reducing tasks that teachers spend a lot of time on, so as to free up time for education and homework as soon as possible?
ParlaMint-NO_2010-01-13.ana.ud1798e125	Absolutely! The Time Management Committee is very specific in its proposals on what you think teachers and school can spend more time on, and what they can spend less time on. Teachers are very clear on what they want to spend more time on: they are students – whether they are preparing for hours, working hours or after-work related to hours. What teachers say first and foremost takes a lot of time is general meeting activities, i.e. meeting activities related to teaching, but general meeting activities. I think a lot of schools can do a lot of work on it. What I'm doing now is tying up everything we suggest to the school, thinking about what this requires of time, not for us, the department or the directorate, but for the teacher. That's point one. Point two: I would like to come back to Stortinget with how we are going to follow up the proposals of the Time Management Committee. It's about good school management, for example. Point three: I encourage the municipalities and local authorities to discuss what is in the Time Usage Committee's report, because they are school owners.
ParlaMint-NO_2010-01-13.ana.ud1798e141	Then are the next follow-up questions — a lot of signs of urgency — from Elisabeth Aspaker.
ParlaMint-NO_2010-01-13.ana.ud1798e144	I'll try again! Lessons are important for the processing and safety of subjects, and lessons must be given in such a way that students have the opportunity to master their homework. The purpose of the homeworker has also not been achieved without proper feedback. Right-wing believes it's unfortunate that there's created uncertainty about homework in school. Has the Council reflected on how this debate on homework or not homework may have occurred? And does the Council of State agree with the Right that homework is an important part of the adapted training and important to allow students to gain greater professional security?
