ParlaMint-NO_2010-03-22.ana.ud1354e66	The representative of Morten Höglund, who has been licensed, has once again taken his seat.
ParlaMint-NO_2010-03-22.ana.ud1354e77	The representative, Henning Skumsvoll, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-22.ana.ud1354e80	On behalf of the big business representatives Ketil Solvik-Olsen, Oskar Jarle Grimstad and myself, I would like to put forward a proposal for a representative on a national plan for wind power deployment in Norway.
ParlaMint-NO_2010-03-22.ana.ud1354e85	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2010-03-22.ana.ud1354e99	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-03-22.ana.ud1354e108	The issue we are dealing with today is two things with a common setting. It is a representative proposal from the Christian People's Party on humanitarian and health-related measures for paperless migrants and a representative proposal from the Progress Party on health services for illegal immigrants. The Committee decided to deal with both cases as they relate to the same subject but each has its own approach to the matter. The common position on proposals has therefore been submitted in the two cases. I am pleased that the members of the Committee agree that the right to emergency health care should be granted to all those who need it. Something else would be unmistakable for a welfare society like ours. The majority of the Committee has noted that it is unclear how far the right to health care for people residing illegally in the country extends. There is a difference of opinion within the Committee on how to provide the necessary health care in addition to emergency assistance and whether health care institutions should be required to notify when treating illegal residents in the country. Therefore, I am pleased that the Government has adopted the start of work on amending the priority regulation, so that adopted practice and understanding of the legislation on the right to health care for people residing illegally in the country will be clarified in the legislation. The preparation of the legislation will provide health professionals with clearer guidance on how to deal with these patients and the treatment to be given. At the same time, we will have a fairer treatment of this group and a greater predictability. In the Workers' Party, we are committed to leaving Norway as soon as possible. But it cannot prevent them from having the right to absolutely necessary health care. It is obvious that we should follow up our obligation under the Children's Convention in terms of health care for children and pregnant women. We also want to ensure that people with a public infectious disease are treated with a focus on the protection of the public by the law. It is also important that mentally unstable people at risk to society receive the necessary health care. It creates a safer society for all of us. That is a split vote for proposals in committee, but I believe that the minority will promote and defend its own proposals. Since the Government is well in the process of clarifying the provision on the right to health care for persons without legal residence in the country, the majority of the Committee proposes that the proposals for representatives be annexed to the Protocol.
ParlaMint-NO_2010-03-22.ana.ud1354e129	At any time, there are quite a number of people in Norway without a legal stay. No one can say for sure how many people are involved, but we know that the Central Statistical Office has estimated that it can be a place between 10,000 and 32,000 illegal immigrants. In Europe, the Red Cross has estimated the number of people between 5 million and 6 million. Of these, two thirds are assumed to be former asylum seekers, while the last third is made up of persons who have never applied for asylum. Comparisons with other European countries show that such a distribution is also not unlikely for Norway. Figures from the Directorate for Foreign Affairs show that over 22 000 asylum seekers have disappeared from Norwegian asylum recipients in recent years, without the new address known to the authorities. Persons without legal residence in Norway have few opportunities to feed themselves. The alternatives are assistance from friends and known, black work or other criminal activities. Any asylum seeker who has received a refusal to apply for asylum has received it after a thorough procedure in the administration of foreign affairs. The legislation in force does not provide these persons with the basis of residence in Norway. In addition, there are those who have not applied for asylum or have been granted a residence permit, and who are therefore also residing illegally in the country. The background to a final refusal to apply for a residence permit is a thorough overall assessment of all aspects relevant to the application. This applies to international laws and obligations, but also to national policy issues, the current Norwegian law and political priorities of the Government and the majority of the Grand Duchy at all times. Both current and previous governments have signalled that it is desirable to take action to reduce the number of groundless asylum seekers, but also to return those who have been finally rejected more quickly. All lots are admitted to the care of the institution of asylum. Anyone who has a right to protection must receive it. However, this proposal concerns people who have received a final rejection of their application for a stay, or those who have never promoted such an application, and therefore cannot be expected to have a need for protection. The proposers consider it important to put power behind a final decision in order to ensure a general view of the functioning of the asylum institution as intended. The Progress Party believes that a sustained high number of illegal immigrants contribute to weakening the institution of asylum and the necessary confidence in the public authorities. A final refusal to apply for a stay must be followed up by good follow-up and rapid deportation procedures, if not returned on a voluntary basis. We are aware that more organisations today offer, or want to offer, humanitarian and health-related assistance to foreigners without legally staying in addition to the minimum legal requirements on the right to immediate help. When someone calls on the State to recognise a responsibility for providing such assistance, the Progress Party believes that it will be very unfortunate and that it will weaken the credibility of the Norwegian authorities, since the same authorities have already defined these persons as illegal immigrants in Norway. A ban on providing such extended assistance will ensure that the country does not contribute to legitimising measures that are appropriate to prolong the illegal residence of foreigners in the country. The applicable law on foreigners requires any foreigner to notify the police of the place of residence during the period of processing of his application for a residence permit, but also after rejection of the application until the foreigner has left the country. Unfortunately, the experience is that many foreigners without a residence permit are hiding from the authorities by not stating their place of residence to the police, as required by law, in order to avoid forced dispatch. The Progress Party believes that action should be taken to facilitate the police’s role in the enforcement of a final rejection. Section 20 of the Foreign Affairs Act states that different institutions and businesses may be required to report to the police when they have foreigners with them. Reporting obligations include, inter alia: defined to apply to those taking a foreigner in employment, when accommodation at hotel, camp, etc. The Progress Party will claim that organisations providing health-related assistance to non-residents without legal residence, without simultaneously notifying the police, contribute to the extension of their stay and therefore have to be subject to such reporting obligations. A clear reporting obligation will help facilitate police work, while ensuring that illegal immigrants are dealt with more quickly and can be transported if they do not return voluntarily. With this, I will be allowed to address the proposals of the Progress Party.
ParlaMint-NO_2010-03-22.ana.ud1354e150	The representative Jon Hunter Gåsvatn has taken up the suggestions he referred to.
ParlaMint-NO_2010-03-22.ana.ud1354e153	It is an important matter that is being addressed. Health care for persons without a legal residence permit, paperless migrants. The matter is important because there is a need for clarification in this area. Everyone is entitled to immediate help. Everyone is entitled to infectious disease assistance. Pregnants are entitled to help. Children up to 18 years of age, although not legally resident, are entitled to health care to a greater extent than adults under the Children’s Convention. It should be noted that the Central Statistical Office estimates that there are between 10,000 and 20,000 people without paper for lawful residence in the country. Many of these represent a vulnerable group who are subjected to violence, exploited by employers, trafficking, etc. Paperless migrants have less physical health than others. Many have serious diseases, tuberculosis, war currents and generally weakened general conditions. For this group, it would be right for both humanitarian and socio-economic reasons to extend the right, i.e. not just the immediate right to health care. Early intervention will prevent a worsening of the course of disease and more expensive hospital treatment. This group also represents a challenge in that they may be carriers of infectious diseases, which it is very important to be treated as soon as possible. I refer you to the Health Directorate, who made a report last year on migration and health where the right to health care for people without legal residence was a central issue. They came, among others. with the following recommendations: Paperless persons shall be given an explicit right to preventive and curative service in the primary health service. For vulnerable groups such as children, persons with disabilities, pregnant women and the elderly, the offer should be in line with that of the general population. The necessary information systems should be established to help this group become aware of its rights. A selection of representatives of the health authorities, migrant organisations and inclusion authorities should be set up to clarify the responsibilities, rights and obligations of the paperless. I am pleased that the Council of State and the Minister of Justice have jointly started work on clarifying the rights of the paperless migrants here in the country. I also assume that the Health Directorate's report will be included in the further work. SV, who has previously marked a dissenter in relation to the Government's tightening up of immigration policy, sees what is happening in this matter, which is very positive and in line with the traditions we believe Norwegian immigration policy should be based on.
ParlaMint-NO_2010-03-22.ana.ud1354e181	The two proposals we are dealing with today stand in stark contrast. The Progress Party asks the Government to promote the necessary legislative proposals to ensure that the provision of humanitarian or health-related assistance, in addition to immediate or urgent assistance to persons with illegal residence, is prohibited by law. In addition, they want organisations and undertakings ‘who hold a foreigner suspected of being illegally resident in the country’ to notify the police thereof. I'll almost call this inhuman policy. The Christian People's Party, for its part, asks the Government to make proposals for humanitarian and health-related measures and any legislative changes that may improve the situation of paperless migrants living in Norway. This is not about asylum or refugee policy in general, but about humanity and solidarity, as we see it. It's about individuals who need help, both children, women and men. It was just to be lacking that we did not set up. We should also be grateful to NPISHs and volunteers who contribute. We should thank them, not forbid them to help or order them to report to the police. It is commendable that the Red Cross and the Church Bymition have opened a health centre where paperless migrants can receive treatment, and we support this work. But at the same time, we will stress public responsibility here. These people should not depend on voluntary initiatives to get the help they need. Paperless migrants generally have poor physical health, and many of them have severe diseases and disorders, such as tuberculosis, war trauma and a generally weakened general condition. Irregular migrants are a complex group, among others. include women and children who are exposed to trafficking in human beings. These are people who are very vulnerable, many live with threats, they are subjected to violence, and most have little confidence in the authorities. Lack of health care in addition to emergency care can have serious consequences for the individual’s health. Today, adult paperless migrants are only entitled to immediate or urgent assistance, and those who are not members of the public health system have to pay for health services themselves. The current situation is difficult for these. We know that it creates a great deal of pressure on healthcare employees, and also on non-governmental organisations that meet this challenge in practice. The essence of the professional ethics of health professionals is that health care should be provided regardless of the status of the patient in society. There is a need for action and clearer legislation in this area. That is why the Christian People’s Party is promoting its proposal. This proposal does not get the majority's votes in today's magnificence. It's sad. And it's a particular shame when we know that the majority of the Storting agrees that this is a good proposal. We know that because it was sent out a press release one week before this matter was submitted to the Committee, and we could read in a large notice in the evening post that the Minister of Health and Welfare and the Minister of Justice now wanted extended rights to paperless immigrants who are particularly vulnerable. Of course, the Christian People's Party warmly welcomes any proposals that extend the right to necessary health care. But it's alarming when government councils go out in the paper one week before delivery without the Storting being informed. So instead of sending a letter to the committee that the government has taken a decision on a matter that the Storting has to deal with, they send out a press release. I think that is critical. I believe that it shows a lack of respect for Stortinget and Stortingen's work. Of course, I am pleased that the Government has adopted a start-up of work on amending the priority regulation so that adopted practice and understanding of the legislation on the right to health care for people who are residing illegally in the country becomes clearer in the legislation. The big paradox, however, is that the government parties are not voting for our proposal today. I don't understand.
ParlaMint-NO_2010-03-22.ana.ud1354e200	The representative of Laila Bavøy has taken up the proposal she referred to.
ParlaMint-NO_2010-03-22.ana.ud1354e203	Today, the Storting deals with two Document 8 proposals which both deal with the provision of health to illegal immigrants. The Christian People's Party urges the Government to urgently propose humanitarian and health-related measures to improve the situation of undocumented migrants in Norway. It is shown that the Red Cross and the Church’s Bymission have opened a health centre in Oslo where paperless migrants can also receive treatment beyond immediate help. The Christian People's Party believes that the public must also provide such health care. The Progress Party, on its side, will criminalise relief organisations such as the Red Cross and the Church’s Bymission to provide health care for paperless migrants beyond immediate assistance. The Progress Party will also have legislative changes to ensure that all organisations and enterprises are obliged by law to report non-residents without legal delay to the police. Today, anyone who behaves in Norway, including people who behave illegally, has the right to immediate help from both the local health service and the specialist services. Furthermore, children up to the age of 18 and pregnant women, although not legally absent, are entitled to health services to a greater extent than adults under the Convention on the Rights of the Child. It is also the case that relief organisations such as The Church’s Bymition and the Red Cross in Norway can provide health assistance to illegal immigrants beyond immediate assistance without being punished for it. The proposals currently under consideration raise several debates. Is there a need to extend the right to health care for paperless migrants beyond immediate assistance, or should this be penalised on the contrary? Should health professionals be required to report patients they have for treatment for immediate help or other health care to the police if they are aware that they do not have legal residence in the country, or should it be like today? No country is lit with an unregistered population. The need for action to counter such a development is clear. However, the obligation for health workers to report own patients to the police is an action the Centre will reject. Such an obligation would be a fundamental breach of the professional ethics of health professionals, namely that one should provide health care without regard to the status of the patient in society. If this had been done, the right to immediate help would also be threatened. Because when health workers are required to report these patients to the police, who would contact healthcare professionals for immediate help? The centre party sees the need for a review of what kind of health care you should be able to provide in-depth ‘immediate help’. We want to show that the Government has agreed to start work on changing the priority regulation, so that the practice and understanding of the legislation on the right to health care for people who behave illegally in the country can be clarified in the legislation. We have also included this in the comment form in the setting of this matter.
