ParlaMint-NO_2010-01-07.ana.ud2258e44	The representative, Per Arne Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-01-07.ana.ud2258e47	On behalf of Harald T. Nesvik, Christian Tybring-Gjedde and myself, I will be allowed to submit proposals for tax exemptions for health insurance and training cards paid by employers.
ParlaMint-NO_2010-01-07.ana.ud2258e52	The representative, Robert Eriksson, will put forward a proposal for a representative.
ParlaMint-NO_2010-01-07.ana.ud2258e55	I am delighted to make proposals to amend the People's Security Act so that foreign citizens who come to Norway and commit criminal acts do not have the right to membership in the public interest.
ParlaMint-NO_2010-01-07.ana.ud2258e60	The proposals will be dealt with in a regulatory manner. At the request of the Committee on Foreign Affairs and Defence Policy, the President will propose that the matter be referred to the Committee on Foreign Affairs, Security and Defence Policy. 1 and 2 are dealt with as a whole – it is deemed to be adopted.
ParlaMint-NO_2010-01-07.ana.ud2258e87	At the request of the Foreign and Defence Committee, the President will propose that speaking time be limited to 45 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to members of the Government. In addition, the President will propose the possibility of a replacement of lines of up to four lines with replies from members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-01-07.ana.ud2258e96	There is a strong political consensus on the importance of good and well-functioning Nordic cooperation. Sick if we live in a world with increasing globalisation and internationalisation, and borders in many ways mean less than before, the Nordic region with its common cultural and language community is something special. By uniting and coordinating forces, we can achieve more. Thus, cooperation is beneficial to all parties. It's around such thinking that we have to look at Nordic cooperation. We play each other good by betting on what we can, and developing the advantages that we already have. Nordic cooperation is broad and covers many fields, many areas. That is probably right, as well as the Nordic countries in many areas. However, it is also important to ensure that one in the thinking around Nordic cooperation is constantly focusing on what matters to the citizens of the Nordic countries – in everyday life. Here, the last years of work on so-called frontier barriers are very important. In fact, there is no reason to believe that we at Stortinget or in other contexts talk about how important Nordic cooperation is, if everyday life is perceived as problematic for the citizens of the Nordic region, for example. the right to live on one side of a national border and to have a job on the other side of the national border, or, as Mr Vold has said in the last few days, if cross-border communication is difficult. The point of violence is that there is too much rail connection between Oslo and Stockholm, and I think we must certainly give violence right in that. There is in reality no well-functioning railway link between Oslo and Stockholm. I am pleased that the reduction of border barriers is a priority area for the Nordic Council of Ministers and the Nordic Council of Ministers. An increasing number of cross-border borders, national borders that have been created for a completely different time. At that time, border barriers are negative for people who, for business reasons, for work reasons and perhaps because of studies, need to cross one or more borders. And I underline: the goal of this work must be to make everyday life easier for those who relate to one or more of the Nordic borders. In 2007, the so-called Border Obstacle Forum was established. It is led by the Finnish ambassador Olle Norrback. The Norwegian representative in the Forum is former Nordic Minister for Cooperation Bjarne Dørk-Eidem. Border Obstacle Forums report annually to the Nordic Prime Ministers. They've addressed important issues, and that's how I interpret what they've been working on, some areas that are appointing themselves. There are social security, pension and social security rights and regulations, which vary considerably between countries. In some areas, we have bigger differences than we might initially think about. It is important that we continue to work on and try to harmonise the legislation as best we can. Finally, let me say a few words about the so-called Stoltenberg report, the report prepared by former Minister of Defence and former Minister of Foreign Affairs Thorvald Stoltenberg on behalf of the five foreign ministers. The report was presented in February last year, and Stoltenberg outlines 13 concrete proposals for Nordic defence and security cooperation. That's very interesting reading. I'm sure the Stortinget gets the opportunity to come back to many of the points later, but let me just say for myself and for the Workers' Party that we have a great sense of many of the points that Stoltenberg has outlined in his report.
ParlaMint-NO_2010-01-07.ana.ud2258e111	Let me thank the case rapporteur for a very good article with a lot of good points, to which I also think our group can very much join. I think the case rapporteur had a significant point in anchoring Nordic cooperation among the citizens of the Nordic region. This means that as politicians, we are holding the key to concretely specifying the political work that we are doing in the Nordic region, so that it matters to each individual citizen in our Nordic countries. It is no secret that very many Nordic citizens ask themselves the question of what is really going on in the Nordic Council. It is we who are responsible for explaining it to the citizens, and fill Nordic cooperation with a political content that makes citizens also view this as a good use of resources from a political point of view. It is clear that for Norway, extensive cooperation with our Nordic neighbours is of exceptional importance. It is important that we have concrete cooperation with our neighbours in very many areas – insofar as the neighbours are also outside Nordic cooperation. The north is an important arena, but it has to be used correctly. There we're probably asking ourselves if we've made Nordic cooperation concrete enough in relation to the everyday life we live in. Nordic cooperation has to be applied to the important issues, only then can the Nordic region become a current and interesting venue to participate in. There is a relatively large consensus in this setting. The rapporteur stressed the importance of cross-border cooperation in his speech. It is one of the things that I have so far pointed out in my post is a matter that is concrete and practical in terms of the everyday life of the Nordic citizens. There I now think – at least for the last few years – that a very good job has been done under the direction of Ambassador Norrback. We have also brought with us a very well-suited person from Norway who has the weight to listen to the importance that government councils, departments and governments focus on reducing border barriers in their daily work. But the question is whether we should be satisfied with what is happening, and whether we can expand and intensify the frontier-blocking work. This is also about getting free trade in all areas. These are not all areas where Norway wants free trade with our Nordic neighbours. It should be a paradox, and we should think it through, because I know that especially in the agricultural field, there is great irritation about Norwegian policies among some of our Nordic neighbours. Then, in the vote, there is a minority comment from the Progress Party, the Right and the Christian People's Party, asking questions about the scope of the globalisation project. I have now been a member of the Nordic Council for four years and have now gone into a new period, and I have problems seeing what we actually get out of the globalisation project. Globalization is enormous, and it gives us great challenges, but also great opportunities. I think it's a work we need to look at – whether we've become concrete enough to make this clear and visible in the everyday lives of the inhabitants of the Nordic countries. I also believe that we need to ask questions about whether the Nordic Council's work is good enough. Do we spend too much time on too many small things in the selections and at the session? Should we now focus on looking more at the big lines?
ParlaMint-NO_2010-01-07.ana.ud2258e130	Yesterday, the newspaper referred to an opinion by Minister of Foreign Affairs Gahr Støre, to which I can agree, saying that it may take a long time before the EU countries can unite on a common, powerful foreign policy. I think it's a proper observation of the EU's progress in many areas. However, the greater the scope for Nordic cooperation to develop into foreign and security policy. Based on the Stoltenberg report, which has been mentioned by previous speakers, there are good opportunities to have a broader debate on the defence and security policy area of Nordic cooperation, where there are, at least, opportunities for joint and powerful action, even though the power of the Nordic countries as a whole may not be as great as it will be for 27 EU Member States. The report is divided into seven main parts, with a total of 13 proposals. Nine of them are of a civil nature, three military nature, and one proposal – the 13. – so-called a Nordic declaration of solidarity. The right has noted with satisfaction that the Foreign Ministers have decided to take all proposals for further consideration, although they may stress that some of the proposals are of a very long-term nature. Not least from the Finnish side, I have the impression that it is repeatedly underlined. In this context, I would also like to mention that the Conservative Group in the Nordic Council, before the Stoltenberg report was available, had proposed that the Nordic governments should work towards deepening defence and security cooperation, a proposal which was subsequently given a large majority in the Council. We share the view that the work must, of course, be done within the commitments of cooperation in NATO, the EU and the OSCE. The great merit of the Stoltenberg report is that it covers areas of social security through foreign and security policy for defence cooperation and that the proposals presented do not depend on the participation of all countries in all. On the part of the Nordic Council, we also propose that cooperation on social security, foreign and defence policy should have a parliamentary dimension, that is to say, be anchored among parliamentarians. It is the tradition of Norway, too, that foreign policy has a broad parliamentary base, and there need be no exception in Nordic cooperation for this. The Nordic Council Bureau has also decided to appoint a special rapporteur, former Finnish Foreign Minister Erkki Tuomioja, for these areas. I think that the rapporteur is Finnish, that the pace can also be kept up better – to say it in a careful way. The Bureau will also draw up a programme for the follow-up of these issues by the Nordic Council, and we expect an annual report from the Foreign Ministers on the development of cooperation. We would also like to ask foreign ministers to hold an annual meeting with representatives of the Bureau, preferably during the spring session, to discuss the follow-up to the debate and decisions of the Nordic Council at the session and the further cooperation in this field. Similarly, the Bureau would also like to hold an annual meeting with the Nordic ministers responsible for social security in the respective countries. There is ample scope in this area for concrete cooperation that serves the interests of citizens. To give an example: the previous enlargement examined a report from the National Audit Office on major energy security deficiencies between the Nordic countries. In an area where you should think that cooperation was better, it's actually done quite little. It's an area that, not least in times like these, can be of great importance. I would also like to address a topic that has been raised in the Nordic Council before, and which was also included in the Stoltenberg report, namely the Nordic embassy cooperation. Nordic countries should try to coordinate their long-term plans with regard to embassies. There are now a review of how many embassies you really need in several of our Nordic countries. I see that the Norwegian Government is in front of a budgetary conference, which can certainly be demanding for the Minister of Foreign Affairs. It may well be suggested that there are good opportunities for Nordic cooperation in this area that do not weaken national interests. The goal must be not only to have a co-location, which has been successful in Berlin, but also to have a geographical distribution of work, so that it becomes a global representation of the Nordic region as a whole. Finally, let me just say that I agree with what has been said by the previous speaker, not least by the case rapporteur, on the need to underline the cross-border work. But it has its biggest challenge in national work, i.e. it is followed up concretely. I would challenge the Minister of Cooperation to explain how she and the Government have organised the follow-up to this frontier-blocking work.
ParlaMint-NO_2010-01-07.ana.ud2258e153	I had the pleasure of attending the session of the Nordic Council in Stockholm in December and got firsthand knowledge of the work of the Council. The Nordic region is a natural area of internal cooperation, but it is also a natural area of common policies towards the outside world. There is a great potential for further development of cooperation both internally and in relation to global efforts. The Committee points out that the Nordic Council is a good starting point for coordinating Nordic European policy. At the same time, however, it is important to focus on the Nordic region as an independent alternative with a perspective on cooperation across the EU and Europe. It is important to further develop cooperation on global challenges facing the Nordic region in a globalised value. SV is therefore pleased that climate and environment are defined as central areas of Nordic cooperation. But it's a potential to expand and concreteise the work on these areas. At the meeting in Stockholm, I had some articles in plenary on environmental technology as an industrial policy. I received many positive feedback from the article. Many representatives were concerned that the Nordic region has a good starting point for becoming a leading region in international contexts for the development and commercialisation of environmental technologies. It will be an important contribution both to meeting global challenges and to creating robust industries and secure jobs in a long-term perspective. In this context, it is gratifying that the Nordic Investment Bank is increasingly investing in environmental technologies and environmentally friendly energy in its loan assessments. The Nordic region also has a high potential for cooperation on climate-friendly transport. All Nordic countries give high priority to rail. It should therefore be possible to achieve synergies through closer cooperation in this area. Cooperation on the effective high-speed rail link between the Nordic countries should be a natural part of this cooperation. At its 2008 Helsinki session, the Nordic Council adopted a decision recommending a comprehensive and concrete Nordic commitment to rail and climate-friendly inter-country transport, but we have not made enough progress in the follow-up to this decision. Transport is one of the few policy areas that have not formalised cooperation between Nordic governments. Therefore, it is appropriate to consider restoring the Transport Council, as requested by the Nordic Council in 2008. For example, this is how we can do it. coordinate transport plans that the Nordic countries are now preparing separately, thereby providing good links between the Nordic countries. Research and innovation is also a central area of the Nordic Council, and it is an area that has been allocated some economic resources. The setting-up of networking programmes for higher education and research are important elements contributing to links and can create a professional environment that is above a critical minimum in areas where there is little resources in each country. The Nordic countries have different organisation of research and innovation activities, but it can be just a strength. By comparing strong and weak sides of the different models, you can learn from each other. The Committee also underlines the value of the Arctic security work, including: through Arctic Council. This is a very important work in the light of the climate challenges. The Arctic Council has a great potential for understanding and meeting the major climate challenges we face. SV takes a positive view of developments in the Nordic Council, not least in climate and environmental issues, and in research and innovation. We have a lot to learn from cooperation in these areas, and it is important to follow-up work on concrete actions. I want to pay particular attention to what I was about earlier in the article, to get better cooperation when it comes to transport, where we have a lot to pick up.
ParlaMint-NO_2010-01-07.ana.ud2258e174	The Nordic Council is an unusually important joint arena for Nordic parliamentarians, and it has strong support from the Centre Party. Despite differences in relation both to the European Union and NATO, citizens naturally feel a strong community. The Nordic Association is an example of an organisation that does a good job and ensures a continuous dialogue on the situation and challenges for our countries. The biggest challenge now facing the Nordic countries – and therefore also Nordic cooperation – is that we are in a financial crisis. In the introduction to Report. St. 6 for 2009–2010 states that the traditional differences between countries are decreasing as a result of globalisation. It's a truth with great exceptions. Norway is the strongest. Compared to the rest of Europe and the Nordic countries, where we have more embarrassing economic conditions, there is a lot of at stake. The reason for these embarrassing economic conditions is long and historical, among other things. through the allocation of property rights and associated obligations, through a political majority which has ensured an economic priority for the benefit of the many, through an economic, social and political culture, so that it ends up with a completely different security from that of the rest of Europe. It's part of the Nordic welfare model. With the demanding economic development that we are experiencing today, there is a danger that differences between the Nordic countries will also increase. Among other things, unemployment in Sweden is now almost four times as high as in Norway. For people elected in Norway, and in the Nordic countries, the main task today is to ensure value creation in business and thus to secure a working life where the Nordic countries have much lower unemployment rates than the rest of Europe and to a far greater extent agile economic conditions. Thus, the main direct signals of danger and challenges for the Nordic region are related to employment and business. Among our countries, the development of Iceland is the most difficult. Developments in the Baltic region also have major consequences. While developments in Iceland are widely known, developments in the Baltic region are not yet known, and there are going to be more problems. The countries that were at the forefront of the economic liberalisation experiment in our neighbourhood — Iceland and the Baltic States — are in difficulty, and it is in the Nordic interest to contribute to a stable development for those who are now struggling most. Sweden and Finland are most closely linked to and traditional ties to the Baltic region, while Norway, Denmark and the Faeroe Islands are most closely linked to Iceland. It is now a fact that there will be a referendum on the Icesave agreement on Iceland. The date is after the last notifications at the end of February. Norway has chosen to play an active role in sewing together a common Nordic approach to Iceland, under the auspices of the International Monetary Fund. The latest developments in Iceland, with the Icelandic President saying no to the Icesave agreement, have been met with strong reactions from several countries. The international requirement is that Iceland follow up the loan obligations previously set up. A total Icelandic everything wants to follow up on its obligations, but there is disagreement in Iceland about what the obligations involve in money. This makes Iceland’s situation and Iceland’s situation today – after the President has said no – extra demanding. So today's situation in Iceland has changed and requires more than before. The country’s debt level is extremely high and threatens Iceland’s business and working life, and not least Iceland’s welfare system, which is one of the Nordic countries’ trademarks – safe conditions for citizens who need an active country for a difficult time. It is in Norway’s interest that Iceland is given the opportunity to work out of the deep economic crisis in which the financial acrobatic experiment has brought them up, in a way that is realistic — and I would stress realistically — where the Icelandic people have to take a responsibility that is becoming enormous. Many in Norway ask whether Norway can act towards Iceland as the European Commission says it will act towards Greece, which is also in great economic difficulties. In a situation where Iceland can become increasingly isolated, it is important that Norway takes the lead in establishing a real policy platform for long-term solidarity between Norway and Iceland. It's important that we show an outstretched hand. Compared to the State pension fund – the large foreign activity on international exchanges in an extremely turbulent time, this will be a suitable brotherly gesture from Norway to Iceland.
