ParlaMint-NO_2010-05-05.ana.ud2638e26	The representative of Per-Kristian Foss will present a proposal for a representative.
ParlaMint-NO_2010-05-05.ana.ud2638e29	On behalf of the representatives of Jan Tore Sanner, Ingerd Schou, Peter Skovholt Gitmark and myself, I am delighted to present a proposal for a representative to reintroduce the right to cancel the list candidates at municipal government elections.
ParlaMint-NO_2010-05-05.ana.ud2638e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2010-05-05.ana.ud2638e56	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. - No one's getting up. We then start with the first main questions, from the representative, Siv Jensen.
ParlaMint-NO_2010-05-05.ana.ud2638e65	On May 3rd, an overall opposition sent a letter to the Prime Minister and asked him to come and explain the new description of reality that the Government is now joining in on Mongstad. On the same day we received a four-line letter from the Prime Minister, where he announced that he would not; the Stortinget had to wait for a written statement in the revised version. I have to say, I don't think it's gonna last. I think it's above all arrogant of the Prime Minister to answer such a question that involves so much money, and that has been so duly discussed in Stortinget. So the story has had to hear this news in other media, and we've even been able to read on the Prime Minister's blog that you won't spend $5 billion, as previously estimated, but $10 billion. This is essential, new information that would be natural for the Prime Minister to brief the Storting in more detail. But since it is now spontaneous, the Prime Minister will have the opportunity to elaborate on this. Let me first say that I think it is good that the Prime Minister now finally says what the Progress Party has said all along, namely that it is an advantage to listen to professional advice and recommendations before any decision is taken on a technological breakthrough. You can't do that, and it probably has now been painfully experienced by the Government. But there is no news either that there are professional objections to this. They've been there since day one. They have been there since the famous New Year's Year when the moon landing was launched, and therefore it is natural for me to ask the Prime Minister the following question: What new report has the Prime Minister and the Government now read, which has led them to a completely new conclusion? And what report is it that the Storting obviously has not yet received?
ParlaMint-NO_2010-05-05.ana.ud2638e76	The government has reviewed at least two new reports. One is the assessment that has come from Statoil, which has been called the master plan. It came last winter, and there was great publicity around it. We said, and we've made it clear since it came, that this would be thoroughly reviewed. In addition, Gassnova, which is the company that handles this matter for us, has gone through it and made his assessments. And then the government has gone through those assessments and will present its assessments in the revised national budget. So that's, briefly, the time of the matter. With regard to the matter itself, the following is the case: If we are to succeed in having large enough reductions in greenhouse gas emissions, there are two things that are crucial. One is that we manage to reduce emissions from deforestation, and the other is that we succeed in reducing emissions from large point emissions, power plants, gas and coal plants, refinery plants. What we've been saying all along is that what we're going to do in Mongstad is an important project, and we're going to do it in two steps. Step one is to create a world-leading technology center, where we're going to do something that doesn't happen anywhere else in the world, that's to capture carbon from both a refinery and a power plant. It gives us the opportunity to look at two different gases. The second thing we're going to do is we're going to use two different technologies. So the first step in Mongstad is a big and important step in itself. Then we also have to take step 2, full scale cleaning. There's something that's going to be exposed, but we're going to start with step 1, we're going to postpone step 2, but both of these are big and important projects. It is an honest matter that the Progress Party has now been addressed by this question. But they, together with the Right, promoted a proposal to say no to carbon capture in Mongstad, a separate Document No. Eight proposals. So there's a lot of interest in cleaning up now, so they were strongly opposed before the government launched the Mongstad project, something later.
ParlaMint-NO_2010-05-05.ana.ud2638e85	I was very clear that the Progress Party has always warned against the progress plans the Government has put forward for this. We thought this was an airlock. There's a lot of evidence now that we're going from moon landing to crash landing. But this is primarily the government's problem and not the Progress Party. So we've kept our path clean. We have said the same thing all along, as opposed to the Government, which has disregarded professional advice and recommendations, and which itself has defined a completely separate timeline – which is now cracking again. What's even more serious is that the bulk of the population has given a budget for this project of $5.5 billion. It's a formidable sum to which the government has adhered. So we can read on the Prime Minister's blog: No, it's not going to cost $5.5 billion on this, it's going to cost $10 billion. It's not a demeanor, it's a terrible amount of money. How can the Prime Minister explain such exceedance?
ParlaMint-NO_2010-05-05.ana.ud2638e92	Let me just underline: the progress party has not been against the progress plan. Together with the Right Party, the Advance Party has been against the project and has promoted with the Right a separate Document No. 8-proposal – I have it here – arguing that we should get a concession and an emission permit without any requirement for clean-up. So it is not that the Progress Party disagrees with the progress plan, they disagree with the project itself. The right has begun to turn around, but I am dealing with what has actually been promoted in the proposal in Stortinget – namely a separate document No. Eight proposals to say yes to the Mongstad concession without cleaning. In terms of the figures, the situation is as follows: Yes, there is an allocation framework that the Storting has given. But I think now that you're operating with 10 billion, I've been very clear that it's made up of two things. One is the allocation of step 1, and the other is the estimated cost of the design of step 2. The sum of that is going to be 10 billion. Then we have to go to Stortinget. We're going to do that in a revised way, and then we'll see if the Storting gives us that money. I think it does!
ParlaMint-NO_2010-05-05.ana.ud2638e99	There will be three follow-up questions – first Ketil Solvik-Olsen.
ParlaMint-NO_2010-05-05.ana.ud2638e102	The Prime Minister is lying in Stortinget's pulpit. It's very serious. Firstly, the Prime Minister manipulates the proposal of the Right and the Advance Party. What we have proposed is the exact same thing as the Government is now doing, which is to allow the Mongstad gas power plant to be started, and then build clean-up when it's ready. If the Prime Minister had followed up on what the Stortinget did when we dealt with the test centre – Innst. S. No 206 for 2008-2009 was dealt with in Stortinget on 7 May 2009 – he would have known that there was an overall committee behind the test centre. No one voted against – none. So here the Prime Minister should withdraw his statements. I would also like to remind you that when the Storting made the decision, and said yes to allocations of 5.2 billion kroner to the test facility, the master plan for Statoil was at the bottom. That has to be taken into account. So now the prime minister uses it as an excuse for a postponement. Where has the Minister of Energy been wrong when he said in Stortinget both in March 2009 and in May 2009 that the master plan showed that this was technically possible?
ParlaMint-NO_2010-05-05.ana.ud2638e113	I refer just to the proposal that the Right Party and the Advance Party have made that they should grant a concession and an emission permit without demanding a clean-up. The batches have gradually turned around and changed their opinions. It's an honest thing. As far as the question of the master plan is concerned, the whole point of the master plan that came last year was that we were going to go through it, and that it was going to provide a basis for step 2. Now we have gone through it – first Gassnova and then the department – and then we will present our assessments and recommendations in the revised national budget. Then we do two things. One thing we're asking for is additional appropriations to implement step 1. And the other thing we want to do is to ask for the connection to a further progress of step 2, which makes us postpone step 2, something, but still does it.
ParlaMint-NO_2010-05-05.ana.ud2638e120	Siri A. Meling – for follow-up questions.
