ParlaMint-NO_2010-10-29.ana.ud2117e45	The representative Siri A. Meling will put forward a proposal for a representative.
ParlaMint-NO_2010-10-29.ana.ud2117e48	On behalf of the representatives of Elisabeth Røbekk Nørve, Frank Bakke-Jensen, Øyvind Halleraker, Nikolai Astrup and myself, it is a pleasure to promote a proposal for a representative to ask the government to submit a report on a comprehensive energy policy.
ParlaMint-NO_2010-10-29.ana.ud2117e53	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2010-10-29.ana.ud2117e67	No one has asked for the floor. [[Footage, see page 477]]
ParlaMint-NO_2010-10-29.ana.ud2117e85	The interpellant will have the floor. Bakke-Hansen, please.
ParlaMint-NO_2010-10-29.ana.ud2117e88	Bakke-Jensen, President!
ParlaMint-NO_2010-10-29.ana.ud2117e93	Bakke-Jensen, I'm sorry!
ParlaMint-NO_2010-10-29.ana.ud2117e96	Or the representative of Berg-Jensen, as it was also called once in the Chamber when the Council of State was present. Seafood is by oil the largest export industry in Norway. In total, the export value reaches 44 billion. kr, and we export over 95 pst. of the total quantity. The large markets have traditionally been Europe and the United States, but also Russia and maritime states in Asia are becoming more important and important. It has been an explicit objective from the current Minister for Coastal and Fisheries that we should become the world's leading maritime nation. Everyone in the meadows of this house who is interested in the subject fully agrees with the objective. We also probably agree that governance will be a key word in order to achieve this goal. That we manage our fish stocks according to principles that both give and make ecological sustainability visible is important. It is important because it gives us an advantage in markets with environmentally aware customers, it is important because it increases our status as manager and gives us the opportunity to influence common management models with other countries so that they also move in the right direction, and last but not least it is important because sustainable management provides long-term and secure framework conditions for Norwegian operators at sea and land. Norway is identified several times as the world’s best manager of fish stocks. So there's reason to think that in many fields we're fulfilling the ambition to be the world's leading seamate. Our traditional methods of stock regulation are to set a quota for withdrawals and/or to regulate which tools can be used during capture. In order for this to be an effective regulation, some questions need to be answered. It is important to know the size of the population to be regulated. It is important to know what size is required for it to be sustainable. It is important to know how it affects other populations in the ecosystem. It's important to know if it has a travel pattern. It's important to know if it's walking with or following other populations. It is important to know which fisheries affect the population. And the last, but always important, question is how much uncertainty it's connected to the answers to the questions you've asked. As you can see, it's a rather complex picture. To ask good questions and find good answers, we in Norway have the leading marine research communities and a coastal population with thousands of years of inherited knowledge of marine life. So we seem to be well aware of the task of managing a stock – best in the world, we need to know. When this interpellation has coastal cod management as its theme, it is because we feel that there is a great deal of disagreement between the world's industry masters and the world's best marine scientists about coastal cod status. If we go to the Species database, we find the following definition in coastal cod: with coastal cod north of City means a cod that cannot be classified as north-east Arctic cod. Thus, the term coastal cod includes what we call fjord cod, and what is often called hiking coastal cod, bank cod, or scavenger. If we apply this definition, we get a complex population view, and some challenges in calculating population changes. To date, the Norwegian administration has not been willing to distinguish between coastal cod and fjord cod. Everything has been seen as a single stock and then managed. The problem then is that much of the coastal cod walks with Norwegian-Arctic cod, or screams as we know it that, or it simply wanders to find food. It will then be extremely difficult to provide good estimates of this population. For the fjord cod, the situation is different. It is much more localised and therefore consists of a number of local cod strains along the coast. This allows good stock estimates and good numbers of recruitment and withdrawals to be made through intensified research. Of course you can then ask yourself if it is so careful whether the cod stays at home or whether it is going its way. Coastal cod is described by marine scientists as a stock in crisis, with the risk of extinction. It's on a red list of species we have to pay particular attention to. As a result, environmentally aware customers in our traditional markets will not buy the cod – a proper and affordable response in the market and, in fact, a response pattern we rely on to make our administration regime work. In this picture, our task will be to know as much as possible about and have the best possible numbers on the different populations. A coastal cod development plan has now been put in place to enable the market to recognise it as a sustainable resource, and customers to enjoy it with the best conscience. This is good, but the plan does not distinguish between coastal cod and fjord cod. When the Fiskarlag asks the researchers whether it will be possible to obtain a biomass figure for fjord cod and another for coastal cod, the answer is that there is a great difference between them and that the uncertainty surrounding the coastal cod is significant. What is known, however, is that there are significant amounts of coastal cod walking with the screams. It must be possible to distinguish clearly between the populations of fjord cod and coastal cod in order to provide safer estimates. If we go back to the questions I asked in the introduction, it won't be possible to give good answers to any of these without a clearer definition of which population you're talking about. So it will take a long time, if at all it will be possible for researchers, to benefit from the Norwegian stocks of coastal cod and meet the requirements of the construction plan. The existing reconstruction plan requires stocks to be in excess of 60 000 tonnes over at least two years before improvement can be achieved. If this requirement is not met, stricter rules must be laid down. The question becomes whether you can reach the requirement if you don't know enough, or are not clear enough in the definitions. No, it may actually seem difficult. The danger is, then, that we are making regulations that impose proportionate restrictions on coastal fisheries and the industry that depend on these fisheries.
ParlaMint-NO_2010-10-29.ana.ud2117e124	First of all, I would like to thank the interpellant for addressing an important but also demanding issue for the marine food industry, namely the issues of coastal cod. The management principle of the new Marine Resource Act, the precautionary principle and biodiversity considerations provide better protection for fjord systems. This also applies to coastal cod. The basis for all Norwegian fisheries is sustainable management and sustainable harvesting. Today, it is quite natural to stress the last: sustainable harvest. Marine life shall be managed in accordance with the precautionary principle and an ecosystem-based approach. These principles are fundamental to the fisheries policy. Therefore, Norwegian fisheries management is based on the best available knowledge and scientific advice from the International Council for Marine Research, ICES, and our own marine research institute. In order to ensure that the harvest is sustainable, we need to keep up with the best evidence available and to assess what action should be taken. These assessments and their decisions require an understanding of both biological, ecological, economic and societal factors. It is also the case that, in almost every case, there will be different considerations and interests that must be weighed against each other. However, long-term sustainability will always be very important, and we cannot allow ourselves to go on chords with the resource base itself. Research and constantly new knowledge are central to the Norwegian administration system, and we spend a lot of resources on research every year. At the same time, it is also the case in the state that we need to prioritise within the framework we have, and there will always be issues that we want to know more about. Cod populations that spawn and live locally are important for coastal ecosystems. They form the basis for a large part of coastal fishing, both for professional and recreational fishermen. The main challenge is to achieve regulation that reduces the taxation of vulnerable populations, but without removing the foundation of traditional coastal fishing. On the basis of advice from marine scientists, a number of measures have been put in place since 2004 to delineate professional fishing and recreational fishing of coastal cod north of Town. Earlier this year, we also launched a package of measures to apply in the south, where the situation is perhaps the most critical. The Council of the International Council for the Exploration of the Sea has since 2004 been a zero catch of coastal cod north of City, as long as no reconstruction plan has been established. This was the background for us making such a plan earlier this year. ICES has recently assessed it to be in line with the precautionary principle. If followed, it is expected that the coastal cod stock will be significantly rebuilt. The reconstruction plan will govern the management of the coastal cod. The aim of the plan is to ensure full reproductive potential for the population complex and the protection of vulnerable local populations. In order to achieve the objectives, targeted regulatory measures are needed. We have a relatively short history of coastal cod research. The time series of coastal detonations do not go as far back as for other species, and there are still many unanswered questions. In the wider management of coastal cod, greater detail will probably be needed. Knowledge needs include systematic monitoring of important coastal breeding and spawning areas, but also surveys of migration patterns and a better basis for defining what can actually be considered as local fjord cod. Furthermore, it is also necessary — as the inter-pellant was involved — to know which parts of the coastal cod mixes with the strong population of Norwegian-Arctic cod. The fishing industry has applied for eco-labelling of cod through the Marine Stewardship Council, MSC. The uncertainty associated with the coastal cod has led to the fact that the MSC has only authorised cod fishing in the area outside 12 nautical miles from the coast. The application for eco-labelling is the industry itself, and they were aware of the risk of coastal cod becoming a problem. The fisheries sector in other countries, inter alia: in Iceland, have chosen solutions other than MSC and, as far as I have been registered, have not experienced any specific market problems for that reason. For me, however, it is a point that any Norwegian fishing should be able to make an eco-label as long as the criteria are based on recognised international principles for responsible harvesting. However, the eco-labelling process itself needs to be evaluated and managed by the industry itself. However, the fact that we have now put in place a reconstructive plan for coastal cod should be an element which will allow cod to be caught within 12 thousand miles of time to be eco-labelled. What we see is that the interest in eco-labelling has increased in recent years, mainly among the purchases in the largest department stores, but also increasingly among consumers. Environmental labelling is a small part of the market and the placing on the market of seafood, but it is in any case important that consumers can trust that Norwegian seafood comes from sustainably managed populations. Norway exported cod fish including rockfish, saltfish and dry fish for SEK 1.02 billion. kr in September. It represents an increase of 10 pst., or 95.8 million. kr, compared to the corresponding month in 2009. To date, cod has been exported for 7.9 billion. kr, and that's the second largest value ever. The total export of pelagic fish was 4.6 billion. kr in the first nine months of 2010, which corresponds to an increase of 13 pst. from the previous year. In order to maintain and, where possible, increase such export figures, it is important to be able to refer to sustainably managed populations. And a prerequisite for that is that the stocks are actually managed sustainably. To return to the coastal cod, we probably did not find the final form of the regulations, despite the fact that we recently put in place the previously mentioned reconstruction plan. A central question is what coastal cod really is. There are, as is known, a number of components and local populations along the coast. The interpellant was within it. Some of the concepts used are fjord cod, coastal cod, bank cod or scabbard cod. Genetic differences have been identified not only between coastal cod and Norwegian Arctic cod but also between the different coastal cod populations. One important question is how much emphasis we should put on these differences, and what importance they should have for the practical management. Another question is whether it is possible to establish a system where the fjords are separated from the more open seas, and that all cod outside the fjords can be regulated as a stock, and then naturally they can be regulated in another way. At least that will mean significant simplification. The interpellant poses two concrete questions in the interpellation: what I will do to establish a reliable status of the coastal cod situation, and what extraordinary measures I will take to resolve the problematic market situation for coastal fleets and industry. On the first point, I would like to point out that there has been a significant research effort in coastal cod in recent years, and there is little evidence that today’s status description – based on take-off information and catch data – is not reliable. However, current methodology is uncertain about the dynamics of coastal cod being made up of many different components, and the current division between coastal cod and Norwegian arctic cod is also the right one in the long term. There are issues that the Institute of Marine Research is already in the process of assessing, but it is too early to draw clear conclusions. On the second question, I have not registered any major market problems related to cod caught within 12 nautical miles, so far could not have been labelled with a private eco-label. And I hope that problem disappears right now that we've put in place a reconstruction plan. There were major market problems for all cod in the winter of 2009, but the impression so far this year is that exports are going well and, fortunately, prices are improving.
ParlaMint-NO_2010-10-29.ana.ud2117e184	I thank the Minister for the answer. Although we do not now experience a difficult market situation, there has been a problematic market situation for cod, and it is an explicit objective for Norwegian fishing industry and fisheries policy to become the world's leading maritime nation. In that I also add that we will be so good that we will be able to get out of the market as much as possible. Obviously, the more we can do with products that get an environmentally conscious market, the higher the price we can get for the products. Therefore, work on eco-labelling and on making sustainable management visible is so important. I record that we have put in place a reconstruction plan, but it can quickly become a boomerang if it suddenly turns out that we have local populations that we have not managed. And on some fjord populations we actually have a little bit of poor control today, not because the professional fishing takes out too much fish, but we have other actors who come in today and tax these stocks. In the tourism industry, we have a growing segment called tourist fishing, and we have increased recreational fishing. Therefore, it is important to note that the recovery plan now under way, with the definition we use in coastal cod, can quickly return to the industry. That's why the proposal to look at the fjord system and then clearly distinguish what's happening on the outside, maybe a very good proposal. I think that must be right when we know that we have large populations of coastal cod that are fishing both inside and outside of 12 miles. When we know that these are populations that are walking, we can also initially conclude that there are populations that are not at risk now. So if we don't make the stock assessment, it can react to the production and the products we have from the market. The result may be that we lose market shares and get less paid for the products we are going to sell.
ParlaMint-NO_2010-10-29.ana.ud2117e197	The market situation I was thoroughly involved in my article. So far we haven't been able to see that this has influenced the market. But what the interpellant points to is an important point, because there is no doubt that consumers have become more and more environmentally aware. Therefore, action by the authorities is important. But equally important is probably the industry's behaviour at sea. It must be allowed to remember in these days. So I fully agree that extracting the most from the market related to products is very important. Of course, then environmental sustainability is an important element. I think that with product development I also strongly appeal to consumers. That is why I have started a big project in the industry, called ‘Cooperation for work in the marine food industry’, where we are just focusing on turning to the market. Then the interpellant is in on an important point, namely, recreational fishing. In some local areas, there is no doubt that it also has a significant impact on native fjord cod populations. For this reason, action has also been taken against that part of the industry. It is important that all those living on the coast, both industry and residents, feel that the measures will be fair, that everyone must be involved in taking their own decisions. There is no alternative to implementing measures. Thinking that this is going over is the least good way to choose. So what has been done with regard to recreational fishermen, and taxing the coastal cod locally, is among other things. that we have reduced the amount of nets allowed for recreational fishing of cod from 210 to 165 metres from 2011. So the amount of yarn you're allowed to use is reduced. Then we have also reduced the fishing opportunities for cod for marketing. It shall be limited to NOK 1000 per exercise and per vessel from 2011. So it's a half of what you're allowed to do today. Today you can pick up 2,000 kg and sell and get paid for it. We know that there are also restrictions on what tourists are allowed to bring out of the country. We can be honest that it might be harder to control than the behavior they have at sea. The cooperation that the fishing industry has had with the tourism industry in order to gain knowledge and good attitudes that this is an important resource, including for the tourism industry, I think is important, which, hopefully, can contribute positively.
