ParlaMint-BE_2021-04-22-definitief-55-plenair-ip099x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2021-04-22-definitief-55-plenair-ip099x.u2	Prime Minister, the situation is still serious. With more than 900 people in intensive care, it is impossible to reopen everything now. We all know that. The Horeca knows it and the event knows it too. But it is no longer possible to continue this way, with sector-by-sector closures and openings. We must move on to a place-by-place opening, under penalty of widespread stalling. At the bottom, that's what you started to do with the Horeca and the terraces. I ask you today to make the same effort for culture and events. This is a sector which, since the beginning of the year, has already lost EUR 41 million. It's a boiling area. You may have seen the planned demonstrations: more than 80 cultural places have announced that they will take action from 30 April. It is a sector that has been making proposals for serious health protocols for months, taking into account the seriousness of the health situation. These protocols have remained a dead letter so far. I think it's time to listen to them. To put it simply: if we are able to open terraces to relieve the Horeca, we must be able to open air-conditioned showrooms in order to relieve culture and events. This will not only be positive for the sectors concerned, it will contribute to the good mental health of the population. The same applies to fair and exhibition activities. According to some information, a protocol specific to the forest sector is under consideration, but we do not know any more. Prime Minister, why have the test events we've been talking about for so long not yet been put in place? Why do we have to wait hard next week for this to happen? What about the specific reopening protocol for fairgrounders and exhibitors? Will there be financial support for the event sector and for the economic activity of fairgrounders and exhibitors in case, unfortunately, they should be kept closed?
ParlaMint-BE_2021-04-22-definitief-55-plenair-ip099x.u3	Madam President, Mr De Smet, we are indeed moving towards a new phase in crisis management. In the first wave, our answer was to stop society in its entirety. In the second wave, we focused more on certain sectors. Today, during this new phase, crisis management consists of allowing the resumption of activities outside the country from 8 May, if the situation continues to evolve as it evolves today. In this new phase, we are focusing on risk management, which should allow activities to take place, but above all, that these activities can continue to take place, even if at some point the epidemiological situation is to deteriorate, which is still possible. Crisis management is based on protocols and working methods that we know much better today. The second element is the vaccination campaign, which offers us stability. According to the figures published yesterday, 70 per cent of the population over 65 years of age in our country received the first dose of the vaccine, representing 27 per cent of the adult population. This has an effect, which will further accelerate in the coming weeks. The goal is clearly to allow us to lead a more enjoyable life, with more freedoms, but also a safe life. That is the balance we are seeking to achieve. With regard to the support measures, as you heard yesterday, a package of support measures was announced. Some of these measures are clearly aimed at the cultural sector, in particular the decision to lower social charges on the re-employment of people who are now temporarily unemployed. These measures apply to everyone, and I believe that the cultural and event sectors would be the first to benefit from them.
ParlaMint-BE_2021-04-22-definitief-55-plenair-ip099x.u4	Prime Minister, thank you for your reply, especially on aid. I would like to stress that this is not just health and economics. By opening a few doors, for example air-conditioned theatres, as there are a large number of them in our country, where events could be organised, as is the case in Luxembourg, Portugal and other European countries, we also give a little air. As you know, even without any British variation, before the beginning of this third wave, we were still on a plateau. This means that membership is lost. This means that even without the variants, you have too many events, too many people who do not respect the health rules. With the opening of the terraces as for tomorrow, I hope, if you go in that direction, with the opening of some cultural places, say that we not only participate in the economic relief of these sectors, we also participate in the health fight against the virus.
ParlaMint-BE_2021-04-22-definitief-55-plenair-ip099x.u5	Prime Minister, spring is gaining strength and the sense of terraces is getting stronger. The vaccination strategy is also really starting to run at full power. The vaccination rate of 70% for our seniors will be reached. The higher the vaccination rate, the more we can hope for a quick return to normal. Hope, look for, desire, for sure. We must, of course, keep an eye on the figures, Mr Dedecker. After all, they need to get better. The opening of the terraces is currently planned for 8 May. Tomorrow the Consultation Committee will meet and there will be some pertinent questions: how many people can we sit on a terrace; until what time can we do that; with whom can we sit on a terrace. Mr Minister, I would like to make one case here, both for the catering industry and for the customers, keep it simple and keep it logical. No one benefits from complicated rules. Entrepreneurs need clarity, not additional burdens. Prime Minister, whatever the decision of the Consultative Committee will be tomorrow, we can say that there has been a great deal of work for the catering industry, thanks to you, thanks to your MR Minister for Small and Medium-sized Enterprises and also thanks to the commitment of the sector organisations. After all, the latter referred to the package as historic last night. We have always said that we would continue to support the most pleasant sector of the country and yesterday you kept your word. Prime Minister, I have two questions. Firstly, what is the situation with regard to the procedures for reopening the sector? Secondly, yesterday you came up with a historic package of support. However, this will not be enough on the road to full reopening. Can you confirm once again that the government will not abandon the sector?
ParlaMint-BE_2021-04-22-definitief-55-plenair-ip099x.u6	I am shocked because yesterday at the committee you made it appear that you are the only one concerned about the health situation. You find it strange that questions are being asked about the measures taken. I was even more surprised when you said yesterday that you did not actually have any scientific evidence for the measures taken. You don't have that evidence, and that's why you and your government are pursuing a trial and error policy, each time you pull something new out of the top hat. We also saw this when shopping by appointment where you promoted the shop clerks to secretaries who had to write down their name and telephone number at the entrance to the store. Also for the catering operators it is particularly acidic if you cannot demonstrate the effectiveness of the measures, especially now that the virus has not been unknown for a year. A donkey doesn't hit the same stone twice. The madness is unbridled. One can invite 10 people at home, but if one arrives too late from the café or restaurant, one has to leave in groups of three. You can invite whoever you like at home, but if you go to a café or restaurant, you can only do so with the family. Because of the fickleness of your coalition partners and the fact that you are changing perspectives like underwear, you put the catering industry in its shirt, not to mention the discussion about the closing hour that is currently being fought out in the media. What about the opening date and closing time of the catering industry on 8 May? Do you maintain it or withdraw it again? Will you correct the unlogic around the bubbles at home and the terraces?
ParlaMint-BE_2021-04-22-definitief-55-plenair-ip099x.u7	Madam President, Prime Minister, yesterday, a €835 million envelope was released by the government to help the Horeca. This is obviously an excellent thing. In particular, VAT is reduced to 6%, including for alcohol. That's great news for coffee makers. The ONSS discounts, the double right bridge for the month of May, even if the terraces are open, and other measures that are extremely positive. I sincerely welcome the work that has been done by the government, including the independent minister, Mr.Clarinval. These measures are extremely positive. They were expected and important. But they will only make sense, Prime Minister, if we really allow them to reopen, to work. Otherwise, they're not on the road. It will indeed be necessary – and I hope you will confirm this – for the terraces to reopen, but above all under what conditions? Will we be able to enjoy a service at the restaurant at night? Are we going to be able to get together in the Horeca with our entire family? Or are we going to have to have separate bubbles? These are fundamental questions, just a few days from a reopening of the terraces. We really need to give clear indications, because without normal and acceptable conditions of reopening, it will not be tenable, especially since a majority of restaurateurs have announced that opening only the terraces would be insufficient to be able to hold the head out of the water, and therefore they would not reopen. It is really necessary, and I am counting on you for the Codeco of tomorrow, to announce even more positive measures to be able to continue to believe in this general reopening of the Horeca on June 10. It's really fundamental. Thank you very much for your answers.
ParlaMint-BE_2021-04-22-definitief-55-plenair-ip099x.u8	Thank you for your questions. The Consultative Committee will make the decisions we took on Wednesday more operational tomorrow. Don't expect new measures to be announced tomorrow or new relaxations will be announced. On Wednesday, together with all the governments, we decided on the route. Now we must go a step further, Mrs Reuter, and decide in detail how we will organise the activities outside, which we expect to be possible from 8 May. We will also decide which course we will take in the field of events and the cultural sector. From next week there will be test events. It has never happened since World War II that the catering industry has been closed for so long. Its opening, outside, is now being prepared by a lot of entrepreneurs. We too, the customers, are actually preparing for that. The government has, of course, seen that this sector is in a particularly precarious situation. That is why the government has decided to release a large part of the 835 million euro package for the catering industry and businesses with a long-term reduced level of activity. I would like to take this opportunity to go a little more into the measures: - reduction of VAT from 12 % to 6 % for meals and from 21 % to 6 % for beverages. This gives immediate oxygen to entrepreneurs as soon as they start; - exemption from the annual contribution of the holiday money. Avoiding these costs at a difficult time of opening will specifically help those who restart; - a boost for re-employment with a reduction in social security contributions; not only for the Horeca but for all the companies that make a difficult choice today, to take over someone who was unemployed in technical terms, while saying: "I'm going to start working again but I'm going to have to take over this entire wage burden". This reduction in social security contributions will be welcome. This has been the subject of close consultation with the sector, and it is of course a pleasure to see that the sector has responded very positively to the measures taken. This shows that if we work together and understand each other well, we can get very far in our country. In parallel, the double bridging right remains valid, as the government has decided, also for the catering business that reopens. That makes sense, because the catering business only opens outside and under certain conditions, which means that in some cases the activity will be severely limited. The aid will therefore continue to apply logically. The reopenings will take place on the basis of a protocol. It may be a restriction on activity, so we still have to provide the necessary financial support. Everyone's looking forward to the re-opening steps. Those steps of reopening are very clearly set out. First, during the month of May, we reopen outside, because it is safer outside. Then we give perspective, from June, to be able to re-open inside and eventually also with larger numbers. These measures must make our lives more enjoyable and freer. We've been looking forward to that for a long time. It is possible to do so in a perfect balance with safety: a more pleasant life, but at least an equally safe life. This means that we will do so gradually, step by step, as we must maintain that shaky balance. The situation in our country is much better than in other countries. That is the merit of our entire population. I think that we are now entering a stage in which we can go a step further, but we are calling on the common sense of everyone to do so with caution and not to waste or throw out what we have achieved by returning to a dangerous situation. The vaccination campaign gives us solid ground, stability. In our country yesterday we reached the 70 per cent vaccination cape of those over 65. This means that this whole group will be protected in the coming weeks thanks to immunisation. It means that today, 27% of the adult population has been vaccinated. This puts us in the sixth place in Europe today for the first vaccination syringe. We are one of the better countries in Europe and we are showing that we can perfectly manage the organisation of such complex operations. I would like to make another last call: get vaccinated! It is an individual choice but as soon as you do, the sooner you will be free and, above all, as soon as possible you will give freedom to others and especially to the young people who are waiting for this moment.
ParlaMint-BE_2021-04-22-definitief-55-plenair-ip099x.u9	Mr Prime Minister, I would like to thank you for your very detailed answer, in which you spoke not only about the catering industry but also about vaccination. It's a good thing you've gone into that, too. Everyone agrees that the Catering Organizations had very important and very legitimate questions. With the historic package, these are not my words and not the words of Prime Minister De Croo but of the sector itself. With the temporary VAT reduction, including on alcohol, the exemption from the holiday allowance, the reduction of the RSZ contribution and the flexible student jobs, we do not abandon the catering sector. Tomorrow, you will return to the table with your colleagues from the federal government and the state governments to make the right decisions in the general interest, including on and for the catering sector. The vast majority here in the Chamber supports your policy. It is only through responsible action that we will find the way out of the current crisis.
ParlaMint-BE_2021-04-22-definitief-55-plenair-ip099x.u10	Prime Minister, I take the state of health of our people seriously, just as I take their freedoms and the economic situation of Flanders seriously. You have not only given the catering sector a shock effect. You have electrocuted him with fickleness, lack of leadership, illogical measures that have no scientific basis and a communication that is not unambiguous. How can you count on understanding of the population? How can you count on the understanding of the catering sector for your measures, when your measures are loose ends and your coalition partners are drumming around to send contradictory statements to the world? The Flemish Interest requires efficient and targeted measures, which work. Prime Minister, take up the glove and stop playing with the feet of the catering industry.
ParlaMint-BE_2021-04-22-definitief-55-plenair-ip099x.u11	Prime Minister, thank you for your answers. As I said, these extremely important measures were expected and will give a little air to the horeca sector. Vaccination is accelerating, so we can slowly see a more favourable horizon and begin to give these famous perspectives to the still closed areas. I ask you, of course, to keep in mind tomorrow the possibilities for this sector, so that it can work and so that its activity and reopening on 8 May will be profitable. I also ask you to keep in mind those sectors which are waiting to be able to reopen, in particular the event or the culture, in order to allow them to prepare themselves and to have guidelines and guidelines in order to make the necessary adjustments and investments for a safe reopening.
