Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-02-24-definitief-55-commissie-ic384x	ParlaMint-BE_2021-02-24-definitief-55-commissie-ic384x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-02-2021	2021-02-24	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBleekerEva	De Bleeker, Eva	U	-	
ParlaMint-BE-en_2021-02-24-definitief-55-commissie-ic384x	ParlaMint-BE_2021-02-24-definitief-55-commissie-ic384x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-02-2021	2021-02-24	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2021-02-24-definitief-55-commissie-ic384x	ParlaMint-BE_2021-02-24-definitief-55-commissie-ic384x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-02-2021	2021-02-24	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBleekerEva	De Bleeker, Eva	U	-	
ParlaMint-BE-en_2021-02-24-definitief-55-commissie-ic384x	ParlaMint-BE_2021-02-24-definitief-55-commissie-ic384x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-02-2021	2021-02-24	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DepoorterKathleen	Depoorter, Kathleen	F	1971	
ParlaMint-BE-en_2021-02-24-definitief-55-commissie-ic384x	ParlaMint-BE_2021-02-24-definitief-55-commissie-ic384x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-02-2021	2021-02-24	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2021-02-24-definitief-55-commissie-ic384x	ParlaMint-BE_2021-02-24-definitief-55-commissie-ic384x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-02-2021	2021-02-24	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
ParlaMint-BE-en_2021-02-24-definitief-55-commissie-ic384x	ParlaMint-BE_2021-02-24-definitief-55-commissie-ic384x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-02-2021	2021-02-24	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2021-02-24-definitief-55-commissie-ic384x	ParlaMint-BE_2021-02-24-definitief-55-commissie-ic384x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-02-2021	2021-02-24	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	BayetHugues	Bayet, Hugues	M	1975	
ParlaMint-BE-en_2021-02-24-definitief-55-commissie-ic384x	ParlaMint-BE_2021-02-24-definitief-55-commissie-ic384x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-02-2021	2021-02-24	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VermeerschWouter	Vermeersch, Wouter	M	1984	
ParlaMint-BE-en_2021-02-24-definitief-55-commissie-ic384x	ParlaMint-BE_2021-02-24-definitief-55-commissie-ic384x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-02-2021	2021-02-24	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
ParlaMint-BE-en_2021-02-24-definitief-55-commissie-ic384x	ParlaMint-BE_2021-02-24-definitief-55-commissie-ic384x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-02-2021	2021-02-24	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	MatheïSteven	Matheï, Steven	M	1977	
ParlaMint-BE-en_2021-02-24-definitief-55-commissie-ic384x	ParlaMint-BE_2021-02-24-definitief-55-commissie-ic384x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-02-2021	2021-02-24	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
