ParlaMint-BE_2021-07-07-definitief-55-commissie-ic544x.u1	I refer to my questions before the introduction.
ParlaMint-BE_2021-07-07-definitief-55-commissie-ic544x.u2	Mr President, I shall confine myself to the questions. Do you think it is right that the body concerned should be able to assess the scientific nature of the researched activities? What about the autonomy of the officially competent bodies? Do the Belgian tax auditors have enough knowledge of R&D to judge this? What is the impact on companies' willingness to invest? Is there not a fear of negative tax consequences? I think that question is very important. BELSPO and the FPS Finances use several formal elements which make the necessary administration not uniform. Let's just say that's a federal problem. Are there plans to address the lack of uniformity and disagreement, if so which? If not, why not? What is the difference between sectors? How come the recoveries are no longer in line with each other? Why is there a difference? This is the icing on the cake in the number of checks between different regions of this country? Secondly, are there any plans to reform the R&D tax support measures? If so, which one? If not, are you considering proposing or defending such plans? Are there plans to address the complex and time-consuming administration needed to apply for aid, such as better guidance or simplified documents? Have you already had contact with the Secretary of State for Administrative Simplification, Mr Mathieu Michel?
ParlaMint-BE_2021-07-07-definitief-55-commissie-ic544x.u3	Mr De Spiegeleer, the necessary research and development knowledge is available at BELSPO, which was therefore involved in the control procedure for the measure. Administrations are obliged to make documentation deemed useful in the context of tax audits available to tax control officials. The R&D information of the companies in the context of an advisory request may be addressed to BELSPO. In addition, BELSPO shall review the information made available by undertakings in accordance with the requirements of Article 257. These are the starting dates and planned final dates of the projects or programmes and the nature of the research activities. Both the National Bank of Belgium and the Planning Bureau have established a correlation between the measure and the increase in R&D intensity in the companies in their analysis of the effects of the corporate tax relief. BELSPO is committed to applying the regulations in a congruent and unambiguous manner. The explanatory memorandum to the Law of 17 June on Tax and Financial Provisions requires consultation and the establishment of a procedure for the notification of R&D projects and programmes. As a practical procedure, BELSPO has distinguished between structural R&D programmes and punctual R&D projects and as such communicated to the sector through the VBO, Essenscia, Agoria and other social partners. During the notification, companies may plan a meeting with BELSPO, e.g. confidential R&D data can be explained orally. As I mentioned earlier, BELSPO checks whether all the information has been transmitted, as required by Article 275.3. Where appropriate, it should have the information supplemented orally or in writing. In other words, companies will also be given, if necessary, the opportunity to supplement the information already entrusted to BELSPO in complete confidentiality. BELSPO does not know the reason, but a number of West Flemish technology companies have asked BELSPO for a binding opinion on the years when the unpaid corporate tax was recovered. The recovery decisions are taken by the FPS Finance and the organisation of the checks rests with the FPS Finance. BELSPO participated in a proposal of the Federal Science Policy Council amending the R&D company tax measure. The aim of the proposal was, among other things, to define the concepts more clearly. The requests for advice from BELSPO in the context of the innovation deduction and the corporate tax relief for R&D are optional. In other words, the administrative requirements for applying the measure are very light. However, measures which, at user's discretion, can be applied without prior administrative approval often prove to be the least legally certain in ex post controls.
ParlaMint-BE_2021-07-07-definitief-55-commissie-ic544x.u4	Mr Secretary of State, it was a very comprehensive answer. You have already stressed the problems of administrative simplification. I remember, in particular, that the matter is being carefully examined by your services and that work is being carried out on it. We will continue to follow up on the file.
ParlaMint-BE_2021-07-07-definitief-55-commissie-ic544x.u5	Mr President, Mr Secretary of State, one of the measures in your National Plan for Recovery and Resilience is the fiscal reform of fossil fuels. Experts in our country have long been calling for a shift from labour charges to taxes on, among other things, the environment and taxation. We read in the recovery plan that savings and new revenue from fiscal reform will also be accompanied by a social accompanying policy. This will reduce direct costs for citizens in the short term, while in the long term there will be benefits from climate mitigation. On that aspect of your plan, I have a number of questions, which I am trying to put together here. Firstly, the plan provides for a tax-driven instrument to reduce the consumption of fossil fuels. Is this a carbon tax, of which the National Bank of Belgium also advises us to introduce it? Then why is that term shunned in your plan? Do you consider that term to be somewhat sensitive? Secondly, will that reform be prepared by the end of 2023 or will some aspects of it, such as the phasing out of certain fossil fuel subsidies, be introduced sooner? I am thinking here of the favourable VAT rate for coal, but also of the various subsidies for fossil fuels recently mapped out by the FPS Finance. Any early reforms could also be part of the Action Plan on phasing out fossil fuel subsidies, which will be drawn up according to the National Energy and Climate Plan in 2021. How do the dates mentioned in the recovery plan and in the Climate Plan compare or how can you reconcile them? In Germany, a carbon tax on buildings and transport has been in force since early 2021. How do you assess the arrangements they have worked out? Do you believe that the Belgian deficit which we will then have in relation to countries such as Germany will make it easier for us to increase the price of emissions? The European Commission plans to develop a European carbon tax, including for buildings and transport, as part of the Fit-for-55 package. Is there any thought today about the domain of the fiscal steering mechanism, which will be developed in 2023? Will that be wider than the two sectors of buildings and transport? Finally, how many other Member States are considering introducing a tax-driven mechanism, such as a carbon tax, as part of their recovery plan? Can other countries' plans serve as a source of inspiration for our country? Is there also consultation and cooperation outside the European Union to coordinate the mechanisms? That's a lot of questions. I'm curious to hear your answers.
ParlaMint-BE_2021-07-07-definitief-55-commissie-ic544x.u6	Mr President, Mr Vanbesien, your question is certainly very interesting, because our country is indeed facing major challenges in terms of taxation and certainly in terms of green taxation. Green taxation will play an important role in our transition and in the speed with which we can tackle that transition. The broader fiscal reform, as discussed earlier in the committee by Minister Van Peteghem, includes, among other things, the important pillar of green taxation. The reform you mention here, the fiscal reform of fossil fuels, is included. As with the broader fiscal reform, it requires extensive preparation. Over the next two years, various studies, analyses and projections will analyse the impact and effects resulting from the possible fiscal measures. Only at the end of this process can my fellow Minister Van Peteghem really define the reform and we will submit a proposal to the government. As with the broader fiscal reform, the proposal is expected in the second semester of 2023. As such, we have also submitted this to Europe in our plan. I cannot give you a more comprehensive answer, as this needs to be looked at in the context of the broader fiscal reform of Minister Van Peteghem.
ParlaMint-BE_2021-07-07-definitief-55-commissie-ic544x.u7	Mr Secretary of State, thank you for your answer. We will certainly follow that up with Minister Van Peteghem, but since it will also be reflected in your recovery plan, I would also like to hear your opinion. After all, we all know that we have no time to waste if we want to keep global warming under control. We are already seeing many consequences of climate change today, sometimes here, but much more often in other places in the world, because there are reports coming in day after day. We all know what the target is, but it is not obvious to take the necessary steps. That is why it is important that your recovery plan is fully committed to this objective, as is the fiscal reform of Minister Van Peteghem. We must use this momentum to make progress. In that you will have our full support.
ParlaMint-BE_2021-07-07-definitief-55-commissie-ic544x.u8	Mrs Dierick, thank you for the congratulations you have given in your question. I would like to point out that the submission of the plan is the result of excellent cooperation between all entities in Belgium, both the regions and the federal level. This undoubtedly shows that we are able to work together to achieve a common goal within our respective competences, and I am very pleased with that. I can confirm that the Recovery and Resilience Facility (FHV) is a performance-oriented instrument. In other words, the payout will depend on the achievement of quantitative targets and qualitative milestones. I want to make it clear that the objectives relate not only to reforms but also to investment projects. There is therefore no conditionality between reforms on the one hand and payments for investment projects on the other. The procedures for monitoring the FHV were broadly established by the Council of Ministers and the Consultation Committee of 30 April 2021. It is now up to each entity to assume its responsibility in implementing the projects and reforms that fall within its competence. I hope that the commitments made by the various parties will be specified in a cooperation agreement on the implementation of the FHV, along the lines of the SURE programme. The EU Council Implementing Decision sets out the milestones and targets very clearly. We intend to submit two payment requests next year. The first could come in next spring. Until then, we must ensure that all milestones and targets are met by the fourth quarter of 2021. The Chair will make a small table available to the members of the Committee with the milestones of the fourth quarter of 2021. This will give you an example of the milestones. In order to ensure transparency towards citizens and Members of Parliament, information on the monitoring of milestones and targets of PHV projects will be posted on the website to be operational by the beginning of next year. I am also committed to presenting to the European Commission the state of play in the implementation of our plans with each payment application. That can certainly happen in this committee.
ParlaMint-BE_2021-07-07-definitief-55-commissie-ic544x.u9	Everyone is pleased that we have received such good news that we can get 5.9 billion in support from Europe. It is important that we get to work now and that we effectively implement everything we have proposed. These are therefore large-scale investment projects, but also a number of major reforms, including pensions and taxes. That won't happen overnight. However, we must do everything we can to ensure that this is done effectively. It is important that the deadlines are met in order to get the necessary money out. I also look forward to the table on milestones. It is a good thing that you will be returning regularly, especially to the Committee on Economics, Consumer Protection and Digital Agenda, so that Members of Parliament can properly follow up on the relay plan and objectives. I look forward to the presentation of the first results.
ParlaMint-BE_2021-07-07-definitief-55-commissie-ic544x.u10	Mr President, Mr Secretary of State, it is a troubling opinion that we have read on 29 June, from the Central Economic Council and the National Labour Council concerning the negotiation of management contracts for SNCB and infrabel. They are surprised that this document makes no mention of an extension of railway infrastructure. Both councils do not see how the government could manage to double the volume of goods transported by rail – an objective announced in the government agreement – without extending the rail network. The reasoning seems logical. The National Plan for Recovery and Resilience contains three railway investment projects for a total amount of €365 million over a six-year period (2021-2026), i.e. around €61 million per year. The amount is relatively modest compared to the "ordinary" federal allocation for rail investment of EUR 1.7 billion per year, which is not enough to preserve the existing infrastructure. In addition, of the €365 million, only 180 are likely to be used to develop the network. In fact, 15 million are for Smart Mobility projects, 75 million are for improving the accessibility of railway stations and 95 million will be for speeding up infrastructure renewal. An audit showed that 20% of railway assets have already exceeded their expected lifespan. Secondly, it turns out that a good part of the remaining EUR 180 million will be used to finance projects that were already planned. For example, for the project called "EuroCap-Rail" to link the three capitals of the European Union at a speed of 160 km/h, the work financed under the recovery plan is, in fact, part of an extensive programme to modernise the Brussels-Luxembourg axis, which started in 2007. I can also talk about the layout of the Ciney station and the re-electrification of the line to go from 3,000 volts to 25,000 volts that were already announced in the 2019 annual report of Infrabel. Mr Secretary of State, what will be the impact of the recovery plan on rail traffic? By what percentage will it increase passenger and freight traffic? Does the government plan to finance new rail investments outside the National Recovery and Resilience Plan? For what amount?
ParlaMint-BE_2021-07-07-definitief-55-commissie-ic544x.u11	Mr President, Mr President, I thank you for your question and for your concern – which I share – for the rail network, which is indeed one of the keys to achieving the ambitious decarbonisation objectives we have set ourselves. Belgium has one of the most dense railway networks in the world – this is the result of our history and, among other things, our industrial past – and of a very high level of electrification. This is a major asset for the mobility challenge in our country. One can therefore question the modal share of rail, which remains low and, in any case, certainly lower than its potential: 10% for freight and 8% for passengers, according to the figures of the Mobility FPS. In Belgium, the issue is not so much an extension of the network – which would consist of additional infrastructure – given its density for a country of a relatively small size, but rather a better use of the infrastructure and capacity already present. The investments we have identified and prioritized, in agreement with Minister Gilkinet's office and the public railway companies, are part of this vision. As a whole, they contribute to an increase in the capacity of the railway system, not necessarily – I agree – through the construction of tracks, but by means of other levers just as indispensable: to increase the length and weight of trains, to withstand a higher rate, to increase the reference speed, to reduce operational stops en route, to plan train paths without crossing trains to avoid delays, to make the management of the network more flexible in order to favour additional routes. On the other hand, I can confirm that all these investments are additional, as none of the successful projects had already received the required funding. Of course, and as you pointed out, many of them were already known and even prepared on a technical level. We know that these are often projects that require complex engineering. Therefore, in order to achieve a better post-covid impact, we are required to develop projects of high maturity – as requested by the Commission – so that they can be implemented in 2022-23. As a result, some of them were known and mature, but were not the subject of a financing reservation. Translating each investment into passenger and freight growth rates is a difficult, if not impossible, exercise, as it requires anticipating demand effects that are difficult to assess – particularly from the point of view of technical modelling. However, I refer to the government agreement that announced its ambition to double the volume of goods by 2030. Some studies show that this is possible. Minister Gilkinet also stressed his willingness to provide passenger ambitions figures as part of his 2040 vision. I agree with you that the RRF budget of EUR 365 million will not be enough to finance all the necessary investments. However, we must welcome the fact that rail absorbs almost 30% of the federal resources of the National Plan for Recovery and Resilience, which illustrates the importance that we, the government and I, attach to rail infrastructure. In broad terms, here are some of the investment pockets that are planned under the RRF. A whole series of renewals and modernizations will be carried out in 2021 and 2022 to increase transport capacity. Indeed, significant speed and load limitations related to infrastructure conditions are being imposed today. EUR 10 million will be allocated for the digitalisation of traffic. This concerns projects mainly at Infrabel which allow the use of certain digital levers to fluidize traffic, which will lead to an increase in services, frequencies, tonnage and passengers. As regards freight, EUR 80 million is foreseen for projects at the strategic corridors of the Alpine Rhine and the North Sea axis in order to allow trains of up to 750 metres of freight. EUR 20 million is earmarked for projects in Brussels, in particular for upgrading tunnels and certain level crossings and allowing for the proliferation of frequencies. A further €75 million is planned for the accessibility of railway stations. A minimum of 250 stations will have to be accessible by 2030. Through the RRF, 25 additional accessible stations are funded between 2022 and 2024. Finally, changes will be made on certain lines, notably the Brussels-Luxembourg axis, to increase the reference speed to 160 km/h and to improve the robustness of the line by €70 million.
