Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic497x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic497x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ReuterFlorence	Reuter, Florence	F	1969	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic497x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic497x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MichelMathieu	Michel, Mathieu	M	1979	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic497x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic497x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ReuterFlorence	Reuter, Florence	F	1969	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic497x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic497x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic497x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic497x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VerhelstKathleen	Verhelst, Kathleen	F	1969	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic497x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic497x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MichelMathieu	Michel, Mathieu	M	1979	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic497x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic497x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic497x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic497x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VerhelstKathleen	Verhelst, Kathleen	F	1969	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic497x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic497x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	VerduycktKris	Verduyckt, Kris	M	1977	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic497x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic497x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MichelMathieu	Michel, Mathieu	M	1979	
ParlaMint-BE-en_2021-06-02-definitief-55-commissie-ic497x	ParlaMint-BE_2021-06-02-definitief-55-commissie-ic497x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-06-2021	2021-06-02	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	VerduycktKris	Verduyckt, Kris	M	1977	
