ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u1	We will begin our meeting. Welcome, colleagues.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u2	Mr Secretary of State, this issue is high on the agenda. We saw the terrible floods in Wallonia and also a piece in Flanders. Everyone sees that there is a need for help and that additional investment is needed for reconstruction. The question is how exactly this will be organised and paid for. You have proposed the creation of a new EUR 1.2 billion flood fund, of which EUR 600 million would be paid by the federal government. I would also like to draw your attention to a number of other issues in the news, for example the fact that Jan Jambon, the Flemish Prime Minister, has made the offer to grant a loan or guarantee on very favourable terms. I would like to stress that these are two separate discussions. I can see that they are mixed up in the media, but these are two completely different things. The loan concerned earlier the talks between the Walloon Government and the insurance sector. Among other things, the insurance sector has proposed to prefinance a number of cases at a rate of 0 %. The story of the Flemish government is more in that context. Your proposal is about something completely different. It's about the flood fund. A number of newspaper articles show some uncertainty about your proposal. I have the impression that your proposal is being read in two ways. I do not want to put words in anyone's mouth, but I have the impression that a group of people is reading your proposal as a blank cheque, suggesting that EUR 600 million is given from the federal budget that can somehow be used in Wallonia, especially by the Walloon government. Other people, I belong to, read the article differently. You seem to be in favour of conditionalization of aid. So you want to attach a number of conditions to the project that would be set up. It is about the duration of the project, the nature of the projects, but also about their follow-up. At the time you talk about a period of five years. What's the deal with that, exactly? Should the projects be launched and completed within five years? As regards the demarcation, you say in the newspaper that it should be about public infrastructure with national utility. I think you're conditioning the support there. You say that the money can only be used for public infrastructure of national use, but it is not quite clear what you mean by that. What kind of infrastructure are we talking about? Is it effective about large infrastructure that is a federal competence? We read that you also mentioned, for example, schools, which are a regional competence. What exactly is the division of labour? What is the relationship with the Europeans, and with the 1.2 billion or 1.4 billion for additional investments? What's the exact scope? Is there effective some kind of conditioning? Isn't it? My final point concerns the follow-up. You suggested that a follow-up committee be set up, with a maximum of four people per Entity. One per state and one of the federal government, I suppose. I wonder how you guarantee that the follow-up will be sufficiently professional and independent. Politicians have to make policy choices, but they should not do project management. That's what professional people are doing. My impression is that you are making a proposal which is actually in line with the rest of your projects. You will receive European money, which will be used for a particular purpose. Conditioned. Linked to a number of reforms. Followed up by a European Expert Committee or another expert committee. It would be nice to see whether it is a blank cheque or not.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u3	Thank you, Mr Loones, for your question. First of all, I would like to thank the Flemish Government. There is the political context. There is the very difficult situation in Wallonia. This is a sign of solidarity from the Flemish Government, and we would like to thank the Flemish Government for that. The issue is currently being discussed within the government. The precise details of this cooperation mechanism still need to be specified. We did indeed have a proposal which was discussed today. There are many opportunities to show solidarity from the federal level. The basis of the reasoning is as follows: after an initial analysis, the Walloon Commissariat for Reconstruction estimated the overall amount of post-flood reconstruction to be approximately €4 billion all entities, including the federal but also the Communities (e.g. schools and cultural institutions). It seemed to us, in particular by looking at the situation in other federal states, that in general, as in Germany, for example, as a result of the floods, the Federal Government has borne 50% of the infrastructure expenditure of the Länder concerned. You're an expert in institutional construction. One federal state is obviously not the other. For example, in the United States, following Hurricane Katrina, a form of solidarity at the federal level was expressed, regardless of institutional construction. Indeed, it can be seen that, particularly in the case of these floods, the European level, which is in no way competent for natural disasters, has expressed solidarity from a political point of view, but also from a financial point of view, through an intervention by the European Solidarity Fund. It therefore seemed to us legitimate, knowing that the Walloon government would intervene in a consistent manner, which is quite normal since things are very much within its competence, and also knowing that solidarity will be expressed at European level, that solidarity also takes place at federal level. On this basis, several mechanisms have been evaluated, including a proposal for intervention which we have made concerning infrastructures of national utility, as mentioned, in order to find a hangover that can be formulated in a cooperation agreement. This proposal is now being discussed within the government, knowing that other modalities are on the table. These are evaluated. We must not focus so much on the mechanism, but on political expression. In a federal state, from the moment when solidarity has been expressed at European and regional level, in the face of large-scale unanticipated events, solidarity must be expressed. I want to say, no matter what. In order to paraphrase an English quotation, I think that we will always face institutional constraints. Mais comme on l'a vu pendant le covid: "If there is a will, there is a way." It's a message we want to send. This solidarity must be expressed, regardless of the institutional means. In fact, I think that the budgetary conclave of the next few days will be important to see to what extent budget porting is possible and what the modalities are envisaged. I can reassure you that the various modalities are being discussed at the very moment when we are meeting to examine the extent to which this solidarity can be expressed.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u4	Minister, I understand that it is not about the purpose but about the means to be used. You just want to give the political signal that we are considering a system for investing in the most affected areas. Whether this is done through the mechanism you are proposing or another mechanism is not the core. However, I am still hungry for an answer to my fundamental question as to whether, apart from the mechanism, conditions are attached to the receipt of federal money. In Europe, for example, when the corona crisis broke out, a support mechanism was installed, but conditions were attached to it immediately. For example, a Member State must specify, and you are the co-author of the relay plan here, what the money is spent on, and that cannot be done at all. A percentage should be allocated to green projects and digitalisation respectively, and it should be demonstrated that reforms are being carried out. The more fundamental question is therefore whether the flood aid mechanism follows the same dynamic and is therefore partly conditioned or whether the beneficiaries expect a flow of money. We will establish the answer to that as soon as the talks in the government are concluded. With this you already know the sensitivities.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u5	Mr Secretary of State, together with the Minister of Finance, you have launched the Belgian Recovery Fund, which is expected to raise up to 350 million euros, including 100 million public money from the Transformation Fund. This money will be managed by the French asset management company Tikehau Capital and will be used for equity investments in private companies, among others as part of the energy transition. You yourself acknowledge that the Belgian investment plan from the European manna is largely insufficient to meet the government's own target of 4% and 3.5% of GDP by 2024. Why put public money in private capital? That's the first question I'm asking myself. Moreover, it is public money managed for the private and private sector. Why don't we give this mission to the SFPI, whose job is to choose Tikehau Capital, a company founded by Antoine Flamarion, former director of Goldman Sachs, an investment bank involved in a series of scandals, and having among its shareholders Bernard Arnault? As far as Bernard Arnault is concerned, I have been looking into his case for a short time since I had already revealed in 2012 the creation by this French billionaire of a private foundation in Belgium for the purpose of succession planning and its massive use of notional interests in Belgium. This subscriber to tax avoidance who had also applied for Belgian nationality had been pointed out for a false domicile in Belgium. It was through a criminal transaction that he was able to escape a trial in our country as a result of these misappropriations. It can be said that it is not really to this kind of character that one wants to confide the taxpayer's money. We have the impression that that's what we're doing here. Bernard Arnault, or his lieutenants in any case, will be responsible for managing the taxpayer's money. I also note that Tikehau Capital was founded in 2004 with the initial financial support of the late Albert Brother who, besides being a business partner of Bernard Arnault, built his fortune through policies that I call public finance looting policies. We know the files: Cockerill Sambre, Fortis/BNP Paribas or abroad, Quick, Petrobras in Brazil, etc. Therefore, this is not a very reassuring lineage for a project involving public funds. Rather than placing this public money in private companies, is it not better to invest it in projects over which the State exercises control? Why not let the SFPI allow these funds to be managed? Finally, don't you think that Tikehau Capital's profile is quite doubtful? Should we let Bernard Arnault and his lieutenants manage the Belgian taxpayer's money?
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u6	I missed you, Mr. Van Hees! It's a great pleasure to see you again after the summer. I will now answer your questions more seriously. In early September, the Minister of Finance and I launched the Belgian Recovery Fund to support our economy and strengthen businesses after the corona crisis. As you said, up to EUR 350 million will be made available to improve the solvency of companies that were healthy before the corona crisis. It is a rescue fund – hence the name "recovery" – designed to strengthen the solvency of companies that have been affected by the health crisis. He's responding to a certain urgency. This is why it was set up in record time to help companies whose needs are absolutely urgent. Mrs Houtmeyers, you asked about the operation and objectives of this fund. The Belgian Recovery Fund will have two sources of funding. There will be 100 million euros from the FPIM through her subsidiary Relaunch. Furthermore, there will be up to €250 million from institutional investors. In concrete terms, the Belgium Recovery Fund will support companies that meet the following cumulative criteria: they are companies established in Belgium or with a significant share of income and activities on Belgian territory, employing more than five full-time equivalents, which were healthy before the covid crisis – i.e. they were not experiencing substantial difficulties and had positive net assets before the covid crisis, at the date decided on 31 December 2019 – which can demonstrate the credibility of their business model in the future and integrate a transformational dimension of the economy (enhancing employment, contributing to the transition to meet the major societal challenges, etc.). Companies in any sector can apply for support from the Belgian Recovery Fund. Moreover, it is clear that those which do not meet the European ESG sustainable investment standards are excluded. In response to Mrs Houtmeyers' more precise question, the notion of "zombie company" is therefore not taken up as an excluded criterion. We have drawn up the list of eligibility criteria - which I have just listed - that seem relevant to us in order to identify the right candidates for this fund. The investment amounts will be between 5 and 20 million per company. It is difficult to give a precise answer to Mrs Houtmeyers' supplementary question concerning the number of companies that could be supported by the fund. However, if this amounts to between 5 and 20 million from a fund containing 350 million, then 17 to 70 companies can be supported. I come to the question of Mr. Van Hees. After a consultation that involved more than forty fund managers across Europe, it was indeed Tikehau that was appointed to attract institutional investors and to assume part of the preparation of the management of fund files. The Federal Société de Participations et d'Investissement (SFPI) and Tikehau have extensive expertise and experience in supporting business financing. The binome seems to me perfectly equipped to implement, in an emergency, what the government has decided through the Belgian Recovery Fund. Mr Van Hees, you are wondering about the opportunity to rely on Tikehau. From a purely organizational point of view, it should be noted that when the decision was taken on May 25, 2021, the SFPI had only about 20 employees, including fewer than 10 investment portfolio managers. We have therefore been forced to strengthen very strongly, in the short term, the analytical capacity. This should be done, among other things, to ensure that public funds are best spent on companies that really need them, which create jobs in Belgium, but also to avoid what is sometimes observed when there is public investment, i.e. the effects of a boon and the misuse or misuse of public funds by private companies with certain deviances. I think that we share the same objective. I agree with you on the need to strengthen the "muscle" of the SFPI. For us, it has a very important role to play in the image of what other sovereign wealth funds are doing in Europe. This is why, in parallel with this effort, a recruitment plan has been validated by the Board of Directors, particularly at the level of the Relance subsidiary, to strengthen the SFPI in its missions. Indeed, we are forced to rely on short-term external expertise because there is an urgent need to invest, but we are well aware of the need to strengthen the organization of the SFPI to make it a real sovereign fund. Tikehau has been selected for his expertise in the instruments that are targeted, notably in subordinated debt, convertible debt and equity, and his knowledge of the Belgian fabric within a process that has put in competition more than forty fund managers. He is an actor who has proved his worth in other mechanisms of the same kind in Europe, whether in Spain or France. In relation to what you say about Bernard Arnault, let me correct you by stating that it is a fake news. While Bernard Arnault is indeed a minority shareholder in Tikehau, Tikehau is a group owned by its founders. Bernard Arnault has no direct or indirect control over Tikehau. Nor is it in the governance bodies. As far as Albert Frère is concerned, I would like to join you in the historical analysis. This has greatly occupied my intellectual consciousness, being myself from Charleroi and having observed the steel industry. But I think we're a little far away from these considerations today.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u7	I am convinced that it is absolutely a good and necessary initiative and that it will save and benefit many companies. I am a little concerned about the control mechanisms that are being built in. As with, for example, all expenditure or all aid that has already been granted, it is absolutely important to check that this is done properly and that there are no malicious companies among them. You don't want to completely rule out these zombie companies. The risk remains that these healthy companies will be dragging along. That's how they all go down together. Then we get a domino effect, combined with the fact that we're not sure that we'll ever see the money that's being spent again and be repaid. I am absolutely curious about the mid-term evaluations. They're probably gonna happen all the time. I'm sure I'll be happy to follow this up.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u8	Mr President, Secretary of State, this tendency to invest in the private sector is a whole part of your policy. You say that this is an emergency fund to help businesses that need it most, but the Transformation Fund is not limited to that. Other means of this fund are allocated to the private sector: the public investment plan itself also often involves private companies, and I have already had the opportunity to tell you that. As for the choice of Tikehau Capital, you say that it is a big company - just like Goldman Sachs, one of the creators of which also had great expertise to manipulate Greece's accounts, among other things. I doubt that's the kind of expertise we need. Compared to Bernard Arnault, you confirm that he is a shareholder, albeit a minority, of this company. I can assure you that a shareholder of this size weighs his weight in a society. I'm not going to sue you for intent, but I think you need to be vigilant yourself. I believe that you are in part because you have resigned from certain bodies, such as the trilateral or the Foundation of the Brother Family that we have just talked about, when you became Secretary of State. That's a good thing. I hope, however, that this "reflex" which is to forge this kind of connection, you have made it self-critical and that you have moved on to another stage of your political vision. Indeed, I think it is the kind of conflict of interest that can cause serious problems.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u9	Mr Loones, you had two questions. I assume you'll put them together.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u10	Mr President, did I have two questions? I thought I only had one on the subject.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u11	There's two of them with me.
