ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u1	If the questions are put briefly and forcefully, they can only increase the quality of the debate.
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u2	Madam Minister, on 30 November, you would normally deliver to the Council of Ministers the full report which, according to the coalition agreement, you had to submit in order to evaluate whether the selected CRM projects were to be abandoned in terms of security of supply and price effects. There are already many coalition partners who have indicated that they are looking forward to that report, in order to determine to what extent the extension of 2 gigawatt nuclear power should or should not take place. You have already made a small presentation to the press about the first part of your report. You have noted that this was not the only thing you wanted to evaluate. In the meantime, I have been able to read some of the other parts of your report. There are still a number of questions open. Can you indicate what elements will be included in the evaluation to ensure that a right choice can be made? Is the report also officially delivered to Parliament? There are mitigation measures, in the sense that other measures would be taken to tackle the problem of the Vilvoorde power station and possibly the Les Awirs power station. However, both the CREG and you have always said that they are not yet available. So the question is: what is the state of the art of this exercise? When can you explain it to Parliament? Finally, what is the calendar for the final decision by the government on whether or not to extend 2 gigawatts of nuclear energy?
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u3	Following on from Mr Wollants' question, I had also tabled a question on the key step, especially since last week one of the chairmen of a majority party put a proposal on the subject again. Pretty late, but okay. His question was, if I understood them correctly, whether we could take between 10% and 20% of the capacity of the two potentially renewable power stations in state hands. He wanted to put the proceeds into an energy poverty fund. This discussion was partly discussed when we talked about high energy prices. We then looked at the nuclear interest rate, which was halved in the previous legislature. I had some questions about that. I have seen the first reactions of the operator, who was not very enthusiastic, but I would also like to hear your response to that proposal, Madam Minister, with regard to nuclear interest.
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u4	Much has already been said in recent days about the evaluation report on security of supply. A number of notes were also worked on within the government. Last Friday they were on the table at the nuclear cabinet, to see how we should deal with the two youngest nuclear power plants in the future and what buttons should be cut. The various reactions in the press indicate that the positions are very far apart. Mr De Croo has also been sent into the field. He's gonna talk to the manager, Engie Electrabel. What is the meaning of that? What about the permit for Vilvoorde? Is that why there is still disagreement at the moment? Does this also have to do with the fact that there is still much to auction in the coming years? What conclusions does the government draw from the report? What impact does this report have on the lifetime extension of Objective 4 and Tihange 3? What are the main concerns of the government? What decisions are being made? What is your response as Minister of Energy to your own government's proposals on the nuclear energy of the future, the SMRs? Yesterday, a colleague made it clear that SMRs should be part of the relay plan.
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u5	Madam Secretary, last year there has been an incredible amount of work done. The CRM was successfully completed for a price lower than expected. Furthermore, several studies that come together in the report of the FPS Economy show that security of supply and cost reduction for citizens are thus guaranteed. These are two important elements that were included in the coalition agreement. However, there is still a question mark in the file, in particular the gas plant in Vilvoorde which was not licensed. In your note to the government last Friday, you put some possible scenarios on the table. Now it is basically that the government, as set out in the coalition agreement, must take a decision on the basis of the facts that are now before us. Which scenarios are the most plausible to deal with the problem of the unauthorized power plant? Is the government ready to make the decision? If not, what elements are still missing in order to be able to conduct the debate properly?
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u6	Mr President, I would like to ask you about a point of order. Is it possible, in the course of a topical debate, to speak at the time of the replies if no question has been asked?
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u7	You can only speak once, either at the time of the questions or at the time of the replies.
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u8	All right, Mr. President, I will reply after my colleagues.
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u9	Mr President, I understand that I have to choose to take the floor when asking a question or reply. I choose to do that with the replies.
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u10	One speaker may speak per political group.
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u11	Mr. Cogolati, do you also reserve yourself for the reply?
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u12	Mr President, this is a dilemma: will I choose the question or the reply? I'm still going to go for the first one.
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u13	Normally, it's one speaker per group. I do not have a problem with this if it does not involve colleagues. But let us be brief and concise!
ParlaMint-BE_2021-12-07-definitief-55-commissie-ic635x.u14	Mr. President, don't worry! The government agreement is extremely clear and very good at the work. In one year, the least we can say is that the minister has not been unemployed! The CRM has been approved by the European Union and the first auction is a success - we talked about it just two weeks ago in our Energy Committee. We know Elia's green light. Kris Peeters said, "No, the light will not be extinguished in 2025." The approval of the Electricity and Gas Regulatory Commission (CREG) is known. The price study commissioned at the University of Caen is also known, and it is therefore known that the impact on the cost of electricity, both for households and for businesses, will be marginal. Finally, we also see the report issued by the Energy Administration. So where are we now? Finally, aren't all the cards here? Minister, I am sorry to answer the question at the same time as I ask it, but don't you have all the cards in hand to allow the government to move forward and provide full clarity to investors? When we talk with energy investors, all of us have been asking us for years to stop the procrastination of the past and finally to make a clear and clear decision to offer them a real investment framework for energy transition in Belgium after 2025. This is a huge challenge. Secondly, there is also an issue which is perhaps a little less discussed but which concerns me very much in a personal capacity because I live in the Tihange region: employment. I know that an extraordinary business council was held this morning with Thierry Saegeman, the boss of Engie Electrabel's Nuclear Business Unit, who gave social guidance and who said that jobs would be fully maintained until 2027, but that all people over 45 could finish their careers. How many jobs will be maintained throughout the dismantling phase? Often the closure is associated with a social bloodbath, but in fact it is not really a closure but rather a conversion. We are going to move from nuclear power generation to a very important process, an unprecedented project in Belgium, namely dismantling, and I really think that this must be a priority and a win-win at the same time social and economic.
