Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	MetsuKoen	Metsu, Koen	M	1981	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DHaeseChristoph	D'Haese, Christoph	M	1967	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	ZanchettaLaurence	Zanchetta, Laurence	F	1972	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DepoortereOrtwin	Depoortere, Ortwin	M	1970	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	GabriëlsKatja	Gabriëls, Katja	F	1975	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	DAmicoRoberto	D'Amico, Roberto	M	1967	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	MoyaersBert	Moyaers, Bert	M	1980	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VerlindenAnnelies	Verlinden, Annelies	F	1978	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	MetsuKoen	Metsu, Koen	M	1981	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DepoortereOrtwin	Depoortere, Ortwin	M	1970	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2021-03-23-definitief-55-commissie-ic422x	ParlaMint-BE_2021-03-23-definitief-55-commissie-ic422x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-03-2021	2021-03-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
