ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u2	I propose that you devote one discussion to these three bills. I propose that a single discussion be devoted to these three draft laws. [[Assent]]
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u3	The general discussion is open. The general discussion is open. The rapporteurs are Mr Steven Matheï, Mr Marco Van Hees and Mr Thomas Roggeman, as well as Mrs Sophie Thémont, Mrs Cécile Cornet, Mrs Anja Vanrobaeys and Mrs Kim Buyst.
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u4	Madam President, before we begin the sitting, I would like to say the following. We have received an e-mail from the services stating that the amendments must be tabled before 08.30 a.m. this morning. In terms of intent, we would certainly like to go along with that, but I do not rule out the possibility that the debates still give rise to amendments. We reserve the right to submit them. I believe that this can be done perfectly, but as a starting point we want to stick to the deadline as far as possible.
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u5	No problem, Mr. De Roover. Mr Matheï, would you like to speak for the report?
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u6	Madam President, I refer to the written report.
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u7	Thank you very much, Mr Matheï.
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u8	Madam President, ladies and gentlemen, the twenty minutes at our disposal are absolutely not enough to fill in the policy of this government. Fortunately, my colleagues will soon have the opportunity to discuss specific issues. I shall therefore confine myself to a number of main points. A budget is the policy reduction for the coming year. That is why general political considerations are appropriate here. A first observation, Prime Minister, is the amateurism of your government. That has also been shown today and this week. Your government specializes in submitting urgent proposals because the work is always very late. There are still numerous amendments to this. If we then request a technical note, we will receive pages from your services that contain comments and contain formal errors. The situation is so bad that the law will not even be able to adopt various provisions within the normal time limit. This is, of course, particularly alarming for the quality of legislation and regulation, and it is contrary to your intention to conduct policies in a better way. Luckily for you, that may remain outside the dome of this organ rather unnoticed. A second observation is the lack of coherence in your team. Where is the time you referred to Michael Jordan? I don't think you're gonna do that today. Working together would be the way to good results, so you showed quite lyrical. In the meantime, we can see that the opposition is quite unemployed. We sit in the gallery week after week watching the groups of the majority fly into each other's hair, if that is not the case by party chairmen. That lack of coherence, of course, has everything to do with, to describe it positively, the wingspan of your coalition, which means that you often have to reconcile water and fire. That cannot be done, and that leads to great indecision in your government. This indecision also sometimes translates into false pretences in your policy. Let me give you a few examples. The flight tax sounds like a climate measure, a measure to ensure that people adjust their behavior and fill in more ecologically. At the same time, we note that you have entered the proceeds into your budget and that it is in reality a flat tax measure. Each specialist will tell you that this measure has no behavior steering effect. So you are talking about a climate measure, but in reality it is a tax measure, of which we still do not know what is happening. You are again increasing excise duties on tobacco. At the State of the Union, you asked me if I didn't agree that smoking is unhealthy. Yes, I agree. That's one of the reasons why I quit smoking. Many others have already done so. Of course, you have not taken a health measure, but you have taken another tax measure. Its revenue is entered in your budget. So you're counting on people not to quit smoking. In fact, you should write on a pack of cigarettes: 'Smoking is good for the budget'. After all, you are taking advantage of the proceeds of your excise duty increases. Once again, this is a policy of pretences and false argumentation. All that is used for a tax shift. The Christian Democrats are very happy to deal with this. In the future, the solidarity contribution will be reduced by around €6 per couple and per month. That's not so spectacular. I recommend all those who enjoy this tax shift to realize that every time they take a plane, they pay their own tax shift. This amounts to EUR 150 million in a total amount of EUR 1.2 billion, which represents more than 10% of the solidarity contribution financed through citizens' efforts. I have another proposal for a tax shift, namely the fight against tax fraud. Last week in this gallery, for fans of the genre, it gave rise to entertaining scenes. In fact, it has come so far that in the following days the Minister of Finance has flagged back the Minister of the Interior on the National Security Plan and the place of the fight against tax fraud in police work. The fact that both ministers are from the same party was a novelty: we had not yet seen them start to bake. If we then ask the Minister of Finance whether he has realized the 200 million entered in the 2021 budget, the answer is that it is not really possible to estimate it and it is difficult to put a figure on it. However, that is not difficult, because in this budget you have turned the 200 million into 400 million. So you do have a number on it. Mr Prime Minister, if I believe for a moment that you will succeed in bringing in the 400 million - despite the fact that we are dealing with this - through the fight against tax fraud, I would really like to urge you not to use it to increase your revenue from the government, but to use it for a tax shift. We would then get the 400 million from people who have been so naughty so far not to follow tax legislation. It's a good thing you'd have a law and order policy there, too. But why do people who pay their taxes correctly not have the right to extract 400 million tax relief from them? Why don't you write that 400 million anti-fraud into an equally large reduction in your income tax? At that time, there is, firstly, a tax shift which is much larger than the one which is so eager to be unpacked today, but, secondly, the good taxpayers are finally rewarded for following the legislation properly. In short, there is a huge contradiction in your government and it leads to a lack of long-term vision in many areas. I could mention nuclear energy, which will certainly be mentioned a great deal today. I understand that you have made an attempt until last night to finally reach the point where it was promised that this would have happened at the end of November. Something very special is happening there. A few weeks ago you asked who was surprised by the letter from ENGIE stating that an extension could no longer be possible. Anyone who believes your coalition agreement was surprised at that. After all, your coalition agreement states that it was still possible in November. In the meantime, your coalition will continue to work on that. Tonight at one o'clock, you broke up on the matter. There are two more details to settle: security of supply and cost. I think these are the things the people at home are awake about. Will their lamp stay on and at what price? You don't have an answer to that. This is therefore a fundamental failure of your government in a fundamental task of a government, namely to ensure that people can see their lights on affordable and forward-looking. There too, your government is failing miserably. Another issue is pensions. Is Mrs Lalieux still in your government, Prime Minister? We haven't heard from that in a while. In September, she said that she submitted her retirement plan because the government agreement stated that she had to do so in September. That's the last we've heard of it. She was criticized on all sides. You then said that you would finally come up with a pension plan in the autumn. Today is the shortest day of the year and the longest night, Prime Minister. Maybe you could use that long night to cut some buttons in your government after all. People are awake from that retirement plan. How insured is the pension? To what extent will that have a budgetary impact? If we do not find any trace of this in the budget, this means that you do not seem to have any spectacular plans for retirement in 2022 either. Do you have a plan? Or is the only plan to postpone the plans until it is probably too close to the elections to do anything in that area? Surely it is a fundamental failure, Prime Minister, if you do not have a pension scheme worked out? Then I come to the point of safety. I still have a long list, so I'll hurry. Whatever one thinks of the government, it's a government task to have a well-functioning, wide-ranging police force. We note that the Minister of the Interior has forgotten to provide for the budgets in the budget negotiations in order to meet the wishes of the police unions, at least in part. As a result, negotiations are now under way with a shift of resources within the Interior. Should the Minister reach an agreement with the trade unions, but she is still a long way from it, other police resources will have to be taken away. That also means that tomorrow we will have a police budget that will probably go up to 100 percent. Perhaps we will then have to take away the water guns from the children if we are going to work to put something in the holster. You haven't made any budgetary arrangements to put police forces in order. Against the background of the last two years, the policy of health is something that is of interest to all of us. Your government, and in particular your Health Minister, is very strict on the citizen, but unfortunately less strict on himself and on this government. If a booster campaign - enormously successful thanks to the efforts of many volunteers and local authorities - is launched too late, then that is a failure when it happens in the fourth phase of a crisis. If you delay too long to shorten the time limits for the booster shot, that is a policy failure. An even more important policy failure is that your Health Minister, and therefore your government - when everything is said in the newspapers about the coronavirus every day - has still not come up with the idea of emergency planning. How are we going to deal with this on top of regular care? You have the very strange idea that normal, regular care should suffice in an extreme crisis. What are the contingency plans for a fifth wave? That can be achieved, let us have no illusions about it. Then how will you scale up? Prime Minister, if regular care is to be postponed today because the health system cannot handle it in a fourth wave - in a first or second wave that could still be understood - then your Health Minister will fail in his basic mission, namely to ensure that every citizen can receive normal and guaranteed care. Your government is failing in this respect, and this budget gives no indication that you have experienced a real organisational emergency. Against the backdrop of what we are experiencing, that is annoying. When we talk about a budget, we are talking about health, safety and taxation, but also about income and expenditure. In addition to the other major benefits of an activation policy, good activation policy also has a huge impact on the budget. We should not increase people's taxes, because then more people contribute. The benefits should not be reduced, because there will be fewer people who receive benefits. What have you done and what will you do to stimulate activation? Your President of Open Vld agreed in a debate that I had with him in mid-June 2021, which had been carried out until then on the left-wing agenda and that his party had supported the inactivation in many areas. But there were reasons for that, he said. It had to be for social reasons. However, in the second half of 2021, activation measures should finally be put in place. He put that on TV as well as in interviews afterwards. Six months have passed. A plan had to be drawn up by Mr Dermagne in the autumn. That's exactly what Egbert Lachaert said. So that's now. However, not only is that plan not there, there are no indications in the budget that you have the ambition to do something with it in 2022. After all, it is the 2022 budget that indicates what you will be doing in the coming period. In terms of activation, therefore, we remain completely hungry. Prime Minister, I need my last five minutes of speaking time. What's left of it anyway? What is actually for 2022, on which you can say that the government offers perspective and policies and in which the coalition partners find each other? I am very sorry, but this is not reflected in the overall document, which brings our figures to the lower regions of the European Union and, unlike most European Member States, increases our overall debt even more. At this point, too, your policy is failing across the board. It seems that your government was compared with a Fiat by one of the party chairmen who constantly criticize you, in particular the party chairmen of your government parties. That comparison is very appealing to me. I drive a very small Fiat. But at least the thing's going somewhere. Let me explain to you why. When I get in my Fiat, I'll take the wheel. That's something you don't do. You believe that the technology has already advanced so far that you have a self-driving Fiat and that you do not have to go near the wheel. Prime Minister, your lack of authority is the fundamental problem we are talking about. That is why ministers do not care about even the existence of a prime minister. That is why party presidents afford everything. That's because you have no authority. You had, of course, predicted this; that is one of the few predictions that have been made. You have indeed become the mop of the Rue de la Loi, as you indicated, and it is very strange that you erased those words, which have been so true, from your memory at the time when the chance of the Sixteen offered itself. Today you are also sitting with the fried pears: you are a " sufferer" of a government, of a baking club. I'm quoting another Open Vld'er. Mr Lachaert has just spoken very true words. He said, "A dead body can't be resuscitated." That's what he called a case of therapeutic persistence. I totally agree with him, but he chose the wrong theme. After all, he talked about nuclear energy, which happens to be the most blushing child in the cradle of the future energy mix in every country that is a bit forward-looking, a promising baby, but absolutely not a corpse. However, that baby is being killed in the cradle by the government, which is a huge failure. However, the sentence is correct: a body is not being warmed up, Prime Minister, and your budget is not a budget but a eulogy. You admit numerically that you are unable to give any perspective to the country. We are almost 2022, which is half the normal term of office and everyone knows that if a government wants to do something, it must at least have made the plans in the first half of the legislature. There are no plans now; so all hope is lost that something will actually happen that will at least bring us to the speed of the people where we belong. This must be established today: high prices, including for energy, a supply risk, security structures that are not sufficiently strengthened, a failing health system, fiscal reforms, which are peanuts, and a budget that is heavily in the red, despite a large number of tax increases. Mr Prime Minister, the question of 2022 can actually be summarised as follows: what will your resilience still be in these circumstances, in which you are the punching bag of the whole majority? If I were in your place, I would go to sleep regularly in the evening with the difficult question on the lips whether I would not throw the "mop" in the ring the next day.
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u9	I waited until the end of your speech, for 20 minutes, to see if you would come forward with a concrete proposal for the government. I've waited 20 minutes to find out if you have any alternative or other ideas. I could have waited maybe half an hour or 40 minutes, but I don't know if that would have brought much solace. I have not heard from you any constructive, constructive, positive alternative to our country. It was, in fact, a series of generalities in which you listed the issues on which no agreement has yet been reached, namely pensions, energy, security and police and the core exit. In a relatively short period of time, the government has taken a number of difficult decisions and made decisions in difficult cases, such as the securities tax, the wage agreement, the greening of payroll cars, the distribution of European relay money, renewable energy, wind energy at sea times three. The government has launched a number of important projects. It is true, we are indeed not yet at the end of the ride and there are still difficult knots to cut. However, reform sometimes takes time and the courage to want to reform, to dare, is sometimes not evident. With seven parties this sometimes takes some time and these are sometimes difficult discussions. At the very least, the government tries to cut a number of buttons that have sometimes been waiting for a solution in our country for decades. Part of the explanation why things are sometimes difficult is because the previous government, the Swedish Government, where you were in the cockpit, left those decisions behind. Where was the major pension reform? The nuclear exit, the nuclear exit and the preparation for the future, modern technology, renewable energy, the files have been simmered and abandoned. Now that actually comes on our plate. The slackening, hesitant policy of the past few years is part of the explanation why it is now difficult. I have heard no alternatives, no solutions, negative ones, an opposition unworthy of Parliament.
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u10	A general rule in politics is that someone who has a good file speaks about his own file. On the other hand, when someone asks how the opposition would solve it, it is because he does not have a good file. Today, your government's budget and general expenditure budget 2022 are on the agenda. That is the subject of today's debate. As you know the difficult situation in which you are defending this document, you are trying to change your approach by talking about a topic that is not on the agenda, in particular what the next government in which the N-VA is in will do. If we ever submit a budget again, I invite you to have that debate. However, do not hide behind your own incompetence by throwing the ball in the direction of a group that saw your majority vote on amendment after amendment for a year. That means that every constructive contribution we have made by you was blindly ignored, as a machine your finger automatically goes to the red button. This is not because the N-VA proposal would be bad, but because the N-VA proposal comes from the N-VA. That's your way of doing new politics. It is also the case in all committees. How hypocritical is it then to ask here, in this debate, what is our alternative? Do you really have no argument for defending your own budget? That is the only conclusion we have to make. Soon you will be taking up the stands in an attempt to warm up the body that we have to discuss today. We will, of course, ask critical questions about this.
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u11	Thank you very much, Mr De Roover. No, Mr De Vriendt, you will not have the floor. Your group will now have the floor and the twenty-minute speaking time will begin. I call Mr Vanbesien. (...):(...)
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u12	(...) You are killing the parliamentary debate, Madam President. (...) I ask for a suspension of the parliamentary session. (...) (...):(...)
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u13	If everyone gets the floor for 2 minutes, so 150 times 2 minutes, that would be unreasonable.
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u14	Madam President, I wish to speak. Madam President, I call on all the Members present in the Conference of Presidents to testify, Mr Laaouej, first. He specifically said that any intervention could last two minutes. Madam President, you immediately made a mistake, because that intervention lasted longer than two minutes. Mr Laaouej also said that it should not be the intention to ask for five or six times two minutes, which is correct. However, this is the second intervention and it is already being abandoned. What are we doing here this way?
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u15	What Mr De Roover said is quite right, that is what was said in the Conference of Presidents, to try precisely to avoid an endless and limitless ping-pong, and to avoid – without forcing the parliamentary debate – what happened in the European Parliament. Mr. De Roover is absolutely right. I think we should try to show some respect for each other, as well as temperance. I said I agreed, I can't say more.
ParlaMint-BE_2021-12-21-voorlopig-55-plenair-ip149x.u16	This concludes the debate. I shall therefore return the floor to Mr. De Vriendt, so that he could intervene again, while specifying, Mr. De Roover, that you had more than two minutes to reply to Mr. De Vriendt, and that Mr. De Vriendt had exactly two minutes and five seconds. You've had two minutes and ten seconds, I've got my time in front of you.
