ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u1	Question No 54, by Mr De Pasquale 55014059C, No. 55014361C, No. 55014362C, No. 55014363C, No. 55014364C and No. Mr Boukili's 55014368C were converted into written questions.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u2	We all heard the captivating, poignant story of Hannelore Bedert about all the administrative, financial and legal problems caused by the loss of her partner. She brought to the attention of several issues which, during the first months after the loss of a partner, make administrative handling difficult and thus hinder the grieving process. For some of them, such as pensions and social security, you are not competent, but for some you are. For example, after death, the accounts are closed in a transitional period, including those of the surviving spouse or spouse. On various websites of banks and notaries it is stated that this usually lasts a month, until the certificate of succession can be submitted. However, Mrs Bedert seemed to have taken longer, even a few months. The list of invoices that may be paid from the account is also very restrictive in practice; for example, the cost of caring for children is not taken into account. In addition, it referred to the inadequacy of the funds made available, which may not exceed EUR 5,000, as provided for in Article 1240ter of the Civil Code. In fact, this means that only a maximum of EUR 5,000 can be used during that period to pay all incoming invoices. That will cause problems in practice. Inheritance specialists therefore propose to raise this amount, for example to EUR 10,000. How long does the transitional period last on average and in how many cases does the transition period last longer than two months after the death declaration? What do you think of the list of invoices that may be paid from the deceased's account? Are you considering an extension of the list? If so, what will you add to the list? If not, why are you not in favour of this? Were you already aware of the fact that for many people who lose a partner, the upper limit of EUR 5,000, as stated in Article 1240ter of the Civil Code, is so restrictive that the mourning period is broken by financial and administrative concerns? What is your opinion on the proposal to raise that amount from EUR 5,000 to EUR 10,000? Do you like that proposal?
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u3	Mr Van Hecke, the transitional period referred to concerns the period during which an instrument or certificate of succession is to be delivered. According to Article 1240a of the old Civil Code, the instrument of succession is drawn up by a notary and a certificate of succession is issued by the competent office of the General Administration of the Patrimony Documentation of the FPS Finance or by a notary. In accordance with Article 1240a, the release of goods held by a debtor in good faith, in particular of money contained in a bank account, shall be of a liberating nature to that debtor if the release is made to persons designated by a certificate or an inheritance order. The problem facing a bank after a client's death is, after all, whether a release of money to that person has the value of a liberating payment for the bank, in the absence of which it could be exposed to the fact that it would have to pay a second time. Article 1240a is intended precisely to solve that problem. As mentioned on the website of the FPS Finance under the heading "Deblocking bank accounts" about four weeks should be counted for the delivery of a certificate of succession. As regards your second question, Article 1240ter of the Civil Code was introduced by the Law of 28 June 2009. With regard to the invoices that may be paid with the deceased's accounts, the parliamentary discussions of that law deal with the so-called problem of expired invoices. These are invoices in the name of the deceased dating from before the death. The payment of these invoices may become urgent in order to avoid additional costs, court fees or interest. Moreover, the above-mentioned law provides that the amount referred to in Article 1240ter shall be paid to the surviving partner, without prejudice to the payment of the preferential costs referred to in Articles 19 and 20 of the mortgage law. It is more specific about funeral expenses, the cost of the last illness for a year and a number of costs relating to the deceased's last home, such as bills for utilities, housing rentals or the payment of an ongoing mortgage credit. These invoices may be offered to the bank by the notary or by one of the heirs for payment. The legislator's will was clearly to keep those costs outside the so-called living wage of Article 1240ter of the Civil Code, so that the living wage would not be used to pay urgent debts instead of providing for one's own livelihood. However, as long as there is no final certificate or certificate of succession, care must be taken to ensure that the deceased's assets are covered by a freeing payment. I do not have any taboos on the matter and would like to consider extending the list if there were any other common costs. However, we need to make sure that this will have the desired effect. The list is already quite extensive and we need to check whether the balance between creditors under mortgage law is not affected. As far as your third question is concerned, my administration was not previously informed of the so restrictive nature of the scale of the so-called living wage in Article 1240ter of the Civil Code. Article 1240ter gives the longest-lived partner the opportunity to receive a living wage. The pleading clarifies that this amount is intended to meet the basic needs of the surviving partner. Finally, the first paragraph of that article provides that this sum may amount to half of the appropriations available, up to a maximum of EUR 5,000. With regard to your proposal to increase this limit to EUR 10,000, I would like to refer to the parliamentary work on the legislative proposal for Book 2, Title 3 and Book 4 of the Civil Code, in particular the proposed Article 4.65. This legislative proposal is a codification of the existing texts, but your question can certainly be discussed further in this context as far as I am concerned.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u4	Thank you, Minister, for the comprehensive answer. This is, of course, a complex problem, taking into account, on the one hand, the position of creditors but, on the other hand, the distressing situations that arise in practice. I note that, as far as you are concerned, there are no taboos and that we can review the list. This will have to be done effectively with due attention. You are also prepared to discuss the ceiling of EUR 5,000. That is encouraging and we will continue to do so in the coming weeks and months. For this we can also consult experts and seek advice. We really need to take this to heart, because the poignant situations that sometimes occur now are too bad not to make appropriate analysis and, if necessary, to make improvements.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u5	Minister, regardless of what is currently happening in Namur prison, prison visitation rights were slightly relaxed on 1 February by allowing visits by children between 12 and 15 years of age and by allowing detainees and detainees to request a permanent visitor change. This relaxation of the rules in force resulted in a notice of strike by the prison officers' unions, which is a source of concern for various field associations. If strikes were to take place, they would result in the removal of visits, which are essential for detainees to be able to maintain ties with their families. Minister, since the beginning of the pandemic, families and inmates have suffered from a breakdown of direct contact with a spouse, a parent, with children. What initiatives have been put in place to allow for a link in general, and especially when it becomes impossible to do so by removing visits? Have video conferencing systems been put in place, as is the case in some prisons? Do detainees have the opportunity to express their psychological difficulties as a result of the lack of visits? Are these challenges being addressed by mental health professionals?
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u6	Mrs. Zanchetta, the suspension of visits is really a heavy measure that has a strong impact on detainees and their families. I found out for having already made a lot of personal visits to our country's prisons. For this reason, the periods during which detainees were not allowed to receive physical visits were as short as possible. Pandemic management in prisons is aligned as much as possible with external world policy and Sciensano's recommendations. As a result, there were periods during which visits were totally suspended. These periods coincided with periods when severe containment measures were also in place in society. For example, the visits were suspended during the first wave from 14 March to 25 May, and during the second wave from 2 November to 7 December 2020. With regard to the first wave, the rules had been gradually relaxed after 25 May. With regard to the second wave of which we are still suffering the effects at present, the rules have been gradually relaxed since 7 December, but of course keeping all the necessary precautions to protect the health of everyone. During periods of suspension of visits, detainees received a weekly telephone credit of 10 euros on their account in order to facilitate as much as possible social contacts with the family, since almost all now benefit from a cell phone. In addition to the additional call credit, videoconference visits were also introduced from the end of April 2020. This form of visit continued between the two waves and will also continue after the covid-19. To give you an idea of the importance of these calls by video conferencing, I asked my services to compile a count of the number of calls per video conferencing session; they tell me that more than 100,000 calls have already been made in prison. With regard to your second question, psychosocial services and care staff have always been accessible. I would also like to point out that the preparation of the files for appearance before the enforcement court has not been interrupted. The same sentencing court continued its hearings, sometimes even via videoconference, in order to avoid delays as much as possible. These factors have obviously contributed to the reduction of psychological difficulties. In addition, the support services have set up free telephone lines and provided hotlines allowing for specific listening in addition to the one already available via the green numbers that already existed before the pandemic. Religious representatives and moral counselors have also set up such telephone lines. Again, cell telephony has been very useful at such times. Finally, as you can see, both my services and those of the Communities and the Regions have made every effort to accompany prisoners in these times that I know are difficult for all, but which are even more difficult for prisoners.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u7	Thank you, Minister. I note from your answer that detainees are not left on the side of the road, if I may say so. It is well known that, in terms of mental health, everyone can suffer from confinement, but confinement can aggravate the state of mental insecurity in which some prisoners may find themselves. In any case, I am pleased to see that things are being put in place by your services.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u8	Dear colleague, I would just like to add that the strike notice was finally withdrawn by the unions after the good debate we had together.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u9	Thank you for that information.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u10	Mrs Gabriels, can you wait for your combined question with Mrs Van Peel, since so many questions are converted into written questions? I have contacted Mrs Van Peel, but I have not yet received an answer as to whether or not she is asking her question. Debates of the European Parliament 55014542C by Mrs Jadin is converted into a written question.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u11	Madam President, ladies and gentlemen, thank you for your interesting questions. As far as your first question is concerned, the Public Prosecutor's Office does not have any current data on the resources allocated by district for combating trafficking and preventing drug use. However, I can refer you to a "Drugs in Numbers" study by BELSPO which dates back to the end of 2011. I believe it is worth collecting up-to-date scientific figures on the resources allocated to preventing and combating the problem of drugs. I will therefore do what is necessary to update these figures. The fight against trafficking is indeed a joint mission of the customs, customs and prosecutorial authorities. The prevention component is primarily the responsibility of the federated entities. As for your second question, the Public Prosecutor's Office does not have figures for prisoners for the first time and the rate of recidivism directly or indirectly justified by drug use. The collection of such data would require an individualized approach to each case to assess the possible nature of the relationship between drug use and conviction. Moreover, while a large proportion of the prison population consumes or has consumed narcotic drugs, it is generally not directly for this reason that they are incarcerated, but rather for trafficking or common law offences. In response to your third question, as I said last week on the occasion of other questions, and as I have just pointed out, I repeat that justice wishes to assume its responsibility as part of a multidisciplinary approach to the whole issue, in collaboration with the strategic unit in charge of drug policy, which was recently recomposed by this government. This meeting could be an appropriate platform for analysing, without any taboo, the effects of our policy. With regard to your fourth question concerning the drug treatment chambers in each court of first instance, consultations are under way. I announced in my policy statement that I wanted to move forward on this point. This subject has already been discussed in my consultation with the federated entities, since it is a joint mission. The federated entities provide support as part of the follow-up, including medical and social assistance or the houses of justice. With regard to the Justice Department, I will release the necessary budgets to recruit additional staff in order to achieve the objective of establishing a drug treatment chamber in each court. These budgets must first be approved, after which recruitment will follow. Entry into service as such is likely to take place only later. In the meantime, some courts have already taken the initiative, notably in Ghent, Bruges, Antwerp, Charleroi and Turnhout, where the first hearing of the drug treatment chamber will take place on Friday, 5 March.
