ParlaMint-BE_2021-07-05-definitief-55-commissie-ic538x.u1	Mr President, in order to make progress even easier, I will refer to my written question.
ParlaMint-BE_2021-07-05-definitief-55-commissie-ic538x.u2	Prime Minister, I apologize for not being physically present. I'd like to say a few sentences anyway, to update my questions. They were filed a long time ago. My first question was about the list of constitutional articles. The coalition agreement announced that that list would be submitted. We've had to wait for it, but in the meantime there is. However, we have established two things. Firstly, when we questioned the ministers Verlinden and Clarinval about it, there was some uncertainty as to why Article 195 was included in that list. According to Mrs Verlinden, this is to make a major state reform possible. Mr Clarinval was less explicit on that point. The explanatory statement states that Article 195 has been inserted in order to allow a large round. It would be interesting if you could confirm that information. Secondly, we have established that there is a list of five articles which are subject to revision. When we read the coalition agreement, we actually expected that there would be more articles in it. For example, your coalition agreement says that there will also be a reflection exercise on the Senate. But the articles to reform the Senate are not on the list. Your coalition agreement, for example, says that a system with fewer members of parliament will be considered. But those articles aren't on the list either. There would also be fewer ministers. But that's not on the list. Prime Minister, are there two governmental agreements? Is there a coalition agreement for communication, where everything is in it, and an operational government agreement, with the things you will really do? Or is it really the intention to implement everything in the coalition agreement? I hope the second one applies. But I would like to know why the articles are not on the list. I also have a brief question about the preparation, implementation and follow-up of the state reform. We have seen that a number of things have already started. Now there is the relevant committee in Parliament. On the government side, however, I note that everything remains still. There are virtually no institutional staff in the Cabinets. The ministers do not really have any plans to implement the asymmetric policy contained in the government agreement. Hence my third question. Are there two government chords, one that you will perform and one for communication? Or will you effectively ensure that the asymmetric policy is implemented? You are, of course, the prime minister who is the guardian of the totality of the coalition agreement.
ParlaMint-BE_2021-07-05-definitief-55-commissie-ic538x.u3	Mr President, ladies and gentlemen, first of all I would like to address Mrs Pas's question on the Senate. I can formally deny that I wanted to interfere with the Senate's agenda. It is not up to the government to determine whether or not the Senate prepares an information report. However, as always, there have been contacts between ministers and Members of Parliament. I can confirm that I spoke with Senator Anciaux before the plenary in question in January to explain the timing and trajectory of the government in the area of institutional reform. I don't think I've done anything with that that daylight shouldn't be seen. Senator Anciaux himself announced in plenary that he had derived from the reactions of the other groups that his proposal would not get a majority. Then he himself asked for the continuance. I do not think it is unusual for me to give insight into what the government's timetable would be. With regard to the questions related to the preparation of the state reform, the government has adopted a pathway in which a broad democratic debate will be held with citizens, civil society and the academic world. The aim is to create a new state structure from 2024, with a more homogeneous and efficient division of powers, respecting the principles of subsidiarity and interpersonal solidarity. The Ministers for Institutional Reforms and Democratic Reforms have worked out a method and timetable, on which they have provided the necessary explanations in the Constitutional and Institutional Renewal Commission. I cannot add much to what she has already said in this House about the statements made by Minister Verlinden. In the host college, she pointed out the complexity of the current state structure and provided a number of alternatives, without, however, expressing a preference for a particular model. I strongly support this approach, in which we look without taboos at improvement proposals. The same applies to the statements made by Mr Calvo, who advocated a role for Parliament. The government has also taken note of the fact that the Chamber and the Senate have jointly established a joint committee, which was set up to evaluate state reforms. That, too, seems perfectly possible in the forthcoming process, albeit with the remark that it will remain the government that takes the lead in the process. With regard to the question on the list of constitutional articles, the two ministers of institutional reform provided Parliament with a provisional list. The list also contains an explanation, which I think is very clear. She's the government's message. Mr Loones, you are expecting a number of things that you do not see in it. As you know, this is a first communication on the subject. There will then be the dialogue platform. A second communication will be made on this subject at the end of the dialogue platform. As you know, there is also a third time when lists are approved. Ministers Verlinden and Clarinval will report on asymmetrical powers after the summer.
ParlaMint-BE_2021-07-05-definitief-55-commissie-ic538x.u4	Thank you, Prime Minister, for your reply. My question dates back to 1 February 2021. It is true that we have already asked many questions to the Ministers for Institutional Reforms. There is still a lot of flou and little concrete about the timing. We have not yet had an answer to many questions about the timing of the Institutional Reform Ministers. Mr Prime Minister, I also note that your reply contains a number of contradictions. You say, on the one hand, that everything will be dealt with without taboos. You guarantee, on the other hand, all the interpersonal solidarity, read the transfers, which will be retained in 2024 anyway. It's a coincidence. There are still uncertainties. The answers to our questions to the Ministers for Institutional Reform on concrete timing and the way in which this will be dealt with in concrete terms remain flou. I will therefore continue to address them, because I understand that you will not give us any more specific answers. We will certainly follow closely the report on asymmetrical powers in September.
ParlaMint-BE_2021-07-05-definitief-55-commissie-ic538x.u5	Prime Minister, first of all, I would like to thank you for your clarity. You have clearly stated that the explanatory statement on the list of constitutional articles is the government's position. That explanatory statement states that Article 195 may be revised in order to allow for a major institutional exercise. Thank you for that clarity. Secondly, I had some expectations about what would be in that list, even though we know the government's ambition to supplement that list. We had that expectation for a specific reason, in particular an announcement in your own coalition agreement. It is remarkable that a whole series of things are being announced and that you are making progress in some of these matters, while you seem to be parking a different number of things up to some process step or to a dialogue platform saying that the government agreement can also be further operationalised on those points. I think that's a little weird. Thirdly, on asymmetry, it is interesting to learn that after the summer the ministers will present a list or a state of affairs. This is somewhat at odds with the statements made by those ministers themselves. When Mr Pas and I question the relevant ministers, they always refer them to their fellow ministers. The interesting thing about your answer is that you are now referring to the ministers for institutional reform. Perhaps the ministers should agree among themselves to make this division of labour more specific.
ParlaMint-BE_2021-07-05-definitief-55-commissie-ic538x.u6	Mr Gilissen apologizes.
ParlaMint-BE_2021-07-05-definitief-55-commissie-ic538x.u7	Mr President, I refer to my question, which I have already tabled at the beginning of May. I am sorry that we always have to wait so long for an answer.
ParlaMint-BE_2021-07-05-definitief-55-commissie-ic538x.u8	Prime Minister, as my colleague pointed out, the questions were tabled in early May. On 4 May 2021, the Belnet network, which hosts several hundred public institutions, was subjected to a large-scale cyberattack that paralyzed many public services, including the House of Representatives. Prime Minister, a judicial inquiry is under way, but, regardless of this one, I asked you some questions at the time, some of which have received partial answers and others may still be relevant. What preventive measures are being taken to protect the network from such attacks? Are technical developments required to protect our institutions from further attacks? Are there any investments in this area? Has a technical assessment of the attack and its response been conducted? Can you share the conclusions?
ParlaMint-BE_2021-07-05-definitief-55-commissie-ic538x.u9	Mr President, Mr Freilich, Mr Senesael, on the facts, on 4 May 2021, Belnet was the victim of a large-scale DDoS attack. The attack tried to destroy the network by overloading it. The network couldn't handle the big demand. That is why all the institutions connected to Belnet have been hampered. It concerns about 200 organisations, including universities, public institutions and research institutes. They were cut off from the Internet to a lesser or more extent. This translated into the fact that government websites were no longer accessible and, for example, students no longer had access to systems. Belnet immediately activated his crisis procedure and contacted the Cybersecurity Center to get control of the attack. That was the case by nightfall. About the type of attack I can tell you that such a DdoS attack is sent by a botnet, which is a network of globally infected devices controlled by a botnet administrator. Cyber criminals are spreading a botnet virus across the global grid. When a device is infected with a certain botnet virus, the machine is included in the network. So it is technically possible to mask from where the order is given, to launch the DdoS attack. With that, the DdoS attackers don't enter a system. So there's no access to the data. They use such an attack for several reasons. Usually that's to attract attention or to damage the victim's reputation. Due to the unavailability of the website, which is so often visited, such things stand out. Another reason is that the owner of a website or system could also suffer economic damage. Exceptionally, such an attack is also used to mask another attack. About the complaint and the attribution, I can inform you that Belnet filed a complaint with the Federal Computer Crime Unit. A judicial investigation was opened. The Public Prosecutor shall be responsible for the detection and prosecution of such offences. Prosecutor's magistrates conduct the criminal investigation, track down the cybercriminals, and claim a sentence against the suspects in court. The attribution of cyber attacks is a global challenge. The Internet offers many opportunities to remain anonymous. The attribution of a cyber attack with purely technical clues is often impossible for that reason. On 20 May 2021, the National Security Council therefore approved a diplomatic attribution procedure in addition to the new cybersecurity strategy, whereby Belgium can also allocate a malicious cyber activity via political and diplomatic means to a foreign actor, independent of the judicial investigation. Several non-technical elements, such as intelligence and geopolitical factors, are taken into account to attribute a cyber attack. There are currently no indications of a state actor behind the relevant DDoS attack. A botnet, a network of infected computers, can in fact be bought on the darknet. Anyone can buy that and the higher the price, the bigger it is. With regard to measures and investments, in order to avoid a denial of service attack, overload traffic must be filtered. Specialized systems can do this, but the most effective way to do this is to use partners to filter traffic before it reaches the target network. Belnet has immediately increased the capacity of its anti-DDOS system and is planning further extensions. On 20 May, the National Security Council approved the details of a national cybersecurity strategy 2.0. This is the framework for Belgium's cross-cutting approach to cyber threats and cyber opportunities for our country. This strategy must propel Belgium to the rank of the least vulnerable countries in Europe. The approval of the National Security Council marks Belgium's adoption of a new ambitious cybersecurity strategy. The plan is structured around six specific objectives: - strengthening the digital environment and confidence in it; - arming computer and network users and managers; - to protect organisations of vital interest from all cyber threats; - combating cyber threats; - to improve cooperation between public authorities, enterprises and universities; - to make a clear international commitment. The fight against cybercrime and cyber security investments are also one of the main pillars of our country's European Recovery Plan. It involves a total investment of an additional €79 million over the next few years, a considerable increase, bearing in mind that this year we will invest a total of €58.7 million in cybersecurity. We will significantly increase these investments in the coming years.
ParlaMint-BE_2021-07-05-definitief-55-commissie-ic538x.u10	Thank you, Prime Minister, for your answer. It is good that more cyber security is being done. I can only welcome the fact that more work will also be done on cyberattribution. Perhaps that was ignored from a resolution I tabled on this in February, just to make cyberattribution possible, but I will take that up, because I am naturally pleased with the steps that are being taken. I hope that we in this country can truly evolve into a culture of cybersecurity. A few days ago, we heard several guest speakers in our committee about cybersecurity, including Miguel De Bruycker of the CCB, and these hearings show that there is no culture of cybersecurity in this country.
ParlaMint-BE_2021-07-05-definitief-55-commissie-ic538x.u11	Prime Minister, thank you for this precise and comprehensive answer. I would just like to highlight positively the investments you have announced that will be made to ensure our cyber security.
