Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-05-18-definitief-55-commissie-ic476x	ParlaMint-BE_2021-05-18-definitief-55-commissie-ic476x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-05-2021	2021-05-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VandenBerghJef	Van den Bergh, Jef	M	1973	
ParlaMint-BE-en_2021-05-18-definitief-55-commissie-ic476x	ParlaMint-BE_2021-05-18-definitief-55-commissie-ic476x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-05-2021	2021-05-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	ZanchettaLaurence	Zanchetta, Laurence	F	1972	
ParlaMint-BE-en_2021-05-18-definitief-55-commissie-ic476x	ParlaMint-BE_2021-05-18-definitief-55-commissie-ic476x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-05-2021	2021-05-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2021-05-18-definitief-55-commissie-ic476x	ParlaMint-BE_2021-05-18-definitief-55-commissie-ic476x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-05-2021	2021-05-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VandenBerghJef	Van den Bergh, Jef	M	1973	
ParlaMint-BE-en_2021-05-18-definitief-55-commissie-ic476x	ParlaMint-BE_2021-05-18-definitief-55-commissie-ic476x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-05-2021	2021-05-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	ZanchettaLaurence	Zanchetta, Laurence	F	1972	
ParlaMint-BE-en_2021-05-18-definitief-55-commissie-ic476x	ParlaMint-BE_2021-05-18-definitief-55-commissie-ic476x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-05-2021	2021-05-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	DelizéeJeanMarc	Delizée, Jean-Marc	M	1959	
ParlaMint-BE-en_2021-05-18-definitief-55-commissie-ic476x	ParlaMint-BE_2021-05-18-definitief-55-commissie-ic476x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-05-2021	2021-05-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	PillenJasper	Pillen, Jasper	M	1984	
ParlaMint-BE-en_2021-05-18-definitief-55-commissie-ic476x	ParlaMint-BE_2021-05-18-definitief-55-commissie-ic476x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-05-2021	2021-05-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2021-05-18-definitief-55-commissie-ic476x	ParlaMint-BE_2021-05-18-definitief-55-commissie-ic476x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-05-2021	2021-05-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	PillenJasper	Pillen, Jasper	M	1984	
ParlaMint-BE-en_2021-05-18-definitief-55-commissie-ic476x	ParlaMint-BE_2021-05-18-definitief-55-commissie-ic476x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-05-2021	2021-05-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	PillenJasper	Pillen, Jasper	M	1984	
ParlaMint-BE-en_2021-05-18-definitief-55-commissie-ic476x	ParlaMint-BE_2021-05-18-definitief-55-commissie-ic476x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-05-2021	2021-05-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2021-05-18-definitief-55-commissie-ic476x	ParlaMint-BE_2021-05-18-definitief-55-commissie-ic476x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 18-05-2021	2021-05-18	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	PillenJasper	Pillen, Jasper	M	1984	
