ParlaMint-BE_2021-12-22-voorlopig-55-plenair-ip154x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2021-12-22-voorlopig-55-plenair-ip154x.u2	Proposal submitted by: Proposal tabled by: Jasper Pills, Marianne Verhaert, Kattrin Jadin, Goedele Liekens, Michel De Maegd.
ParlaMint-BE_2021-12-22-voorlopig-55-plenair-ip154x.u3	The text adopted by the committee serves as the basis for discussion. (Rgt 85, 4) (2027/6) The text adopted by the committee is the basis for the discussion. (Rgt 85, 4) (2027/6) The title has been amended by the committee to "proposal for a resolution on the development of a Belgian strategy for the Arctic region that is sensitive to the climate crisis and security challenges in this region". The title was changed by the committee to "proposal for a resolution on the development of a Belgian strategy for the Arctic, which focuses on the climate crisis and security challenges in the region." The discussion is open. The meeting's open.
ParlaMint-BE_2021-12-22-voorlopig-55-plenair-ip154x.u4	Madam President, I refer to the written report.
ParlaMint-BE_2021-12-22-voorlopig-55-plenair-ip154x.u5	Madam President, the dossier before us concerns an important area, an area which we should rather not talk about, particularly the Arctic Arctic. That is normally a very nice piece of nature, but unfortunately the ice melts very quickly because of climate change. We can only regret that. I had the pleasure to see some of Mr De Maegd's films as a journalist, which were fantastic images of a phenomenal nature with unique ecosystems that are unfortunately disappearing. The disappearance of ice caps there will have a strengthening effect on global warming. We can only regret these things. The pronunciation one's death is the other's bread, may not be entirely appropriate here, but we are faced with that reality. It means that there will gradually be an area where economic activities can also develop. In particular, this could reduce the northern sea route linking the Asian markets to 40%. Unfortunately, that is a reality. Surely it is important to see what we can do with that. It is the credit of Mr Pillen and the Open Vld Group to see how we can tackle this. Besides, it's all not distant future music anymore, because activities are already being developed. Russia, which controls the area fairly closely, has also noted this. That country, of course, wants to continue to check the area and explore it further. It is important for Flanders as an open economy to investigate which opportunities arise in the light of, among other things, the freedom of navigation and what the consequences can be for our Flemish seaports in Antwerp and Zeebrugge, both in a positive and negative sense. The N-VA thought the original text was rather good, but we regret the adoption of amendments which, in our view, weakened the text and did not change it in the right direction. The main problem for us is that the word climate change, perhaps under pressure from the Ecolo-Green Group, in Ecolo-Green amendment, has changed the word climate crisis throughout the text. I think that's very special. No one disputes climate change, which has been scientifically proven. By the way, we need to talk about climate change and not about global warming, because it is about much more than just global warming, just think about the more extreme periods of drought, extreme periods of rain, extreme cold, extreme heat. Climate change is therefore a very good term, but it had to be replaced by the term climate crisis in the original text under pressure from Ecolo-Green. If one names something as a crisis, that is a subjective assessment. Even if our party determines climate change, we do not opt for a doom scenario. For us, it remains possible to tackle climate change, for example by focusing on innovation and technological development. We will all have to make efforts to do so. On the other hand, the text now reads: 'whereas the climate crisis is a scientifically established fact'. I do not think that a climate crisis can be scientifically identified. We have a fundamental problem with this. That is what we have been talking about in committee. The amendment in question was finally adopted, even though we had not approved it. We have also tabled amendments ourselves and one of them was approved by the majority, which we certainly welcome. The amendment followed the finding twice in the text that the Netherlands had already started studies on the Arctic possibilities in that area. We have gone one step further with the amendment aimed at incorporating Belgian-Dutch cooperation in BeNeSam. Its adoption certainly strengthens the text. Another important amendment aimed at creating a level playing field between the Flemish ports on the one hand and the French and German ports on the other hand, which is why we consider it important to create a level playing field on the other, was unfortunately not adopted. In conclusion, in view of the importance of the area, which must be given due consideration, and despite our comments, which we are grateful for the adoption of our amendment, our group will approve the resolution.
ParlaMint-BE_2021-12-22-voorlopig-55-plenair-ip154x.u6	Madam President, ladies and gentlemen, I would like to thank the author of this motion for a resolution, Mr Pillen, who, like me, is a permanent member of the Committee on Defence and the Committee on External Relations, as I did at the committee meeting. The resolution proposal can be seen as overarching, as it has an impact on both defence and foreign policy. This raises a new issue of great geostrategic importance, namely the Arctic. We could certainly support the initial starting point of the proposal. For example, the text stressed the geopolitical importance of the region for the future because of the raw material reserves and the prospect of new routes between Europe and Asia via the Arctic Ocean, which are tens of days shorter than the Suez route. We also agree with the initial proposal that research and investment in the rapidly changing Arctic are necessary if Europe is not to lag behind Russia. That is necessary, especially when we see how far Russia is in this area, how proactive it is in the field and thus developing economic and military infrastructure in a rotten way. Let us not forget that Beijing considers itself a near-Arctic State. We were therefore pleased that the initial proposal of the Open Vld led to that study of our common European economic and security interests in the Arctic region. Indeed, we need a coherent European strategy, which is still lacking in the area at the moment. With five of the eight Arctic states, we can put the necessary pressure within the Arctic Council, especially on the ground itself, to claim our share of the cake. If we do not do so, our geopolitical opponents or opponents will become stronger and the value they represent on the world stage will become stronger. For us, it is clearly time for geopolitical realism. The present proposal was indeed based on that view. Not only the European Union but also NATO was involved in the proposal in order to achieve better cooperation in the Arctic region. We were able to support this, especially since I have just spoken about Russia, which is very active in the region of the United States at the moment with regard to Moscow, which is still very lagging behind developments in the Arctic. Moscow is developing much more economic activity, such as icebreakers, oil drilling and military infrastructure, than the United States. The Americans have always paid relatively little attention to the area. President Trump has put in a catch-up on the matter, but now it is time for the catch-up, although it should not be in rivalry with Russia. I want to make that clear. This must be done in a spirit of healthy competition and cooperation, as mentioned in the proposal. We are certainly also following the reasoning that our nation itself should follow the developments in the Arctic region with suspicion and always put our national interests first. We talked about the ports. We must not lose sight of this item on the subject. Developing a national polar strategy and incorporating it into the Strategic Vision for Defence seems to us a good idea. When the northern sea route becomes more and more open in the future, there is a prospect of serious economic interests for this country. Just think of a number of dreary giants that our country is rich, not to mention Jan De Zero by name, for example. Everyone knows what I mean. Ladies and gentlemen, as has been said, we in the committee were in a difficult position and are still pressing the list of more than 70 amendments, which were forwarded to us at the 11th hour during the debate in committee. The whole proposal, which was written in an atmosphere of neutrality and healthy curiosity with regard to our interests, was poured into amendments by that laundry list with a sauce of climate hysteria. We can't call that any different. Almost every amendment had to stress the climate crisis as a priority in the Arctic region, Mr Van Bossuyt. This is almost ironic, as just the climate apocalypse of the green parties offers all those economic opportunities by melting the northern ice sea. In this way, shipping routes are opened and raw materials can be extracted. Whether that is good for the climate or not, oil and gas reserves will be exploited with absolute certainty. Russia, China and the United States will certainly not abandon them for climate reasons, be sure. With the EU, do we want to be the pecking dog again, barking on the sidelines, with the moralistic finger, but ignored by the great powers? I don't think so. Unfortunately, the final result of this proposal is that the original proposal indeed showed geopolitical realism, but that this was now washed away by that laundry list of amendments by a purple-green wave of naivety. Mr Pillen, I have already said it in committee, but I would like to repeat it, that is the toll that one pays for being part of this federal, left-wing majority. We can see that not only in your proposal, but in many proposals that pass through the Foreign Office, where that effect is created. Another thing about the amendments that bothered us was that by deleting a number of passages the attention to our national and European interests was wiped off the table by the left-wing parties in this hemisphere. Those passages were about our interests. Apparently it is a purple-green mantra that one likes to shoot oneself in the foot and ignores one's own interests. As far as we are concerned, this is a very bizarre principle. We would be the only country which, either from that attitude or from that attitude, is based on general foreign policy. I'm rounding up. The proposal remains a good start to follow up on these developments in the Arctic region and to invest in them, which is still the merit of the proposal. It has certainly initiated the debate. We have also had interesting hearings on this subject in committee. That debate on the geostrategic commitment and role of Belgium, and on enlargement the EU, in the Arctic area, is there. In this respect, we will support this proposal. As has been said, it remains particularly regrettable that the purple-green amendments have dishonored the proposal. We very much regret that.
ParlaMint-BE_2021-12-22-voorlopig-55-plenair-ip154x.u7	Madam President, Madam Minister, ladies and gentlemen, if Cape Horn, the Suez Canal and the Panama Canal have made the explorers and readers of Jules Verne fantasize, the North Road through the ice has so far been a myth. Theoretically, the journey from Seattle to Oslo is only 6,100 nautical miles, or more than 11,000 km, compared to over 17,000 km by Panama. To reach Rotterdam from Yokohama, it is necessary to travel more than 12,500 nautical miles compared to 20,000 km by Suez. Theoretically, since until recently, the ice covering this area of the globe was impenetrable and covered areas suspected to be rich in raw materials, strategic but untapped. Unfortunately, global warming has a strong impact on ice melting. Looking at a report published by the AMAP, Arctic Monitoring and Assessment Programme, a working group on climate issues with the Arctic Council, it can be seen that the increase in air temperature, +3.1 degrees, recorded from 1971 to 2019, is three times higher than that recorded in the rest of the world, which has already caused significant changes in the environment (the melting of glaciers, the warming of permafrost areas by 2 to 3 degrees, particularly sensitive for the last 20 years, which is also likely to lead to the disappearance of the Ice Sea in the summer. Six years ago, I was fortunate enough to be able to carry out a mission in the Far North, Greenland, within the Arctic polar circle. I flew over this majestic white, single-engined aircraft, the mountainous coasts, the ice cap, this huge flat ice sheet that borders the North Pole. I was able to sit there and see with my eyes the accelerated melting of glaciers, including the Glacier Russell. I met with international scientists in observation on the spot who were already sounding alarm bells in the face of this increasingly critical situation. Among them was Professor David Porter, an American climatologist from Columbia University, who explained to me this intriguing discovery: the waters of the Arctic are actually warmer in depth than on the surface and it is therefore the water of the depths that accelerates the melting of the ice. The layer of ice that is seen on the surface is therefore finally a trompe l'oeil. Global warming is actually accelerating there like nowhere else. In the 20th century, the melting of Arctic glaciers contributed 28% to the global rise in sea and ocean levels, and the phenomenon continues as we speak. Also on the surface, in the summer of 2012, the world's largest island, Greenland, had seen 97% of its surface melt partially. Today, ten years later, inexorably, the situation has obviously become even worse. In spite of this fact, as man is marked by a number of redistributive defects, this area is now the subject of lusts in terms of airworthiness and exploitation of natural resources. In an ideal world, man or what might be called the League of Nations, would have learned from the daily destruction of primitive forests, the dispersion of plastics across the oceans or the depletion of arable land. In an ideal world, man would have decided to sanctify this area of the Arctic and to protect its inhabitants, fauna and flora, and to make the Arctic a good of all mankind and to place it firmly on the path of decarbonization initiated by the Paris Climate Agreement. It has done so in part, by taking measures as early as 2015 to safeguard this ecosystem, to protect the region from marine pollution, to preserve fisheries resources, to facilitate air and maritime rescue operations, and to encourage further scientific research. Unfortunately, the Arctic is also and too often seen through its reserves of gas and oil, its mineral resources (gold, diamond, tin, lead, zinc, nickel, iron or uranium), its waterways of the future that require significant investments, do not hide it, and as a means of making submarines carrying nuclear warheads navigate in complete discretion. Of course, we can hope that the current forums, such as the Arctic Council established in 1996, which we would like to include as an observer, can foster the choice of cooperation for the preservation of this land area, a region outside of conflict, lusts and tensions, but the reality is quite different. The security dimension is reflected in the national Arctic strategies adopted by all major powers, with India being the latest. Five of the eight members of the Arctic Council are members of NATO, which must of course make Russia nervous, which, ironically, has just lost for two years the presidency of the Arctic Council, calling through Sergei Lavrov, for the establishment of a zone of peace and cooperation. Madam President, ladies and gentlemen, Belgium can find itself in Russia's priorities in this region. By relying on the Nordic countries of the European Union or NATO, it can make realistic proposals that will make it more credible to the Arctic Council. A concrete example is the dismantling of the Soviet nuclear submarines, which were crashed and sunk in the Kara Sea, or the recycling of nuclear waste. A conference could be held in June 2022 to relaunch the clean-up programme, which will require substantial funding. Another example is the thawing of permafrost, otherwise called permafrost. This hard surface, frozen for millions of years, inexorably melts on huge portions of territory from the Great North, from Norway to Alaska, through Canada, half of which rests on this permafrost. There are already visible consequences: the collapse of roads, becoming impassable, the foundations of cracked buildings, and the forced relocation of some Inuit villages to the Canadian state of Nunavut where I had also visited. This is only a beginning since the consequences of melting permafrost in the Arctic will be much greater, but to date they are inquantifiable precisely on the acceleration of global warming. Some experts believe that the gases contained in these ices are likely to represent four times as much emissions as human activity has generated since the 19th century. That is to say, if the challenge is large and scattered with unknowns, because, as I said, no one already knows precisely what natural mechanisms will be released into the atmosphere or, on the contrary, will neutralize these huge quantities of gases such as carbon and methane trapped in this famous permafrost. Parliament, through this resolution, ladies and gentlemen, wishes to encourage you to reflect on the Arctic area in parallel with our action in Antarctica. We have the know-how to take the initiative of a reflection within the FPS Foreign Affairs which, quickly, can lead to proposals with partners interested in implementing them. We have a space for cooperation between Americans, Canadians, Scandinavians, Europeans and Russians that could lead to a sound civilian management of Arctic issues. It is a hope, of course, in a period of crisis in international relations. Some observers speak of "a battle for the Great North" or even of "a new cold war" in the proper sense this time. Ecological, maritime, strategic, military, geopolitical issues, what is happening there, it is obvious, will undoubtedly have many consequences here at home. This demonstrates the importance of this text and the need for not only the European Union but also our country as such to join the various bodies I mentioned a few moments ago in order to face these new challenges. History has shown it many times, anticipation is often the best of remedies. We have too often missed this in the past. Even if it is already late, let us anticipate by analysing the attention we need to pay now to the Arctic, let us anticipate by analysing precisely the interests at stake for our country, by analysing all the scenarios for the future and their impact on the world of the future and the next generations. The need for international collaboration around the Arctic is a great goal to be achieved in the implementation of the Paris Accords, which concern the whole of humanity. That is why this fine resolution deserves great attention and support from our Assembly. Thank you.
ParlaMint-BE_2021-12-22-voorlopig-55-plenair-ip154x.u8	Madam President, ladies and gentlemen, the resolution before us, which was also discussed in detail in committee, came at a time when COP26 was held in parallel. When the first draft of this resolution was tabled, we nevertheless drew great attention. We frowned on the fact that at that time all the states were united at COP26 where the sense of urgency about climate degradation was once again brought to our attention. There was repeated the sense of urgency to move towards binding and ambitious targets to further reduce CO2 emissions. Just at that time, this resolution was tabled, starting from a sort of 19th-century security thinking, based on a balance of power and a new disarming and deterrent strategy against the militarisation of the Arctic. In that sense, we were a little shocked. It's a very harsh resolution. However, after the hearings and the 67 amendments tabled by the earlier left-wing, progressive parties of the Vivaldi coalition, that resolution has got a little thawed out, to stay in the jargon of the subject. I admit that the amendments that have been tabled have improved the text. That's right. It's been added to the list. A number of issues are being addressed. Reference is also made to international law. The rights of indigenous peoples are also involved. We know that the Arctic warms up three times faster than any other place on Earth. That's gonna cause a disruption of the systems there. This also causes disruption for the indigenous peoples who are dependent on it. It also causes the rise in sea level. All this is therefore indirectly in the interests of all of us, not only in the interests of the European Union, but not only in our interests. We must not assume a scary militaristic or geopolitical view, as if a new strategy had to be devised within NATO. That would only lead us to another confrontation, to another chapter of the policy of confrontation with Russia, leading to a dangerous reaction spiral of action. That is why we did not agree with the first proposal. In fact, we still cannot agree with the second proposal, although the text has been improved and a number of things have been added to it. Nor can I get the impression that Professor Vijay Prashad was listened to carefully during the hearing, who perhaps also gained a moving insight into perception and communication among certain majority parties. The resolution is now a little more diplomatic and a few things have been added. The sharp rhetoric has been removed. In our view, too much attention is still being paid to the strategic compass, strategy and cooperation with NATO, which, by definition, is based on a certain confrontation. What we need is cooperation, especially in the light of the ever-increasing degeneration of the climate. We need the widest possible cooperation. The most appropriate body to discuss conflicting and often legitimate interests and, in our view, sometimes illegal ones and to defuse possible conflicts on the basis of conflicting interests is still the UN. That is what we are missing in this resolution. There is hardly any reference to the United Nations. As Professor Prashad also said: "We don't need a new episode of confrontation, we need collaboration." No more confrontation, but the greatest possible cooperation. We therefore believe that this is lacking in the spirit of the resolution. People still rely too much on security thinking and the scary economic interests that we think we need to pursue. Just now I heard that it is a part of the Arctic cake that we should seize. I think that is rather cynical, when we really need to ensure that fossil resources such as gas, petroleum and oil remain effectively under the ice. That should be the main objective. I believe that this can only be achieved by sitting together with all the Arctic states in the framework of the UN, in order to take concrete steps and make concrete agreements in a spirit of mutual trust. However, the path to a new confrontation strategy within NATO continues. If I read the resolution as it is now, it will eventually come back to it. We regret that. It is ultimately the climate degenerate that should encourage us to organise, for example, an additional COP around the melting polar ice, with all the states around the Arctic, instead of just departing from those Belgian or European geopolitical and economic interests that will only push us further into NATO's narrow waters. That is a missed opportunity and, unfortunately, we cannot support this resolution.
ParlaMint-BE_2021-12-22-voorlopig-55-plenair-ip154x.u9	"What happens in the Arctic, does not stay in the Arctic," said Norway's former Minister for Climate and Environment, Mr Helgesen. He expressed those words at the NATO meeting in May 2017. The man was more than right. According to the latest estimates, the Arctic region will be largely ice-free by the end of 2030. The impact will be global and therefore certainly not limited to the four million inhabitants of that region. The consequences will also be felt with us. In addition, the Arctic is one of the least explored areas on Earth. Many states will want to claim their share and start exploiting the North Pole. That's the reality, I don't think. That is the reality that is already taking place. However, we must note that Belgium does not currently have an Arctic vision. The DOD's policy statement doesn't say a word about it. The Foreign Affairs Policy Statement talks about Antarctica. That is reasonable in itself, that has to do with historical reasons, but the Arctic is simply not mentioned and has never been mentioned. In this sense, this resolution is a first for this House. We are a little behind in the facts, especially when compared to neighbouring countries, neighbouring countries of the same size as Belgium, which have been working on this for a long time. States such as Spain and Italy, not immediately the states linked to the High North and Arctic temperatures, have been acting for some time in the Arctic Council. Countries of the size of Belgium such as Estonia and the Czech Republic have recently expressed their views as observers to the Arctic Council. The aim of my text is to be aware of the great challenges in the Arctic, but also of the opportunities that the High North can offer us. That is why this text clearly calls on the government to develop this Arctic strategy. I am convinced that Belgium has a great interest in ensuring that the Arctic remains safe and stable. We have to defend our interests in that region, whether you like it or not. We need to be involved in the debates and discussions on, for example, transport connections, we have important ports in our country, and also at global and certainly at European level. We need to talk about the management of energy sources and the potential of renewable energy, for example, in that region. It is only by participating in the debate that we can contribute to keeping the High North safe, stable and peaceful. It is therefore essential for Belgium to apply to become an Acting State at the Arctic Council. If we stay out of it, we won't be able to steer the process. I am pleased that within the Chamber a number of people were quite positive about this text, even more so about the first than about the later one. I see colleagues nodding. Some might say, and I have already heard this remark: what can we, as Belgium, a small country, do there, exactly what can we put on the table in that Arctic Council? These are essential questions which must be answered in the Belgian Arctic strategy. We need to identify our strengths, the assets we have to make an effective Belgian contribution on the basis of a renewed European vision of the Arctic, the things we can make a difference with Belgium. Those are the things that we have to have our government and the Foreign Office sort out. What we do not want, as was clearly stated during the hearings, is that we are making a kind of faint copy of a number of other existing European or national strategic papers. The message I send to the government with this text is very clear: focus on the specific Belgian capabilities, find niches in which we are strong and map them out because in the Arctic there are economic and scientific opportunities for our country. A few weeks ago, Belgica II, also by some called Belgica III for historical reasons, arrived in Zeebrugge. Our country is a strong player in the field of windmills or projects in the blue economy. That too has been rightly referred to by my fellow Members: 80% of world trade takes place at sea. Belgium has two hugely strong European ports that play a part at world level. They must therefore also take part in the development of this strategy. Some people, like Mr De Vuyst, say that the Arctic Council has taken up the challenges in a peaceful and legal way over the last 25 years, that there is no problem there. That is true, but let us above all ensure that it remains so, that this peaceful way of approaching the matter continues. It has nothing to do with harshness, pessimism or militarisation or what I have heard about myself, when you know that it is not my attitude, but I believe that realpolitik is at issue here. The European Parliament's recently adopted resolution is very clear on the Russian military expansion in the High North, and on the fact that it has previously blocked freedom of navigation in other seas under their so-called sphere of influence. These are facts. The European Parliament is also right to take China's attitude into account. The country makes a long-term effort to strengthen its position as a polar force, wants to set up polar research stations, launches observation satellites with a view to the polar areas and is very active as a member of the Arctic Council's work. NATO is fully the North Atlantic Treaty Organization. It is no coincidence that I quote the name completely, I do so because of the clear geographical description. NATO regards these two states as potential threats. We cannot be naive in that. Together with our European and NATO counterparts, we must also consider and prepare all possible scenarios in the region, ranging from natural disasters and serious climate change challenges to military provocations. The impact of what will happen in the High North over the next few years and decades, we must continue to evaluate it from a Belgian point of view. We should be better prepared than regret that we were not well prepared. I am therefore convinced that it is important that the Belgian Government, together with experts, should provide answers to these questions and therefore prepare a comprehensive Belgian strategy on the Arctic. It is time for our country, once again, to take a first look at the North. That is a clear signal from Parliament today. Finally, I would like to thank all the diplomats and academics who have helped me to understand the issue. Among other things, the Egmont Institute, a very important institute in our country, has done a great deal of work for this. After a seminar in October in which I was allowed to speak, diplomats, officials, academics and economic operators even set up a Belgian Friends of the Arctic circle, to say how topical the theme is today. Finally, I would like to thank all Members of Parliament. I thought it was good hearings. We can discuss the quality of the speakers, the insiders, understand that remark, but they were good hearings. Mrs Van Bossuyt has already said that we supported an amendment by the opposition because we did not want to play political games but wanted to come up with a generally accepted text. I would therefore like to thank you for the good discussions and the quality of the amendments during the discussion of the resolution.
ParlaMint-BE_2021-12-22-voorlopig-55-plenair-ip154x.u10	Madam President, ladies and gentlemen, the Group of the European People's Party supports the resolution on the Arctic, which aims to develop a Belgian strategy on the region. We are also of the opinion that it is important for Belgium to pay great attention to the security challenges arising from developments in the Arctic. For the Forward Group, it is important that climate change is considered as the greatest security challenge. We are, of course, not the only ones to say that, even the European External Action Service of the European Commission says so. Mr De Maegd has already explained why. The Arctic heats up three times faster than the rest of the world and the permafrost contains huge amounts of methane gas that can provide an irreversible tilting point in global warming when released. This will have a global impact, including on climate conflicts and migration, with all possible social and security complications. This is also important for our country, because we too will be affected by the increase in water levels. That would be a problem, especially for my province of West Flanders. In addition, we will also experience the impact of the change in weather patterns, with heavy rainfall, for example. We could already see the result in Belgium. It is a pity that people are being put away as hysterical when they bring that into Parliament's debate and say they want to point out the seriousness of the situation. When we see the consequences, I think the situation is serious. We're not the only ones saying that. In the hearing, a defense representative said that if we look at the Arctic, climate change is the biggest security challenge for our country. That is why we support the moratorium on the extraction of raw materials provided by the European Commission in its strategy for the Arctic. It is important for us that Belgium helps to defend that line. This is in line with the resolution signed by the federal government at COP26, which states that our country will no longer invest in the exploitation of fossil fuels abroad. Climate change also causes serious biodiversity loss. This change also threatens animal species. This has also been taken into account in the resolution. For Vooruit it is also important that Belgium also pays attention to human rights in the Arctic. As Mr Pillen has explained, people do live there. These are mainly rights of indigenous peoples. For Belgium's focus in the Arctic and its interests, it is important for the Front Group that we focus sufficiently on the expertise and know-how of our country. That focus is, of course, on scientific research. The hearings have also demonstrated the importance of increased investment in research in the Arctic, but taking into account the interests of the population and indigenous peoples. We therefore support the initiative to acquire a place as an acting member of the Arctic Council. In order to be considered an observer, our country must have an expertise relevant to the work of the Council. This can be done through an extension of Belgian scientific research. We believe that a good balance has been struck in this resolution. I have heard the statements made by the other speakers and I believe that the right-wing opposition does not have the right and the left-wing opposition does not have the right. However, we believe that a good balance has been achieved in the resolution. That is why we will, of course, support them. We also thank Mr Pillen and the members of the Open Vld and the MR for the initiative.
ParlaMint-BE_2021-12-22-voorlopig-55-plenair-ip154x.u11	Madam President, I would like to touch briefly on a number of points raised by Mr Pillen. Mr Pillen, I certainly do not suspect you to be a hard-hearted man and a militant pur sang. However, I simply do not agree with the vision you have just outlined. You yourself have indicated that there are still relations and relations in the Arctic Council and that they have so far been peaceful. However, I am not convinced that, if we look at the resolution, they will also remain peaceful, as I have just said, by developing yet another NATO strategy, including in the Arctic region, and by developing a certain deterrent strategy, in particular by developing military maneuvers. In my opinion, this will provoke a dangerous reaction spiral. You're right. In fact, many states currently use exclusive economic rights under the Convention on the Law of the Sea, such as the so-called 12-mile line and the continental shelf. Russia is already making use of it. In fact, we should regret all this, just like the fact that the United States recently, despite the fact that President Biden spelled the lesson to everyone at COP26, released 80 million hectares for gas and oil exploitation in the Gulf of Mexico. Under the law of the sea, it is a legitimate interest of the United States to do so. We regret that, too. That is why it is very important, rather than developing a strategy of confrontation with a Strategic Compass and so on, to maintain a dialogue with the United States, Russia and all the Arctic states in order to strive as far as possible for binding agreements to be made. After all, a derailment strategy by deterring and militarising the Arctic area will only throw more oil on the fire. You are right that Belgium has an interest there. The whole world has an interest there. There is only one interest that should really speak for itself, namely to ensure that Arctic ice does not melt further and that gas and oil resources remain under the ice. That is indeed our interest, but it is a global interest and global interests are best regulated in the United Nations. That is what is missing in the resolution, and we find it very regrettable.
