Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	GabriëlsKatja	Gabriëls, Katja	F	1975	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	GabriëlsKatja	Gabriëls, Katja	F	1975	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VerhaertMarianne	Verhaert, Marianne	F	1984	
ParlaMint-BE-en_2021-07-14-definitief-55-commissie-ic556x	ParlaMint-BE_2021-07-14-definitief-55-commissie-ic556x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 14-07-2021	2021-07-14	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
