ParlaMint-BE_2021-03-16-definitief-55-commissie-ic408x.u1	The question was addressed to Mrs Khattabi, but will be answered by the North Sea Minister.
ParlaMint-BE_2021-03-16-definitief-55-commissie-ic408x.u2	Minister, you will have noticed that I have tabled a number of oral questions, all of which deal with aspects that you deal with in your 2021 policy paper. You will find it a little early in the year, but I think it is important, especially for a member of the opposition, to ask you regularly about the progress of things. At the end of last year, the European Commission urged Belgium to improve national rules on the environmental impact of public and private projects. In particular, it concerns the transposition of the Directive on the assessment of the effects of certain public and private projects on the environment. Belgium would not have correctly transposed the Directive into national law, either at federal or at the level of the three Regions. These are mainly irregularities relating to information flows. For example, the use of electronic communications would not be required, clients would not be obliged to provide the authorities with all the necessary information, nor would authorities be obliged to share the information with the public. There are also some other procedural imperfections. Belgium received a letter of formal notice, in which it had the time to reply until 3 February 2021, i.e. last month. If Belgium does not, the Commission can take further steps. Mrs Van der Straeten replied in January 2021 in our committee that at federal level, the complaints from the European Commission relate to the law of 20 January 1999 on the protection of the marine environment and its secondary legislation. That was the responsibility of the Minister for the Environment, but that was corrected and passed on to you. I believe that this law on the protection of the marine environment is also addressed in your policy paper. Minister, what is your response to the letter of formal notice? Was a coordinated response given on behalf of the federal government or was a separate answer given by you? After all, the FANC Act is also endorsed and another minister is competent to do so.
ParlaMint-BE_2021-03-16-definitief-55-commissie-ic408x.u3	As Minister for the North Sea, I can give the following answer. Indeed, on 3 December the European Commission sent a letter of grievances about the Belgian transposition of the Directive. The letter, as you rightly say, was addressed to the regional and federal authorities. The Federal Government's response was delivered to the European Commission at the beginning of February. The North Sea Minister is responsible for the protection of the marine environment and its legislation, in particular for the licensing of activities taking place in sea areas. The legal basis for this is contained in the Marine Environment Act of 20 January 1999 and in the Implementing Decisions, which date back to 2003. From that point of view, therefore, my collaborators, in close consultation with the Marine Environment Service, the MUMM scientific institution and the Directorate-General for Shipping, have studied the Commission's grievances. Some of the comments made by the Commission are certainly justified. We will take the necessary steps to amend the legislation on this point. However, we cannot agree to some of the comments. We have provided the Commission with the necessary arguments to rebut the grievances. With regard to timing, I can say that the letter from the European Commission comes at an interesting time. We have already announced in the policy paper that we would review the law on the marine environment. That review is now in full swing. I intend to submit a draft law on this matter to your committee by the summer. Once the law has been passed, we will be able to review the necessary implementing decisions. Mr Ravyts, you have also asked questions about sand extraction and the regulations of the FANC. I do not have all the powers of the government, so I have to refer you to the Economic and Home Affairs colleagues respectively. They're authorized to do this. Finally, I should also like to say that consultations have been held between the various departments in order to prepare the response of the federal administrations.
ParlaMint-BE_2021-03-16-definitief-55-commissie-ic408x.u4	Thank you, Minister, for the state of play. That's right, there's a lot going on. The forthcoming revision of the Marine Environment Act may respond to a number of concerns and comments from the European Commission. I suspect that when we deal with the draft law we will find out which cases you do not agree directly with.
ParlaMint-BE_2021-03-16-definitief-55-commissie-ic408x.u5	Mr. President, Minister, a political note published on January 20, 2021 by the International Institute for Sustainable Development (IISD) reveals a significant increase in marine pollution from land-based activities. Adopted by 108 Governments and the European Commission in 1995, the Global Programme of Action for the Protection of the Marine Environment from Land-based Activities (GPA) has made progress on various forms of pollution. However, some shortcomings have since been noted and are related, inter alia, to marine litter and nutrient management. Minister, can we get information on Belgium's commitments at national and European level under the GPA? Can we assess the impact of our country's land-based activities on marine pollution? Are future initiatives envisaged to combat this phenomenon, particularly at European level?
ParlaMint-BE_2021-03-16-definitief-55-commissie-ic408x.u6	Mr President, ladies and gentlemen, the report to which you refer identifies nine categories of marine and coastal pollution sources. It should be noted that measures to combat these sources of marine pollution are primarily the responsibility of regional governments. As far as federal policy is concerned, the Marine Environment Service is responsible for regularly informing the United Nations Environment Assembly on this matter. We participate as an expert in the ad hoc open-ended expert group on waste and microplastics in the marine environment, which is responsible for examining obstacles and possible avenues for combating all sources of marine waste (plastics and microplastics) and especially against land-based sources. The last meeting took place in November 2020. If you would like more information on this subject, I will provide you with the link to this working group's final report. The Joint Research Centre (JRC) of the European Commission, which deals with this issue at European level, identifies households, cities and public spaces, municipalities, coastal areas, waste treatment sites and ports as main land sources. In order to assess the impact of such activities, a distinction must first be made between land-based activities directly at the source of the waste and those indirectly. In addition, the way in which waste ends up at sea and the possible ways to combat this phenomenon also determine the impact. Take the case of masks that end up at sea, a very current problem! This is an example of direct pollution! On the other hand, domestic wastewater is an example of a source of indirect pollution. The best way to combat indirect pollution is to tackle the problem at the source and to build awareness. I refer in particular to the campaign against oral masks at sea recently set up by my services. With regard to indirect pollution from domestic waters, it is preferable to opt for other techniques such as wastewater treatment. We can go even further. For example, in Courtrai, we even planned fines, as in Brussels, for people who throw their butts on the ground. With regard to waste on the coast, the OSPAR Commission has set up a monitoring system for Belgium, specifically for this type of waste. As a result, the vast majority of this waste, 49%, was made up of single-use plastics such as cups, corks, cotton-tips and cigarette butts. They end up on the beach as wild waste, not to mention the fishing nets which are also made of plastic and which represent a major source of pollution. Only 20% of the waste is non-plastic. In addition, the Marine Strategy Framework Directive sets out the framework for close monitoring and monitoring of the development of wild waste. In particular, there is a precise monitoring of the number of waste disposed of on the beaches per year or of the amount of plastic present in the stomachs of seabirds. Initiatives are being taken to combat marine litter, both at the national and subregional, European and international levels. At European level, in particular, various environmental indicators and objectives are highlighted in the Marine Strategy Framework Directive. All European Member States are required to develop an appropriate programme of measures to achieve a healthy environment. With regard to Belgium, discussions are under way on the second programme of measures to be launched in 2022. The project includes, among other things, the development of indicators for micro-waste in the marine environment, the phasing out of fishing lead, and other measures. Other European initiatives which fall, among other things, within the competence of my colleague, Mrs Khattabi, are also relevant in this regard. I am thinking in particular of the European strategy on plastics, which aims to promote the circular economy or the Single-Use Plastics Directive. At the subregional level, the OSPAR Commission has also developed a particularly ambitious Marine Pollution Action Plan, which will be renewed in 2022. In conclusion, as far as the national level is concerned, I refer to the Federal Action Plan on Marine Waste. This plan was launched in 2016 and will be reviewed again this year, as I already announced during the debate on my policy note.
ParlaMint-BE_2021-03-16-definitief-55-commissie-ic408x.u7	Minister, thank you for the quality of your answer. That is to be stressed, and many could take note of it. Thank you for the relevance of the proposed initiatives and strategies. Congratulations on the adequacy of your policy note. All this makes sense and brings interesting perspectives.
ParlaMint-BE_2021-03-16-definitief-55-commissie-ic408x.u8	Mr President, it is a city or city that you know very well, Knokke-Heist. Minister, you pointed out in your policy paper that particular attention would be paid to the investigation of the management and disposal of ammunition on the site of the Horse Market, an ammunition dump off the coast of Knokke, where an estimated 35,000 tonnes of ammunition was recovered from the First World War. We know that the concentrations measured do not pose an immediate danger to humans or to the marine environment. You rightly considered it important to carry out further research on the basis of which a longer-term strategy could be defined. It will ultimately be necessary to decide whether to opt for further monitoring, embedding or clearing. The conduct of tests should also be considered. In other words, you would work out a framework to carry out a risk analysis of all activities in and around the Horse Market. In line with the policy paper, a legal framework for carrying out risk analysis of activities in and around the Horse Market would be established in 2021. You also pointed out that storage would be the most ideal solution, provided a number of conditions were met, such as the exact location, the availability of techniques to safely land such items and of course also a suitable site for storage. I am well aware of the fact that the problem has been going on for a very long time and that you cannot solve the whole issue in a few months' time either. However, it is important that we take a look at what you are doing with the dossier in the interim. Minister, what steps have you already taken with regard to the legal framework? What's the timeline? Have any steps been taken on the technical aspects of safe landing? Are there any ideas for a suitable site for storage?
ParlaMint-BE_2021-03-16-definitief-55-commissie-ic408x.u9	Mr Ravyts, thank you for your questions. The legal framework for carrying out the risk analysis has already been prepared by my administration. Two pieces have already been prepared. Firstly, a draft ministerial decision to carry out the risk analysis and also to establish the decision-making procedure for activities with a possible impact on the Horse Market zone. Secondly, a draft royal decree that will determine the fee for assessing the risk analysis, for the activities that may have an impact on the Horse Market zone. The procedure for drawing up such a risk analysis is comparable to an environmental permit application. A fee should be paid for the assessment as it covers the costs of the assessment by the scientific experts. Since risk analysis is a new activity which has not yet been provided for in the Marine Environment Act, we need to create a legal basis here too in order to impose that fee. This text is also in preparation and will be submitted to the Council of Ministers and to this committee and Parliament in the coming weeks. I would like to point out that I have always said that additional research is needed to determine the long-term strategy. There are three possible strategies: do nothing and continue monitoring, capturing or mountains. I never indicated that mountains would be the ideal solution. By the way, based on the scientific information we have at our disposal, we can say that mountains or enclosures would do more harm than good at the moment. I'd like to clarify this. To clarify the feasibility of such operations, please refer to three factors: the exact location of the ammunition, the availability of the techniques to safely land the ammunition and the appropriate site for its storage and destruction. The exact location will be the subject of a study prepared by my services. In early January 2018, the Flemish government issued a public contract to determine the potential innovation in salvage techniques on the Horse Market. However, we have recently learned that this study meets a number of, often technical, challenges, in particular the difficulties in scaling up a pilot study to the whole site and monitoring the environmental impact during the work. That's gonna put us in trouble anyway. At the moment, my services, together with the relevant knowledge institutions, are looking into the need for additional actions. It may be derived from this that the techniques for safe disposal are not even available at the moment. We have to be very careful with that. Effective treatment of the ammunition is preferable to its storage. At present, therefore, the feasibility of a recovery will have to be demonstrated before there can be a scaling-up of the processing capacity. The DISARM project is a research project led by VLIZ, in which the laboratories of Defence and the Royal Belgian Institute of Natural Sciences, the KBIN, are also involved. This project ends in 2023. This will make recommendations on the most optimal approach to managing the site. These indications will be combined with our own, still to be carried out, studies to develop a scientifically based strategy by 2024. The issue on the Horse Market will therefore not be resolved in this legislature, as I have already said when presenting my policy statement and policy paper. In addition, we also follow with great interest the research of Ghent University on the possible accelerated degradation of the pollutants in the ammunition through the use of micro-organisms. This option may also be a good alternative to the storage room.
ParlaMint-BE_2021-03-16-definitief-55-commissie-ic408x.u10	Thank you, Minister, for your very interesting and comprehensive answer, which nevertheless contains a number of new elements and which is a further deepening and refinement of the issues announced in your policy letter and your policy paper. It was by no means my intention to suggest here that you would have resolved the issue of the Horse Market in a few months. I think you have very well unfolded the difficulties that will arise in the coming months and years. I am looking forward to the legal preparation, which is of course also important, even if it could not be followed directly by a concrete approach on the ground because of the difficulties you have outlined.
ParlaMint-BE_2021-03-16-definitief-55-commissie-ic408x.u11	Mr President, Minister, following the offshore wind session organised by EnergyVille - for which you gave the introduction - a number of speakers mentioned the possibility of increasing the current target of about 4 to 4.5 gigawatts of offshore wind to 6 gigawatts. This would only be possible if a set of very specific conditions were followed and optimal planning was carried out. Combining them with other functions in particular would make this planning and coordination very necessary. Today it is not entirely clear to me whether the scaling-up in itself is feasible or whether there is any support for the various users of the North Sea that we are talking about today. Moreover, I have already put my question to your fellow Minister responsible for Energy. However, since she also referred to you in part, I would of course also like to propose them here. The questions I have are next. First of all, is or has the scale up to 6 gigawatt been discussed within the government? Is it intended to do an exercise on this or is the scaling-up not on today's agenda? Secondly, do you wish to take initiatives in your capacity as Minister to carry out a feasibility study in this area or do you think that the objective of about 4 gigawatts, which we have talked about so far, will prove to be the maximum achievable in practice?
