ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u1	Mrs de Laveleye is not yet here. Mr Ravyts, you have the floor.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u2	Mr President, Minister, according to the RED II directive, the proportion of biofuels in transport in Belgium is also being increased gradually. In 2030, an incorporation rate of 10,45 % real or 13,9 % including double counting would be achieved. In the period 2021 to 2030, a maximum of 7% of first generation biofuels shall be added. The provisions in the National Energy and Climate Plan - NEKP - around the Belgian route even go beyond the route set out in the RED II and are, in my opinion, even a form of gold-plating. In the context of the NEKP, it was agreed that an interfederal study would evaluate the technical feasibility of the incorporation rate every two years in order to possibly modify the incorporation rate. This study was finalised in December 2020 and concluded that the objective for advanced biofuels is technically difficult to achieve. The 1.7 % excluding double counting of used vegetable oils and animal fats is feasible, but biofuels from GM waste, manure or algae would be only 1% by 2030. The study confirms that palm oil and soya oil have a very large environmental impact. The main reason for this is the increasing deforestation. You announced on 13 April 2021 that Belgium will increase the sustainability criteria for biofuels, which means that palm oil and soya can no longer be used as raw materials from mid 2022 and 2023 respectively. This also means that these raw materials will no longer be used by Belgium to meet the 7% target for first generation biofuels. Can you explain more about this policy choice? Will there not now inevitably be a shift to crops which some say are also problematic in terms of environmental impact? In what sense do you aim in your policy to reduce the total volume of biofuels of the first generation of agricultural crops? Are you trying to phase out biofuels based on agricultural crops and, therefore, to change the NEKP? The possible modification of the incorporation rate, a reduction, obviously has an impact on the Regions and can only be carried out as an alternative federal measure. What's your reaction?
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u3	Madame de Laveleye, I give you the floor. We started two minutes too early.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u4	Mr President, Madam Minister, on 13 April you announced the abolition of soy oil and palm oil in the Belgian agrofuel quota in 2022. This is obviously excellent news, since these two crops are among the most problematic in terms of imported deforestation, biodiversity, climate and food sovereignty. Belgium's objective in the National Energy-Climate Plan (PNEC) is to use agrofuels to cover 7% of our fuel consumption. I note that our choice corresponds to the maximum rate authorised by the European Union. The removal of palm and soy oil from these 7% is already a significant step. Nevertheless, we must expect a shift towards other cultures. As is well known, the use of agricultural soils for energy use competes with food sovereignty and exerts great pressure on exploited soils. As a reminder, in 2018, it took more than 5,000 square kilometres of productive agricultural area to grow the cereals, sugars and vegetable oils used to produce agrofuels sold in Belgium. I would point out that this is a larger area than the provinces of Namur and Walloon Brabant combined. In addition, more than 95% of agrofuels used in Belgium come from abroad. In other words, we are totally dependent on the outside for this resource. You are also announcing that the government will reduce its demand for agrofuels. This is very good news, but it raises the following questions. Minister, to which cultures will Belgian consumption have to turn? Where will they be produced: in Europe or elsewhere? After this very important step, what are the government's prospects for reducing the share of agrofuels in fuels used in Belgium? Is a revision of the 7% quota possible?
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u5	Mr President, Madam Minister, other colleagues who have already outlined the situation, I will simply add this. The decision you have taken places Belgium at the forefront of a European directive. It is part of the Amsterdam Declaration Partnership, a coalition of European countries fighting deforestation and promoting the sustainable use of palm oil. I understand this decision – especially since I have practiced this matter – but many things don't seem very clear to me yet. Let us take, for example, the statement of Jean-Benoît Schrans, spokesman for the Belgian Petroleum Federation. Mr Schrans said in the press that certain dangers are associated with the acceleration of this decision. There is no doubt, of course, that he sees things through the glasses of his federation. Furthermore, as Mrs de Laveleye mentioned, the environmental movement warns that crops will be used for biodiesel production and that the problem will be moved rather than solved. Minister, why did you decide to speed up this decision? What are the potential dangers of this decision? Have you consulted the sector on this? You know that there is a Belgian biofuel industry which has already had to adapt to this percentage, which will apply until 2030 and which actually conditions its production chain. Finally, what do you think about the warning of the environmental movement on these other crops and the displacement of the problem that your decision puts on these crops?
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u6	Madam Minister, last month we heard that you will take an initiative to ban biofuels based on soya and palm oil from the Belgian market from mid 2022 and to ban them completely from 2023. You rightly stressed the counter-productive nature of biofuels for climate and environmental damage as a result of the many land use changes that the cultivation of soya and oil palm entails. However, you do not seem to have taken into account one fact, namely the negative effects of the substitutability of raw materials for first generation biofuel for different sectors and purposes. This first-generation biofuel is produced from food and forage, which creates an important conflict of use with the food sector. If, as you suggested in De Standaard of 14 April, rape is encouraged as a raw material for biofuel to replace soya and palm oil, then the food sector will switch massively to soya and palm oil because of a shortage of available rape oil. As a result, soy and oil palm cultivation and the associated damage to the climate and the environment are only slightly reduced. The argument that the use of raw materials from European soil for biofuel would be better for climate and the environment is therefore not entirely valid. Civil society has indicated this on several occasions and studies by the International Council on Clean Transportation support that. Madam Minister, first of all, why did you choose to ban only soya and palm oil and not all first generation biofuels? Secondly, how do you intend to combat the harmful side effects of your initiative to eliminate soya and palm oil as a raw material for biofuel? Thirdly, where do you intend to go in general with the Belgian biofuels policy in the light of the revision of the NEKP 2021-2030?
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u7	Madam Minister, on 13 April last you issued a royal decree prohibiting, from mid-May 2022, biofuels based on soy and palm oil in transport. By 2023, the ban will target soybeans as a raw material for biofuels for transport. You are following other countries like Denmark, France and the Netherlands. The biofuel from palm oil is indeed the most harmful to the environment and is at the source of deforestation, loss of biodiversity and even violations of human rights, as you have not failed to recall, not to mention the heavy food losses in favour of mobility, which ultimately emits more greenhouse gases than fossil fuels, if one considers its entire life cycle and production. However, as Inter-Environnement Wallonia pointed out, in order to solve the more global problem of the use of biofuels in transport, the total volume of these raw materials in agrofuels should therefore also be reduced. However, the law requires us to incorporate 7% of biodiesel into our fuel, and by 2020 we would have gone up to almost 20%! How do you intend to mitigate the incorporation of soy-based biofuel and palm oil into our fuel? How can we avoid a shift in the problem? Finally, do you intend to review the percentage of biodiesel in our fuel? If so, how high would you set the new percentage? Thank you.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u8	Mr President, ladies and gentlemen of the European Parliament, the royal decision on product standardisation of biofuels, which is expected to be published at the beginning of July of this year, after obtaining the opinion of the various advisory bodies and the Council of State, aims to improve the sustainability of biofuels for transport marketed in Belgium. To this end, in addition to the ban on the consumption of palm and soya oil biofuels in transports from July 2022 and January 2023 respectively, there are many provisions aimed at ensuring the sustainability of transport fuels. For example, compared to the current sustainability framework for biofuels, the present KB adds the category of recycled carbon fuels to the sustainability framework, as well as new sustainability criteria and greenhouse gas emission reduction criteria for biofuels and biogases, and methods for calculating greenhouse gas emissions from biofuels. These criteria are a direct transposition of European legislation into the RED II. With this enhanced sustainability framework and the ban on biofuels for the transport of palm oil and soybeans, I want to ensure that the most harmful biofuels will be banned quickly and thus give a clear signal to the market for the future. In 2020, the use of palm oil in transport increased tenfold in one year to more than 230 million litres. At this rate, we couldn't wait ten years. The oil sector has, of course, been consulted, Mrs Marghem! Past experience has shown that land-use change for these crops has had a dramatic impact on prices and food security in poor countries, as well as on global biodiversity and air pollution. This is a political choice of the past which I cannot defend and which I wish to put an end to as soon as possible. Our policy must fully reflect global responsibility and sustainability. This objective is shared by my colleague, Minister Kitir, who is committed to ensuring coherence between development cooperation policies. As you pointed out, Mrs Hanus, the Netherlands, France and Denmark have already shown the way by limiting the use of the most problematic agrofuels. In accordance with all studies and opinions, all first-generation biofuels will eventually have to disappear. Priority to food! This will be achieved primarily by reducing the number of thermal engines, a goal for which the government has made a firm commitment. My colleague, Minister Van Peteghem, is taking a first important step in this respect with emissions-free commercial vehicles only from 2026. By doing so, half of the car market in Belgium makes the switch to emission-free transport. In addition, at federal level, we are also fully committed to rail transport. However, mobility policy is a matter for the regions and local authorities. For the questions on the incorporation rates in the amount of biofuels consumed on the Belgian market, I would refer to Mrs Van der Straeten, who is responsible for this, in the context of the further transposition of the Renewable Energy Directive, the federal contribution to the NEFP and the necessary adaptation to the revised 2030 targets. A possible shift towards the use of rape oil for biodiesel is indeed expected in the short term if soya oil or palm oil is no longer to be used as a raw material. Although the climate impact of rape oil is certainly not something to write home about, the risk of deforestation is certainly less. It is also not the case that the food producers will now replace all rape oil with soya oil or palm oil or that it is the same quantities as was suggested in the question, but I agree with the underlying idea. In order to exclude this kind of second-order effects, it is necessary to move as quickly as possible towards a fuel-free and emission-free transport and, in the meantime, to further reduce the use of first-generation biofuels.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u9	Madam Minister, it is indeed a somewhat mixed responsibility with Mrs van der Straeten. Thank you for the explanation of the Royal Decree which still needs to be worked out. You await the advice. You have somewhat nuanced the question of the shift around rape. You have a point. There is, of course, that great dream for the phase-out of the first generation in general, so biofuels. Then, of course, you refer to Vivaldi's plans for emission-free driving with a company car. However, I understand that there is still no agreement within the federal government.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u10	Minister, thank you for your answers. I would point out that the decision you have made is a very good decision, although, indeed, there are many sub-elements to be taken into account. You have also clarified several of them. You were also right to recall that in 2020, our use of soy and palm-type agrofuels exploded and that we could no longer wait, even a year or two, to move forward. In addition, you show that we are well placed in a broader medium-term perspective, although a revision of the National Energy-Climate Plan (NECP) is necessary at this level. It's important to move forward and we don't have a magic wand to do it faster. However, I believe that a line must remain very clear. That is what we expect from you and Mrs Van der Straeten: we do not want food in our cars. It's obvious. Of course, the Vivaldi government is committed to reducing the number of petrol and biodiesel cars. That's a good thing. We'll have to do better; go beyond company cars. We really need to move to a decarbonised road structure and continue to invest in public transport, which the Vivaldi government is also doing. Thank you for starting this important debate with a necessary decision. We really expect solutions for first-generation agrofuels and a 7% reduction in these in the coming months. We will return to Mrs Van der Straeten and yourself to continue the debate in a few months' time.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u11	Madam Secretary, thank you for your very clear answer. Under the guise of climate policy, some wrong measures have been taken in the past with the so-called greenwashing: driving would become more ecological because biofuels are added, but food crops - we have to be honest about this - do not belong under a hood. So I am very pleased with your decision to ban palm oil and soya oil as biofuels. You started your answer by saying that this is a first step in improving the sustainability of biofuels, but it should not be an end point. You're right about that. We can reduce the total volume of biofuels and also impose strict quotas for second generation biofuels. Some Members are rightly concerned about the possible shift to rape. I think, however, that we need to make another shift: we need to make a switch to cars without internal combustion engines. That is a choice that the government wants to make clear. By the way, more and more car manufacturers make that click. I am convinced that we can include the market in that story, so let us certainly have that debate. I am convinced that you are now taking a first step towards improving the sustainability of biofuels, but we are certainly not yet at the end of the story.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u12	Madam Minister, thank you for your answer, which is being searched and searched! Indeed, it is a very difficult matter and we are just starting the debate. Actually, we're pursuing him. We are starting the debate with you, but we are continuing it for Belgium. I understand that there is still no agreement in the federal government on the one hand and that, on the other hand, it is a bit of a lot of your function that unfortunately includes only the Environment and Sustainable Development, which are vast subjects. It is not pejorative, but unfortunately they are not directly associated with Energy. Fortunately for you, it is easier because you are in the same political group as the Minister of Energy, but at the same time it always blocks you in terms of concrete progress. You are telling me, with a small point, that the oil sector has, of course, been consulted. I was not referring to this sector at all. I was simply taking the word of each other and the word of the other to show you the pitfalls and limits within which you have to work and which are very difficult. I am talking to you, for example, about the production of bioethanol. This sector which exists in Belgium produces biofuel and adapts, in its production process, to European requirements and soon to the new requirements that you want to introduce. It is not directly concerned but still! I imagine you met her, too. I think it is necessary to think about this industry and to ensure that what is feasible and what is required by Europe, which is already very high as a level of demand, also allows us to have a production line on our soil. It is within these limits, I think, that we must continue to make progress. I will ask you again in a few weeks to see how you continue to walk on this very difficult terrain.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u13	Madam Minister, you acknowledge the negative effects of first-generation biofuels, but by phasing out only soya and palm oil biofuels, the harmful effects of all first-generation biofuels will not completely disappear, as all first-generation biofuels will have to be phased out. We have recently tabled a legislative proposal in this respect. We do not believe that biofuels are the solution to a transition to sustainable and climate-neutral transport, on the contrary, they are even a brake on their development. The more you make use of these biofuels, the less the various transport ministers in this country should focus on well-developed public transport and a modal shift towards soft mobility. Biofuels as a so-called solution may be worse than the ailment. It is time for a firm policy to stop first-generation biofuels now, to keep the use of advanced biofuels to the minimum imposed by the EU and to focus on real sustainability of our transport.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u14	Minister, thank you for your answers. I note your strong concern about the fundamental challenge of limiting the use of biofuels that are harmful to biodiversity and the environment. We stress your action in this regard. As far as incorporation is concerned, I will therefore follow your advice and continue my investigations with your colleague, Mrs Van der Straeten.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u15	Colleagues, I wish to be replaced from noon onwards in order to be able to participate in the Bureau of the House. Mrs. Hanus, is that all right with you?
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u16	Mr President, of course, in video conferencing as far as I am concerned.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u17	Mr President, Minister, after what I hear here, it is clear that there are still some kittens to be flogged in the government. At the same time, it is also necessary to look at the whole of this chain in a decent way. Moving forward on sustainability is a good thing, but we also need to look at how we deal with advanced biofuels. There are investors here today who want to work on this, but who do not have a clear picture of what the government really wants to do with it, especially after the statements made by your fellow Minister Van der Straeten. It wants to do everything in its power to limit the commitment to renewable fuels in the National Energy and Climate Plan. She even argues for steps that seem to guide double counting throughout the green stream story. Well, I guess I'm a little worried. So you would do well to talk about the whole chain and not just those two basic raw materials.
