ParlaMint-BE_2021-02-11-definitief-55-plenair-ip087x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2021-02-11-definitief-55-plenair-ip087x.u2	In accordance with the opinion of the Conference of Presidents of 10 February 2021, you have received an amended agenda for today's meeting. In accordance with the opinion of the Conference of Presidents of 10 February 2021, you have received an amended agenda for today's meeting. Is there any comment on this? Are there any comments on this? Accordingly, the agenda was adopted. The agenda has therefore been adopted.
ParlaMint-BE_2021-02-11-definitief-55-plenair-ip087x.u3	On 29 January 2021, I invited the Council of State to deliver an opinion on amendments to the bill on various provisions in the field of justice, No. 1696/1. On 29 January 2021, I asked the Council of State to provide an opinion on amendments to the draft law laying down various provisions on justice, No. 1696/1. I propose that these amendments be referred to the Committee on Justice (Art. 93, No. 1 of the Regulation). I propose that these amendments be sent to the Committee on Justice (Art. 93, No. 1, of the Rules of Procedure). Discussion of the bill will continue in plenary, after consideration of the amendments in committee. The draft law will be discussed in plenary today, after discussion of the amendments in committee. No observation? [[No]] That will be the case. Are you sure you don't mind? [[No.]] Thus shall be done.
ParlaMint-BE_2021-02-11-definitief-55-plenair-ip087x.u4	Prime Minister, last week you did not find time to respond to the questions of the democratic opposition on public freedoms, but since then you have found time to write to us, and I thank you for that. You are very soon announcing a bill on the pandemic, and we can only welcome it, even if – as I said and I maintain – it is not only a law of regularization that we need, but also a law of monitoring of public freedoms. Parliament must be respected in its prerogatives at every stage of this crisis. I will discuss with you a very precise angle, that of the famous ministerial decrees. On the one hand, you write that "the legal basis of ministerial decrees has been accepted by the Council of State". In fact, this is not really the case: none of the 30 ministerial decrees have been submitted to the legislative section of the Council of State, and that is the whole problem. Nor have they been submitted to the Data Protection Authority, let alone to this honourable assembly. In fact, your argument is that every time the orders have been attacked a posteriori before the dispute in the Council of State or before the courts and tribunals, the government has never been wronged so far. It's still quite a special way of seeing things... If I understand you correctly, it's like, "Until now, I've been given no wrong, so that means I'm right." If I understand you correctly, we can violate the Constitution, as long as a judge does not arrest us. If I understand you correctly, this government feels exempt from the principle of legality until a judge tells him that he must respect it. This seems to me, Prime Minister, a fairly complete reversal of the principle of legality required by our rule of law. On the other hand, you are telling us that you will now submit these famous orders to the House. Let me ask you for a clarification: is this a transmission for information? If that is the case, it is very good, because it promotes transparency. However, the Members we are do not just want to be informed a few hours or days before the press. What we want is to deliberate and participate in these decisions, as the Constitution requires. And if you are asking us to participate in this process of designing ministerial orders, why not simply proceed through a bill? In one sentence, why are you content with being more transparent, when you could observe the Constitution and the laws of the Belgian people?
ParlaMint-BE_2021-02-11-definitief-55-plenair-ip087x.u5	Madam President, Prime Minister, it has been months since more and more voices were raised to call for further management of the pandemic with more predictable, better explained, more legally sound and publicly deliberate measures. "Where are the parliamentarians?" is the question that resonates everywhere. Criticism is not easy to hear and, yet, is it not well founded? It's not that the House was inactive. Contrary to what can be said, we see every day the intense and sometimes fierce parliamentary control that is being carried out on the subject. But the criticism here is mainly about the absence of a prior debate, about decision-making behind closed doors, a communication that is sometimes hesitant. We are convinced, however, that efficiency and democracy can and must go hand in hand, that the public debate on this subject will enable citizens to better perceive the reasons and logic of the measures in order to better appropriate them rather than to suffer them. The ecologists did not wait for the subject to take up the news. Since October, we have asked the relevant ministers about the constitutionality of the measures, respect for the rule of law and the place of democratic debate. Three weeks ago, I was here asking your colleague, the Minister of the Interior, about the pandemic law. It was time to change course to restore confidence. On behalf of your Government, yesterday you gave a very important signal in this direction. You clearly reaffirm the commitment to introduce a pandemic bill, but you go further by involving Parliament in several stages of the process rather than just at the end of the journey. It's original and it was a request from environmental parliamentarians. We are pleased that your Government has joined. Prime Minister, it is important for this collaborative process to deliver on its promises or be just an announcement effect. To that end, my questions are as follows. When will the first version of the text be available to open the discussion? What guarantees can you give us that the House will have real room for manoeuvre on the text at each stage? Finally, it is essential for the future that diverse and pluralistic expertise be taken into account to guide decision-making, that the contribution of the humanities and legal sciences be not ignored. What are your commitments in this regard?
ParlaMint-BE_2021-02-11-definitief-55-plenair-ip087x.u6	Madam President, Prime Minister, many have said this: it has been months since a series of civil society actors have been questioning how the government is taking measures that restrict our freedoms to deal with the health crisis. It is true that, at the beginning of the pandemic, the emergency justified prompt action by ministerial decrees or by royal decrees of special powers. But we are more than a year later. It's no longer acceptable. We have expressed this on several occasions in the last few months here in the House. On Wednesday, representatives of nearly 20,000 lawyers in Belgium also took a position in this regard. In the face of all these calls to respect the rule of law, you sent a letter to the President of the House. You are proposing a debate on the draft bill, I quote: "to take into account the sensitivities and suggestions of the House from the stage of the preliminary draft." Your hand in Parliament is positive, Prime Minister. Yesterday, in the Conference of Presidents, I insisted that civil society be involved in our debates through hearings. Let's get out of political inter-self and bet on collective intelligence! This will only make it possible to strengthen the legitimacy of this future pandemic law. What says more legitimacy, which says more legality in health measures, also says an increase in their effectiveness. In substance, I am convinced that public health and the rule of law are not contradictory. On the contrary, they reinforce each other. Prime Minister, are you in favour of involving civil society in these debates and therefore responding positively to my request?
ParlaMint-BE_2021-02-11-definitief-55-plenair-ip087x.u7	Madam President, Prime Minister, in our democracy, the rule must be freedom. These freedoms are also enshrined in the Constitution. This is about freedom of expression, freedom of education, freedom of assembly, freedom of worship, freedom to move, freedom to undertake. Today, according to the latest published figures, half of all deaths have unfortunately occurred in nursing homes, and 80% of them affect people over the age of 75. All these people will soon be vaccinated and immunized. In doing so, what will be the real risk of overloading our healthcare structures to justify in a proportionate manner the extension of the restriction of our freedoms? You mentioned a law. Could you give us more information about this? In any case, there can be no question for the MR of a general pandemic law that could be activated at any time during future events unknown to date. Nor can there be any question of requisitioning or making available. Finally, there can be no question of freezing future restrictions in response to still unknown situations. Minister, can you explain more about how the government intends to respond to the harsh criticisms of civil society and our fellow citizens?
ParlaMint-BE_2021-02-11-definitief-55-plenair-ip087x.u8	Mrs Gilson, thank you. I now give the floor to Mr. Koens. [[Laughs in the room]] Or rather, Mr. Koen Geens! Mr Geens, you have the floor!
ParlaMint-BE_2021-02-11-definitief-55-plenair-ip087x.u9	I won't say "Mr. President"! Prime Minister, as far as possible with a member of the male sex, yesterday I was so happy that the child jumped into my lap. I received a letter from you stating that you would take up the paternity of the pandemic law announced by the Home Secretary at the beginning of January. I was very pleased because our country has no suspension of fundamental rights, as Mr De Smet just said. Article 187 of the Constitution prohibits the state of emergency as a general law in our country. You will recall that we have long managed to make laws which met the specific security requirements, without violating rights and freedoms, throughout the terrorist crisis. Of course, I'm not denying fatherhood. It was obvious that when the Wilmès government was formed we were looking for a coat rack that could help us to manage this difficult situation. To this end, we used the Civil Security Act of 2007, which, thank God, is, until today, designated by most common sense lawyers as the basis for the ministerial decision that is being taken. I am one of the lawyers of common sense, you are well aware of that, at least I hope. However, Prime Minister, no one could have known that this crisis would take so long. We thought all the time that it was almost done and that it could be waited a while to put a new legal basis in a final form. The law of 2007 was of course written for short-term crises. Lawyers don't stop pointing that out to us. The lawyers also ended up beside Annelies Verlinden. That is why I am very grateful to them. I didn't have any influence over that. I have three questions for you. First of all, how are you going to use that law in the inter-federal consultation? After all, we as a Parliament will be known shortly before and after the ministerial decision, without having to give our aval. Secondly, what about the other law, the Minister of Health? Can we get that on our plate, too? I heard Mrs Gilson implicitly ask questions about that.
ParlaMint-BE_2021-02-11-definitief-55-plenair-ip087x.u10	Mr. Nodes, may I ask you to conclude?
ParlaMint-BE_2021-02-11-definitief-55-plenair-ip087x.u11	Thirdly, I have read the small letters of your letter correctly. You write that you will not invoke urgency. That scares me a little bit. I ask no urgency, I (...)
ParlaMint-BE_2021-02-11-definitief-55-plenair-ip087x.u12	Madam President, I appreciate your tolerance for the speaking time of the previous speaker. It was also his maiden speech. There must be some room for this. Mr Prime Minister, I would like to thank you for being here. Last week, you left the premises at the time we wanted to interview you on the matter. At that time, you sent a premier on duty, while we wanted to question you about your statements in the press. Today we can do that. Prime Minister, in October I felt very lonely when I cut down on the subject here, because I seemed to be shouting a bit in the desert. I also stumbled upon a great disinterest in your government. In the meantime, a lot of people have joined the thesis that we have developed. In the meantime, I even think that lawyers with common sense have expressed a different opinion. You always agree with the Council of State, but the same Council of State has said that it has never been asked by you in advance to judge your ministerial decisions. That is, of course, the advantage of a ministerial decision. In that sense, you have gone beyond the government with powers of attorney, which had to consult the Council of State. The appeal court has said that the law referred to can no longer serve as a basis. The Data Protection Authority also complains that it was never involved in the process. So you ignore all checks-and-balances in the implementation of your policy. Last week, as a blow to the flames, next to the academics we've already had, there is the point of view of the united counters. I'm very glad you couldn't resist that kind of pressure. You have gone down your knees after the winding course in relation to the question of whether there will be a pandemic law, yes or no, and when she will be there. Early January, maybe spring. The president of Open Vld talked about the summer. You said in the seventh day, she's not needed right now. Mr Van Quickenborne felt the same way. Mrs. Verlinden may have thought they were necessary now. I hope that at last there will be some clarity in the line your government is drawing in this. You sent a letter to Parliament yesterday. I would like to ask you a few questions about that. I am very pleased that you are announcing a serious undermining of the measures, but can you explain again why the pandemic law is needed, if you claim, at the same time, that you have done a good legal work so far. What's the extra value of that? What haven't you been able to do to make that pandemic law necessary? When's the pandemic bill coming? In that respect, we are still hungry. What stage is it currently at? Can you guarantee us that we will not have to wait again until spring or summer?
