ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u1	Mrs. Vindevoghel is not here.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u2	Madam Minister, in mid-November, the Flemish Ombudsman Bart Weekers in Knack made a plea to make Internet access a basic need. A sound and stable Internet connection is an essential requirement for further digitisation. There is also an increasing use of teleworking and distance learning as a result of the corona measures. However, there are locations where the internet connection is anything but stable and even disappears several times a day, even for the most expensive business subscriptions. In our country, we have almost the most expensive subscriptions in Europe, both for the Internet and for telephony, while many people are finding it increasingly difficult to pay the bills. It is about people who are now obliged to sit at home and therefore have less income, but whose children do need the Internet for education. However, if there is no money to pay the bills at the end of the month, the Internet connection can be closed. This government is heavily committed to digitalisation, and the internet is becoming increasingly important in our everyday lives as well. Hence my questions. How many people have experienced problems paying their Internet connection in the last three years? Is that number stable? What impact do the corona measures and the possible loss of income for families have on this? How many people have the Internet connection been effectively shut down in the last three years? What evolution is there in those numbers? What are your views on this issue? Are you open, for example, to regard Internet access as a basic requirement? Would you like to see the slope of the minimum service as an additional protection for the consumer? Are you planning any other initiatives in this area? If so, which one? I look forward to your answers.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u3	Ladies and gentlemen, the questions must be read out in full today. You may not refer to the questions submitted in writing, because of problems with the computer system.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u4	Mr Gilissen, I had planned a combined answer for your question and Mrs Vindevoghel's question, but I will of course only answer your question. Indeed, it is of unmistakable importance, especially in these covid times, that everyone can count on access to a stable Internet connection in order to participate in society. As far as your questions about closing the Internet connection are concerned, it is important to point out the rights that consumers have. Article 119 of the telecoms Act lays down the procedure to be followed by operators in the event of default. Before they are allowed to break the service, they must observe certain steps, such as sending a prior warning or setting up a minimum service. Operators should therefore not simply stop their services if people cannot pay their invoices at the end of the month. Nevertheless, I realise that paying all kinds of invoices, including the internet bill, can be a structural problem for certain families. This can lead to repeated defaults. The system of social rates exists for these structural problems. Certain categories of vulnerable groups can thus receive a tariff discount for fixed internet and fixed telephony services. Later in this sitting, I may come back to the reform of this system in response to questions from Mrs Lanjri and Mrs Depraetere. Since the beginning of the crisis, operators have also taken several initiatives to promote wider access to the Internet, including Telenet's Essential Internet package for 5 euros per month, intended for families who are struggling and therefore unable to pay for a fixed Internet connection. Mr Gilissen, for the figures you are asking for, my services have had to use the individual data of the operators. Then we had to add it up. No aggregated figures are available. The sum of all the data they provided to me voluntarily indicates that there were 7.8 million defaults in 2018, 7.2 million in 2019 and around 6 million in 2020. So that's a slight drop in the last three years. This is about defaults linked to contracts for electronic communications in general, not only limited to the Internet, but also, for example, for telephony and television. I haven't been able to get separate data. The number of cases remains high, but there has been a slight decline in the last three years. I cannot give you a quantified picture of the evolution of the number of internet subscriptions that are broken after a default because the different operators track these data in different ways, so that a general aggregated statement is not possible. So we don't have that data. The operators have also pointed out to us the confidentiality of individual data. The operator's individual figures, whether they relate to internet subscriptions or linked packages, also seem to indicate a decrease in service interruptions due to default. Hopefully, I have been able to answer a number of questions. This problem is very close to my heart. Indeed, we are in the process of reforming the social telecoms tariff, but we have also just released EUR 6 million of funds to bridge the digital divide. This is not a luxury in these difficult times for many families and in times of telework and teleeducation.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u5	Madam Secretary, thank you for your answer. It is already encouraging that the number of defaults is in decline. The question is, of course, what the telecom operators will do after corona, when there is still much to be done and children still need to be educated at home. That is why it is important to keep a close eye on this.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u6	Madam Secretary, I have a question about telecom prices in our country. According to Test Purchase, our country has the most expensive postal and telecom prices in the whole of the European Union. They are based on a Eurostat study. It says that communication with us is 76 % more expensive than the average. That's a very high grade. That's why I have a few questions. Firstly, can you tell us how Eurostat reaches these figures? How much is the share that we're too expensive to pay if we split up for mail and for telecommunications? Indeed, Eurostat has not only looked at telecom prices, but has produced a joint overview of postal and telecommunications tariffs. I want to know if we're too expensive for both of us, or is there a skew because either of us is too expensive? If such a division is not possible, you can instruct BIPT to undertake a comparative study, if necessary with a number of neighbouring countries and a number of countries with similar population. After all, we are often compared with Germany or the United Kingdom. Secondly, the bigger a market is, the bigger the economies or scale are going to play. With a potential of 80 million customers, the price can also be printed. If you also think it is not a bad thing to use BIPT for such an investigation, would it not be interesting to look at countries that are about the same size as ours? Thirdly, are you concerned about these figures or not? Fourthly, of course, the price is not everything. If we make the comparison with the quality, we see that our network scores higher than in many other countries. We're fast-tracked and mobile. We're at the fastest in the world. We also have a very reliable network. How has this quality been taken into account in Eurostat's comparison? Or hasn't it been taken into account at all? If we look only at the price, a number of conclusions can be drawn. But the price always depends on quality. Finally, I would also like to know whether it is possible to make a ranking of price and quality.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u7	Mr Freilich, you can already guess, in answer to your first question, I get the information from the BIPT that they cannot at present divide postal services from telecom services. They would, however, ask Eurostat for a more detailed breakdown. I hope that we will soon be able to submit these data. I think you're making a very good suggestion, which has been passed on. Secondly, since 2012, BIPT has, as you know, independently analysed the price level of Belgian telecom products compared to neighbouring countries. I would like to specify those neighbouring countries. The latest version of the study dates from 2019. We're working on a new one now. So I do not know whether I can say now that I want to involve other countries. However, Germany is a neighbouring country, France is a neighbouring country. Those are bigger countries. I can imagine that a comparison between our country and countries such as France and Germany as a benchmark, and perhaps also the Netherlands or the United Kingdom, could be indicative in itself. We can derive from the figures in the 2019 study, the most recent one, I fear, that Belgian telecom prices are generally high. There's not much to tell about that. There is, however, a comment that you have already made. There are a number of competitive offers available on the market. When we talk about high prices, it's about averages. There are packages on the market that are indeed cheap, but many consumers are stuck in expensive packages for many reasons, which are not being converted. It is therefore important for consumers to compare their own packages and offers on the market. One of the tools for this is the website bestrate.be, as it also exists for other domains. We need to publish them more, including in the area of telecoms, so that people can use this price comparison to determine which package best suits their specific needs. There is also the communication about Easy Switch, which can easily be switched from one operator to another. These are two important instruments to protect consumers and encourage them to ultimately reduce the price on the market. It is also really my intention to bring our country to a better level in the coming years in a European benchmark. Then, of course, another important point that you have raised, the quality. It is confirmed that the Belgian telecom networks are better quality than the European average. There is the annual DESI index, the Digital Economy and Society Index, where Belgium ranks third in the group of the 27 EU Member States on the coverage of households for fast fixed broadband, and fourth in the coverage of households for the mobile 4G network. That's not bad as a benchmark. Of course, that's about cover. When we look at the quality of the user experience, for example the download speed, video streaming and the possibilities offered by the Internet, we see that Belgian mobile networks are excellent compared to neighbouring countries. The Eurostat study compares prices without taking into account actual consumption or the qualitative aspects, as you mentioned and I have just described. So we need to look at Eurostat figures in more detail. If we do that benchmark, including in our own studies, the quality must be linked to it. This way apples are not compared to pears.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u8	Madam Minister, we cannot simply look at the price without taking into account the quality. Another interesting aspect that needs to be taken into account is the specificity of a country, the length of time, how much it costs to live there, and also the level of income. If we look at the average prices, we also belong to the best four countries in the world, or in Europe. That's how I understood it. Of course, we know a higher VAT and there are other things that we need to take into account. It would be good if BIPT also took this into account in its studies in the future. You have also talked about the website best rate.be and I see you are smiling already. I invite you to try that website, because if you do, you will notice that that site is really not so user-friendly. That is also a tip for the BIPT, because that can still be worked on.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u9	Madam Secretary, a few days before New Year's, an article was published in Knack entitled "Fake influencers and fake news " Huawei's Mud Campaign against the Belgian Government." Yesterday at Knack.be there was a follow-up article, in which it goes into more detail about Huawei's claims that the company had nothing to do with it, but in which it is shown quite in detail that Huawei was behind it. I can give you another tip of the veil about news that hasn't been in the media yet: on Twitter I got the same messages from Mike Bai, who works for Huawei. We're talking about sponsored ads. I went to see who's following this Mike Bai. On Twitter it is true that if you have certain followers and then run a paying campaign, you can choose to target the people you follow and follow specifically. What turned out to be? All the members of this house, all the ministers and party chairmen, everyone involved in telecoms and all the members of this committee were suddenly followed by Mike Bai. That means that he can focus sponsored, paid ads with certain potentially interesting things for his followers on them. I was on the list myself. The story went international: The New York Times also paid attention to it. Apparently, no effort was spared for the grand action, which also ran on LinkedIn and Facebook. The Belgian government was accused of being corrupt and was then called incompetent. Then again, it sounded like she was in line with the Americans and acted against the interests of her own people. I don't know if you've read Huawei's articles, but it's worth it anyway. Do you think the information from Knack and then The New York Times are correct? Have you had your services verify the information? What is your position? Do you think this is an acceptable means of pressure? It is possible that in other parts of the world this is one of the standard methods: if you do not get your way in one way, you can always try another way. Last time you were here, you said you were meeting representatives of the Huawei company. Has that happened yet? Will you address them about this? Doesn't this prove to China exactly what we're trying to make clear, namely that the country is not so close to our values, our politics, our way of doing business, transparency and use of social media or abuse of social media?
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u10	Mr Freilich, it is true that, for several months and recently, we have established an exceptionally high level and targeted nature of social media reports on 5G in general and on the consultation launched on the security of networks in particular. It is not obvious to establish precise links to the clients of such messages, but it goes without saying that we reject all fake news and slander campaigns. We will not fail to point this out to all stakeholders when we meet them. For fake news, we will also focus on the knowledge and learning platform over 5G, which hopefully we can expect in May. Thus, although it is not certain who is behind this campaign, China is regularly pointed the finger at similar practices by social media platforms such as Facebook and Twitter itself. Witness to this are the transparency reports that are regularly published by them. That's a statement we can make. In a wider context, the State Security has noted that China uses different means to manipulate the Belgian population. For example, China makes creative use of the principle of freedom of expression and freedom of the press to pursue its own interests which are not always in line with ours. Through such actions, China may even compromise our democracy. Those are the findings of the State's security. I have already had a number of meetings on this with all the security players in our country, in particular to inform me about this issue: State Security, Military Intelligence and Security Service, ADIV, Federal Police, Cybersecurity, Crisis Centre, Defence, Foreign Affairs, etc., all of which are experts. Of course, given the sensitivity of the 5G theme, I will follow this theme closely when new information is available. As far as 5G and security are concerned, a draft law will be submitted to the Council of Ministers shortly, in conjunction with the EU toolbox on 5G Cybersecurity and after the file was also discussed at the SCIV Strategic Committee on Intelligence and Security. The 5G dossier is at the crossroads of economic, environmental, security and international interests, in which we work together with the European partners and the Belgian stakeholders and not least the Parliament to find the right balance.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u11	Mr President, Minister, I am not afraid of what you are saying. I am shocked because it is important to hear from a Belgian minister who quotes the security of the state, that China is indeed using or using our social media in a rather creative way and is potentially compromising the security of the state. That is what we have been suspecting for a long time, and today we are hearing it. It's an important statement. My question was about a telecom company, Huawei, and your answer is not about the telecom company but about China. We see very clearly in your answer the intertwinedness between an independent company, because Huawei keeps saying that China is not a shareholder, that the Chinese state has nothing to say in the company, and the country of China. That makes it clear that this intertwinedness is very strong. That is also normal, because we know how business, business and government are dealt with in that country. That's very important to know. So we must not be naive and be fully aware of the cybersecurity threat posed by companies such as Huawei and China.
