Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-02-03-definitief-55-commissie-ic361x	ParlaMint-BE_2021-02-03-definitief-55-commissie-ic361x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-02-2021	2021-02-03	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VanLommelReccino	Van Lommel, Reccino	M	1986	
ParlaMint-BE-en_2021-02-03-definitief-55-commissie-ic361x	ParlaMint-BE_2021-02-03-definitief-55-commissie-ic361x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-02-2021	2021-02-03	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2021-02-03-definitief-55-commissie-ic361x	ParlaMint-BE_2021-02-03-definitief-55-commissie-ic361x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-02-2021	2021-02-03	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2021-02-03-definitief-55-commissie-ic361x	ParlaMint-BE_2021-02-03-definitief-55-commissie-ic361x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-02-2021	2021-02-03	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DermineThomas	Dermine, Thomas	M	1986	
ParlaMint-BE-en_2021-02-03-definitief-55-commissie-ic361x	ParlaMint-BE_2021-02-03-definitief-55-commissie-ic361x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-02-2021	2021-02-03	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2021-02-03-definitief-55-commissie-ic361x	ParlaMint-BE_2021-02-03-definitief-55-commissie-ic361x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-02-2021	2021-02-03	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DermineThomas	Dermine, Thomas	M	1986	
ParlaMint-BE-en_2021-02-03-definitief-55-commissie-ic361x	ParlaMint-BE_2021-02-03-definitief-55-commissie-ic361x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-02-2021	2021-02-03	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2021-02-03-definitief-55-commissie-ic361x	ParlaMint-BE_2021-02-03-definitief-55-commissie-ic361x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-02-2021	2021-02-03	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DermineThomas	Dermine, Thomas	M	1986	
ParlaMint-BE-en_2021-02-03-definitief-55-commissie-ic361x	ParlaMint-BE_2021-02-03-definitief-55-commissie-ic361x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-02-2021	2021-02-03	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VanLommelReccino	Van Lommel, Reccino	M	1986	
ParlaMint-BE-en_2021-02-03-definitief-55-commissie-ic361x	ParlaMint-BE_2021-02-03-definitief-55-commissie-ic361x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-02-2021	2021-02-03	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2021-02-03-definitief-55-commissie-ic361x	ParlaMint-BE_2021-02-03-definitief-55-commissie-ic361x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-02-2021	2021-02-03	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2021-02-03-definitief-55-commissie-ic361x	ParlaMint-BE_2021-02-03-definitief-55-commissie-ic361x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-02-2021	2021-02-03	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
