ParlaMint-BE_2021-05-06-definitief-55-plenair-ip101x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2021-05-06-definitief-55-plenair-ip101x.u2	Madam President, Prime Minister, this Tuesday, in the Committee on External Relations, we had to hear from academics, journalists, representatives of non-governmental organizations (NGOs), but also a survivor of the genocide that is now taking place in Xinjiang province of China with regard to the Uighurs and other Muslim minorities. These people have taken enormous risks to come and testify in our Parliament. Today, all over the world, but also in Belgium, MPs are blacklisted because they defend the rights of these minorities. So I dare not imagine what this Chinese government is holding for these whistleblowers, these survivors and their families right now. I dare not imagine what they risk by courageously denouncing what looks like the darkest pages of our history. Except that these hearings, like all the other proceedings of this Parliament, have been cancelled. As everyone knows, this is a cyberattack that hit Belnet, Parliament's Internet network, but which also affects 200 government organisations, universities, research institutes and sites such as Tax-on-web. An investigation will obviously have to determine whether or not a cyberattack of such magnitude, on the day of such a crucial hearing in such a sensitive case, is a coincidence. Nevertheless, it is our democracy and the functioning of our State that have been affected in the heart of it. Therefore, Prime Minister, can you tell me if we know more about the origin of this cyber attack today? Would personal and sensitive data have been stolen from databases? What are the means currently being put in place by the government to combat cybercrime? Finally, what diagnosis do you make about the security of this internet network? Can it be strengthened? If not, what other solutions do we have today?
ParlaMint-BE_2021-05-06-definitief-55-plenair-ip101x.u3	Prime Minister, the world is becoming more and more dangerous. Moreover, the danger remains invisible for a long time. Our digital connections are a great asset, but they also make us very vulnerable. Is Belgium, our State, sufficiently armed for the dangers of the 21st century? Colleagues, there was a test two days ago, for which we failed. There was a DdoS attack, not the most difficult type of hacking. The result was huge. Vaccination centres were not safe; universities were not safe; our work here in the Chamber was not safe; students could not take lessons; telework was difficult. It was an attack on our way of life. It was an attack on our democracy. Let me be clear. We could see that attack. As a shot at the bow, we got the signal that they could hurt us if they had to. I therefore have two concerns. First of all, what happens if it's really serious? Secondly, what is happening now that we are not seeing today? Prime Minister, our hospitals depend on the Internet. Our intelligence services depend on the Internet. Even our vaccinations depend on the internet. Today people very often choose a job in a company instead of a job in our security services. However, safety must not suffer from competition. First of all, how will you attract the right profiles? Secondly, how safe are we from invisible attacks? Is that going to be on the agenda of our secret committees? Shall we learn lessons from last week's incident?
ParlaMint-BE_2021-05-06-definitief-55-plenair-ip101x.u4	Madam President, Prime Minister, our government was attacked through the network of 257 000 places in 29 countries. Belnet, the Internet provider of our government, was the victim of an organized cyber attack on Tuesday. Websites and servers were deliberately targeted with useless requests to block them. The network of 200 public administrations, universities, colleges and also our Parliament was shut down for hours. Online courses dropped out. Employees didn't have the Internet. Online meetings could not take place. In these corona times we have become more dependent than ever on the internet. Young and old, large organisations and local non-profit organisations, all take a digital step forward over the past year. This attack is therefore a very important wake-up call and warning to us. Cyber safety is crucial and requires an integrated approach. Both Internet providers, citizens and businesses and our government will have to step up their efforts. Even more investing in cybersecurity will cost money, but hundreds of organisations and their thousands of employees experienced or couldn't even work at all on Tuesday, and that also brings with it a huge social cost. You know that CD&V always strives to be one step ahead of crime. We must also be one step ahead of Internet crime. What do you think is the estimate of the impact of the damage? How many employees and students couldn't work? Are there any indications that crucial data has been stolen or that cybercriminals have been able to infiltrate our networks? What steps will you take to make Belnet more robust? [[...]]
ParlaMint-BE_2021-05-06-definitief-55-plenair-ip101x.u5	Prime Minister, this Tuesday, as we were about to start our afternoon meetings here in the House, we learned that these could not take place as a result of a malicious computer act, a cyber attack. It quickly became apparent that this was a DDoS-type cyberattack, based on the principle of massive data sending to a server in order to render it inoperative. It was directed against the Belnet network. The consequences have been significant, as more than 200 organizations depend on this network. Not only the Belgian public services, but also the universities, the research centres of our country, and even our House of Representatives. Although the consequences were fortunately limited and temporary, this event raises many questions in terms of security. As we know, cybersecurity is a key area for the future. The development of our knowledge and skills in this area must be a top priority. This was again recalled this morning by the military intelligence boss. Prime Minister, is the situation under complete control at this time? What information do you have about this case? It is known that following a complaint from the Federal Computer Crime Unit, an investigation by the prosecution is under way. Do you have a vision of how this is going? How long can the conclusions be drawn? Do you have any evidence to raise suspicions, or, on the contrary, to rule out leads, with respect to the authors and their motivations? More broadly, how is our country preparing for the possibility of new cyber attacks on an even wider scale? I am thinking in particular of military services, of our hospital services, and I am moving on. Does this matter have the priority status it deserves in your government? Finally, I would like to draw your attention to the breakdown of competence in this area, in the hands of several ministers. This is a Belgian reality in all areas. The matter is in the hands of your administration, but it is also in the hands of the Minister of Defence and the Minister of the Interior. What is your vision on this point when the cyberattack file is absolutely crucial? Thank you for your answers.
ParlaMint-BE_2021-05-06-definitief-55-plenair-ip101x.u6	Madam President, the cyberattack we have witnessed this week was of an unprecedented magnitude. As you point out, Mr De Maegd, more than 200 organisations experienced problems with their operation or considerable delays in their services. Here in Parliament too, Mrs Rohonyi, some work could indeed not continue. This also applied to administrations, colleges, universities, hospitals. We also saw that............................................................................................................................................................................................................................................................. That is indeed quite challenging. But I would nevertheless like to emphasize the professionalism of the Belnet teams who have made every effort to restore connections as quickly as possible. In addition, the cyberattack could be identified very quickly, which allowed us to take the necessary steps to deal with the situation we were facing. Unfortunately, cyberattacks have become daily not only in our country, but also in other states, with consequences comparable to those seen this Tuesday. The private sector is also involved. In Belgium, three out of four companies saw their computer system infiltrated this year. The incident we have experienced is an opportunity to remember that today we are living in a world that has to face a new reality where this kind of crime has an impact that can have a lot of impact on our daily lives. It is also an opportunity to remind us of the importance of investing in infrastructure and its security. What's important? We have not waited for this attack to become aware of the fact that cybersecurity must be part of our policy. The government, like the previous governments, has invested in the services to organise cyber security. In part, this is done by the government, partly through public and private cooperation. In this year's budget review, additional resources have been made available for cybersecurity. Cybersecurity was also an important component of the investment plan that we submitted to the European Commission last week. It is clear that in the coming years we will continue to invest in the quality and protection of the crucial infrastructure. In concrete terms, on 20 May, as already planned, we will be discussing an updated cyber strategy in the National Security Council, which has been developed by the CCB in cooperation with the intelligence services and the security services. We were already working on this, but the cyber attack shows how pertinent it is to come up with an updated strategy, which should also tell us whether our investment path and policy model are adapted to today's situation. As far as Tuesday's case is concerned, the analysis is under way today to try to understand the origin of this attack and the damage and consequences, such as data thefts, that could have taken place. So far, nothing has been confirmed. The analysis is still under way. A complaint was filed with the Federal Public Prosecutor's Office to investigate the case. This is a new reality almost daily. The government's priority for management and investment in this area is therefore justified. This new strategy will be debated, and more may need to be done, as developments in this area are fast and we must be sure that we are up to the challenge.
ParlaMint-BE_2021-05-06-definitief-55-plenair-ip101x.u7	Prime Minister, thank you for your answers, but also for your investment in our fight against cybercrime. The problem is that we have a considerable delay in this regard. It was therefore urgent to inject the budget that you recalled earlier into our workforce, in particular by filling the cadres of both the Federal Computer Crime Unit (FCCU) and the Regional Computer Crime Units (RCCU). As you rightly pointed out, we must constantly update our cybersecurity strategy. It's fundamental. Since you have not replied to me in this regard, I would also like to point out that your government agreement specifies in particular a legal framework to "avoid any malicious foreign intrusion into our critical infrastructure". Irrespective of the results of the current investigation, it is essential to look at this legal framework both to protect our institutions and all our businesses and to protect the right to privacy of our citizens, but also to defend fundamental rights and freedoms in Belgium and elsewhere in the world.
ParlaMint-BE_2021-05-06-definitief-55-plenair-ip101x.u8	Thank you, Prime Minister, for the answer, but I must conclude that the approach to cybercrime is too fragmented. A solution at the moment is not enough, a structural change is necessary. How do we put all these responsibilities together? The division of powers makes it far too easy for our opponents. I'm glad you brought this case to your attention immediately. Cybercrime is one of the top three crimes committed in our country. If you draw that towards yourself, it is the best guarantee for a longer-term solution.
ParlaMint-BE_2021-05-06-definitief-55-plenair-ip101x.u9	Prime Minister, I am pleased. You speak of an updated cyber strategy and I have already heard Mrs Crevits say this morning that she wants to invest in additional resources for businesses. Mrs Verlinden has already said that she wishes to recruit additional IT profiles from the police. In my view, it is important to look now, together with the government, the states, the companies, the citizens and the Internet providers, to see whether a master plan can be drawn up that will bring all aspects together. I fear that crime through the net could become the most important crime of the future. I would therefore ask you to draw up a major master plan for this.
ParlaMint-BE_2021-05-06-definitief-55-plenair-ip101x.u10	Prime Minister, ladies and gentlemen, this is a very sensitive issue. It must be measured, because it is the heart of the state and democracy that has been reached and paralyzed, but also public administrations, universities and research centres. Prime Minister, you are telling us that three out of every four companies are affected by cybercrime. Who tells us that tomorrow it is not crucial software from hospitals or military centres that will be targeted, with the consequences that we can imagine? Like you, I look forward to hearing the findings of the prosecutor's investigation. You're talking about the strategy that will be updated. I welcome this, of course, since, as I was telling you, this competence has broken out between your administration, the Defence and the Interior. Perfect integration is obviously desirable in order to better combat this phenomenon. The recovery plan foresees investment of EUR 79 million in this area. It is important to maintain the effort. That's a good signal. Prime Minister, our country is home – and this is an opportunity – to particularly successful actors in this field. I am thinking of the European Centre for Security and Space Education (ESEC) in Redu or the global figure of RHEA in Transinne. Therefore, as the saying states, the shoemakers should not be the worst-fitting ones. Thank you.
ParlaMint-BE_2021-05-06-definitief-55-plenair-ip101x.u11	Mr Prime Minister, if even the United States supports the lifting of patents on covid vaccines, then the question arises as to what Belgium is waiting for and what Europe is waiting for. Yesterday was the day. The U.S. was plunging under the global mobilization. Similarly, global support for the lifting of patents is growing. I brought the map. This card colours greener every day, but Belgium and Europe still color red, red of shame. Belgium is still in the club of countries that puts the profits of the pharmaceutical industry above public health. Last week we heard this also here because of our interplay. We'd send in our leftovers and do charity. Mrs Kitir literally said: 'I have not said anywhere that I want to abolish the patent'. Farma.be could go to sleep quietly, because in the morning it had been announced that people would listen very carefully to what the Belgian government would explain in the afternoon. So the pharmaceutical companies could sleep on their two ears. Prime Minister, I think our position has become untenable today. This morning, many statements went in the right direction. The European Union has also expressed its willingness to discuss the proposal. I think the time for talking is over. It's time for action. It's time to scale up production and lift the patents. Prime Minister, I want a concrete commitment from you today. I want to know what Belgium's position is. Will we finally support the lifting of patents or not?
