Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DeCaluwéRobby	De Caluwé, Robby	M	1975	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DeCaluwéRobby	De Caluwé, Robby	M	1975	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DierickLeen	Dierick, Leen	F	1978	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DierickLeen	Dierick, Leen	F	1978	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DierickLeen	Dierick, Leen	F	1978	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FreilichMichael	Freilich, Michael	M	1980	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DierickLeen	Dierick, Leen	F	1978	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	GilissenErik	Gilissen, Erik	M	1968	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	GilissenErik	Gilissen, Erik	M	1968	
ParlaMint-BE-en_2021-06-30-definitief-55-commissie-ic533x	ParlaMint-BE_2021-06-30-definitief-55-commissie-ic533x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-06-2021	2021-06-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
