ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u1	Debates of the European Parliament 55014569C by Mr Moyaers has been postponed.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u2	On 17 February, De Standaard reports that the low interest rate puts a bomb under the supplementary pensions. A few days later, Assuralia announced that the guaranteed minimum return of 1.75 percent on supplementary pensions should be further reduced due to persistent low interest rates. They believe that this debate can no longer be postponed.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u3	Mrs Vanrobaeys, it is indeed the government's ambition to democratize supplementary pensions. We want them to be accessible to everyone and not just to the happy few. We will only be able to live up to this ambition if employees also have confidence in the second pillar of pensions in a context of low interest rates. For this purpose, the legal guarantee of return is of fundamental importance. We cannot ask people to invest part of their salary for 20, 30 or 40 years unless they are guaranteed that that investment will at least retain its purchasing power. I would stress once again that the legal guarantee of return is not a guarantee in the short term, which must be given every year. No, it is a long-term guarantee, in which good and bad years can be compensated. If we cannot promise people that their average long-term return does not reach at least the level of inflation, then we should stop. In times of low interest rates, it is all the more important to pay close attention to the costs. The costs have a major impact on supplementary pensions. As the coalition agreement stipulates, we will accurately assess and analyse the costs charged by financial institutions under the second and third pillars. In consultation with my colleagues, the finance and economic ministers, we will call on the FSMA to do so. That assignment is currently being prepared.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u4	Thank you for your reply, Madam Secretary. I did not expect anything else from you, but I am very pleased, because it is true that a supplementary pension should not become an investment product. The insurance companies announced that they would reduce the return once again, after it had already been reduced. People who have a supplementary pension are already building up less for the future than what they built up before. If that happens again, we'd better stop it, as you say. There is little point in using generalization. If it is to be part of the supplementary pension policy and if it is generalised, then there must be certainty, and a minimum return of a certain amount, so that people know what comes out in the longer term. That doesn't have to change every year, because then it doesn't make much sense.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u5	Madam President, as has been said this morning, the PTB is sorry that a lot of questions that we would have liked to delete are on the agenda, but our colleagues have not been able to reach the platform. Mr Colebunders will therefore not ask his question. I'll question the minister. Minister, this issue is targeted at young people, particularly students. We have already had the opportunity to discuss it, among other things, in the context of a bill tabled by the PS Group which we supported, in any case on principle, in order to examine how we could solve the concrete problem of all these students who work to finance their studies and who, with the covid period, find themselves in complicated situations. There are many young people joining the already long lines of food support. Minister, what help do you intend to put in place? On February 3, 2021, the president of your party issued a statement in the press, saying that he was going to present to the Concertation Committee a proposal concerning the incomes of these students? Can you tell us where that is?
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u6	Madam President, Mrs Moscufo, the crisis has had a very heavy impact on our young people, whether they are students or not. I don't make a difference. Indeed, there is a lot of talk about young students, but it is not just young students who suffer. It is the young people in general who have difficulties. They suffer socially, psychologically and, of course, financially, as you have pointed out, to such an extent that some people plunge into situations of poverty and, in particular, resort to food aid. You've heard them like me almost every weekend. Young people have expressed their ill-being and distress. They did it with great maturity. I would like to say that today we must thank the young people because, for the past year, they have put their youth, their carelessness in brackets, to save the most vulnerable. We often forget to tell them. We only point out young people who have done stupid things or who do not respect the rules. But for the vast majority of them, they were brave and respected the rules and, today, they suffer on the three levels that I mentioned (social, psychological and financial). The government will not forget these young people, of course. I do not want these young people to become a generation sacrificed psychologically or weakened in the medium or long term. Together with my colleague Pierre-Yves Dermagne, we have asked for additional resources only for young people between the ages of 18 and 20 and we have obtained them just before the Carnival leave: 30 million euros have been released by the government to support these young people, whether they are students or not. They will be distributed as follows: 24 million will be distributed among the CPAS for their right to direct aid, whether ad hoc or more structural, to young people who have been disadvantaged by this crisis. Direct aid may be financial or more social in nature, but it will always meet an individual need of the young person with a completely reduced social survey. These 24 million are for young people under the age of 25 who have suffered a loss of income – for example, if they have not had their student job – or who are facing an increase in their spending. This subside will be available from 1 April – we are working on the circulars – until 31 December. I encourage young people with financial problems to contact CPAS. The aim of this subsidy is to tell these young people that we do not want to add stress to stress. They are already very stressed, suffering from isolation, we do not want economic stress to make it more difficult for the more disadvantaged to have their June exams. Everyone must have a chance and financial problems must no longer be a burden. In parallel with these 24 million, EUR 6 million will be spent on the increase of the intervention on individual social integration projects (PIIS), from 10 to 20% from 1 April to the end of June. This €6 million increase will allow CPAS to step up the necessary support for these young people towards training paths, sustainable employment and further education. I will, of course, continue to monitor the situation very closely and I will not fail to propose further measures to the government if this proves necessary during this crisis. As for what happened in Kern, not being there, I can't answer you. I'm not Deputy Prime Minister. The important thing is that these means have been released for our youth in addition to the psychological support released by Mr. Frank Vandenbroucke in recent weeks.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u7	Minister, you say that if it were necessary, you would propose further measures to the government. But the return of the ground already shows us that it is necessary. We do not want to sweep away the concrete proposals that you have just explained to us. With regard to CPAS and the problems it creates at their level, this will be the subject of a later question. The point about the question you were asked was to say that when a student needs to work to finance his or her studies and that, overnight, he or she loses that income, he or she actually loses the possibility of being educated. Our country is one of the most unequal countries in terms of education. Unfortunately, this crisis only worsens things. It will not be a question of continuing with measuring instruments. The measures for us are not satisfactory. We agree with you that the problem of youth today is not only that of young students, but of youth as a whole, which also requires some oxygen. This subject is a little out of place in relation to the discussion, but as you open this debate, the young people are also waiting for a rebalancing through the communicating vases and for a bit of oxygen to be given to them. In relation to this pandemic, the suffering is great for them, especially since some political trends are not hindered in making them feel guilty. As you said, most of them have respected the rules as best they can. We will come back to the follow-up of the measures we feel we need to be far more ambitious than what you proposed, Minister.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u8	You can say that in relation to the rate of use of the 30 million. It is unambitious on your part to say that this is not enough when the implementation of the measures has not yet begun. It's a little easy. In the meantime, the 30 million are here!
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u9	Madam President, Madam Minister, we have already had the opportunity to address this subject before, in a topical debate, I think. My question concerns the feedback – you also have it yourself – on the difficulties facing CPAS. They have an overload of work, mainly due to the fact that more and more demands are coming to them. Minister, my questions are as follows. How do you respond to those who say that the $20 million released to cover the increase in staff costs for 2021 will not be enough? Are you going to grant any other means? The president of CPAS Walloons reported that between 2008 and 2019, a 56% increase in the number of cases was registered in Wallonia, with only 2% of the increase in staff. This problem dates back to the pandemic. What about the other regions? According to him, in 2020, cases increased by 10 % in Belgium and an increase of 15 to 30 % is expected in 2022. So how are you going to create a more serene and lasting situation in the country's CPAS, also in the longer term? The president of CPAS Walloons argued for a rather structural increase in the federal rebate rate to 90%. It calls for more recruitment because this creates a double problem: a problem of overloading staff and a problem of efficiency. Despite all the good will that works in the CPAS, there is an impossibility to address the situation of beneficiaries properly in order to arrive at a linked file that leads to the obtaining of their rights. Nor is it possible to have a more humane approach, which is also the role of the CPAS, beyond the financial aspect.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u10	Madam President, Mrs Moscufo, let me point out that it is far more than 20 million euros that have been released to support the financing of CPAS! I don't know where you found that $20 million! On my initiative, the government has increased the resources allocated to each CPAS for operating costs related to the granting of RIS by 8%. I would also remind you that all new RIS have been reimbursed at 90% since the crisis and that this measure is extended until the end of June. Federal State participation has doubled (from 10 per cent to 20 per cent) in youth policies and PIIS. We know that tension is high in the CPAS, which are at the forefront of this crisis. We are all here, and I in particular, to support them. Regarding the increase in the number of RIS, I also read the article of the president of the Federation of CPAS of Wallonia. I can only give the figures provided by the Planning Office. They have already acted for 2020 with an increase of 6.9% and an increase of 8.1% is expected in 2021. I hope that the catastrophic figures mentioned by the President of the CPAS Walloons, Mr Alain Vaessen, will not be realized and that the social policies put in place will not see 30% increase in the demand for RIS in the Walloon municipalities. In any case, that is not what I want and we are trying to carry out active policies so that this does not happen. CPAS have been much more supported than you say. We are in constant contact with the country's three CPAS federations in order to best meet the needs, in addition to the efforts that are being made at the level of the Regions. Indeed, much of the policy of the CPAS is the responsibility of the Regions as a result of the sixth reform of the State.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u11	Madam Minister, I would like to begin with a parenthesis: you and other members of your party tell us every time we say the phrase "there is only one", when that is not the case! I feel like you're bloating on what we're saying. It's just a little parenthesis, all the more so since I made it clear that I wasn't sweeping your proposals with one back of my hand. I'm concerned about that, but I'm sure you have your reasons and I respect them. I am not the one who claims that there is a problem and that the situation as it is, despite what is already in place and will be put in place, will not suffice. He's the president of CPAS Walloons. I respect the people who are in the field, because I only have an outside look at it. Above all, I live in a municipality in the region of Liege, in Herstal, and I can tell you that the returns of the land are not good on the two aspects that I put forward. We remain convinced that, in any case, refinancing must absolutely come from the federal government. As a party, our view is that there has been too much regionalization. That's not right. CPAS really need to be refinanced at the federal level, otherwise it's a vicious circle. The actors on the ground at the level of the communes are allowed to manage as they can, with communal councils which must then transfer money in a solidarity way via the CPAS. So we're really not going to get away with this! We will not fail to measure the impact of the measures you have outlined, and we will soon come back to this issue.
