ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u1	Madam President, Minister, I refer to my written question.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u2	Minister, I also refer to my written question.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u3	Minister, Mr Van Hecke has indicated that he has been held back in another committee, so I will give you the floor immediately for your answer. Perhaps colleagues were not aware of the fact that they had to be physically present today.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u4	Madam President, ladies and gentlemen, I think it is a good thing that we in this committee can take the time to debate this issue. I also read the article in Knack today. On the facts themselves, I will show the necessary caution for two reasons. Firstly, this is an ongoing case, in which the Antwerp juvenile court delivered a decision on 14 February and against which an appeal was brought by one minor for the time being. That appeal will be dealt with on 4 March. However, the time limit for bringing proceedings is still running, which means that other parties can still appeal. The second reason why I will be reluctant, as far as the facts are concerned, is that Article 433a of the Criminal Code stipulates that the judiciary must be reluctant to communicate on matters involving minors. So I am not coming, and I stress that, in extreme cases, back to the facts and I do not want and will not fall out of my role as Minister of Justice. I do not do that least in the interests of minors. Ladies and gentlemen, you have found that a great many judges in public opinion have talked about this case in recent days. Everyone has the right to do so, but not the Minister of Justice. I'm allowed and I can't. It is essential to stress here that I cannot and should not speak on an individual matter because the trias politician, in particular the independence of the judiciary in an individual case, as provided for in Article 151 of the Constitution, commands me, as Minister of Justice, to refrain from individual and ongoing investigations. There is an appeal that cannot possibly be crossed by the Minister of Justice, a prejudicing minister. I also know the facts neither the suspects nor the context such as the parquet magistraat and the juvenile judge know them. The Minister of Justice is not the appeal body. It will be the Juvenile Appeal Board that will decide whether or not the measures were proportionate. Justice must be able to do its job independently, as it should be. Does this mean that there can and should be no public debate? On the contrary. The public debate is one of the essence of our democracy and the free press must do its job. Law does not take place in a vacuum and justice is not formed in an ivory tower in which only magistrates go, but as Minister of Justice I have to keep away from it. Ladies and gentlemen, I shall therefore confine myself to the timeline and the following elements. The North Police Zone received a call from the radio room on Saturday 13 February at 11:08 p.m., which specifically reported a lockdown party. The police were on the scene at 11:23 p.m. at a house in Kapellen. Seven minors, 14 and 15 years of age respectively, were found. Pz Noord brought the minors around midnight to the Commissariat van Kapellen, where the young people were received in two interrogation rooms. The parents arrived at the scene drove behind the police and could speak to their children. The other minors were given the opportunity to call their parents. The police provided food and drink and provided for the use of sanitary facilities. The interviews with the assistance of a lawyer Salduz IV were prepared by the police, which means, among other things, that the lawyers are contacted to provide assistance in the interrogation. The interviews of the seven minors started on Sunday in the early morning at 01.53 hours and were completed at 05.33 hours. Pz Noord finished the interviews and the minutes, so they could be delivered to the courthouse. The minors were taken by Pz Noord to the Butterfly Palace in Antwerp in two movements from 10.20 a.m., where they were registered at 11.10 a.m. that same Sunday. The District Attorney's Office formalized the juvenile court's claim on Sunday 14 February at 10.40 a.m. Then the young people were arraigned one by one before the juvenile judge, who took interim measures. After that appearance before the juvenile court, the first minor was written out at 1 p.m., or 14 hours after the facts. The last one was written out at 5:20 p.m., 18 hours after the facts. Since there was not a corona safe place for everyone in the youth court waiting area, some of them had to be accommodated by the services of the DAB, the security corps, in transit cells for minors, which are present in the courthouse. The picture shown in a particular newspaper is not the cell in which the young people stayed. Now I come to the questions about the Antwerp Public Prosecutor's Directive and the College of Attorneys General. The policy of the Antwerp parquet on illegal lockdown parties was already developed at the end of October and communicated at the beginning of November. In the judicial district of Antwerp, the real need for clear and strict enforcement was felt in the field. In that arrondissement, in the city itself, but also in the outskirts, more and more police interventions were needed at that time for such illegal celebrations. It even happened that such a party was shut down, but that the police simply had to come back an hour and a half later, as the party had begun again. At that time, the number of corona infections was also rising, the so-called second wave, and the end of the year was awaited with a scared heart. The Antwerp District Court repeatedly communicated through various media channels about its approach, namely that the majority of participants in such parties would be subpoenaed before the police judge and that minors risked arrest and preliminaries in the juvenile court. The local directive of the Antwerp parquet specified the concrete, strenuous conditions that should be available to lead after a lockdown party. In the spirit of this local directive, even after a lockdown party, the lead is the strictest handling and exception. That approach was not called into question at the time, quite the contrary. I even had questions in this committee and in plenary whether the Antwerp approach could not be applied nationally. Effective enforcement of the corona obligations was, after all, a matter of national public health in the interest of the vast majority who did abide by the rules, for which I am grateful. With this approach, the Antwerp parquet was at the forefront. You will also remember the footage on Het Journaal van VRT about the sessions of the police court in Antwerp for adult participants at such parties, only a few weeks after the facts. A few weeks later, so after the parquet of Antwerp, in mid-December last year, the College of Attorney General communicated his modified and stricter COL 6/20. In that COL the stricter approach to illegal parties was given, but at the same time the dots were put on the i for determinations with drones on private domain. On the possibility of pre-emption of minors, the Directive said: "In view of the circumstances, an immediate arrest at the court or juvenile court is not appropriate, except in the event of a very serious and/or repeated threat to public security, for example when a minor continues to ignore a co-training ban or when a minor spits on people or when a minor calls for non-respect of measures." The development of local policy is not illegal, quite the contrary. It is through a local approach, often in good consultation between the local prosecutor and the mayor or mayors of the police area that one can respond to specific local problems. The mayors on this committee will not contradict me. The development of local policy is not exclusively reserved for the enforcement of covid rules. Other phenomena often require a tailor-made approach. I refer to the zonal security plans and the zonal security council, and also to Article 28b, § 1, of the Code of Criminal Procedure, which provides that the local prosecutor can determine his priorities. So, Mr Van Hecke, we must be careful to conclude that the local parquet with its own directive would lead to fragmentation of enforcement. It is precisely in order to avoid arbitrariness that Article 151 of the Constitution provides that an individual magistrate is independent in an individual case. This can lead to different decisions of magistrates in similar cases. The independence of jurisdiction is about the independence of a magistrate who takes a decision. However, I agree with several of the questioners that a notified person is worth two. Transparency and communication of policies are therefore essential. In that sense, you will have identified the breach of style, namely a proactive communication policy of the Public Prosecutor's Office, including the College of Attorney General. I'll bet on that. I come now to the application of the directive to this matter. It is clear that a decision of a magistrate in an individual case must always be proportionate and proportionate to the concrete measures taken by the case. The fact that a lead after deprivation of liberty has always remained the exception is illustrated by a few figures. Since mid-March 2020, the Antwerp District Court has received around 3,000 files on minors who in one way or another committed infringements of the covid measures. Specifically with regard to lockdown parties, some 30 minors have been arraigned before the juvenile court since the policy developed in November. Among these were remarkably often facts at Airbnb locations or in hotel rooms, regularly combined with aggravating conditions such as the presence of drugs or nitrous oxide or in the context of the problems of the so-called runaways. On the weekend of 13 to 14 February, the magistrate of the Public Prosecutor's Office took the strictest possible decisions within the framework of the possibilities offered by the directives, namely the immediate removal of liberty with direct preliminaries. As the parquet itself communicated last Tuesday, this policy is constantly evaluated and, if necessary, adjusted. This also happened after a discussion between the prosecutor and the Flemish Commissioner for Children's Rights, who expressed her concerns about this case. My cabinet also had a meeting with her about this. Indeed, the Commissioner for Children's Rights emphasises the International Convention on the Rights of the Child and the Decree of 15 February 2019, the so-called child test. The guidelines for the magistrates were further defined and specified. It was stressed once again that deprivation of liberty with a view to pre-treatment is and must remain the exception. The Antwerp parquet further emphasises that the policy pursued is differentiated and layered. A tailor-made approach is sought. Depending on the infringement, the seriousness and circumstances of the facts, as well as the specific situation of the minor, the action may consist of a warning letter, a reminder of the law, a summons to the court for action, in particular a proposal for the revocation of the criminal proceedings following the execution of conditions, or a positive project, or a claim for the juvenile court in accordance with the Juvenile Law Decree. An action by the juvenile judge may, taking into account, inter alia, the circumstances and seriousness of the facts and personality of the minor, be accompanied by a direct lead before the juvenile judge. All these modes of handling were and are used by the public prosecutor during the current covid period in the handling of the various types of infringement. In addition, the Antwerp parquet works, often in collaboration with partners, on specific projects that fit within this tailor-made approach. At the request of the parquet, a specific ten-hour learning project COVID-19 was developed by the city of Antwerp for recidivists. This consists of two main parts: a group-oriented range of training, focusing on psycho-education and sensitisation, and experience-oriented actions and activities, focusing on recovery to our society. This learning project is presented by the public prosecutor not only to minors who have participated in such parties, but also to minors who have committed multiple covidin infringements, the so-called covididivists. The decision of the parquet magistraat was made on the basis of all the elements provided by the police, on which I do not go any further. I understand the decisions of the magistrate can be harsh. As a father, I can also express that reflex, but I am not answering here today in this committee either as a father or as a citizen. I answer you as Minister of Justice. I understand that the decisions of the magistrate can come across harshly, but that does not mean that the decisions taken, the arrests and the arraignment to the juvenile court have been unlawful. What we are talking about here is the proportionality of the measures taken. On what is proportional and what is not, the Minister cannot express his opinion in an ongoing procedure. Lawfulness, subsidiarity and proportionality are essential concepts, especially when it comes to a measure of freedom of movement or restriction. We then come to an infringement of Article 15 of the Constitution, namely the individual freedom of a person. And that is why this debate is in order. The judiciary, in particular the prosecutor's office, prosecution policy and the punishment of the judge, shall be independent in an individual case. This applies not only to me, but also to the entire government. As far as the prosecutor's office is concerned, it is standardized by means of national directives. A local parquet can, according to specific needs, lay its own accents. It is in the provision of that general criminal policy that the Minister of Justice can and also plays his constitutional role, without interfering in an individual case, let alone an ongoing case, and without criticizing magistrates for being alien, too lax or too strict. Popularism begins where the legislative and executive powers comment on the judiciary. Popularism thrives when those same powers give the people the impression that they can be judge. This is how it is done in an autocracy, in a dictatorship, but fortunately not in a democracy. I decide. Some journalists wrote a bit surprised, and I quote: 'The Minister of Justice continued to support the public prosecutor's office'. Just the opposite should surprise. If a magistrate acts legally, it is obvious that the Minister of Justice does not dispose of that magistrate, because just there lies the defence of the rule of law.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u5	Thank you, Minister, for the detailed answer I shall be reading. I understand your reluctance when it comes to the facts. You are defending the approach of the Antwerp parquet, because the parquet has acted legally, but perhaps this also means that the framework needs to be clearer. This seems to me to be contrary to the letter. I'm not the only one with that opinion. For the sake of clarity, I can also understand the public prosecutor, in the sense that the public prosecutor gets ambiguous signals, including from the policy. We have to wait for the facts and the investigation, but what happened doesn't seem to be okay. There is therefore a practice that is more stringent than the letter prescribed. Apart from the facts, it must be possible to answer the questions in abstracto. Is the prior organisation of a party consistently considered to be a very serious threat to public security, which requires an immediate arraignment? If not, can the Antwerp parquet just deviate from that circular letter? Is it okay that the Antwerp parquet seems stricter than what was stipulated in the circular? Let us not lose sight of this proportionality, not only in Kapellen but elsewhere, not to mention Brussels. More important than the question of whether or not this policy is contrary to the circular is whether or not it has been good. I am counting on you to clarify this and further clarify that framework in the interest of effectiveness, to ensure that people and young people do not say foert against compliance with the corona measures.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u6	Thank you, Minister, for the comprehensive answer. Because of the separation of powers and because the case is still ongoing, you have not been able to outline the whole of the facts. A picture in the newspaper indeed creates a certain image in a certain atmosphere. I understand the parquet. They must ensure that the corona measures are respected, but there is indeed proportionality. I don't want to be a judge, but for a grown-up, a arraignment can only take place from a year in prison. We're talking about minors here. We do not know the facts in this case, but we must note that we regularly read in the press examples of minors who are fined. I am thinking of minors who stand on the balcony of a barn and who are fined, even though they live together and children who come back from the youth movement and are talking too much to a person for too long. I do not think this is very good for the support of the corona measures in themselves. We look forward to the follow-up to this case.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u7	Mrs Rohonyi, I saw that there was also a question in this debate. I don't know if you heard the answer. Would you like to reply again?
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u8	Yes, absolutely, Madam President. Indeed, the separation of powers is a fundamental principle to which my party is extremely committed, but I would like to stress that your role, Minister, is to establish a framework to ensure that the fundamental rights of litigants can be respected, whether they have contravened rules or not. For the rest, many issues remain ultimately outstanding in this case. But many other cases can be involved, as people feel a completely legitimate fatigue with regard to health rules. The proportionality of health measures and related sanctions is in question. Can non-compliance with the social bubble justify an all-night arrest and detention for minors? Has the Police Function Act been respected? Has the circular of the Attorneys General of 2 February been respected? In particular, the circular states that an immediate presentation to the Public Prosecutor's Office or to the juvenile judge is not in principle appropriate unless there is a serious and/or recurring danger to public safety. In this case, was there any such case? You'll allow me to doubt that. The question of compliance with the Salduz procedure also arises. How long did the arrest last? Did the police use force? Were the minors handcuffed at the time of their arrest? If this is the case, it must be justified by the circumstances; the law on the police function specifies it. Prior to their hearing, were minors deprived of their liberty informed of the facts alleged against them, as well as of their right to silence, their right to consult their lawyer or to be assisted by their lawyer during their hearing? All this remains unanswered and I do indeed expect much from the ongoing investigation. If there has been non-compliance with all these rules and if the adolescents concerned have been detained in inhumane conditions, as has been reported by the press, I believe that this cannot really remain without consequences. Thank you.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u9	Minister, on Wednesday 27 January I asked the Prime Minister about the escalation of cybercrime. This question was raised at the end of November 2020, which may make the situation somewhat different today. I then asked whether it was true that the police in the weeks before, in consultation with the prosecution, could only in limited cases carry out further investigations after citizens' reports. The Prime Minister referred me to you for that question, and that's why I came here today. At the same time, on the same day, you replied to a question about cybercrime that there is a very great need for additional resources in the police and the prosecutor's office. You also confirmed that these points are included in your policy statement. Is it true, Minister, that in autumn 2020, in consultation with the prosecution, the police were forced to enter into a situation in which only in a limited number of cases they were carrying out further investigations into reports of cybercrime by civilians? If so, what is the situation today? You yourself indicated that the need is high. What is your plan of action on this matter these days? What timing do you use?
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u10	At the level of the College of Attorneys-General there are no national directives establishing such agreements between the police and the public prosecutor. The follow-up policy by the King's Attorneys takes into account the individuality and concrete situation in each arrondissement and the available resources and capacity in the police and the police. Every file is different, too. In many research into computer fraud and scams on the Internet, it is often difficult to find clues on which further research can be carried out. I do not know whether you read the interview with Mrs De Bolle, the director of Europol, in De Sunday of 14 February, but it indicates how important international and European cooperation is in the fight against cybercrime. Criminals on the global web do not have any boundaries, while criminal investigations that often still exist do. They are often time-consuming and complex investigations, without guarantee of a successful outcome, namely identified offenders, let alone arrested offenders, which we can successfully prosecute in our country. Cybercrime is also a flag that covers many loads. It is a collective term for fake information technology, computer fraud, hacking and computer sabotage. The crime of computer deception can directly benefit from capital gains. The same is true of the crime of scam with the Internet, which in fact does not belong to cybercrime in the strict sense. A lot of crimes are scams with the Internet as a means, but they're not cyber-crime like hacking. The capacity to investigate and prosecute is closely linked to the available budgets foreseen to combat cybercrime in police and justice. An increase in these budgets is indeed primordial, in order to keep pace with the increase in cybercrime. In view of the increasing digitalisation of society, cybercrime is also taking off, which is reinforced by the many teleworking under COOVID-19. I come to your third question. Today, within a joint working group of the Public Prosecutor's Office, the police, the banking sector and the CCB, a national letter is being prepared that will streamline the policy on phishing across the different parquets. The finalisation is expected by June this year. I will give the public prosecutors the opportunity to recruit additional specialised personnel in the fight against cybercrime. This will be addressed in the additional budgets for the Justice Department. At the same time, investment will have to be made in national imaging by federal police forces and the establishment of sustainable structural cooperation with various external partners. The federal judicial police are finalising cyber aid communication via a participatory platform, accessible to all members of the police, which will enable first-line police officers to respond better to complaints. Many complaints are made to the local police and there must be good answers at this level too. As regards prevention, efforts are being made to promote cooperation with the Cybersecurity Centre in Belgium as far as possible. In its DGJ 3.0, the strategic plan of the federal judicial police, provision is made for the recruitment of 125 IT specialists, some of whom will focus on the problems and phenomena in question. Together with my fellow Minister for the Interior, I would also like to provide that capacity for the federal judicial police. Cyber aid will be implemented by the end of the first half of 2021.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u11	Thank you, Minister, for your answer, which is at least a little more clarifying. I understand that there were no national directives on agreements. You emphasise the importance of international cooperation, which I can only confirm, because cybercrime is largely far away from our own home computer and preferably as far as possible in another country, so that it is very difficult to trace. That is why I will certainly also put a question to your colleague in charge of Foreign Affairs to see whether there might also be more international cooperation. The numbers keep swinging out of control. My own police area told me last week that a new record was set when someone reported lost money. An ordinary, but perhaps not average, citizen reported a scam of EUR 710,000. These are dramatic figures, but for people who lose a small amount, it is sometimes even worse. Lost money can cause a lot of dramas. You say that the increase in the budget is primordial, that is very good, and that the capacity of the federal judicial police must be increased and that you will do so together with the Minister of the Interior. That is only positive, but there is a bit of a hurry if we know how many people are being scammed today. This could cover amounts from a few hundred euros to the hundreds of thousands of euros.
