Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DedonderLudivine	Dedonder, Ludivine	F	1977	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MahdiSammy	Mahdi, Sammy	M	1988	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeRooverPeter	De Roover, Peter	M	1962	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	DeVriendtWouter	De Vriendt, Wouter	M	1977	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	MoutquinSimon	Moutquin, Simon	M	1987	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	FlahautAndré	Flahaut, André	M	1955	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	LacroixChristophe	Lacroix, Christophe	M	1966	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	RigotHervé	Rigot, Hervé	M	1974	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	RigotHervé	Rigot, Hervé	M	1974	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VanLangenhoveDries	Van Langenhove, Dries	M	1993	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	JadinKattrin	Jadin, Kattrin	F	1980	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DemonFranky	Demon, Franky	M	1976	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanHoofEls	Van Hoof, Els	F	1969	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	BoukiliNabil	Boukili, Nabil	M	1985	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DedonderLudivine	Dedonder, Ludivine	F	1977	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	BoukiliNabil	Boukili, Nabil	M	1985	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u24	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VandenputTim	Vandenput, Tim	M	1971	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u25	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	LiekensGoedele	Liekens, Goedele	F	1963	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u26	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	ReynaertVicky	Reynaert, Vicky	F	1985	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u27	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	SegersBen	Segers, Ben	M	1982	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u28	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u29	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	DeSmetFrançois	De Smet, François	M	1977	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u30	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u31	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u32	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DedonderLudivine	Dedonder, Ludivine	F	1977	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u33	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MahdiSammy	Mahdi, Sammy	M	1988	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u34	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u35	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u36	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	PlatteauEva	Platteau, Eva	F	1982	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u37	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	FlahautAndré	Flahaut, André	M	1955	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic563x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic563x.u38	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	SamynEllen	Samyn, Ellen	F	1980	
